comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval
P0,2019_NAT_IMMUNOL_Nakayama---Cir_CD44hi_vs_CD44lo_up,-3.0067923717084897,7.742117117117117e-4,1.4781966001478197e-4,45,3.1111402632763006,3.8302678009336417
P0,2019_JEM_Beura---CD4_NLT_TRM_up,-2.2410252405036877,7.742117117117117e-4,1.5527950310559007e-4,35,3.1111402632763006,3.808885867359812
P0,2018_CELL_Schmiedel_allCellTypes---Classical_monocytes,-1.929860435373211,7.742117117117117e-4,1.5576323987538941e-4,32,3.1111402632763006,3.807535028068853
P0,2019_NAT_IMMUNOL_Nakayama---LungTRreg,-2.1283709646855886,7.742117117117117e-4,1.5693659761456373e-4,34,3.1111402632763006,3.8042757671290937
P0,2019_NAT_IMMUNOL_Nakayama---LungTRM_Foxp3Promoted,-1.9384073848302203,7.742117117117117e-4,1.6173378618793466e-4,27,3.1111402632763006,3.7911992464988753
P0,2019_NAT_IMMUNOL_Nakayama---LungTRM,-2.368334732598158,7.742117117117117e-4,1.6204829039053638e-4,34,3.1111402632763006,3.7903555464143865
P0,2019_NAT_IMMUNOL_Nakayama---Cir_CD44lo_Foxp3Inhibited,-2.3600860438614806,7.742117117117117e-4,1.6241676140977748e-4,34,3.1111402632763006,3.7893691535914815
P0,2013_IMMUNITY_Locci---non-GC-Tfh,-2.2411613540379824,7.742117117117117e-4,1.6305233980107615e-4,35,3.1111402632763006,3.787672964687493
P0,2018_CELL_Schmiedel_allCellTypes---NK_cells,-2.189080701795387,7.742117117117117e-4,1.6353229762878168e-4,31,3.1111402632763006,3.7863964613723042
P0,2019_NAT_COMMU_BIOL_Schoettler---CD4_TEM-Lung_vs_LDLN_dn,-2.380709385466749,7.742117117117117e-4,1.682935038707506e-4,47,3.1111402632763006,3.773932647467645
P0,2019_NAT_COMMU_BIOL_Schoettler---CD4_TRM-Lung_vs_LDLN_dn,-2.176394650899297,7.742117117117117e-4,1.7313019390581717e-4,51,3.1111402632763006,3.7616271845615827
P0,2019_NAT_COMMU_BIOL_Schoettler---CD4_TCM-Lung_vs_LDLN_dn,-2.0502441880833513,7.742117117117117e-4,1.7473353136466887e-4,54,3.1111402632763006,3.757623745908389
P0,2019_JEM_Beura---CD4_NLT-SLO_TRM_up,-2.3064810281945647,7.742117117117117e-4,1.7516202487300754e-4,43,3.1111402632763006,3.756560043006683
P0,2019_NAT_COMMU_Szabo---CD8-cytokine,-2.335913169594047,7.742117117117117e-4,1.837897445322551e-4,58,3.1111402632763006,3.7356787259059048
P0,2016_IMMUNITY_De_Simone---Th1_vs_Th17-or-Treg,-2.1689765289526055,7.742117117117117e-4,1.8467220683287164e-4,47,3.1111402632763006,3.733598460961339
P0,2019_NAT_COMMU_Szabo---CD8-cytotoxic,-2.1990766556579877,7.742117117117117e-4,1.8768768768768769e-4,64,3.1111402632763006,3.7265642161622448
P0,2019_JEM_Beura---CD4_NLT-SLO_TRM_dn,2.181507628402507,8.257638315441783e-4,2.221235006663705e-4,42,3.0831441431430524,3.6534054906645013
P0,2017_CELL_REP_Kumar---CD4Lung_CD69pos_vs_neg_dn,1.8958063069042952,8.257638315441783e-4,2.2857142857142857e-4,30,3.0831441431430524,3.640978057358332
P0,2019_NAT_IMMUNOL_Nakayama---LungTRreg_Foxp3Inhibited,2.040519291030778,8.257638315441783e-4,2.4372410431391665e-4,36,3.0831441431430524,3.6131015169669127
P0,2019_JEM_Beura---CD4_NLT_TRM_dn,2.1216685394297254,8.257638315441783e-4,2.553626149131767e-4,35,3.0831441431430524,3.5928426831311002
P0,2015_NAT_IMMUNOL_Choi---Tfh,2.3283073750344747,8.257638315441783e-4,2.627430373095113e-4,34,3.0831441431430524,3.5804687839510017
P0,2015_NAT_IMMUNOL_Choi---GC-Tfh,2.248144180225808,8.324084350721421e-4,2.774694783573807e-4,30,3.0796635275873627,3.5567847823070253
P0,2019_NAT_IMMUNOL_Nakayama---Cir_CD44hi_vs_CD44lo_dn,2.2289689290028885,8.442380751371885e-4,2.942041776993233e-4,31,3.073535065058784,3.5313511645830595
P0,2019_NAT_COMMU_BIOL_Schoettler---CD8_TRM-Lung_vs_LDLN_dn,-1.7839302619564594,8.519206939281289e-4,3.097893432465923e-4,30,3.0696008322197703,3.5089335260500327
P0,2019_NAT_COMMU_Szabo---CD4-NV-CM,1.9570632984844305,0.001093847110006215,4.143360265175057e-4,42,2.96104337628488,3.3826473031547106
P0,2018_CELL_Schmiedel_CD4---TH1_cells,-1.8444900332605283,0.0035089318264673714,0.001382306477093207,70,2.454825069423991,2.8593956569950416
P0,2019_NAT_COMMU_BIOL_Schoettler---CD8_TEM-Lung_vs_LDLN_dn,-1.8681764690727298,0.004965630450394993,0.002031394275161588,42,2.3040256044202327,2.692205775803114
P0,2019_JEM_Beura---CD4_LP_TRM_up,-1.6312865306006592,0.01109616677874916,0.004707464694014795,29,1.954827024308048,2.3272129285076972
P0,2018_CELL_Schmiedel_CD4---Naive_TREG_cells,1.6402004222902127,0.02431669009183576,0.010684606252473288,72,1.6140955401180148,1.9712414777609275
P0,2018_CELL_Schmiedel_CD4---Memory_TREG_cells,-1.548372527008527,0.033646159193604454,0.015293708724365659,38,1.4730645045819324,1.8154871854041386
