comparison,pathway,NES,padj,pval,leadingEdge_signal,mlog10padj,mlog10pval
P0,48h_IL2_promoted,-1.6140449283190452,0.01544943820224719,0.007724719101123595,24,1.8110873084786314,2.1121173041426125
P0,48h_IL2_repressed,-1.1425291866895342,0.1941374339259971,0.1941374339259971,22,0.711890715101022,0.711890715101022
P1,48h_IL2_repressed,1.4830631712804694,0.005689900426742532,0.002844950213371266,18,2.2448953336918613,2.5459253293558426
P1,48h_IL2_promoted,-1.195738805529192,0.20605326876513316,0.20605326876513316,19,0.6860204915718132,0.6860204915718132
P2,48h_IL2_repressed,1.2697406503416293,0.06229860365198711,0.031149301825993556,32,1.2055216874184054,1.5065516830823866
P2,48h_IL2_promoted,-1.240143911685866,0.15549772283669486,0.15549772283669486,20,0.8082759665516075,0.8082759665516075
P3,48h_IL2_repressed,2.3651612909290782,3.992812936713915e-4,1.9964064683569574e-4,30,3.3987210360255333,3.699751031689514
P3,48h_IL2_promoted,1.0866491100405142,0.31770315914961256,0.31770315914961256,14,0.4979784666509047,0.4979784666509047
P4,48h_IL2_repressed,-1.9359209022645765,8.646779074794639e-4,4.3233895373973193e-4,42,3.063145637106638,3.3641756327706194
P4,48h_IL2_promoted,1.6740621395289819,0.006687402799377916,0.006687402799377916,19,2.1747425173446358,2.1747425173446358
P5,48h_IL2_repressed,-1.860641418325883,0.011235955056179775,0.0056179775280898875,33,1.9493900066449128,2.250420002308894
P5,48h_IL2_promoted,-0.7790886375188547,0.8713951675759938,0.8713951675759938,28,0.05978485282452401,0.05978485282452401
P6,48h_IL2_promoted,1.7476629242243635,0.0020786933927245733,0.0010393466963622866,15,2.6822095643807664,2.9832395600447477
P6,48h_IL2_repressed,1.3072011519944198,0.05327149661569316,0.05327149661569316,20,1.2735051019235093,1.2735051019235093
P7,48h_IL2_promoted,1.4154625521727635,0.11286992429456297,0.056434962147281484,15,0.9474217662503237,1.248451761914305
P7,48h_IL2_repressed,0.8962013683900492,0.6836479417784853,0.6836479417784853,14,0.16516748936881692,0.16516748936881692
