"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044441","ciliary part","34/818","457/23436",3.18644253540333e-05,3.18644253540333e-05,0.0158651296762713,"Ttc30b/Mkks/Rp2/Odf2l/Tmem67/Efcab7/Tctex1d4/Crocc/Nphp4/Wdr19/Tchp/Alms1/Ift122/Erc1/Casc1/Myo7a/Rpgrip1l/Bbs2/Tmem231/Spa17/Ctsh/Wdpcp/Efcab9/Fbf1/Prkar2b/Daam1/Wdr60/Spef2/Iqcb1/App/Tcp11/Tulp1/Rsph1/Tsga10ip",34
"GO:0005874","microtubule","31/818","420/23436",8.12175148107523e-05,8.12175148107523e-05,0.0159955389015872,"Nav1/Aspm/Camsap1/Ttc30b/Stard9/Ttl/Map1lc3a/Aurka/Kif24/Kif2c/Kif1b/Clip2/Katnal1/Casc1/Bicd1/Prc1/Plk1/Tubgcp2/Cdk1/Rpgrip1l/Kifc3/Tubb3/Map10/Dcxr/Tubb2a/Tubb2b/Ndrg1/Gtse1/Tiam1/Kif20a/Reep2",31
"GO:0005819","spindle","23/818","273/23436",9.63790398932844e-05,9.63790398932844e-05,0.0159955389015872,"Aspm/Aurka/Ect2/Tacc3/Katnal1/Wdr62/Prc1/Plk1/Tubgcp2/Lats1/Cdk1/Map10/Ttk/Haspin/Cdc6/Fbf1/Wdr60/Racgap1/Iqcb1/Spice1/App/Rsph1/Kif20a",23
"GO:0031514","motile cilium","18/818","199/23436",0.000225412938570311,0.000225412938570311,0.0280579789325676,"Efcab2/Mkks/Rnf38/Tctex1d4/Wdr19/Iqcd/Bbs2/Tssk4/Spa17/Ctsh/Efcab9/Daam1/Spef2/Ropn1l/Tcte3/Tcp11/Rsph1/Anxa1",18
"GO:0019898","extrinsic component of membrane","24/818","314/23436",0.00030060015696887,0.00030060015696887,0.0299334472097422,"Serpine2/Pik3c2b/Coq8a/Atg13/Syt6/Efcab7/Pik3r3/Cnr2/Yes1/Ulk1/Plekha4/Stxbp5/Cdh13/St14/Pml/Dusp18/Aldh3a2/Pik3r5/Alox8/Zfyve1/Racgap1/Tiam1/Tcte3/Anxa1",24
"GO:0035869","ciliary transition zone","9/818","72/23436",0.000875366884220225,0.000875366884220225,0.0624188156622423,"Tmem67/Nphp4/Wdr19/Ift122/Myo7a/Rpgrip1l/Tmem231/Iqcb1/Tsga10ip",9
"GO:0032391","photoreceptor connecting cilium","7/818","45/23436",0.000877558402016726,0.000877558402016726,0.0624188156622423,"Nphp4/Wdr19/Ift122/Myo7a/Rpgrip1l/Iqcb1/Tsga10ip",7
"GO:0051233","spindle midzone","6/818","34/23436",0.00103440868194726,0.00103440868194726,0.0643783298106652,"Aurka/Plk1/Map10/Cdc6/Racgap1/App",6
"GO:0005881","cytoplasmic microtubule","9/818","78/23436",0.00155863478918475,0.00155863478918475,0.0862262286882325,"Ttc30b/Clip2/Casc1/Bicd1/Rpgrip1l/Map10/Dcxr/Gtse1/Reep2",9
"GO:0036064","ciliary basal body","13/818","147/23436",0.00196894660262737,0.00196894660262737,0.0980328150571309,"Ttc30b/Mkks/Rp2/Odf2l/Nphp4/Alms1/Ift122/Erc1/Rpgrip1l/Bbs2/Fbf1/Daam1/Tsga10ip",13
"GO:0031312","extrinsic component of organelle membrane","7/818","56/23436",0.00322223111302533,0.00322223111302533,0.133694326005349,"Coq8a/Ulk1/Stxbp5/Pml/Dusp18/Aldh3a2/Zfyve1",7
"GO:0032153","cell division site","7/818","56/23436",0.00322223111302533,0.00322223111302533,0.133694326005349,"Ect2/Tubgcp2/Klhdc8b/Rhob/Rnd1/Racgap1/Kif20a",7
"GO:0044452","nucleolar part","14/818","181/23436",0.00461119206353861,0.00461119206353861,0.176606789154151,"Nhej1/Pak6/Spata2/Fbxw9/B3gnt9/Taf1c/Ip6k2/Clec3b/Tax1bp3/Klf6/Rsad2/Ager/Kdm5d/Nol6",14
"GO:0001650","fibrillar center","11/818","128/23436",0.00526572932326019,0.00526572932326019,0.185229083604232,"Nhej1/Pak6/Spata2/B3gnt9/Taf1c/Ip6k2/Tax1bp3/Klf6/Rsad2/Ager/Kdm5d",11
