"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015645","fatty acid ligase activity","6/1096","19/22710",0.000196522936761378,0.000196522936761378,0.0996257826585141,"Slc27a4/Slc27a3/Acsl1/Acsf3/Acsbg1/Acsbg2",6
"GO:0004467","long-chain fatty acid-CoA ligase activity","5/1096","13/22710",0.000241201749836378,0.000241201749836378,0.0996257826585141,"Slc27a4/Slc27a3/Acsl1/Acsbg1/Acsbg2",5
"GO:0035325","Toll-like receptor binding","5/1096","14/22710",0.000360321675858839,0.000360321675858839,0.0996257826585141,"Tlr2/S100a8/S100a9/Saa3/Tirap",5
"GO:0016405","CoA-ligase activity","6/1096","23/22710",0.000619449551170626,0.000619449551170626,0.107169955800923,"Slc27a4/Slc27a3/Acsl1/Acsf3/Acsbg1/Acsbg2",6
"GO:0016874","ligase activity","17/1096","146/22710",0.000693591783890832,0.000693591783890832,0.107169955800923,"Slc27a4/Ass1/Slc27a3/Pars2/Sars2/Nadsyn1/Mars/Lig4/Acsl1/Acsf3/Acsbg1/Gclc/Mthfs/Aarsd1/Ttll1/Aars2/Acsbg2",17
"GO:0031267","small GTPase binding","36/1096","424/22710",0.000775214147290943,0.000775214147290943,0.107169955800923,"Prex2/Tbc1d13/Pak6/Tbc1d25/Ocrl/Tbc1d2/Abca1/Ipo13/Rims3/Dvl1/Bicdl1/Rilpl1/Rcc1l/Rab11fip5/Rasgef1a/Ipo8/Bicd1/Dennd5a/Ipo7/Evi5l/Pard6a/Vcl/Arhgef40/Dock9/Pih1d2/Dennd4a/Als2cl/Myo1c/Wdr41/Daam1/Plekhg3/Sgsm3/Tbc1d22a/Itsn1/Afdn/Arhgef33",36
"GO:0016878","acid-thiol ligase activity","6/1096","26/22710",0.00124810476335883,0.00124810476335883,0.126647657041371,"Slc27a4/Slc27a3/Acsl1/Acsf3/Acsbg1/Acsbg2",6
"GO:0019001","guanyl nucleotide binding","32/1096","377/22710",0.00148355987143256,0.00148355987143256,0.126647657041371,"Rab23/Pde11a/Tgm2/Rab33b/Rragd/Gbp10/Ift22/Rab43/Pde6h/Irgq/Rab32/Gna15/Rab20/Gtpbp4/Gtpbp3/Tubb3/Rap2a/Rab3d/Cgas/Urgcp/Thg1l/Eral1/Tubg2/Tubb2b/Rhob/Atl1/Rnd1/Rabl3/Mx1/Mocs1/Rhoq/Atl3",32
"GO:0032561","guanyl ribonucleotide binding","32/1096","377/22710",0.00148355987143256,0.00148355987143256,0.126647657041371,"Rab23/Pde11a/Tgm2/Rab33b/Rragd/Gbp10/Ift22/Rab43/Pde6h/Irgq/Rab32/Gna15/Rab20/Gtpbp4/Gtpbp3/Tubb3/Rap2a/Rab3d/Cgas/Urgcp/Thg1l/Eral1/Tubg2/Tubb2b/Rhob/Atl1/Rnd1/Rabl3/Mx1/Mocs1/Rhoq/Atl3",32
"GO:0017016","Ras GTPase binding","34/1096","409/22710",0.00152684358108252,0.00152684358108252,0.126647657041371,"Prex2/Tbc1d13/Pak6/Tbc1d25/Ocrl/Tbc1d2/Ipo13/Rims3/Dvl1/Bicdl1/Rcc1l/Rab11fip5/Rasgef1a/Ipo8/Bicd1/Dennd5a/Ipo7/Evi5l/Pard6a/Vcl/Arhgef40/Dock9/Pih1d2/Dennd4a/Als2cl/Myo1c/Wdr41/Daam1/Plekhg3/Sgsm3/Tbc1d22a/Itsn1/Afdn/Arhgef33",34
"GO:0023023","MHC protein complex binding","4/1096","12/22710",0.00195527505558349,0.00195527505558349,0.129755279219683,"Cd8a/Klrd1/H2-DMb2/H2-Ob",4
"GO:0005525","GTP binding","30/1096","354/22710",0.00209894889633398,0.00209894889633398,0.129755279219683,"Rab23/Tgm2/Rab33b/Rragd/Gbp10/Ift22/Rab43/Irgq/Rab32/Gna15/Rab20/Gtpbp4/Gtpbp3/Tubb3/Rap2a/Rab3d/Cgas/Urgcp/Thg1l/Eral1/Tubg2/Tubb2b/Rhob/Atl1/Rnd1/Rabl3/Mx1/Mocs1/Rhoq/Atl3",30
"GO:0005516","calmodulin binding","19/1096","190/22710",0.00217655802653333,0.00217655802653333,0.129755279219683,"Kcnq5/Camsap2/Mapkapk2/Enkur/Ryr3/Wfs1/Phkg1/Itpkc/Myo7a/Unc13b/Unc13a/Sntb2/Spa17/Dapk2/Myo1c/Myo10/Sntb1/Iqcb1/Fas",19
"GO:0042578","phosphoric ester hydrolase activity","30/1096","355/22710",0.00219003199698195,0.00219003199698195,0.129755279219683,"Pfkfb2/Pde11a/Nanp/Ocrl/Pfkfb1/Pdp1/Smpdl3b/Dusp16/Pde6h/Pde8a/Inpp5f/Lhpp/Dusp8/Enpp1/Pald1/Ppp2cb/Mtmr7/Inpp4b/Dlgap5/Ppp1r3e/Nt5e/Pxylp1/Acpp/Dusp18/Gdpd1/Cdc14b/Prkar2b/Pld4/Cpped1/Plcxd2",30
