"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048871","multicellular organismal homeostasis","46/1044","486/23210",1.78515926572176e-06,1.78515926572176e-06,0.00799939262545005,"Slc11a1/Sctr/G0s2/Map1a/Id1/Zbtb7b/Tmem64/Nr4a3/Whrn/Lepr/Kdf1/Crocc/Napepld/Nos3/Wfs1/Acacb/Cdh23/Trpm2/Bbs10/Fcor/Nod2/Bbs2/Abhd6/Nr1d2/Rab3d/Tmprss13/Il20rb/Nphp3/Pth1r/Ccr5/Ccl5/Thra/Klhl10/Plekhm1/Trgc1/Hfe/Nxnl2/F2r/Lpin1/Grhl1/Ptger4/Tns2/Tulp1/Tff3/Pde6a/Adrb1",46
"GO:0032612","interleukin-1 production","17/1044","104/23210",3.79226574023468e-06,3.79226574023468e-06,0.00807392395131926,"Fzd5/Mr1/Ifi205/Tlr2/S100a13/Abca1/Errfi1/Nod1/Nod2/Cma1/Cx3cr1/Ccr5/Ccl3/Tmem106a/F2r/Ptger4/Ager",17
"GO:0032611","interleukin-1 beta production","15/1044","86/23210",6.14848208139461e-06,6.14848208139461e-06,0.00807392395131926,"Fzd5/Mr1/Ifi205/Tlr2/Abca1/Errfi1/Nod1/Nod2/Cma1/Cx3cr1/Ccr5/Ccl3/Tmem106a/F2r/Ager",15
"GO:0097529","myeloid leukocyte migration","25/1044","207/23210",7.2071672574614e-06,7.2071672574614e-06,0.00807392395131926,"Cxcr2/Fcgr3/Fcer1g/Cd99l2/Mospd2/S100a9/Csf3r/Cxcl2/Nod2/Tirap/Dapk2/Cx3cr1/Ccr1/Ccr3/Ccl5/Ccl9/Ccl3/Ccl4/Cd300a/Itga1/Ptger4/Pdgfb/Retnlg/Ager/Aif1",25
"GO:0006469","negative regulation of protein kinase activity","23/1044","194/23210",2.23174643767738e-05,2.23174643767738e-05,0.0174295462194438,"Dab2ip/Mapk8ip1/Trib3/Dusp9/Spry1/Camk2n1/Errfi1/Uchl1/Gadd45a/Dusp16/Gprc5a/Irak3/Spry2/Mapk7/Inca1/Srcin1/Vps25/Dusp3/Hexim2/Cd300a/Deptor/Lrp5/Hhex",23
"GO:1990266","neutrophil migration","17/1044","119/23210",2.38949669977486e-05,2.38949669977486e-05,0.0174295462194438,"Cxcr2/Fcgr3/Fcer1g/Cd99l2/Mospd2/S100a9/Csf3r/Cxcl2/Nod2/Tirap/Dapk2/Ccl5/Ccl9/Ccl3/Ccl4/Itga1/Ptger4",17
"GO:0050900","leukocyte migration","33/1044","340/23210",3.03415550024117e-05,3.03415550024117e-05,0.0174295462194438,"Cxcr2/Fcgr3/Fcer1g/Cd99l2/Mospd2/Tlr2/S100a9/Ecm1/Csf3r/Tnfrsf14/Cxcl2/Trpm2/Nod2/2610528A11Rik/Icam1/Tirap/Dapk2/Cx3cr1/Ccr1/Ccr3/Ccl5/Ccl9/Ccl3/Ccl4/Cd300a/Itga2/Itga1/Ptger4/Pdgfb/Retnlg/Ager/Aif1/Gcnt1",33
"GO:0097530","granulocyte migration","19/1044","146/23210",3.11168783809662e-05,3.11168783809662e-05,0.0174295462194438,"Cxcr2/Fcgr3/Fcer1g/Cd99l2/Mospd2/S100a9/Csf3r/Cxcl2/Nod2/Tirap/Dapk2/Ccr3/Ccl5/Ccl9/Ccl3/Ccl4/Cd300a/Itga1/Ptger4",19
"GO:0030593","neutrophil chemotaxis","15/1044","100/23210",3.97589481497075e-05,3.97589481497075e-05,0.0197957710261175,"Cxcr2/Fcgr3/Fcer1g/Mospd2/S100a9/Csf3r/Cxcl2/Nod2/Tirap/Dapk2/Ccl5/Ccl9/Ccl3/Ccl4/Itga1",15
"GO:0072677","eosinophil migration","7/1044","24/23210",6.44205840089422e-05,6.44205840089422e-05,0.0240891701208658,"Dapk2/Ccr3/Ccl5/Ccl9/Ccl4/Cd300a/Ptger4",7
"GO:0045494","photoreceptor cell maintenance","9/1044","41/23210",6.94401749219349e-05,6.94401749219349e-05,0.0240891701208658,"Map1a/Crocc/Cdh23/Bbs10/Bbs2/Nphp3/Nxnl2/Tulp1/Pde6a",9
"GO:0031349","positive regulation of defense response","34/1044","370/23210",6.9756400331204e-05,6.9756400331204e-05,0.0240891701208658,"Il1rl1/Il18rap/Fcgr3/Fcer1g/Ifi214/Ifi205/Dab2ip/Zcchc3/Tlr2/S100a9/Tafa3/Tlr12/Napepld/Alox5ap/Nod1/Klrb1c/Klre1/Mill2/Klk7/Irak3/Nod2/Tirap/Nlrx1/Cgas/Ccr5/Ccl5/Ccl3/Cd300a/Itga2/Ptger4/Ager/Cd14/Ticam2/Pik3ap1",34
"GO:0050764","regulation of phagocytosis","15/1044","105/23210",7.08663321246132e-05,7.08663321246132e-05,0.0240891701208658,"Slc11a1/Fcgr3/Fcer1g/Il15ra/Hck/Tlr2/Fgr/Lrp1/Nod2/Cd300a/Itga2/Ptk2/Tulp1/Ager/Rab31",15
"GO:0042058","regulation of epidermal growth factor receptor signaling pathway","11/1044","61/23210",7.65956719680875e-05,7.65956719680875e-05,0.0240891701208658,"Fasl/Mvb12b/Dab2ip/Egf/Errfi1/Gprc5a/Fbxw7/Vps25/Dusp3/Tfap2a/Itga1",11
"GO:0030595","leukocyte chemotaxis","23/1044","211/23210",8.3679773805968e-05,8.3679773805968e-05,0.0240891701208658,"Cxcr2/Fcgr3/Fcer1g/Mospd2/S100a9/Csf3r/Cxcl2/Trpm2/Nod2/2610528A11Rik/Tirap/Dapk2/Cx3cr1/Ccr1/Ccr3/Ccl5/Ccl9/Ccl3/Ccl4/Itga1/Pdgfb/Retnlg/Aif1",23
"GO:0042059","negative regulation of epidermal growth factor receptor signaling pathway","7/1044","25/23210",8.6012540718149e-05,8.6012540718149e-05,0.0240891701208658,"Dab2ip/Errfi1/Gprc5a/Vps25/Dusp3/Tfap2a/Itga1",7
"GO:0001895","retina homeostasis","10/1044","52/23210",9.17278876677283e-05,9.17278876677283e-05,0.0241786760248619,"Map1a/Whrn/Crocc/Cdh23/Bbs10/Bbs2/Nphp3/Nxnl2/Tulp1/Pde6a",10
"GO:0033673","negative regulation of kinase activity","23/1044","214/23210",0.000103772293569823,0.000103772293569823,0.0243205618969336,"Dab2ip/Mapk8ip1/Trib3/Dusp9/Spry1/Camk2n1/Errfi1/Uchl1/Gadd45a/Dusp16/Gprc5a/Irak3/Spry2/Mapk7/Inca1/Srcin1/Vps25/Dusp3/Hexim2/Cd300a/Deptor/Lrp5/Hhex",23
"GO:0002683","negative regulation of immune system process","40/1044","473/23210",0.000105502537757475,0.000105502537757475,0.0243205618969336,"Il1rl1/Cxcr2/Fcer1g/Hlx/Dab2ip/Prnp/Zbtb46/Zbtb7b/Tafa3/C1qc/Tnfrsf14/Fgl2/Glmn/Pvrig/Klre1/Mill2/Fbxw7/Enpp3/Irak3/Nod2/Nlrx1/Il20rb/Ccr1/Gas2l1/Dusp3/Cd300a/Hist1h4n/H4c8/Hfe/H4c1/Tgfb3/Gpr68/Ptger4/Cd80/H2-Ab1/Tnfrsf21/Ticam2/Scgb1a1/Pik3ap1/Gpam",40
"GO:0006023","aminoglycan biosynthetic process","10/1044","53/23210",0.000108548432239074,0.000108548432239074,0.0243205618969336,"Gm34653/Chst14/Extl2/Egf/B3gnt4/B3gnt9/Hyal1/Ptger4/Pdgfb/B3gnt5",10
"GO:0071900","regulation of protein serine/threonine kinase activity","37/1044","427/23210",0.000115798872137396,0.000115798872137396,0.0247095638440549,"Fzd5/Dab2ip/Zeb2/Mapk8ip1/Trib3/Lime1/Dusp9/Spry1/Psrc1/Egf/Uchl1/Pkd2/Gadd45a/Camk1/Dusp16/Map3k10/Irak3/Adam9/Nod2/Spry2/Tirap/Parp16/Mapk7/Inca1/Dusp3/Hexim2/Cd300a/Hgs/F2r/Ccno/Itga1/Tgfb3/Pdgfb/Tab1/Ager/Lrp5/Hhex",37
"GO:0071621","granulocyte chemotaxis","16/1044","123/23210",0.000128950687025855,0.000128950687025855,0.0248778385433442,"Cxcr2/Fcgr3/Fcer1g/Mospd2/S100a9/Csf3r/Cxcl2/Nod2/Tirap/Dapk2/Ccr3/Ccl5/Ccl9/Ccl3/Ccl4/Itga1",16
"GO:0071901","negative regulation of protein serine/threonine kinase activity","15/1044","111/23210",0.000134706316828092,0.000134706316828092,0.0248778385433442,"Dab2ip/Mapk8ip1/Dusp9/Spry1/Uchl1/Dusp16/Irak3/Spry2/Mapk7/Inca1/Dusp3/Hexim2/Cd300a/Lrp5/Hhex",15
"GO:1901185","negative regulation of ERBB signaling pathway","7/1044","27/23210",0.000146855844563526,0.000146855844563526,0.0248778385433442,"Dab2ip/Errfi1/Gprc5a/Vps25/Dusp3/Tfap2a/Itga1",7
"GO:0070371","ERK1 and ERK2 cascade","30/1044","323/23210",0.000150796970994574,0.000150796970994574,0.0248778385433442,"Dab2ip/Spry1/Tlr2/Egf/Camk2n1/Errfi1/Chrna9/Nod1/Fbxw7/Lrp1/Nod2/Ndrg4/Nrp1/Spry2/Icam1/Tirap/Ccr1/Ccr3/Scimp/Ccl5/Ccl9/Ccl3/Ccl4/Dusp3/F2r/Ptger4/Pdgfb/Dynlt1b/Ager/Acta2",30
"GO:1901184","regulation of ERBB signaling pathway","11/1044","66/23210",0.000160305590725535,0.000160305590725535,0.0248778385433442,"Fasl/Mvb12b/Dab2ip/Egf/Errfi1/Gprc5a/Fbxw7/Vps25/Dusp3/Tfap2a/Itga1",11
"GO:0046486","glycerolipid metabolic process","30/1044","325/23210",0.000168056261647946,0.000168056261647946,0.0248778385433442,"Capn2/Fitm2/Mtm1/Pld1/Fabp3/Napepld/Gpat3/Mgll/Apobec1/Pla2g4c/Dgat2/Gdpd3/Pnpla6/Lcat/Pla2g15/Abhd6/Cish/Plek/Dgke/Aldh5a1/Efr3b/Lpin1/Sh3yl1/Pigh/Pdgfb/Dgkg/Pcyt1a/Synj2/Plcb3/Gpam",30
"GO:0051222","positive regulation of protein transport","37/1044","435/23210",0.000168150659317743,0.000168150659317743,0.0248778385433442,"Il1rl1/Fzd5/Cnst/Prr5l/Prnp/Tm9sf4/Kcnb1/Tlr2/Cd2/Asph/Lepr/Fgr/Tnfrsf14/Glmn/Aacs/Camk1/Tm7sf3/Fbxw7/Trpm2/Lrp1/Adam9/Nod2/Exph5/Ccr5/Kif3a/Ccl3/Bcas3/Jup/F2r/Tgfb3/Gpr68/Ptger4/Il1rap/Ager/Aif1/Cd14/Adrb1",37
"GO:0007229","integrin-mediated signaling pathway","13/1044","89/23210",0.000168426574022014,0.000168426574022014,0.0248778385433442,"Fcer1g/Adam15/Fgr/Gab2/Itgax/Nrp1/Plek/Itgb4/Itga2/Itga1/Ptk2/Itga5/Itgb5",13
"GO:0006022","aminoglycan metabolic process","14/1044","101/23210",0.000169727774034775,0.000169727774034775,0.0248778385433442,"Dsel/Chit1/Gm34653/Chst14/Chil3/Extl2/Egf/B3gnt4/Gns/B3gnt9/Hyal1/Ptger4/Pdgfb/B3gnt5",14
"GO:0043405","regulation of MAP kinase activity","28/1044","295/23210",0.000172105319497648,0.000172105319497648,0.0248778385433442,"Fzd5/Dab2ip/Zeb2/Mapk8ip1/Trib3/Lime1/Dusp9/Spry1/Egf/Uchl1/Gadd45a/Dusp16/Map3k10/Irak3/Adam9/Nod2/Spry2/Tirap/Mapk7/Dusp3/Cd300a/Hgs/F2r/Itga1/Tgfb3/Pdgfb/Tab1/Ager",28
"GO:0002577","regulation of antigen processing and presentation","6/1044","20/23210",0.000183711987054659,0.000183711987054659,0.0257257213451212,"Slc11a1/Fgl2/Nod1/Nod2/Hfe/H2-Ab1",6
"GO:0007266","Rho protein signal transduction","21/1044","195/23210",0.000198185567983063,0.000198185567983063,0.0269115139682264,"Prex2/Als2/Vav2/P2ry10b/Rhoc/Abca1/Plekhg5/Eps8l1/Fgd6/Arhgef10/Nrp1/Arhgap32/Arhgef12/Cdc42ep4/Baiap2/F2r/F2rl2/Itsn1/Arap3/Dnmbp/Adrb1",21
"GO:0060326","cell chemotaxis","28/1044","299/23210",0.000215412488196867,0.000215412488196867,0.0283904322679277,"Cxcr2/Fcgr3/Fcer1g/Mospd2/S100a9/Csf3r/Plekhg5/Cxcl2/Saa3/Trpm2/Nod2/Nrp1/2610528A11Rik/Tirap/Dapk2/Cx3cr1/Cxcr6/Ccr1/Ccr3/Ccr5/Ccl5/Ccl9/Ccl3/Ccl4/Itga1/Pdgfb/Retnlg/Aif1",28
