"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030246","carbohydrate binding","29/857","270/22710",4.51573541342806e-07,4.51573541342806e-07,0.000342720550850698,"Cntn2/Siglec1/Galk1/Gck/P3h1/Fbxo2/Clec4a2/Clec4n/Clec4d/Clec4e/P3h3/Klrb1a/Klrb1c/Klrb1b/Klrk1/Klri2/Klra6/Klra8/Klra7/Klra1/Cd33/Siglece/Cd24a/Lgals3/Plod2/Clec3b/Pygl/Lgals1/Crybg3",29
"GO:0008017","microtubule binding","25/857","239/22710",4.44606112026364e-06,4.44606112026364e-06,0.00120003850023213,"Map2/Kif14/Nusap1/Hdac6/Kif4/S100a8/Cenpe/Kif24/Trpv4/Prc1/Map6/Plk1/Kif22/Mdm1/Mtus1/Mast1/Neil2/Kif15/Gas2l1/Fam161a/Kif18b/Kif19a/Birc5/Kifc1/Kif11",25
"GO:0015631","tubulin binding","31/857","336/22710",4.74356411326155e-06,4.74356411326155e-06,0.00120003850023213,"Map2/Kif14/Nusap1/Hdac6/Kif4/S100a8/Cenpe/Kif24/Stmn1/Trpv4/Brca2/Rab11fip5/Atf5/Prc1/Map6/Plk1/Kif22/Mdm1/Mtus1/Mast1/Neil2/Dixdc1/Kif15/Gas2l1/Fam161a/Kif18b/Kif19a/Birc5/Tppp/Kifc1/Kif11",31
"GO:0019865","immunoglobulin binding","7/857","22/22710",1.10336882741572e-05,1.10336882741572e-05,0.00209349716991247,"Fcgr4/Fcgr3/Fcer1g/Fcgr1/Lgals3/Ms4a1/Ms4a2",7
"GO:0008081","phosphoric diester hydrolase activity","11/857","87/22710",0.00042445026710691,0.00042445026710691,0.0644270826492805,"Plcl1/Pde11a/Pld1/Prkar1b/Pde2a/Smpd2/Enpp6/Ccr1/Ccl5/Pde1b/Plcb3",11
"GO:0003777","microtubule motor activity","10/857","82/22710",0.00101888294569637,0.00101888294569637,0.123971394772603,"Kif14/Kif4/Cenpe/Kif24/Kif22/Kif15/Kif18b/Kif19a/Kifc1/Kif11",10
"GO:0048029","monosaccharide binding","10/857","85/22710",0.00134701058780055,0.00134701058780055,0.123971394772603,"Galk1/Gck/P3h1/Clec4a2/Clec4n/P3h3/Siglece/Lgals3/Plod2/Lgals1",10
"GO:0003774","motor activity","13/857","131/22710",0.00138377243261417,0.00138377243261417,0.123971394772603,"Kif14/Myo3b/Kif4/Cenpe/Kif24/Kif22/Myl6b/Myo6/Kif15/Kif18b/Kif19a/Kifc1/Kif11",13
"GO:0000217","DNA secondary structure binding","5/857","24/22710",0.00176772531328112,0.00176772531328112,0.123971394772603,"Xrcc2/Neil3/Gen1/Rad51b/Xrcc3",5
"GO:0004714","transmembrane receptor protein tyrosine kinase activity","8/857","60/22710",0.00179279441630113,0.00179279441630113,0.123971394772603,"Ltk/Tyro3/Epha8/Ret/Fgfr1/Ddr1/Nrg2/Csf1r",8
"GO:0046915","transition metal ion transmembrane transporter activity","6/857","35/22710",0.00180466582100048,0.00180466582100048,0.123971394772603,"Slc40a1/Slc39a13/Slc39a8/Trpm2/Trf/Tfrc",6
"GO:0042287","MHC protein binding","6/857","36/22710",0.00209747110160946,0.00209747110160946,0.123971394772603,"Pilra/Pilrb1/Pilrb2/March8/Klrk1/March1",6
"GO:0051213","dioxygenase activity","10/857","92/22710",0.00245279877577567,0.00245279877577567,0.123971394772603,"Ptgs1/Asph/Hpdl/P3h1/P3h3/Bco1/Plod2/Kdm5d/Uty/Cdo1",10
"GO:0000400","four-way junction DNA binding","4/857","16/22710",0.00254863955626589,0.00254863955626589,0.123971394772603,"Xrcc2/Gen1/Rad51b/Xrcc3",4
"GO:0042813","Wnt-activated receptor activity","4/857","16/22710",0.00254863955626589,0.00254863955626589,0.123971394772603,"Fzd5/Egf/Ryk/Lrp5",4
"GO:0016887","ATPase activity","26/857","379/22710",0.0026135439674668,0.0026135439674668,0.123971394772603,"Kif14/Kif4/Ercc6l/Cenpe/Rad54b/Kif24/Xrcc2/Kif22/Gm5426/Ddx25/Pif1/Kif15/Fignl1/Atad5/Top2a/Kif18b/Kif19a/Rad51b/Xrcc3/Kifc1/Abcc10/Ipo8/Btaf1/Ide/Kif11/Entpd1",26
"GO:0031490","chromatin DNA binding","10/857","95/22710",0.00310804833619717,0.00310804833619717,0.138755594451898,"Rxra/Vax2/H1f10/H1f5/H3c8/Grhl1/H1f0/Bcl6/Prdm9/Uty",10
"GO:0004435","phosphatidylinositol phospholipase C activity","4/857","18/22710",0.00403545854599049,0.00403545854599049,0.153135032192587,"Plcl1/Ccr1/Ccl5/Plcb3",4
"GO:0004629","phospholipase C activity","4/857","18/22710",0.00403545854599049,0.00403545854599049,0.153135032192587,"Plcl1/Ccr1/Ccl5/Plcb3",4
"GO:0042288","MHC class I protein binding","4/857","18/22710",0.00403545854599049,0.00403545854599049,0.153135032192587,"Pilra/Pilrb1/Pilrb2/Klrk1",4
"GO:0045309","protein phosphorylated amino acid binding","7/857","55/22710",0.00445873688015138,0.00445873688015138,0.159883611083155,"Sh2d1b1/Sirpa/Hck/She/Sh3bp2/Arrb1/Fbxw7",7
"GO:0036041","long-chain fatty acid binding","4/857","19/22710",0.00496078078120718,0.00496078078120718,0.159883611083155,"Fabp4/S100a8/Fabp3/Stx3",4
"GO:0047555","3',5'-cyclic-GMP phosphodiesterase activity","4/857","19/22710",0.00496078078120718,0.00496078078120718,0.159883611083155,"Pde11a/Prkar1b/Pde2a/Pde1b",4
"GO:0050543","icosatetraenoic acid binding","3/857","10/22710",0.00526662380475025,0.00526662380475025,0.159883611083155,"S100a8/Fabp3/Stx3",3
"GO:0097371","MDM2/MDM4 family protein binding","3/857","10/22710",0.00526662380475025,0.00526662380475025,0.159883611083155,"Cdkn2a/Trp73/Rfwd3",3
"GO:0008094","DNA-dependent ATPase activity","8/857","72/22710",0.00565212970587594,0.00565212970587594,0.163127445119095,"Ercc6l/Rad54b/Xrcc2/Pif1/Top2a/Rad51b/Xrcc3/Btaf1",8
"GO:0017127","cholesterol transporter activity","4/857","20/22710",0.00601829409177244,0.00601829409177244,0.163127445119095,"Apoa2/Apoe/Star/Gramd1c",4
"GO:0120020","intermembrane cholesterol transfer activity","4/857","20/22710",0.00601829409177244,0.00601829409177244,0.163127445119095,"Apoa2/Apoe/Star/Gramd1c",4
"GO:0005126","cytokine receptor binding","22/857","327/22710",0.00668368855419008,0.00668368855419008,0.174916132398223,"Il1b/Cd40lg/Cntfr/Cxcl2/Ceacam1/Ntf5/Amh/Socs2/Angpt2/Il15/2610528A11Rik/Nradd/Ccl5/Ccl6/Cd300lf/Edaradd/Tgfb3/Angpt1/Ebi3/Lrg1/Tnfsf9/Ticam2",22
"GO:0035251","UDP-glucosyltransferase activity","3/857","11/22710",0.00704011361917733,0.00704011361917733,0.176654936867814,"Poglut2/Uggt2/Poglut3",3
"GO:0120015","intermembrane sterol transfer activity","4/857","21/22710",0.00721565588177133,0.00721565588177133,0.176654936867814,"Apoa2/Apoe/Star/Gramd1c",4
