"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","140/3340","317/23210",5.52968987099077e-38,5.52968987099077e-38,2.47788313482186e-34,"Sgo2a/Hjurp/Kif14/Nuf2/Cenpf/Nsl1/Nek2/Nek6/Spc25/Kif18a/Bub1b/Knstrn/Knl1/Oip5/Nusap1/Ncaph/Bub1/Ttl/Dsn1/Fam83d/Kif4/Smc1a/Ect2/Pmf1/Psrc1/Cenpe/Ccne2/Gem/Smc2/Ndc1/Stil/Kif2c/Cdc20/Cdca8/Ago4/Rcc1/Cep85/Cenps/Phf13/Tacc3/Ncapg/Anapc4/Cit/Anapc5/Ran/Sun1/Brca2/Smarcad1/Mad2l1/Fancd2/Ncapd2/Chmp2a/Sirt2/Ccne1/Nup62/Lrrk1/Anapc15/Plk1/Lcmt1/Kif22/Bub3/Mki67/Fbxo5/Nup43/Fbxw7/Cenpw/Nup37/Tex15/Syce2/Cenpt/Cenpn/Cdt1/Map10/Ccnb1ip1/Ska3/Setdb2/Esco2/Cdca2/Mre11a/Ncapd3/Zw10/Kif23/Rab11a/Ciao2a/Ttk/Dync1li1/Hormad2/Spdl1/Pttg1/Aurkb/Mis12/Haspin/Spag5/Brip1/Ska2/Rad51c/Eme1/Cdc6/Top2a/Tubg1/Brca1/Kif18b/Cdc27/Birc5/Chmp6/Cenpx/Trip13/Cenph/Ccnb1/Cenpk/Gen1/Fancm/Xrcc3/Rad21/Dscc1/Mtbp/Nsmce2/Recql4/Ncaph2/Racgap1/Espl1/Nde1/Hira/Naa50/Mis18a/Ppp2r1a/Ube2i/Chtf18/Ehmt2/Sgo1/Ddx11/Ndc80/Ska1/Banf1/Cdca5/Incenp/Fen1/Smc5/Mms19/Smc3",140
"GO:0000280","nuclear division","155/3340","409/23210",1.81097380455122e-32,1.81097380455122e-32,4.0575344663024e-29,"Mybl1/Sgo2a/Cd28/Clasp1/Kif14/Aspm/Nuf2/Nsl1/Nek2/Suv39h2/Nek6/Kif18a/Bub1b/Knstrn/Rad51/Nusap1/Ncaph/Bub1/Il1b/Cdc25b/Dazl/Tpx2/Dsn1/Mybl2/Ube2c/Aurka/Flna/Kif4/Smc1a/Mnd1/Psrc1/Cdc14a/Cenpe/Ubxn2b/Ccne2/Rad54b/Smc2/Ndc1/Stil/Rad54l/Kif2c/Cdc20/Cdca8/Ago4/Rcc1/Cep85/Cdc42/Cenps/Phf13/Wrap73/Ywhah/Tacc3/Ncapg/Anapc4/Chek2/Cit/Anapc5/Ran/Sun1/Brca2/Met/Mad2l1/Fancd2/Igf2/Ncapd2/Eps8/Ube2s/Chmp2a/Sirt2/Tdrd12/Ccne1/Nup62/Lrrk1/Anapc15/Plk1/Lcmt1/Kif22/Bub3/Mki67/Psmd13/Fbxo5/Fzr1/Tex15/Ing2/Syce2/Cdt1/Fanca/Map10/Ccnb1ip1/Bora/Mre11a/Ncapd3/Chek1/Zw10/Kif23/Rab11a/Ttk/Topbp1/Dync1li1/Hormad2/Fignl1/Spdl1/Pttg1/Aurkb/Mis12/Haspin/Spag5/Brip1/Rad51c/Eme1/Cdc6/Top2a/Psmc3ip/Tubg1/Kif18b/Cdc27/Birc5/Chmp6/Cenpx/Cks2/Trip13/Ccnb1/Cenpk/Kif2a/Gen1/Fancm/Hspa2/Xrcc3/Rad21/Dscc1/Mtbp/Nsmce2/Pdgfb/Ncaph2/Racgap1/Espl1/Aaas/Nde1/Ranbp1/Hira/Naa50/Ppp2r1a/Chtf18/Kifc5b/Kifc1/Ehmt2/Sgo1/Ndc80/Spire1/Cdca5/Incenp/Smc5/Kif20b/Kif11/Smc3",155
"GO:0006261","DNA-dependent DNA replication","77/3340","135/23210",9.1420307862413e-31,9.1420307862413e-31,1.36553070375541e-27,"Mcm3/Prim2/Smarcal1/Mcm6/Nucks1/Mcm10/Rad51/Pcna/Mcm8/Gins1/Pola1/Smc1a/Ccne2/Mms22l/Orc1/Cenps/Dbf4/Orc5/Slbp/Cdc7/Pole/Chek2/Rfc5/Rfc2/Mcm7/Brca2/Rfc3/Mcm2/Aicda/Lig1/Ccne1/Pold1/E2f8/Ticrr/Blm/Pold3/Fbxo5/Fbxw7/Dna2/E2f7/Helb/Prim1/Timeless/Cdk2/Gins4/Primpol/Mcm5/Orc6/Rfwd3/Cdt1/Wdhd1/Mre11a/Tipin/Pold2/Rpa1/Atad5/Eme1/Cdc6/Cenpx/Gen1/Baz1a/Fancm/Pole2/Dscc1/Tonsl/Recql4/Mcm4/Cdc45/Rfc4/Polq/Donson/Chtf18/Ddx11/Pola2/Pcna-ps2/Fen1/Smc3",77
"GO:0098813","nuclear chromosome segregation","113/3340","258/23210",1.74230304602514e-30,1.74230304602514e-30,1.95183791234974e-27,"Sgo2a/Kif14/Nuf2/Cenpf/Nsl1/Nek2/Nek6/Kif18a/Bub1b/Knstrn/Knl1/Nusap1/Ncaph/Bub1/Ttl/Dsn1/Fam83d/Kif4/Smc1a/Ect2/Psrc1/Cenpe/Ccne2/Gem/Smc2/Ndc1/Stil/Kif2c/Cdc20/Cdca8/Ago4/Cenps/Phf13/Tacc3/Ncapg/Anapc4/Cit/Anapc5/Ran/Sun1/Brca2/Mad2l1/Fancd2/Ncapd2/Chmp2a/Sirt2/Ccne1/Nup62/Lrrk1/Anapc15/Plk1/Lcmt1/Kif22/Bub3/Fbxo5/Fbxw7/Tex15/Syce2/Cdt1/Map10/Ccnb1ip1/Esco2/Mre11a/Ncapd3/Zw10/Kif23/Rab11a/Ttk/Dync1li1/Hormad2/Spdl1/Pttg1/Aurkb/Mis12/Haspin/Spag5/Brip1/Rad51c/Eme1/Cdc6/Top2a/Tubg1/Kif18b/Cdc27/Birc5/Chmp6/Cenpx/Trip13/Ccnb1/Cenpk/Gen1/Fancm/Xrcc3/Rad21/Dscc1/Mtbp/Nsmce2/Recql4/Ncaph2/Racgap1/Espl1/Hira/Naa50/Ppp2r1a/Ehmt2/Sgo1/Ddx11/Ndc80/Cdca5/Incenp/Fen1/Smc5/Smc3",113
"GO:0006260","DNA replication","108/3340","243/23210",7.30458608611488e-30,7.30458608611488e-30,5.64317920785623e-27,"Mcm3/Prim2/Smarcal1/Mcm6/Nucks1/Dtl/Mcm10/Rad51/Cdan1/Pcna/Mcm8/Cst3/Gins1/Pola1/Smc1a/Ccna2/Ccne2/Gmnn/Mms22l/Orc1/Faf1/Nasp/Rpa2/Cdc42/Cenps/Dbf4/Dnajc2/Orc5/Slbp/Cdc7/Pole/Chek2/Rfc5/Rfc2/Lrwd1/Mcm7/Rac1/Brca2/Rfc3/Rpa3/Met/Mcm2/Aicda/Lig1/Ccne1/Pold1/E2f8/Ticrr/Blm/Pold3/Inppl1/Rrm1/Fbxo5/Fbxw7/Dna2/Cdk1/Nfic/E2f7/Helb/Prim1/Timeless/Cdk2/Gins4/Primpol/Mcm5/Orc6/Gins3/Rfwd3/Gins2/Cdt1/Wdhd1/Supt16/Esco2/Mre11a/Tipin/Pif1/Pclaf/Pold2/Rpa1/Atad5/Eme1/Cdc6/Cenpx/Polk/Gen1/Rrm2/Baz1a/Fancm/Pole2/Cinp/Dscc1/Tonsl/Recql4/Mcm4/Cdc45/Rfc4/Polq/Donson/Chaf1b/Chtf18/Ehmt2/Polh/Chaf1a/Ddx11/Pola2/Pcna-ps2/Fen1/Smc3",108
"GO:0000819","sister chromatid segregation","90/3340","180/23210",7.55605390762991e-30,7.55605390762991e-30,5.64317920785623e-27,"Sgo2a/Kif14/Nuf2/Nsl1/Nek2/Nek6/Kif18a/Bub1b/Knstrn/Nusap1/Ncaph/Bub1/Dsn1/Kif4/Smc1a/Psrc1/Cenpe/Smc2/Stil/Kif2c/Cdc20/Cdca8/Phf13/Tacc3/Ncapg/Anapc4/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Chmp2a/Nup62/Lrrk1/Anapc15/Plk1/Lcmt1/Kif22/Bub3/Fbxo5/Fbxw7/Cdt1/Map10/Esco2/Mre11a/Ncapd3/Zw10/Kif23/Rab11a/Ttk/Dync1li1/Hormad2/Spdl1/Pttg1/Aurkb/Mis12/Haspin/Spag5/Rad51c/Cdc6/Top2a/Tubg1/Kif18b/Cdc27/Birc5/Chmp6/Trip13/Ccnb1/Cenpk/Gen1/Xrcc3/Rad21/Dscc1/Mtbp/Nsmce2/Recql4/Ncaph2/Racgap1/Espl1/Hira/Naa50/Ppp2r1a/Sgo1/Ddx11/Ndc80/Cdca5/Incenp/Fen1/Smc5/Smc3",90
"GO:0048285","organelle fission","161/3340","456/23210",1.50546681539294e-29,1.50546681539294e-29,9.63725147838757e-27,"Mybl1/Sgo2a/Cd28/Clasp1/Kif14/Aspm/Nuf2/Nsl1/Nek2/Suv39h2/Nek6/Kif18a/Bub1b/Knstrn/Rad51/Nusap1/Ncaph/Bub1/Il1b/Cdc25b/Dazl/Tpx2/Dsn1/Mybl2/Ube2c/Aurka/Flna/Kif4/Smc1a/Mnd1/Psrc1/Cdc14a/Cenpe/Ubxn2b/Ccne2/Rad54b/Smc2/Ndc1/Stil/Rad54l/Kif2c/Cdc20/Cdca8/Ago4/Rcc1/Cep85/Cdc42/Cenps/Phf13/Wrap73/Ywhah/Tacc3/Ncapg/Anapc4/Chek2/Cit/Anapc5/Ran/Sun1/Brca2/Met/Mad2l1/Fancd2/Igf2/Ncapd2/Eps8/Ube2s/Chmp2a/Sirt2/Tdrd12/Ccne1/Nup62/Lrrk1/Anapc15/Plk1/Lcmt1/Kif22/Bub3/Mki67/Bnip3/Acox1/Psmd13/Fbxo5/Mtfr2/Fzr1/Tex15/Ing2/Syce2/Cdt1/Fanca/Map10/Ccnb1ip1/Bora/Mre11a/Ncapd3/Chek1/Zw10/Kif23/Rab11a/Ttk/Topbp1/Dync1li1/Hormad2/Fignl1/Spdl1/Pttg1/Aurkb/Mis12/Haspin/Spag5/Brip1/Rad51c/Eme1/Cdc6/Top2a/Psmc3ip/Tubg1/Kif18b/Cdc27/Birc5/Chmp6/Cenpx/Cks2/Trip13/Ccnb1/Cenpk/Kif2a/Gen1/Lpin1/Fancm/Hspa2/Xrcc3/Rad21/Dscc1/Mtbp/Nsmce2/Pdgfb/Ncaph2/Racgap1/Espl1/Aaas/Nde1/Dnm1l/Ranbp1/Hira/Naa50/Mx1/Ppp2r1a/Chtf18/Kifc5b/Kifc1/Ehmt2/Sgo1/Ndc80/Spire1/Cdca5/Incenp/Smc5/Kif20b/Kif11/Smc3",161
"GO:0140014","mitotic nuclear division","111/3340","257/23210",2.55973792014448e-29,2.55973792014448e-29,1.43379004290198e-26,"Cd28/Clasp1/Kif14/Nuf2/Nsl1/Nek2/Nek6/Kif18a/Bub1b/Knstrn/Nusap1/Ncaph/Bub1/Il1b/Tpx2/Dsn1/Mybl2/Ube2c/Aurka/Flna/Kif4/Smc1a/Psrc1/Cdc14a/Cenpe/Ubxn2b/Smc2/Stil/Kif2c/Cdc20/Cdca8/Rcc1/Cep85/Cdc42/Phf13/Wrap73/Ywhah/Tacc3/Ncapg/Anapc4/Chek2/Cit/Anapc5/Ran/Met/Mad2l1/Igf2/Ncapd2/Eps8/Ube2s/Chmp2a/Nup62/Anapc15/Plk1/Lcmt1/Kif22/Bub3/Mki67/Fbxo5/Cdt1/Map10/Bora/Ncapd3/Chek1/Zw10/Kif23/Rab11a/Ttk/Dync1li1/Spdl1/Pttg1/Aurkb/Mis12/Haspin/Spag5/Cdc6/Tubg1/Kif18b/Cdc27/Birc5/Chmp6/Trip13/Ccnb1/Cenpk/Kif2a/Gen1/Xrcc3/Rad21/Dscc1/Mtbp/Nsmce2/Pdgfb/Ncaph2/Racgap1/Espl1/Aaas/Nde1/Ranbp1/Hira/Naa50/Ppp2r1a/Kifc5b/Kifc1/Sgo1/Ndc80/Cdca5/Incenp/Smc5/Kif20b/Kif11/Smc3",111
"GO:0000070","mitotic sister chromatid segregation","78/3340","146/23210",1.52708027496125e-28,1.52708027496125e-28,7.603252316386e-26,"Kif14/Nuf2/Nsl1/Nek2/Nek6/Kif18a/Bub1b/Knstrn/Nusap1/Ncaph/Bub1/Dsn1/Kif4/Smc1a/Psrc1/Cenpe/Smc2/Stil/Kif2c/Cdc20/Cdca8/Phf13/Tacc3/Ncapg/Anapc4/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Chmp2a/Nup62/Anapc15/Plk1/Lcmt1/Kif22/Bub3/Fbxo5/Cdt1/Map10/Ncapd3/Zw10/Kif23/Rab11a/Ttk/Dync1li1/Spdl1/Pttg1/Aurkb/Mis12/Haspin/Spag5/Cdc6/Tubg1/Kif18b/Cdc27/Birc5/Chmp6/Trip13/Ccnb1/Cenpk/Gen1/Xrcc3/Rad21/Dscc1/Mtbp/Nsmce2/Ncaph2/Racgap1/Espl1/Hira/Naa50/Ppp2r1a/Sgo1/Ndc80/Cdca5/Incenp/Smc5",78
"GO:0044770","cell cycle phase transition","139/3340","394/23210",1.26226692110695e-25,1.26226692110695e-25,5.65628450858135e-23,"Clasp1/Dyrk3/Atp2b4/Kif14/Pbx1/Cenpf/Dtl/Nek6/Cacnb4/Bub1b/Bub1/Cdc25b/Kat14/E2f1/Rbl1/Fam83d/Ube2c/Ccna2/Iqgap3/Cks1b/Cdc14a/Larp7/Cenpe/Ccne2/Anp32b/Cdkn2a/Cdkn2b/Orc1/Cdkn2c/Stil/Nasp/Plk3/Clspn/Rcc1/Rpa2/Cdk14/Dbf4/Abcb1a/Paxip1/Slbp/Tacc3/Anapc4/Ccng2/Cdc7/Pole/Chek2/Cit/Anapc5/Ezh2/Gpnmb/Mad2l1/Foxm1/Eps8/Ube2s/Chmp2a/Calm3/Ccne1/Atf5/Ticrr/Lrrk1/Blm/Anapc15/Plk1/Lcmt1/Kdm8/Bub3/Pidd1/Fbxo5/Cdk1/Tcf3/Tjp3/Fzr1/E2f7/Timeless/Cdk2/Eif4ebp1/Babam1/E2f4/Rfwd3/Cdt1/Itgb1/Nek10/Rnaseh2b/Mre11a/Chek1/Zw10/Pml/Tipin/Rab11a/Rps27l/Ccnb2/Ttk/Ppp2r3d/Topbp1/Dync1li1/Spdl1/Mrnip/Aurkb/Haspin/Atad5/Rad51c/Cdc6/Brca1/Cdc27/Birc5/Cks2/Trip13/Ccnb1/Gen1/Klf11/Id2/Hspa2/Rad51b/Calm1/Xrcc3/Akt1/Skp2/Rad21/Taf2/Mtbp/Nsmce2/Wnt10b/Ube2l3/Cdc45/Donson/Ccnf/Cdkn1a/Aif1/Tcf19/Ier3/Ndc80/Calm2/Rbbp8/Cables1/Ercc3/Cdc25c/Lmnb1/Cdca5/Anxa1",139
