"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140097","catalytic activity, acting on DNA","64/1729","190/22710",2.16778436149079e-25,2.16778436149079e-25,1.86657642915733e-22,"Mcm6/Exo1/Endog/Rad51/Pcna/Gins1/Rtel1/Pola1/Ercc6l/Apex2/Mpg/Rad54b/Pole3/Rad54l/Poln/Helq/Pole/Alkbh2/Ung/Rfc5/Mcm7/Rfc3/Aplf/Mcm2/Rad18/Mbd4/Lig1/Xrcc1/Pold1/Ruvbl2/Pold3/Mcm9/Dna2/Gins4/Neil3/Mcm5/Gins2/Dnase1l3/Dnmt1/Pif1/Exog/Brip1/Rad51c/Nme1/Eme1/Top2a/Hmga1/Hmga1b/Gen1/Ddx1/Tdp1/Xrcc3/Top1mt/Recql4/Mcm4/Cdc45/Rfc4/Polq/Chtf18/Rbbp8/Rad9a/Fen1/Poll/Dclre1a",64
"GO:0003678","DNA helicase activity","24/1729","61/22710",4.63761380600912e-12,4.63761380600912e-12,1.12677759922207e-09,"Mcm6/Rad51/Gins1/Rtel1/Helq/Rfc5/Mcm7/Rfc3/Mcm2/Rad18/Ruvbl2/Mcm9/Dna2/Gins4/Mcm5/Gins2/Pif1/Brip1/Recql4/Mcm4/Cdc45/Rfc4/Polq/Chtf18",24
"GO:0017116","single-stranded DNA-dependent ATP-dependent DNA helicase activity","14/1729","20/22710",5.23441916509032e-12,5.23441916509032e-12,1.12677759922207e-09,"Mcm6/Rad51/Helq/Rfc5/Mcm7/Rfc3/Mcm2/Rad18/Dna2/Mcm5/Pif1/Rfc4/Polq/Chtf18",14
"GO:0043142","single-stranded DNA-dependent ATPase activity","14/1729","20/22710",5.23441916509032e-12,5.23441916509032e-12,1.12677759922207e-09,"Mcm6/Rad51/Helq/Rfc5/Mcm7/Rfc3/Mcm2/Rad18/Dna2/Mcm5/Pif1/Rfc4/Polq/Chtf18",14
"GO:0016887","ATPase activity","69/1729","379/22710",9.25522394586332e-12,9.25522394586332e-12,1.59384698688762e-09,"Myo1b/Abcb6/Mcm6/Kif14/Atp1a2/Wdr34/Kif18a/Rad51/Kif16b/Kif4/Ercc6l/Pfn2/Cenpe/Rad54b/Kif24/Rad54l/Kif2c/Abcb1b/Abcb8/Xrcc2/Helq/Rfc5/Atp2a2/Mcm7/Rfc3/Pcyox1/Mcm2/Rad18/Tnnt1/Ruvbl2/Kif7/Myo7a/Kif22/Dna2/Mcm5/Smarca5/Ddx39/Dync2h1/Smarca4/Kif23/Pif1/Kif15/Fignl1/Atad5/Rad51c/Top2a/Kif18b/Kif19a/Dnah17/Rad51b/Hsp90aa1/Xrcc3/Wdr60/Atad2/Rfc4/Polq/Atp6v1a/Cpox/Abcb1a/Chtf18/Kifc5b/Kifc1/Hspa1l/Msh5/Atp6v1g2/Kif20a/Kif20b/Ide/Kif11",69
"GO:0004003","ATP-dependent DNA helicase activity","14/1729","22/22710",3.73187895672828e-11,3.73187895672828e-11,4.01668024553123e-09,"Mcm6/Rad51/Helq/Rfc5/Mcm7/Rfc3/Mcm2/Rad18/Dna2/Mcm5/Pif1/Rfc4/Polq/Chtf18",14
"GO:0008026","ATP-dependent helicase activity","14/1729","22/22710",3.73187895672828e-11,3.73187895672828e-11,4.01668024553123e-09,"Mcm6/Rad51/Helq/Rfc5/Mcm7/Rfc3/Mcm2/Rad18/Dna2/Mcm5/Pif1/Rfc4/Polq/Chtf18",14
"GO:0070035","purine NTP-dependent helicase activity","14/1729","22/22710",3.73187895672828e-11,3.73187895672828e-11,4.01668024553123e-09,"Mcm6/Rad51/Helq/Rfc5/Mcm7/Rfc3/Mcm2/Rad18/Dna2/Mcm5/Pif1/Rfc4/Polq/Chtf18",14
"GO:0008094","DNA-dependent ATPase activity","25/1729","72/22710",4.22643706481988e-11,4.22643706481988e-11,4.04353861873996e-09,"Mcm6/Rad51/Ercc6l/Rad54b/Rad54l/Xrcc2/Helq/Rfc5/Mcm7/Rfc3/Mcm2/Rad18/Dna2/Mcm5/Smarca5/Smarca4/Pif1/Rad51c/Top2a/Rad51b/Xrcc3/Rfc4/Polq/Chtf18/Msh5",25
"GO:0003688","DNA replication origin binding","14/1729","23/22710",8.86606911795644e-11,8.86606911795644e-11,7.63415214577723e-09,"Mcm3/Mcm6/Mcm10/Mcm8/Pola1/Orc1/Mcm7/Mcm2/Mcm9/Mcm5/Orc6/Cdc6/Mcm4/Cdc45",14
