"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008168","methyltransferase activity","28/1280","199/22710",7.4390515169173e-06,7.4390515169173e-06,0.00580931793305882,"Smyd2/Prdm11/Ftsj1/Trmt2b/Prmt6/Trmo/Prdm16/Prdm5/Smyd5/Setd1a/Gamt/Mettl25/Cmtr2/Comtd1/Prmt5/Setdb2/Carm1/Prdm10/Hemk1/Pemt/Mtr/Trmt5/Trmt61a/Trmt12/Bcdin3d/Mettl22/Trmt10c/Prdm15",28
"GO:0140101","catalytic activity, acting on a tRNA","19/1280","113/22710",1.73655602847251e-05,1.73655602847251e-05,0.00580931793305882,"Dars2/Rpp38/Ptrh1/Dtd1/Ftsj1/Trmt2b/Gatb/Trmo/Gatc/Lars2/Rpp40/Trmt5/Trmt61a/Trmt12/Bcdin3d/Trmt10c/Aars2/Trpt1/Rpp30",19
"GO:0016741","transferase activity, transferring one-carbon groups","28/1280","210/22710",2.06183762256757e-05,2.06183762256757e-05,0.00580931793305882,"Smyd2/Prdm11/Ftsj1/Trmt2b/Prmt6/Trmo/Prdm16/Prdm5/Smyd5/Setd1a/Gamt/Mettl25/Cmtr2/Comtd1/Prmt5/Setdb2/Carm1/Prdm10/Hemk1/Pemt/Mtr/Trmt5/Trmt61a/Trmt12/Bcdin3d/Mettl22/Trmt10c/Prdm15",28
"GO:0140098","catalytic activity, acting on RNA","39/1280","357/22710",6.19109368707011e-05,6.19109368707011e-05,0.0130827585018876,"Prim2/Dars2/Rpp38/Ptrh1/Rpap1/Polr1b/Dtd1/Ftsj1/Trmt2b/Gatb/Trmo/Ago3/Gatc/Polr1a/Dqx1/Cd3eap/Dhx32/Pan2/Cmtr2/Rnase4/Ang/Rnase6/Ddx43/Exog/Lars2/Dhx33/Ern2/Ern1/Jmjd6/Rpp40/Trmt5/Trmt61a/Trmt12/Polr3h/Bcdin3d/Trmt10c/Aars2/Trpt1/Rpp30",39
"GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","12/1280","61/22710",0.000130025144047678,0.000130025144047678,0.0219810927726917,"Pdss1/Gstm1/Srm/Coq2/Mmab/Gstt3/Gstt1/Rabggta/Fntb/Gstz1/Trmt12/Pggt1b",12
"GO:0016879","ligase activity, forming carbon-nitrogen bonds","10/1280","46/22710",0.000197784037250018,0.000197784037250018,0.0278632599845201,"Ttll4/Glul/Gatb/Gclm/Gatc/Nadsyn1/Ghdc/Mthfd1/Ttll1/Carns1",10
"GO:0008175","tRNA methyltransferase activity","8/1280","32/22710",0.000310849941741947,0.000310849941741947,0.0375357147697419,"Ftsj1/Trmt2b/Trmo/Trmt5/Trmt61a/Trmt12/Bcdin3d/Trmt10c",8
"GO:0016874","ligase activity","19/1280","146/22710",0.00056789131632444,0.00056789131632444,0.0600022009221744,"Ttll4/Glul/Dars2/Gatb/Gclm/Gatc/Aacs/Uba3/Lipt2/Nadsyn1/Nae1/Pcca/Lars2/Ghdc/Mthfd1/Ttll1/Aars2/Carns1/Pcx",19
"GO:0035325","Toll-like receptor binding","5/1280","14/22710",0.00073615405367747,0.00073615405367747,0.062224390010843,"Tlr1/Tlr6/Saa3/Tirap/Syk",5
"GO:0046935","1-phosphatidylinositol-3-kinase regulator activity","5/1280","14/22710",0.00073615405367747,0.00073615405367747,0.062224390010843,"Pik3r3/Socs2/Pik3r2/Socs6/Socs5",5
"GO:0044389","ubiquitin-like protein ligase binding","32/1280","325/22710",0.00159750576988095,0.00159750576988095,0.0906300676116986,"Dnajb2/Ptprn/Psmd1/Ralb/Yod1/Stam/Spopl/Traf6/Aurka/Cul4b/Mid1/Ski/Chek2/Ltbr/Apbb1/Rnf40/Erbb3/Erlin2/Nae1/Fhit/Vcl/Rb1/Usp2/Fancl/Axin2/Hgs/Syk/Myc/Prkn/Atp6v0c/Cdkn1a/Hspa1l",32
"GO:0032549","ribonucleoside binding","35/1280","366/22710",0.00164279251771089,0.00164279251771089,0.0906300676116986,"Sept2/Ralb/Dnm3/Hhat/Polr1b/Rab39b/Eif2s3x/Gbp5/Rab42/Gtpbp10/Gbp6/Ift22/Rasl11a/Rtkn/Rab43/Rras/Tubb3/Rab4a/Rab2b/Pck2/Arl11/Tgtp1/Sept8/Rasd1/Drg2/Rac3/Dnajc27/Arhgap5/Spag1/Rhebl1/Srl/Opa1/Rabl3/Gtpbp8/Mx1",35
"GO:0005525","GTP binding","34/1280","354/22710",0.00176649611541049,0.00176649611541049,0.0906300676116986,"Sept2/Ralb/Dnm3/Hhat/Rab39b/Eif2s3x/Gbp5/Rab42/Gtpbp10/Gbp6/Ift22/Rasl11a/Rtkn/Rab43/Rras/Tubb3/Rab4a/Rab2b/Pck2/Arl11/Tgtp1/Sept8/Rasd1/Drg2/Rac3/Dnajc27/Arhgap5/Spag1/Rhebl1/Srl/Opa1/Rabl3/Gtpbp8/Mx1",34
"GO:0032266","phosphatidylinositol-3-phosphate binding","8/1280","41/22710",0.00179947589201161,0.00179947589201161,0.0906300676116986,"Phlda3/Dab2ip/Snx21/Lancl2/Snx19/Sap30l/Zfyve26/Sh3pxd2a",8
"GO:0016881","acid-amino acid ligase activity","5/1280","17/22710",0.00197481633742464,0.00197481633742464,0.0906300676116986,"Ttll4/Gclm/Ghdc/Ttll1/Carns1",5
"GO:0030169","low-density lipoprotein particle binding","5/1280","17/22710",0.00197481633742464,0.00197481633742464,0.0906300676116986,"Scarb1/Msr1/Cdh13/Ldlr/Trem2",5
"GO:0003678","DNA helicase activity","10/1280","61/22710",0.00203369759102632,0.00203369759102632,0.0906300676116986,"Zranb3/Rad51/Chd1l/Mcm7/Ercc2/Gins2/Dscc1/Cdc45/Ddx11/Twnk",10
"GO:0003924","GTPase activity","29/1280","291/22710",0.00215514259944877,0.00215514259944877,0.0906300676116986,"Sept2/Ralb/Dnm3/Rab39b/Eif2s3x/Gnb4/Gbp5/Rab42/Gbp6/Ift22/Rasl11a/Gng11/Gng12/Rab43/Rras/Tubb3/Rab4a/Rab2b/Tgtp1/Sept8/Rasd1/Drg2/Rac3/Dnajc27/Arhgap5/Rhebl1/Opa1/Rabl3/Mx1",29
"GO:0004674","protein serine/threonine kinase activity","41/1280","456/22710",0.00222696249299462,0.00222696249299462,0.0906300676116986,"Dyrk3/Eng/Eif2ak4/Pak6/Aurka/Cask/Cdk16/Map3k15/Prkci/Mast2/Cdk5/Cdkl2/Bmp2k/Chek2/Mapkapk5/Lmtk2/Camk1/Stk38l/Ercc2/Mark4/Pak4/Lats1/Bcr/Irak3/Tssk4/Ttk/Mapk7/Map2k4/Haspin/Map3k14/Strada/Ern2/Ern1/Map2k6/Syk/Mast4/Plk2/Adck5/Map3k12/Pkmyt1/Prkce",41
