"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005874","microtubule","83/1973","420/23436",1.59552998110949e-13,1.59552998110949e-13,9.48920462449329e-11,"Stau2/Clasp1/Aspm/Nek2/Tubb4b/Camsap1/Spaca9/Golga2/Ckap5/Knstrn/Nusap1/Ttl/Ttll9/Hdac6/Kif4/Arhgef2/Wdr47/Cenpe/Kif24/Cdk5rap2/Kif2c/Macf1/Stmn1/Haus3/Trpv4/Kntc1/Clip2/Mtus2/Ttll3/Haus5/Prc1/Map6/Plk1/Abraxas2/Tubgcp2/Tube1/Cdk1/Tpgs1/Gas2l3/Rassf3/Ckap2/Hook2/Dync1li2/Tppp3/Enkd1/Map10/Ccdc66/Haus4/Ska3/Neil2/Reep4/Cep57/Rab3d/Myo5a/Srprb/Kif15/Gas2l1/Bod1/Aurkb/Kif1c/Spag5/Bcas3/Kif18b/Cdc27/Kif19a/Birc5/Iqgap2/Kif3c/Ttll1/Ttll8/Tuba1a/Tuba1c/Dnm1l/Tiam1/Atat1/Klc4/Trip10/Rmdn2/Ska1/Klc2/Incenp/Kif11/Lzts2",83
"GO:0005819","spindle","58/1973","273/23436",3.70912128397472e-11,3.70912128397472e-11,1.10297553970827e-08,"Clasp1/Aspm/Cenpf/Nek2/Golga2/Ckap5/Katnbl1/Knstrn/Nusap1/Ciao1/Cdc25b/Fam83d/Ect2/Gpsm2/Cenpe/Gem/Cdk5rap2/Cdca8/Cep85/Mad2l2/Haus3/Kntc1/Mad1l1/Cbx3/Prc1/Wdr73/Plk1/Abraxas2/Tubgcp2/Lats1/Cdk1/Map10/Dlgap5/Ska3/Neil2/Rb1/Ttk/Camk2b/Bod1/Aurkb/Spag5/Kif18b/Cdc27/Cep95/Fbf1/Birc5/Nedd9/Hspa2/Cep128/Racgap1/Espl1/Mzt2/Atat1/Ddx11/Rmdn2/Ska1/Incenp/Kif11",58
"GO:0005764","lysosome","76/1973","431/23436",4.91738758941024e-10,4.91738758941024e-10,8.15659496089651e-08,"Ccdc115/Tmbim1/Fasl/Acp2/Slc30a4/Ap5s1/Uba1/Ids/Rragb/Slc7a14/Rnf13/Cd1d1/Pip4p2/Ggh/Ppt1/Pqlc2/Atp13a2/Mtor/Man2b2/Nsg1/Scarb2/Hps4/Pon2/Pcyox1/Bbc3/Plekhf1/Napsa/Sphk2/Vps33b/Adam8/Ifitm3/Chid1/Ctsd/Tpcn2/Slc29a3/Prf1/Vps26a/Prss57/Cd63/Mcoln1/Tmem192/Mt1/Dync1li2/Rnase6/Tm9sf1/Gzmb/Cln5/Anxa2/Rab27a/Myo5a/Slc17a5/Acpp/Hyal3/Wdr48/Gm2a/Wdr81/Nbr1/Plekhm1/Gaa/Sgsh/Prss16/4930486L24Rik/Arrdc3/Laptm4a/Slc11a2/Clec16a/Clcn7/Wdr24/H2-Aa/H2-Eb1/Ppt2/Trip10/Pik3c3/March3/Cd74/Stx3",76
"GO:0000323","lytic vacuole","76/1973","432/23436",5.48585147812508e-10,5.48585147812508e-10,8.15659496089651e-08,"Ccdc115/Tmbim1/Fasl/Acp2/Slc30a4/Ap5s1/Uba1/Ids/Rragb/Slc7a14/Rnf13/Cd1d1/Pip4p2/Ggh/Ppt1/Pqlc2/Atp13a2/Mtor/Man2b2/Nsg1/Scarb2/Hps4/Pon2/Pcyox1/Bbc3/Plekhf1/Napsa/Sphk2/Vps33b/Adam8/Ifitm3/Chid1/Ctsd/Tpcn2/Slc29a3/Prf1/Vps26a/Prss57/Cd63/Mcoln1/Tmem192/Mt1/Dync1li2/Rnase6/Tm9sf1/Gzmb/Cln5/Anxa2/Rab27a/Myo5a/Slc17a5/Acpp/Hyal3/Wdr48/Gm2a/Wdr81/Nbr1/Plekhm1/Gaa/Sgsh/Prss16/4930486L24Rik/Arrdc3/Laptm4a/Slc11a2/Clec16a/Clcn7/Wdr24/H2-Aa/H2-Eb1/Ppt2/Trip10/Pik3c3/March3/Cd74/Stx3",76
"GO:0000775","chromosome, centromeric region","42/1973","190/23436",5.25006377700037e-09,5.25006377700037e-09,6.24481270316887e-07,"Sgo2a/Hjurp/Clasp1/Cenpl/Nuf2/Cenpf/Nek2/Spc25/Nup160/Ckap5/Knstrn/Knl1/Suv39h1/Phf6/Cenpe/Kdm4c/Kif2c/Cdca8/Cenpa/Ncapg/Kntc1/Stag3/Mad1l1/Cbx3/Plk1/Mki67/Anapc16/Dync1li2/Pbrm1/Ska3/Zwilch/Ttk/Bod1/Aurkb/Spag5/Tex14/Birc5/Cenpp/Cenpo/Ndc80/Ska1/Incenp",42
"GO:0000776","kinetochore","33/1973","132/23436",9.29844829973097e-09,9.29844829973097e-09,9.02323452802979e-07,"Sgo2a/Hjurp/Clasp1/Nuf2/Cenpf/Nek2/Spc25/Nup160/Ckap5/Knstrn/Knl1/Phf6/Cenpe/Kif2c/Cenpa/Kntc1/Mad1l1/Plk1/Anapc16/Dync1li2/Pbrm1/Ska3/Zwilch/Ttk/Bod1/Aurkb/Spag5/Tex14/Birc5/Cenpo/Ndc80/Ska1/Incenp",33
"GO:0098687","chromosomal region","56/1973","299/23436",1.06202671878581e-08,1.06202671878581e-08,9.02323452802979e-07,"Sgo2a/Hjurp/Clasp1/Cenpl/Nuf2/Cenpf/Nek2/Spc25/Nup160/Ckap5/Knstrn/Knl1/Suv39h1/Phf6/Cenpe/Kdm4c/Orc1/Kif2c/Scmh1/Cdca8/Zbtb48/Cenpa/Ncapg/Kntc1/Stag3/Mad1l1/Brca2/Pot1a/Cbx3/Plk1/Mki67/Anapc16/Cdk2/Dync1li2/Terf2ip/Pbrm1/Ska3/Chek1/Pml/Zwilch/Ttk/Bod1/Aurkb/Spag5/Tex14/Birc5/Cenpp/Cenpo/Recql4/Sun2/Slx4/Thoc6/Pot1b/Ndc80/Ska1/Incenp",56
"GO:0000779","condensed chromosome, centromeric region","18/1973","51/23436",7.80840823893174e-08,7.80840823893174e-08,5.80493507236373e-06,"Sgo2a/Hjurp/Nuf2/Cenpf/Spc25/Knl1/Cenpe/Cenpa/Ncapg/Cbx3/Plk1/Ska3/Bod1/Aurkb/Birc5/Cenpo/Ndc80/Ska1",18
"GO:0000793","condensed chromosome","41/1973","209/23436",2.65220559842876e-07,2.65220559842876e-07,1.75262709135935e-05,"Sgo2a/Hjurp/Nuf2/Cenpf/Nek2/Spc25/Knl1/Ncaph/Xlr/3830403N18Rik/Xlr4a/Xlr4b/Cenpe/Smc2/Rcc1/Cenpa/Ncapg/Stag3/Brca2/Cbx3/Fancd2/Plk1/Mki67/Cdk2/Hmgb2/Ska3/Chek1/Bod1/Aurkb/Lig3/Top2a/P3h4/Birc5/Cenpo/Hspa2/Sun2/Ndc80/Ska1/Cdca5/Incenp/Nol6",41
"GO:0000777","condensed chromosome kinetochore","14/1973","35/23436",3.64769381206035e-07,3.64769381206035e-07,2.16941789875168e-05,"Hjurp/Nuf2/Cenpf/Spc25/Knl1/Cenpe/Cenpa/Plk1/Ska3/Bod1/Birc5/Cenpo/Ndc80/Ska1",14
"GO:0000922","spindle pole","29/1973","129/23436",8.12533892083815e-07,8.12533892083815e-07,4.39312582801297e-05,"Aspm/Cenpf/Nek2/Golga2/Ckap5/Katnbl1/Cdc25b/Fam83d/Gpsm2/Cdk5rap2/Cep85/Kntc1/Mad1l1/Wdr73/Plk1/Abraxas2/Tubgcp2/Lats1/Map10/Dlgap5/Bod1/Aurkb/Spag5/Cep95/Fbf1/Nedd9/Cep128/Ddx11/Kif11",29
"GO:1990752","microtubule end","12/1973","31/23436",3.78945117332727e-06,3.78945117332727e-06,0.000184392772569973,"Aspm/Camsap1/Ckap5/Knstrn/Cdk5rap2/Kif2c/Clip2/Abraxas2/Myo5a/Spag5/Kif18b/Kif3c",12
