ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
Exp391_CD8---DP_dn,Exp391_CD8---DP_dn,72,-0.7756982313725554,-1.6176168022428223,0.004763649688530597,0.2905826310003664,0.2905826310003664,354,"tags=15%, list=3%, signal=15%",Ppp2r3a/Tox/Inpp4b/BC048403/Kdm5b/Nckap5l/Klhl35/Bend6/Acsbg2/Trim62/Acpp
Exp391_CD8---EXH_dn,Exp391_CD8---EXH_dn,1329,0.5502865367903182,1.133743712519832,0.027330063069376315,0.711974436596031,0.711974436596031,881,"tags=13%, list=7%, signal=13%",Akap1/Hook2/Pou2af1/Rbm41/Neurl2/Rundc3b/Lins1/Il1rl2/Rasl11b/Tnfrsf22/Fbxo36/Pemt/Spata1/Mipol1/Zfp583/Rxra/Bbof1/Fndc10/Car7/Olfr56/2810408A11Rik/Agrp/Ttc30a1/Zfp763/2210408I21Rik/Slc26a6/AI182371/Efcab7/5031439G07Rik/Prdm9/Tmem67/Prickle1/Sfmbt2/Tdrkh/Zswim3/Ocrl/Cep131/Tmem86b/Gstt3/Boll/Aqp9/Pard6b/Zfp112/Ift172/Fbxw9/Gtf2ird1/Adam4/Acvr1b/Prox2/Enc1/Gm10643/Pex26/Nos3/Kcnmb4/Rnf24/Pomt2/P3h1/Ankrd13d/Ltk/Sall2/Armcx4/Plekhm3/Bnip3/Gm42372/Camk2b/Emilin2/Zmym6/Ehhadh/Snx29/Zfp324/Tubb6/Gm5113/Zfp607b/Aldoc/Gm5431/Lrrc51/Lmln/Mthfr/Slc44a1/Gm3636/Itsn1/Hic2/Arl10/Bbs2/Myo10/Car9/Caskin2/Csf2rb/Rab11fip3/Nrg4/Aasdh/Dsel/Egf/Espn/Fam114a1/Gm3468/Mapkbp1/Acer2/Zfp202/Gm29666/Tctex1d4/Spry1/Purg/Trim45/Tmem108/Frmd6/Bmf/Zfp11/Amigo3/Treml2/Clcn6/Zfp119b/Pter/Casc1/Zfp473/Mef2b/Zfp459/Cask/Ankmy1/Lrrc56/Fhl4/Cdk20/Atrnl1/4930432K21Rik/Cdnf/Ap1m2/Tdrd7/Tgfbr3/Aqp11/Pfkfb2/Camk1/Xylb/Spon1/Arhgdig/Gm9958/Paqr8/Tead3/Morn1/Cryzl2/Fam229b/Tmem231/Itgb4/Cdh23/Hist1h3f/Fam83h/Slc25a47/Socs5/Ggnbp1/Gpr34/Zfp975/Fgd6/Pygl/2410004P03Rik/Abcc10/Prrg4/Zfp85/Serpinc1/Zik1/Star/Jrk/Sfxn4/Rnase4/Pilra/Atp9a/Nat14/Slx1b/Ndrg2/Zfp182/Zbtb34/Il2ra/Tpcn1
Exp391_CD8---GSE132110_Tim3pos_vs_Tim3neg---Tim3pos,Exp391_CD8---GSE132110_Tim3pos_vs_Tim3neg---Tim3pos,898,0.5630233596996094,1.154005835019735,0.03501513622603431,0.711974436596031,0.711974436596031,880,"tags=8%, list=7%, signal=8%",Wdr62/Pi4k2b/Cdkn2a/Hist1h2ai/Tmem171/Rasl11b/Enho/A930004D18Rik/Parpbp/Gdf11/Tst/Olfr56/Iqgap3/Rasgef1c/Tesk2/Epcam/Gas2l3/Sncb/Tcrg-C1/Uevld/Nphp4/Map6/H1fx/Slc9a5/Pik3r6/Pou5f1/Kctd12/Kif19a/Atp8a2/Stom/Emilin2/Exoc3l/Nxnl2/Ccl9/Kctd11/Mrvi1/Itsn1/Muc20/Olfm1/Ccdc112/Ccdc146/Fam114a1/Atg9b/Frmd5/Osr2/Bfsp1/Arhgef39/Ccr1/Rcor2/Card10/Arap3/Lilrb4a/Tmod1/Slco2a1/Akr1b8/Tead3/Sh3yl1/Etv5/Itgb4/Sox12/Gcnt1/Pdzk1/Slc11a1/Tmprss13/Pygl/Optn/Slc35d3/Nrxn2/Ccr3/Tmcc3/Lrrc75a/Ifitm1/Gng3/Il2ra
Exp391_CD8---GSE68056_WT_vs_Blimp1KO---WT,Exp391_CD8---GSE68056_WT_vs_Blimp1KO---WT,61,0.7826990727260236,1.3462411897310362,0.051920641620937104,0.7917897847192908,0.7917897847192908,1137,"tags=16%, list=9%, signal=15%",Ctse/Aqp9/4930486L24Rik/Ccl9/Gm4724/Il2ra/Kdelc2/Metrnl/Espl1/Tubb3
Exp391_CD8---DP_up,Exp391_CD8---DP_up,213,-0.48082715820008604,-1.1101907421199544,0.12197092084006463,1,1,377,"tags=9%, list=3%, signal=9%",Eaf2/Prkce/Aif1/Sdc3/Lyz2/Bank1/Cyp4f18/Ly86/H2-Eb1/Adgre1/Fcrl1/Mgl2/Retnlg/Lmo2/Cd93/Kif18b/Tnfaip2/Zfp563/Cd74/Trav21-dv12
Exp391_CD8---GSE68056_WT_vs_Il2raKO---Il2raKO,Exp391_CD8---GSE68056_WT_vs_Il2raKO---Il2raKO,121,0.6230092118660742,1.16778996755432,0.16892143477721236,1,1,855,"tags=8%, list=7%, signal=8%",Epcam/Tdrp/Ank3/Ddr1/1110032F04Rik/Rflnb/Slc9b2/Fam83h/Afap1/Prg4
Exp391_CD8---GSE68056_WT_vs_Blimp1KO---Blimp1KO,Exp391_CD8---GSE68056_WT_vs_Blimp1KO---Blimp1KO,27,-0.6850395215534544,-1.232606731441682,0.23445491251682368,1,1,1007,"tags=22%, list=8%, signal=21%",Mapk11/Rgs10/Nsg2/Id3/Ccr7/Fscn1
Exp391_CD8---d5_KLRG1hi_Runx3_promoted,Exp391_CD8---d5_KLRG1hi_Runx3_promoted,329,0.5437040149555905,1.0899305356407798,0.2393357212634321,1,1,1192,"tags=12%, list=9%, signal=11%",Akap1/Bbof1/Rragb/Ftx/Epcam/Man1c1/Sfmbt2/Pard6b/Dmwd/Gtf2ird1/Armcx4/Atp8a2/Eya2/1110032F04Rik/Crb3/Celf4/Maats1/Gcnt1/Mmp10/Prg4/Ifitm1/Il2ra/Ppfibp1/Nanos1/Sirt1/Gm4208/Ptprk/Kbtbd8/Rsph10b/Cdc14b/Nefh/St14/Tubb3/Arxes2/Tmem38b/Slc15a2/Dip2a/Mt2/Hook1/Ptpn3
Exp391_CD8---best_cluster_10,Exp391_CD8---best_cluster_10,77,0.6355984797048976,1.1321642293755463,0.24906316916488222,1,1,341,"tags=4%, list=3%, signal=4%",Gdf11/Aqp9/Ccl9
Exp391_CD8---klf2_promoted,Exp391_CD8---klf2_promoted,340,0.5403488793875354,1.0835250811318913,0.25459260860168575,1,1,881,"tags=7%, list=7%, signal=7%",Pou2af1/Cdkn2a/Nfe2/F2rl1/Gpr155/Enho/2810408A11Rik/Fam19a3/Acvr1b/Pik3r6/Stom/Ddr1/Gnb5/Tlr2/Upp1/Evpl/Rsad2/Card10/Tdrd7/Klf9/Trim16/Pygl/Tmcc3/Ndrg1/Tpcn1
