ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,379,0.545987676562069,1.3576732286957274,0.0011792452830188679,0.01104137610413761,0.008563948224815876,719,"tags=20%, list=6%, signal=19%",Cd74/H2-Ab1/H2-Eb1/Spi1/Alox5ap/Cybb/Rnase6/H2-DMb1/Hck/Pik3r2/Sh3bp2/Tnfaip2/Apoe/Nnt/Nfix/Dok3/Rxra/Arrb1/Tifa/Plbd1/Tifab/Dgkq/Tmem63b/Gria3/Elmo3/Tnks1bp1/A530032D15Rik/Lmo2/Sirpa/Nfam1/Mpeg1/Gda/Evi5l/Arhgap29/Hist2h2aa2/Bmf/Csf3r/Sdc3/Cnr2/Tmem51/Pira2/March1/Cyp4f16/Adgre1/Aldh3b1/Ksr2/Rgmb/Inpp5a/Jag2/Ddr1/Sipa1l2/Dbndd2/Zfp358/Zhx2/Pfkfb4/Trio/Pdlim4/Gm614/Col11a2/E130208F15Rik/Nrg2/F5/Slamf8/Sort1/Rassf4/Ceacam1/Ppfibp2/Tns3/Syk/Csf2rb/Ifngr2/H2-DMb2/Emilin2/Myof/H2-Aa
2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,310,-0.6450083837857508,-1.369234353775071,0.0013433337064815852,0.01104137610413761,0.008563948224815876,1133,"tags=25%, list=9%, signal=24%",Rgs16/Cdc20/Plk4/Aurka/3110082I17Rik/Filip1/Aspm/Slc25a23/Lrr1/Chtf18/Ttk/Plod2/Hist1h2bm/Mmp10/Lrrc40/Neil3/Cdc25c/Cenpn/Igf2bp2/Rad51/Gm27029/Ankrd55/1700047I17Rik2/Sgo2a/1110032F04Rik/Cenps/Ect2/Tnni3/Bub1b/Arhgap19/Kif11/Hist1h2bk/Cntln/Dmwd/Plk1/Sestd1/Dyrk3/Dclk1/Esco2/Polq/Car13/Sapcd2/Cdc45/Mlf1/Cep89/Cacna1s/Cenpe/Slc9b2/Tpx2/Ticrr/Mnd1/Epb41l5/Ccnb1ip1/Irak1bp1/Ahr/Pole/Dclk2/Olfr1369-ps1/Ndc1/Ska1/Eme1/Ncapg2/Loxl2/Fancb/Nuf2/Hirip3/Dennd5b/Klf8/Ckap2l/Tube1/Tnfrsf4/Chst2/Bard1/Dna2/Ldlr/Timeless/Prr11/Cep55
2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1hi_dn,246,-0.6632208981831653,-1.3923758241480544,0.0017433751743375174,0.01104137610413761,0.008563948224815876,1111,"tags=26%, list=9%, signal=24%",Rgs16/Cdc20/Plk4/Mcm4/Aspm/Lrr1/Chtf18/Cdca2/Ttk/Hist1h2bm/Neil3/Cenpn/Hist1h2bb/Rad51/Gm27029/1700047I17Rik2/Sgo2a/Nusap1/1110032F04Rik/Cenps/Ect2/Tnni3/Bub1b/Arhgap19/Kif11/Cntln/Dmwd/Plk1/Dyrk3/Dclk1/Anln/Adnp/Esco2/Polq/Sapcd2/Erf/Cdc45/Mlf1/Cacna1s/Cenpe/Tpx2/Ticrr/Mnd1/Epb41l5/Ccnb1ip1/Pole/Ndc1/Ccnf/Ska1/Eme1/Ncapg2/Fancb/Nuf2/Klf8/Ckap2l/Tube1/Chst2/Hist1h2ap/Bard1/Dna2/Ldlr/Timeless/Prr11/Cep55
2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_dn,339,0.47190190904357177,1.1617061822544652,0.02247191011235955,0.10674157303370786,0.08279124778237729,754,"tags=17%, list=6%, signal=17%",Cd74/H2-Ab1/H2-Eb1/Spi1/H2-DMb1/Hck/Tnfaip2/Lrrc25/Apoe/Nnt/Nfix/Dok3/Rxra/Arrb1/Plbd1/Tifab/Dgkq/Zfyve1/Tmem63b/Gria3/Elmo3/Cuedc1/Lmo2/Sirpa/Nfam1/Evi5l/Tgm2/Arhgap29/Hist2h2aa2/Bmf/Csf3r/Cnr2/Cd300lf/App/Cyp4f16/Aldh3b1/Ksr2/Inpp5a/Jag2/Sipa1l2/Zhx2/Pfkfb4/Trio/Gm614/F5/Sort1/Ptov1/Ppfibp2/Syk/Csf2rb/Ifngr2/H2-DMb2/Emilin2/Myof/H2-Aa/St8sia1/Dzip1/Zfp516/Vwa5a
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_up,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_up,236,0.4949970197101994,1.1941194859581523,0.03214024835646457,0.12213294375456536,0.09472915305063241,813,"tags=17%, list=6%, signal=16%",Fcgr2b/Hck/Tnfaip2/Lrrc25/Rasl11a/Zfyve1/Tmem63b/Sirpa/Ccl9/Mpeg1/Olfr1160/Espn/Hist2h2aa2/Bmf/Ksr2/Bik/Inpp5a/Notch4/Jag2/Sipa1l2/Dbndd2/Zhx2/Trio/Col11a2/P2ry13/Rassf4/Saa3/Ppfibp2/Zfhx3/Tns3/Krt80/Emilin2/Mocos/AC168977.1/E030030I06Rik/Camk2n1/Lrp1/Lilr4b/Ifitm10
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,139,-0.622530564892802,-1.2567904382726098,0.05886754801696183,0.18641390205371247,0.14458696004166066,1110,"tags=22%, list=9%, signal=21%",Pus7/Batf3/Mmp10/Rad51/Ankrd55/1700047I17Rik2/1110032F04Rik/Ect2/Dleu7/Hist1h2bk/Cntln/Dmwd/Plk1/Pcna-ps2/Sestd1/Adnp/Car13/Cdc45/Cep89/Cacna1s/Il2ra/Ccnb1ip1/Ndc1/Ncapg2/Tcrg-C2/Fancb/Nuf2/Klf8/Tnfrsf4/Dna2/Cep55
2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_up,246,0.45692726536312034,1.104250938361535,0.10890360559234731,0.29559550089351416,0.22927074861546806,923,"tags=14%, list=7%, signal=13%",Cd74/Alox5ap/Nmnat2/Fcgr2b/Ccl6/Rxra/Rasl11a/Tmem63b/F2rl2/Ccl9/Metrnl/Hist2h2aa2/Bmf/Cyp4f16/Bik/Inpp5a/Notch4/Dbndd2/Zhx2/Tmem37/Saa3/Zfhx3/Mocos/G0s2/E030030I06Rik/Cacna2d4/Camk2n1/Ifitm10/Matk/Calcoco1/Timp2/Cx3cr1/Klre1/Rara/Wfikkn2
2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_dn,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1lo_dn,254,-0.5367105275108159,-1.1250969982334225,0.15995860165593376,0.37990167893284266,0.29466058199777273,1127,"tags=17%, list=9%, signal=16%",Grwd1/Casc4/3110082I17Rik/Batf3/Mfsd2a/Tbc1d19/Plod2/Blm/Mmp10/Hist1h3h/Rad51/1700047I17Rik2/1110032F04Rik/Ect2/Tnni3/Hist1h2bk/Cntln/Sestd1/Aicda/Dclk1/Car13/Cdc45/Cep89/Il2ra/Igfbp4/Slc9b2/Ticrr/Mnd1/Ccnb1ip1/Irak1bp1/Ahr/Olfr1369-ps1/Ndc1/Ncapg2/Akap1/Dennd5b/Klf8/Tnfrsf4/Ccdc122/Gm3448/Nefh/Dna2/Timeless
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,106,-0.5823019974409949,-1.1493855513128994,0.1828646173969915,0.38604752561587097,0.2994274436909803,1055,"tags=25%, list=8%, signal=23%",Nr4a3/Plk4/Ttk/Rad51/1700047I17Rik2/1110032F04Rik/Ect2/Dleu7/Cntln/Plk1/Adnp/Sapcd2/Cdc45/Cacna1s/Il2ra/Cnn3/Ticrr/Ndc1/Eme1/Ncapg2/Tcrg-C2/Nuf2/Klf8/Dna2/Prr11/Cep55
2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,2018_IMMUNITY_Wang---D8TE_vs_D5KLRG1hi_dn,154,-0.538660127979729,-1.0971153578780153,0.2487985212569316,0.4319098046023571,0.334999294428421,1055,"tags=19%, list=8%, signal=17%",Mcm4/Ttk/Plod2/Blm/Hist1h3h/Hist1h2bb/Rad51/1700047I17Rik2/Sgo2a/1110032F04Rik/Ect2/Tnni3/Cntln/Plk1/Sestd1/Dclk1/Adnp/Cep89/Ticrr/Mnd1/Ccnb1ip1/Ahr/Ndc1/Ncapg2/Klf8/Tnfrsf4/Ccdc122/Bard1/Timeless
