X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_pca31,X_pca32,X_pca33,X_pca34,X_pca35,X_pca36,X_pca37,X_pca38,X_pca39,X_pca40,X_pca41,X_pca42,X_pca43,X_pca44,X_pca45,X_pca46,X_pca47,X_pca48,X_pca49,X_pca50,X_draw_graph_fa1,X_draw_graph_fa2,X_diffmap1,X_diffmap2,X_diffmap3,X_diffmap4,X_diffmap5,X_diffmap6,X_diffmap7,X_diffmap8,X_diffmap9,X_diffmap10,X_diffmap11,X_diffmap12,X_diffmap13,X_diffmap14,X_diffmap15
0.5689572,-5.690631,17.25886,-9.997127,-2.2028913,-2.578152,-2.2204483,-5.0597625,-0.68372655,0.9440887,-3.676391,8.784195,-4.775649,2.1620014,3.6700008,5.38063,6.318022,-7.4740496,-3.3838253,-14.828213,-17.203398,-23.489477,0.8703539,26.144445,15.880328,16.036484,-4.4545937,10.739258,22.480528,24.203676,-7.4969587,-0.10848873,-7.9346685,-2.7466836,-5.098695,8.127891,-12.128832,-6.6645794,-4.9551196,4.402953,-2.7650151,-1.3436707,10.109513,6.0865493,-6.5116906,7.2805305,6.0939507,-3.1914768,9.89851,-14.6927595,-554.6823263337089,233.75160456540144,0.028247228,0.01811371,-0.00092266686,-0.006739983,-0.0063618403,0.013063627,0.08399166,-0.02873427,-0.02732789,0.033240985,-0.0061050844,0.0081011085,0.007999112,0.0018477386,-0.007949264
-9.054185,0.54813313,-0.56915474,-0.00019154877,-1.8906983,0.6383766,-0.09045167,0.87265384,-1.6115583,-0.5510583,0.26952142,-1.2252734,-0.266223,0.75325185,-0.7733959,-0.8120723,-1.8857343,-1.27145,-0.34360233,1.6287686,-0.31939623,-1.0923418,0.4487868,1.1019536,-0.47323367,-0.40913698,0.7250325,-1.0299797,-2.970411,-1.1500145,-0.70739865,-0.8372718,-4.1318426,-0.81942743,-1.0043131,-1.5024592,-3.3641808,0.3922043,0.2833212,-0.33363515,2.5086987,1.1690595,0.106642336,-0.84369725,-3.509244,1.1962953,0.057792835,-1.5785114,0.5252581,-0.4751472,-554.5985570489677,-1715.836357876589,0.028431736,0.02381887,0.00059860206,0.0018881421,0.005511663,-0.0066255615,-0.015692057,0.0146598,0.027522177,0.007593196,0.003909755,0.009126128,-0.00039153468,-0.0022719633,-0.018289922
-19.89283,0.5245085,5.398034,-2.569583,-3.5051794,1.8932806,-0.38108775,1.0277784,0.0475707,1.5788304,1.4872005,0.18119149,0.35778114,1.6300185,0.7798639,-1.9597754,-0.8519472,0.43082842,-0.10699772,1.8304973,0.11902773,-0.14213307,2.0933309,0.7999907,-0.053456333,0.2967793,-0.082422204,-0.5627683,0.4859194,0.005856667,1.278713,1.2131809,1.1687379,0.05888702,1.1405964,-1.268947,0.4242183,0.22626297,-0.8123941,1.3363732,0.9159305,1.2448926,0.09499564,-0.13541591,-0.38484907,0.56648606,1.4217843,0.9638197,0.7138703,-0.09099016,509.7696747454867,-431.4077855706359,0.0308937,0.008857855,0.00040857014,0.029921511,0.09132651,-0.05292779,-0.034460675,-0.046431568,0.06787875,0.13018706,0.052387483,0.091556884,0.00583355,-0.010688179,0.008136424
1.2697392,-7.877749,2.5483096,2.5489316,-3.3446865,-0.23839787,0.90491086,0.89068496,1.4340496,-0.5807705,0.97900176,-0.9883545,3.0919437,-1.6054237,0.097459644,1.6058109,-1.1263169,-0.29300988,0.576901,0.97840357,0.69010085,-0.6927764,0.96672064,-0.2389432,-1.3470341,-0.43230888,-0.0066748927,0.2161631,-0.8296507,-0.5537317,-2.0006957,0.18014067,-0.5051949,-0.03766546,0.9032551,0.7357729,-0.26688617,-0.009634056,0.75869304,-0.09381891,0.23585723,0.90163034,-0.46711442,0.37788573,-0.82888603,-1.6764497,-1.3251531,-0.63257825,0.27953896,0.35350186,1542.171934628766,285.89087413374494,0.029512158,-0.013560504,-0.051279992,-0.016154204,0.0607627,-0.012033855,0.020566387,-0.06841231,0.0332289,-0.083559826,0.03612909,-0.057545915,-0.018592892,-0.020981051,0.008271664
-5.6577067,-0.753195,-2.411727,1.1229373,-1.8031294,-2.3201096,1.3880625,0.6073878,1.3963948,-0.07099431,2.3900373,-1.1076432,-0.47609988,2.423936,0.32845607,1.6093605,-0.63257265,-1.8782607,2.7706823,0.2520152,-1.5425584,2.981603,-0.889161,-0.06542784,-0.15960173,-1.5659568,0.0986549,-1.7571764,-1.3670326,1.6219634,-2.6629727,-0.140767,0.7719427,1.1353089,-0.51472735,0.035461638,-0.25737128,1.6568764,1.1921477,-1.5957547,0.72173643,0.07465925,0.4508918,-0.18273358,-4.4777355,-0.7634062,0.18448237,-1.7803177,-2.059598,-0.41988087,-1124.0489674657451,-1478.0586154610105,0.027465306,0.025374701,0.00030691718,-0.0035581444,-0.007658711,7.9580124e-05,-0.018503942,0.004753574,-0.0020896464,-0.006885947,-0.0010777301,-0.0018946902,0.00027357755,0.00086995575,0.030669216
-5.736798,-1.8171511,-1.1019454,0.5135497,0.24614665,-0.16194597,0.27946994,1.6792152,0.01304174,-3.3918104,-0.4550207,0.40568814,-0.602939,0.8470429,-2.1698472,0.84095985,-1.9535924,1.139883,-0.62007594,-1.4916375,-1.0513725,2.5276608,-1.0998394,0.9615143,1.4329172,-2.6470652,-2.3895822,0.68557477,-0.8424018,0.026368812,0.5117622,-2.4836328,1.3353379,2.3161209,1.7271963,-0.24366164,0.25188142,3.5834627,0.26420286,-1.167257,0.68012667,1.9347409,-2.4217932,0.45005432,-0.73138684,3.620744,-2.0473611,-0.8038137,0.49170184,-1.7381651,-240.7452621430917,-1477.6643059725493,0.030186927,0.027182361,0.0006673332,-0.0046845013,-0.007729694,0.0063276053,0.016456315,0.038396165,0.04299682,-0.009456528,-0.0025697104,-0.0030304324,4.207762e-05,8.176137e-05,0.0094634425
8.05959,-4.678814,-2.426411,4.4936767,6.0286255,1.9694272,-4.277558,0.71268797,-1.8081686,-1.3677955,-1.5153054,0.65156823,0.051194426,-2.8408017,-1.2368115,0.06901357,-0.12120061,-2.4461596,-1.5484391,-0.8469915,1.1243799,-0.11448136,-0.18674344,-0.56095934,-1.2180756,1.0072384,-0.6082712,-0.59321266,0.6432497,-0.34550568,2.2730727,-1.4002982,-0.018021932,0.14758064,-0.006685441,-0.71686196,0.44898495,-0.73673016,0.60538286,-0.17367095,-0.07173438,0.7206662,-1.030199,0.40321773,-1.3881348,0.8902822,-0.27499643,-0.07117814,-0.08904863,-1.3242244,2787.1801401495186,1583.0182347626271,0.029549068,-0.039501555,-0.044160973,0.05271911,-0.05392832,0.012370999,-0.003524085,-0.0035021384,0.008600527,0.012391676,0.08242856,-0.039136216,-4.0152827e-05,0.0026218335,0.0022862437
-3.5851731,-0.28128594,-1.6626344,1.2980905,-0.175405,-0.16718999,0.51646614,0.98389983,0.4180311,-2.3067,-0.14285712,-0.33873773,-4.6154375,1.9196213,0.66634136,-0.9229703,-1.7351593,-3.046481,0.28209513,0.8845844,-0.47823402,-1.5314404,-1.6801666,-0.04841748,0.8269107,-0.14200187,0.08185476,0.2105062,2.723049,4.227221,-1.0428938,1.2617676,-2.144897,-0.32289344,-1.6342114,0.027113825,-1.3164576,-0.41339928,0.59492266,0.33436957,0.43562555,-1.1508944,-1.2995528,-0.20181064,-1.461879,1.3000414,0.2617699,-1.1316506,0.99701464,-3.2648244,-311.243479573345,-1708.6483452719078,0.02872303,0.026690766,0.0006951011,-0.0048966054,-0.009217161,0.005522798,0.009274649,0.040087156,0.043898433,-0.012939651,-0.0035640122,-0.0035942786,-0.0015501461,-0.001109036,0.008450615
-5.4089513,-1.4640634,-1.4809357,2.5411906,-0.98849756,0.12298157,0.9531424,-0.16613266,-0.7613142,-0.71973515,1.0998372,0.03352255,-2.0720289,0.8234648,2.6375217,-0.22873813,-0.55494595,0.144743,-2.3861454,0.764067,0.43927372,0.37702155,2.9113188,-0.07123435,-0.1149534,1.5082428,-1.2785044,0.63037086,0.2541333,-2.23745,-3.207697,-2.1002338,-0.4421061,-1.2608085,0.68681574,-3.2088099,-0.13846321,2.1614277,-0.58351415,0.95358056,0.20809425,-1.981832,-0.9792096,1.0666918,0.0056877467,1.1734123,1.560459,-0.0206599,-0.49608907,1.0201818,-830.9964467053431,-1550.3958922332406,0.030358456,0.02678844,0.0001343457,-0.00358555,-0.0064048064,-3.6427962e-05,-0.015238738,0.014010783,0.012964583,-0.010487497,-0.0009235791,-0.0029726468,-0.0032310328,0.0012211031,0.0018045336
-9.950079,1.4825358,-0.27428848,2.0270288,-0.43754286,-0.95310634,-1.6933372,-1.0700837,-1.667565,3.5261493,-0.6810183,0.39199883,2.4780726,-2.1901433,-1.4096353,0.09489502,0.50663304,-0.5624542,-0.4709233,1.2534359,-0.64646566,1.4326475,-0.22602628,0.31658003,1.3258631,1.8696285,1.1283548,-1.0818691,1.5359548,0.027437314,2.4252295,-0.4365039,0.99870217,-1.2562152,-0.29870722,-1.7483929,-0.75075,-0.92447084,-3.749601,0.63275427,-0.83727616,0.24579723,-2.2893214,-1.5795586,-0.2307458,-2.0112462,2.8658612,-1.5111946,-2.5986845,-0.12148145,-1696.31456664154,-1710.764282408382,0.028617091,0.026831727,0.00031546823,-0.0029364724,-0.005829257,-0.003380554,-0.03752468,-0.009566955,-0.02004524,-0.0020972895,0.0032229053,0.008054162,0.0063492116,-0.0026870677,-0.08042935
