"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140097","catalytic activity, acting on DNA","80/2575","190/22710",2.00545553173776e-27,2.00545553173776e-27,1.80913199020974e-24,"Zranb3/Mcm6/Exo1/Dna2/Pold2/Rad50/Brip1/Rad51c/Nme1/Eme1/Top2a/Hmga1/Hmga1b/Dnmt3a/Gen1/Ddx1/Tdp1/Xrcc3/Tert/Polk/Rad1/Dscc1/Tatdn1/Top1mt/Recql4/Dmc1/Xrcc6/Smug1/Cdc45/Rfc4/Polq/Nthl1/Chtf18/Polh/Ddx11/Rad9a/Mus81/Fen1/Twnk/Poll/Dclre1a/Rad51/Mgme1/Gins1/Dnmt3b/Rtel1/Rad54b/Rad54l/Helq/Pole/Alkbh2/Ung/Rfc5/Rfc2/Rfc3/Aplf/Mcm2/Ogg1/Recql/Lig1/Xrcc1/Pold1/Ruvbl2/Blm/Pold3/Lig4/Neil3/Mcm5/Chtf8/Gins2/Pgbd5/Mre11a/Dnmt1/Pif1/Exog/Dkc1/Pola1/Ercc6l/Apex2/Mpg",80
"GO:0140101","catalytic activity, acting on a tRNA","43/2575","113/22710",1.54436847174234e-13,1.54436847174234e-13,6.96591463306939e-11,"Dars/Trmt1l/Tsen15/Dars2/Trmt11/Mettl1/Ptrh2/Aarsd1/Mrpl58/Tsen54/Dus1l/Dus4l/Trmt5/Trmt61a/Rpp40/Iars/Nsun2/Rpp14/Tars/Pop1/Bcdin3d/Qtrt2/Vars/Lars/Rpp38/Ptrh1/Trmt6/Sars/Rars2/Trmt10b/Pars2/Yars/Pus1/Pop5/Gatc/Gars/Thumpd3/Tsen2/Cars/Dus2/Aars/Kars/Tarbp1",43
"GO:0003678","DNA helicase activity","30/2575","61/22710",2.47150537712385e-13,2.47150537712385e-13,7.43186002875488e-11,"Zranb3/Mcm6/Dna2/Rad50/Brip1/Dscc1/Recql4/Xrcc6/Cdc45/Rfc4/Polq/Chtf18/Ddx11/Twnk/Rad51/Gins1/Rtel1/Helq/Rfc5/Rfc2/Rfc3/Mcm2/Recql/Ruvbl2/Blm/Mcm5/Chtf8/Gins2/Mre11a/Pif1",30
"GO:0008094","DNA-dependent ATPase activity","32/2575","72/22710",1.34942342481647e-12,1.34942342481647e-12,3.04330493438873e-10,"Zranb3/Mcm6/Dna2/Rad51c/Top2a/Rad51b/Xrcc3/Gtf2h2/Dscc1/Dmc1/Rfc4/Polq/Chtf18/Gtf2h4/Ddx11/Msh6/Rad51/Msh4/Rad54b/Rad54l/Rfc1/Helq/Rfc5/Gtf2h3/Rfc2/Rfc3/Mcm2/Blm/Mcm5/Chtf8/Pif1/Ercc6l",32
"GO:0004519","endonuclease activity","41/2575","119/22710",2.36237135473382e-11,2.36237135473382e-11,4.26221526527764e-09,"Lactb2/Mrpl44/Zranb3/Tsen15/Exo1/Zc3h12d/Dna2/Ybey/Rad50/Slfn9/Rad51c/Eme1/Tsen54/Gen1/Xrcc3/Rpp40/Rpp14/Rnaseh2b/Dis3/Drosha/Rida/Pop1/Tatdn1/Dgcr8/Mus81/Fen1/Rpp38/Pop5/Aplf/Tsen2/Xrcc1/Ankle1/Rnaseh2a/Pgbd5/Tsnax/Endod1/Mre11a/Zc3h12c/Edc3/Exog/Apex2",41
"GO:0004518","nuclease activity","55/2575","193/22710",5.47520889372386e-11,5.47520889372386e-11,6.35027865795744e-09,"Lactb2/Mrpl44/Zranb3/Tsen15/Exo1/Zc3h12d/Dna2/Ybey/Rad50/Slfn9/Rad51c/Nme1/Eme1/Tsen54/Gen1/Ddx1/Fancm/Xrcc3/Rpp40/Rpp14/Rnaseh2b/Dis3/Rad1/Drosha/Rida/Pop1/Tatdn1/Dgcr8/Pnldc1/Rad9a/Mus81/Fen1/Dclre1a/Rpp38/Exd1/Mgme1/Pole/Pop5/Rad9b/Aplf/Tsen2/Xrcc1/Pold1/Aen/Ankle1/Rnaseh2a/Pgbd5/Tsnax/Endod1/Mre11a/Rexo2/Zc3h12c/Edc3/Exog/Apex2",55
"GO:0017116","single-stranded DNA-dependent ATP-dependent DNA helicase activity","15/2575","20/22710",5.63151899655502e-11,5.63151899655502e-11,6.35027865795744e-09,"Mcm6/Dna2/Dscc1/Rfc4/Polq/Chtf18/Rad51/Helq/Rfc5/Rfc2/Rfc3/Mcm2/Mcm5/Chtf8/Pif1",15
"GO:0043142","single-stranded DNA-dependent ATPase activity","15/2575","20/22710",5.63151899655502e-11,5.63151899655502e-11,6.35027865795744e-09,"Mcm6/Dna2/Dscc1/Rfc4/Polq/Chtf18/Rad51/Helq/Rfc5/Rfc2/Rfc3/Mcm2/Mcm5/Chtf8/Pif1",15
"GO:0016887","ATPase activity","86/2575","379/22710",1.8821756015381e-10,1.8821756015381e-10,1.79635846071456e-08,"Pms1/Abcb6/Zranb3/Mcm6/Tnnt2/Kif14/Atp6v1g3/Nvl/Dna2/Fignl1/Rad50/Myh10/Myo1c/Atad5/Myo1d/Myo19/Rad51c/Dynll2/Atp5g1/Top2a/Atp6v0a1/Kif18b/Atp5h/Rad51b/Xrcc3/Wdr60/Gtf2h2/Dscc1/Dmc1/Dnal4/Atp5g2/Rfc4/Polq/Cpox/Abcb1a/Chtf18/Kifc5b/Kifc1/Atp6v1g2/Gtf2h4/Clpp/Ddx11/Msh6/Kif20a/Katnal2/Kif20b/Ide/Kif11/Wdr34/Ola1/Kif18a/Rad51/Kif3b/Atp5e/Abcd3/Cenpe/Msh4/Rad54b/Kif24/Rad54l/Kif2c/Abcb1b/Abcb8/Rfc1/Helq/Rfc5/Gtf2h3/Rfc2/Rfc3/Pcyox1/Mcm2/Tnnt1/Ruvbl2/Blm/Kif22/Mcm5/Kifc3/Chtf8/Hspa8/Kif23/Pif1/Myo1e/Mlh1/Kif15/Kif4/Ercc6l",86
"GO:0016741","transferase activity, transferring one-carbon groups","57/2575","210/22710",1.99129584326585e-10,1.99129584326585e-10,1.79635846071456e-08,"Mettl21a/Trmt1l/Eef1aknmt/Smyd2/Armt1/Trmt11/Aldh1l2/Eef1akmt3/Mettl1/Shmt2/Shmt1/Suz12/Mettl23/Dnmt3a/Vcpkmt/Trmt5/Trmt61a/Tpmt/Nsun2/Dimt1/Mettl3/Prmt5/Eef1akmt1/Bcdin3d/Eef2kmt/Comt/Eef1akmt4/Gart/Prdm15/Tfb1m/Suv39h2/Spout1/Mettl5/Trmt6/Dnmt3b/Setdb1/Trmt10b/Tyms/Cad/Nsd2/Kmt5a/Nsun5/Mrm2/Ezh2/Prdm5/Smyd1/Smyd5/Thumpd3/Nop2/Prmt1/Rrp8/Setd6/Prmt7/Gcsh/Tarbp1/Dnmt1/Hemk1",57
