"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","DNA replication","97/1492","243/23210",7.55483414444947e-52,7.55483414444947e-52,3.34400816604316e-48,"Terf1/Mcm3/Prim2/Zranb3/Mcm6/Dtl/Fbxo5/Dna2/Cdk1/E2f7/Helb/Prim1/Timeless/Cdk2/Etaa1/Ctc1/Rpa1/Atad5/Eme1/Cdc6/Gen1/Rrm2/Fancm/Pole2/Gmnn/Wdhd1/Esco2/Dscc1/Mapk15/Tonsl/Recql4/Rmi2/Mcm4/Cdc45/Rfc4/Polq/Chaf1b/Chtf18/Chaf1a/Ddx11/Poli/Pola2/Fen1/Fam111a/Mcm10/Fbh1/Rad51/Cdan1/Pcna/Mcm8/Mgme1/Gins1/Rtel1/Ccna2/Ccne2/Mms22l/Orc1/Nasp/Rpa2/Cenps/Dbf4/Orc5/Slbp/Rfc1/Pds5a/Cdc7/Pole/Chek2/Rfc5/Rfc2/Mcm7/Brca2/Rfc3/Rpa3/Mcm2/Recql/Lig1/Ccne1/Pold1/E2f8/Ticrr/Blm/Pold3/Inppl1/Rrm1/Primpol/Mcm5/Orc6/Gins3/Rfwd3/Gins2/Tipin/Pif1/Pclaf/Zbtb38/Stag2/Pola1",97
"GO:0006281","DNA repair","133/1492","464/23210",4.28328470025243e-51,4.28328470025243e-51,9.4795853497692e-48,"Mcm3/Npas2/Pms1/Bard1/Zranb3/Mcm6/Ube2t/Exo1/Dtl/Dna2/Pwwp3a/Parpbp/Helb/Timeless/Nabp2/Cdk2/Fignl1/Etaa1/Mrnip/Rad50/H2aw/Rpa1/Brip1/Rad51c/Eme1/Brca1/Gen1/Smc6/Fancm/Pole2/Rad51b/Xrcc3/Dek/Trip13/Slf1/Shld2/Wdhd1/Esco2/Rad1/Tonsl/Recql4/Hdac10/Rmi2/Mcm4/Prkdc/Cdc45/Rnf168/Polq/Chaf1b/Msh5/Chaf1a/Uhrf1/Ddx11/Smchd1/Msh2/Poli/Rad9a/Cdca5/Fen1/Smc5/Dclre1a/Fbh1/Ddb2/Rad51/Pcna/Mcm8/Mgme1/Rtel1/Smc4/Rad54b/Usp45/Mms22l/Fancg/Smc2/Rad54l/Mutyh/Clspn/Rpa2/Aunip/Cenps/Xrcc2/Nsd2/Rfc1/Pds5a/Helq/Cdc7/Pole/Chek2/Mcm7/Hmgb1/Brca2/Rpa3/Aplf/Mcm2/Rad18/Fancd2/Mbd4/Rad51ap1/Foxm1/Recql/Lig1/Faap24/Pold1/Ccdc155/Fan1/Fanci/Ticrr/Blm/Pold3/Fam168a/Palb2/Nsmce1/Slx1b/Kif22/Primpol/Neil3/Mcm5/Rfwd3/Gins2/Fanca/Spire2/Chek1/H2afx/Cep164/Pml/Pif1/Pclaf/Topbp1/Parp3/Pola1/Nono/Apex2/Fancb",133
"GO:0006261","DNA-dependent DNA replication","70/1492","135/23210",3.68747769190041e-47,3.68747769190041e-47,5.44064691033025e-44,"Mcm3/Prim2/Zranb3/Mcm6/Fbxo5/Dna2/E2f7/Helb/Prim1/Timeless/Cdk2/Etaa1/Rpa1/Atad5/Eme1/Cdc6/Gen1/Fancm/Pole2/Wdhd1/Dscc1/Tonsl/Recql4/Mcm4/Cdc45/Rfc4/Polq/Chtf18/Ddx11/Pola2/Fen1/Mcm10/Fbh1/Rad51/Pcna/Mcm8/Mgme1/Gins1/Rtel1/Ccne2/Mms22l/Orc1/Cenps/Dbf4/Orc5/Slbp/Cdc7/Pole/Chek2/Rfc5/Rfc2/Mcm7/Brca2/Rfc3/Mcm2/Recql/Lig1/Ccne1/Pold1/E2f8/Ticrr/Blm/Pold3/Primpol/Mcm5/Orc6/Rfwd3/Tipin/Stag2/Pola1",70
"GO:0006310","DNA recombination","98/1492","280/23210",2.59875680778184e-46,2.59875680778184e-46,2.87572957282174e-43,"Mcm3/Cd28/Zranb3/Mcm6/Exo1/Tcf3/Parpbp/Helb/Timeless/Nabp2/Fignl1/Mrnip/Rad50/Rpa1/Atad5/Brip1/Rad51c/Eme1/Top2a/Psmc3ip/Cntd1/Brca1/Gen1/Smc6/Fancm/Rad51b/Xrcc3/H1f5/H1f3/H1f4/H1f2/H1f1/Trip13/Shld2/Tonsl/Recql4/H1f0/Hdac10/Rmi2/Mcm4/Prkdc/Cdc45/Rnf168/Polq/Ccr6/Prdm9/Chtf18/Msh5/Pot1b/Smchd1/Msh2/Smc5/Fbh1/Rad51/Mcm8/Rtel1/Mnd1/Rad54b/Mms22l/Rad54l/Rpa2/Aunip/Cenps/Xrcc2/Nsd2/Helq/Cdc7/Mcm7/Hmgb1/Brca2/Rpa3/Aplf/Mcm2/Rad18/Rad51ap1/Recql/Lig1/Ccdc155/Fan1/Blm/Palb2/Nsmce1/Slx1b/Hmgb2/Ankle1/Mcm5/Rfwd3/Gins2/Chek1/H2afx/Pif1/Topbp1/Parp3/Cd40lg/Hmgb3/Nono/Apex2/Fancb",98
"GO:0007059","chromosome segregation","103/1492","317/23210",3.33969011277112e-45,3.33969011277112e-45,2.95650461562159e-42,"Terf1/Sgo2a/Hjurp/Kif14/Nuf2/Cenpf/Nsl1/Nek2/Fbxo5/Cenpw/Nup37/Usp44/Spdl1/Aurkb/Haspin/Spag5/Brip1/Ska2/Rad51c/Eme1/Cdc6/Top2a/Tubg1/Brca1/Kif18b/Birc5/Anapc11/Gen1/Smc6/Fancm/Xrcc3/Rgs14/Trip13/Slf1/Cenph/Ccnb1/Cenpk/Ska3/Setdb2/Esco2/Cdca2/Dscc1/Mapk15/Recql4/Racgap1/Espl1/Rmi2/Spice1/Chtf18/Msh5/Sgo1/Ddx11/Ndc80/Cep192/Ska1/Cdca5/Incenp/Fen1/Smc5/Spc25/Kif18a/Bub1b/Knstrn/Knl1/Oip5/Nusap1/Ncaph/Bub1/Dsn1/Fam83d/Ect2/Smc4/Pmf1/Cenpe/Ccne2/Smc2/Ndc1/Stil/Kif2c/Cdc20/Cdca8/Cenps/Tacc3/Ncapg/Pds5a/Helq/Cit/Brca2/Mad2l1/Rad18/Fancd2/Ccne1/Ccdc155/Plk1/Lcmt1/Kif22/Mki67/Cenpn/Ncapd3/Kif23/Ttk/Stag2/Kif4",103
"GO:0000280","nuclear division","113/1492","409/23210",9.88055365092648e-42,9.88055365092648e-42,7.28907510563963e-39,"Mybl1/Terf1/Sgo2a/Cd28/Kif14/Aspm/Nuf2/Nsl1/Nek2/Fbxo5/Usp44/Fignl1/Spdl1/Aurkb/Haspin/Spag5/Brip1/Rad51c/Eme1/Cdc6/Top2a/Psmc3ip/Tubg1/Cntd1/Kif18b/Birc5/Anapc11/Gen1/Fancm/Xrcc3/Cks2/Trip13/Slf1/Ccnb1/Cenpk/Bora/Rad1/Dscc1/Washc5/Mapk15/Racgap1/Espl1/Spice1/Cep97/Prdm9/Chtf18/Kifc5b/Kifc1/Msh5/Sgo1/Ndc80/Cep192/Cdca5/Incenp/Smc5/Kif20b/Kif11/Mastl/Kif18a/Bub1b/Knstrn/Rad51/Nusap1/Ncaph/Bub1/Cdc25b/Dazl/Tpx2/Dsn1/Mybl2/Ube2c/Aurka/Smc4/Mnd1/Cdc14a/Egf/Cenpe/Ccne2/Rad54b/Smc2/Ndc1/Stil/Rad54l/Kif2c/Cdc20/Cdca8/Cenps/Tacc3/Ncapg/Pds5a/Helq/Chek2/Cit/Brca2/Mad2l1/Fancd2/Ccne1/Ccdc155/Plk1/Lcmt1/Kif22/Phip/Mki67/Fanca/Spire2/Ncapd3/Chek1/Kif23/Ttk/Topbp1/Stag2/Flna/Kif4",113
"GO:0048285","organelle fission","118/1492","456/23210",1.97601420635159e-40,1.97601420635159e-40,1.24949469739976e-37,"Mybl1/Terf1/Sgo2a/Cd28/Kif14/Aspm/Nuf2/Nsl1/Nek2/Fbxo5/Mtfr2/Usp44/Mtfp1/Fignl1/Spdl1/Aurkb/Haspin/Spag5/Brip1/Rad51c/Eme1/Cdc6/Top2a/Psmc3ip/Tubg1/Cntd1/Kif18b/Acox1/Birc5/Anapc11/Gen1/Fancm/Xrcc3/Cks2/Trip13/Slf1/Ccnb1/Cenpk/Bora/Rad1/Dscc1/Washc5/Mapk15/Racgap1/Espl1/Spice1/Cep97/Prdm9/Chtf18/Kifc5b/Ggnbp1/Kifc1/Msh5/Sgo1/Ndc80/Cep192/Cdca5/Incenp/Smc5/Kif20b/Kif11/Mastl/Kif18a/Bub1b/Knstrn/Rad51/Nusap1/Ncaph/Bub1/Cdc25b/Dazl/Tpx2/Dsn1/Mybl2/Ube2c/Aurka/Smc4/Mnd1/Cdc14a/Egf/Cenpe/Ccne2/Rad54b/Smc2/Ndc1/Stil/Rad54l/Kif2c/Cdc20/Cdca8/Cenps/Tacc3/Ncapg/Pds5a/Helq/Chek2/Cit/Brca2/Mad2l1/Fancd2/Ccne1/Ccdc155/Plk1/Lcmt1/Kif22/Phip/Mki67/Ddhd2/Fanca/Spire2/Ncapd3/Chek1/Kif23/Ttk/Topbp1/Stag2/Flna/Kif4",118
"GO:0071103","DNA conformation change","77/1492","210/23210",3.13613216874359e-38,3.13613216874359e-38,1.73518891704826e-35,"Hjurp/Zranb3/Mcm6/Cdk1/Rad50/Rpa1/Top2a/Ncapg2/H3c10/H2bc14/H4c11/H4c12/H1f5/H3c11/Hist1h2bp/Hist1h4m/Hist1h4n/H2bc12/H4c9/H4c8/H3c8/H2bc9/H3c7/H4c6/H1f3/H3c6/H2bc7/H3c4/H4c4/H1f4/H2bc4/H4c3/H1f2/H3c3/H2bc3/H3c2/H4c2/H4c1/H3c1/H1f1/Cenpp/Ccnb1/Recql4/H1f0/Mcm4/Chaf1b/Prdm9/Chaf1a/Ddx11/Smchd1/Cdca5/Smarca2/Hells/Rad51/Oip5/Nusap1/Cdan1/Ncaph/Rtel1/Smc4/H2bc21/H3c15/H3c14/H3c13/H2bc18/Smc2/Itgb3bp/Nasp/Ncapg/Mcm7/Hmgb1/Mcm2/Recql/Blm/Asf1b/Ncapd3/Pif1",77
"GO:0098813","nuclear chromosome segregation","84/1492","258/23210",4.31096033295433e-37,4.31096033295433e-37,2.1201857543945e-34,"Terf1/Sgo2a/Kif14/Nuf2/Cenpf/Nsl1/Nek2/Fbxo5/Usp44/Spdl1/Aurkb/Haspin/Spag5/Brip1/Rad51c/Eme1/Cdc6/Top2a/Tubg1/Kif18b/Birc5/Anapc11/Gen1/Fancm/Xrcc3/Trip13/Slf1/Ccnb1/Cenpk/Esco2/Dscc1/Mapk15/Recql4/Racgap1/Espl1/Rmi2/Spice1/Msh5/Sgo1/Ddx11/Ndc80/Cep192/Cdca5/Incenp/Fen1/Smc5/Kif18a/Bub1b/Knstrn/Knl1/Nusap1/Ncaph/Bub1/Dsn1/Fam83d/Ect2/Smc4/Cenpe/Ccne2/Smc2/Ndc1/Stil/Kif2c/Cdc20/Cdca8/Cenps/Tacc3/Ncapg/Pds5a/Helq/Cit/Brca2/Mad2l1/Fancd2/Ccne1/Ccdc155/Plk1/Lcmt1/Kif22/Ncapd3/Kif23/Ttk/Stag2/Kif4",84
"GO:0006302","double-strand break repair","76/1492","220/23210",1.14152380129271e-35,1.14152380129271e-35,5.05274482572193e-33,"Mcm3/Mcm6/Dna2/Parpbp/Helb/Timeless/Nabp2/Fignl1/Mrnip/Rad50/Rpa1/Brip1/Rad51c/Eme1/Brca1/Gen1/Rad51b/Xrcc3/Dek/Trip13/Slf1/Shld2/Esco2/Tonsl/Recql4/Rmi2/Mcm4/Prkdc/Cdc45/Rnf168/Polq/Ddx11/Smchd1/Msh2/Cdca5/Smc5/Dclre1a/Fbh1/Rad51/Mcm8/Rtel1/Rad54b/Mms22l/Rad54l/Rpa2/Aunip/Xrcc2/Nsd2/Helq/Cdc7/Chek2/Mcm7/Brca2/Rpa3/Aplf/Mcm2/Rad51ap1/Foxm1/Recql/Lig1/Ccdc155/Fan1/Blm/Palb2/Nsmce1/Slx1b/Mcm5/Rfwd3/Gins2/Spire2/Chek1/H2afx/Pml/Parp3/Pola1/Fancb",76
