"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098687","chromosomal region","105/2800","299/23436",8.71833129640661e-26,8.71833129640661e-26,4.90061990766434e-23,"Nabp1/Sgo2a/Orc2/Hjurp/Nuf2/Cenpf/Nsl1/Nek2/Nup43/Cenpw/Dna2/Eid3/Nup37/Nabp2/Cdk2/Xpo1/Spdl1/Nudcd2/Rad50/Cenpv/Ctc1/Aurkb/Mis12/Spag5/Ska2/Cbx1/Nup85/Birc5/Smc6/Mis18bp1/Cenpp/Tert/Cenph/Ccnb1/Cenpk/Wdhd1/Ska3/Esco2/Dscc1/Mtbp/Recql4/Dmc1/Rangap1/Xrcc6/Cenpm/Cbx5/Nde1/Psen2/Sgo1/Ndc80/Ska1/Incenp/Hells/Dclre1a/Suv39h2/Rif1/Spc25/Nup160/Ckap5/Kif18a/Bub1b/Knstrn/Knl1/Rad51/Oip5/Terb2/Bub1/Dnmt3b/Dsn1/Aurka/Cenpe/Itgb3bp/Orc1/Kif2c/Cdca8/Cenps/Ncapg/Chek2/Kntc1/Baz1b/Stag3/Brca2/Pot1a/Ezh2/Cbx3/Mad2l1/Pold1/Ccdc155/Blm/Plk1/Mki67/Cenpu/Cfdp1/Cenpn/Kdm4d/Mre11a/Dnmt1/Spc24/Chek1/H2afx/Zwilch/Pif1/Ttk/Ercc6l/Cenpi",105
"GO:0005819","spindle","96/2800","273/23436",9.76932720469332e-24,9.76932720469332e-24,1.94301171376021e-21,"Cspp1/Kif14/Aspm/Shcbp1l/Cenpf/Nek2/Fbxo5/Cdk1/Nedd1/Fam161a/Spdl1/Kif3a/Cenpv/Myh10/Aurkb/Haspin/Spag5/Unc119/Tada2a/Ska2/Cbx1/Cdc6/Tubg2/Kif18b/Birc5/Rock2/Cep128/Wdr60/Ccnb1/Kif2a/Plk2/Dlgap5/Ska3/Neil2/Bora/Myc/Rangap1/Racgap1/Espl1/Aaas/Nde1/Tbccd1/Cep19/Tctex1d2/Spice1/Kifc5b/Kifc1/Sgo1/Kif20a/Ska1/Katnal2/Incenp/Kif20b/Kif11/Arl3/Bmyc/Rif1/Ckap5/Kif18a/Bub1b/Knstrn/Nusap1/Ckap2l/Tpx2/Kif3b/Dsn1/Aurka/Ect2/Map9/Psrc1/Gpsm2/Cenpe/Cdca8/Cep85/Aunip/Agbl5/Tacc3/Cdc7/Kntc1/Cbx3/Mad2l1/Capg/Eml2/Wdr62/Cep89/Nup62/Ccdc155/Prc1/Plk1/Kif22/Tubgcp2/Cttn/Cep295/Kif23/Ttk/Poc1a",96
"GO:0000775","chromosome, centromeric region","77/2800","190/23436",1.03700063374842e-23,1.03700063374842e-23,1.94301171376021e-21,"Sgo2a/Orc2/Hjurp/Nuf2/Cenpf/Nsl1/Nek2/Nup43/Cenpw/Nup37/Xpo1/Spdl1/Nudcd2/Cenpv/Aurkb/Mis12/Spag5/Ska2/Cbx1/Nup85/Birc5/Mis18bp1/Cenpp/Cenph/Ccnb1/Cenpk/Wdhd1/Ska3/Esco2/Dscc1/Mtbp/Rangap1/Cenpm/Cbx5/Nde1/Psen2/Sgo1/Ndc80/Ska1/Incenp/Hells/Suv39h2/Spc25/Nup160/Ckap5/Kif18a/Bub1b/Knstrn/Knl1/Oip5/Bub1/Dnmt3b/Dsn1/Aurka/Cenpe/Itgb3bp/Kif2c/Cdca8/Cenps/Ncapg/Kntc1/Baz1b/Stag3/Cbx3/Mad2l1/Plk1/Mki67/Cenpu/Cfdp1/Cenpn/Kdm4d/Dnmt1/Spc24/Zwilch/Ttk/Ercc6l/Cenpi",77
"GO:0000776","kinetochore","59/2800","132/23436",4.96385677255619e-21,4.96385677255619e-21,6.97552504353949e-19,"Sgo2a/Orc2/Hjurp/Nuf2/Cenpf/Nsl1/Nek2/Nup43/Cenpw/Nup37/Xpo1/Spdl1/Nudcd2/Cenpv/Aurkb/Mis12/Spag5/Ska2/Nup85/Birc5/Mis18bp1/Cenph/Ccnb1/Cenpk/Ska3/Mtbp/Rangap1/Cenpm/Cbx5/Nde1/Psen2/Sgo1/Ndc80/Ska1/Incenp/Spc25/Nup160/Ckap5/Kif18a/Bub1b/Knstrn/Knl1/Bub1/Dsn1/Cenpe/Itgb3bp/Kif2c/Cenps/Kntc1/Mad2l1/Plk1/Cenpu/Cfdp1/Cenpn/Spc24/Zwilch/Ttk/Ercc6l/Cenpi",59
"GO:0044450","microtubule organizing center part","64/2800","164/23436",6.17894930880453e-19,6.17894930880453e-19,6.94643985452972e-17,"Dyrk3/Cep170/Nedd1/Cep83/Cep290/Mdm1/Fam161a/Ccdc88a/Kif3a/4933427D14Rik/Spag5/Top2a/Tubg2/Birc5/Cep128/Wdr60/Cep72/Kif2a/Plk2/Ccdc66/Cenpj/Cby1/Cep19/Ccdc14/Spice1/Ccnf/Hspa1a/Cchcr1/Cep76/Rttn/Cep78/Wdr34/Bbs5/Agbl2/Ckap5/Cep152/Cetn4/Plk4/Sclt1/Sass6/Odf2l/Ssx2ip/Fam92a/Kif24/Cntln/Stil/Cep85/Ran/Cep41/Capg/Alms1/Cep89/Saxo2/Ccp110/Plk1/Tubgcp2/Pcm1/Nek1/Cep295/Hyls1/Cep162/Poc1a/Ccdc13/Rp2",64
"GO:0044815","DNA packaging complex","44/2800","97/23436",2.41452887954328e-16,2.41452887954328e-16,2.26203231873002e-14,"H2bu2/Ncapg2/H3c10/H2bc14/H4c11/H4c12/H2ac15/H1f5/H3c11/Hist1h2bp/Hist1h4m/Hist1h4n/H2ac12/H2bc12/H4c9/H4c8/H2ac10/H3c8/H2bc9/H3c7/H4c6/H1f3/H3c6/H3c4/H4c4/H1f4/H4c3/H3c3/H2bc3/H3c2/H4c2/H4c1/H3c1/H1f1/Irf4/Slf1/H1f0/Ncaph/H3c15/H3c14/H3c13/Smc2/Ncapg/H2afx",44
"GO:0005814","centriole","48/2800","115/23436",6.35782103566616e-16,6.35782103566616e-16,5.10537809480561e-14,"Cep170/Nedd1/Cep83/Cep290/Mdm1/Fam161a/Ccdc88a/Kif3a/Top2a/Birc5/Cep128/Kif2a/Plk2/Cenpj/Cby1/Cep19/Spice1/Ccnf/Hspa1a/Cchcr1/Cep76/Rttn/Cep78/Wdr34/Agbl2/Cep152/Cetn4/Plk4/Sclt1/Sass6/Fam92a/Kif24/Cntln/Stil/Ran/Cep41/Capg/Alms1/Cep89/Saxo2/Ccp110/Plk1/Pcm1/Cep295/Hyls1/Cep162/Poc1a/Rp2",48
"GO:0032993","protein-DNA complex","64/2800","186/23436",9.19977250599786e-16,9.19977250599786e-16,6.46405068184586e-14,"Prim2/Nfyb/Prim1/H2bu2/Ctc1/Suz12/E2f6/H3c10/H2bc14/H4c11/H4c12/H2ac15/H1f5/H3c11/Hist1h2bp/Hist1h4m/Hist1h4n/H2ac12/H2bc12/H4c9/H4c8/H2ac10/H3c8/H2bc9/H3c7/H4c6/H1f3/H3c6/H3c4/H4c4/H1f4/H4c3/H3c3/H2bc3/H3c2/H4c2/H4c1/H3c1/H1f1/Irf4/Slf1/H1f0/Xrcc6/Cdc45/Gtf2e1/Tcf7l2/Gins1/Sox12/H3c15/H3c14/H3c13/Orc3/Rbpj/Gtf2h3/Rpa3/Pot1a/Rad52/Pold1/Pold3/Nupr1/Gins2/H2afx/Gata1/Pola1",64
"GO:0000786","nucleosome","40/2800","88/23436",5.01822996705016e-15,5.01822996705016e-15,3.13419275135063e-13,"H2bu2/H3c10/H2bc14/H4c11/H4c12/H2ac15/H1f5/H3c11/Hist1h2bp/Hist1h4m/Hist1h4n/H2ac12/H2bc12/H4c9/H4c8/H2ac10/H3c8/H2bc9/H3c7/H4c6/H1f3/H3c6/H3c4/H4c4/H1f4/H4c3/H3c3/H2bc3/H3c2/H4c2/H4c1/H3c1/H1f1/Irf4/Slf1/H1f0/H3c15/H3c14/H3c13/H2afx",40
"GO:0000793","condensed chromosome","66/2800","209/23436",3.77861277820328e-14,3.77861277820328e-14,2.12397813006374e-12,"Sgo2a/Orc2/Hjurp/Nuf2/Cenpf/Nsl1/Nek2/Eid3/Cdk2/Hormad2/Hus1/Spdl1/Rad50/Aurkb/Mis12/Ska2/Top2a/Brca1/Birc5/Smc6/Mis18bp1/Ncapg2/Ccnb1/Cenpk/Ska3/Rad1/Dmc1/Msh5/Sgo1/Ndc80/Ska1/Cdca5/Incenp/Rif1/Spc25/Bub1b/Knl1/Rad51/Ncaph/Bub1/Dsn1/Aurka/Cenpe/Msh4/Smc2/Ncapg/Baz1b/Stag3/Brca2/Cbx3/Fancd2/Ccdc155/Blm/Plk1/Mki67/Lig4/Hmgb2/Syce2/Mre11a/Chek1/H2afx/Hmbs/Mei4/Topbp1/Mlh1/Slxl1",66
"GO:0000779","condensed chromosome, centromeric region","28/2800","51/23436",1.56596025154134e-13,1.56596025154134e-13,8.00213181170407e-12,"Sgo2a/Orc2/Hjurp/Nuf2/Cenpf/Nsl1/Spdl1/Aurkb/Mis12/Ska2/Birc5/Mis18bp1/Ccnb1/Cenpk/Ska3/Sgo1/Ndc80/Ska1/Spc25/Bub1b/Knl1/Bub1/Dsn1/Aurka/Cenpe/Ncapg/Cbx3/Plk1",28
"GO:0005657","replication fork","33/2800","71/23436",5.51726231754385e-13,5.51726231754385e-13,2.58440182242844e-11,"Prim2/Zranb3/Prim1/Timeless/Rad51c/E2f6/Rad51b/Xrcc3/Wdhd1/Cdc45/Rfc4/Polh/Uhrf1/Mcm10/Mms22l/Rfc1/Rfc2/Baz1b/Rfc3/Rpa3/Smarcad1/Rad18/Pold1/Blm/Pold3/Gins2/Mre11a/Dnmt1/Chek1/H2afx/Tipin/Pif1/Pola1",33
"GO:0000788","nuclear nucleosome","23/2800","38/23436",1.40364647661762e-12,1.40364647661762e-12,5.78213146301087e-11,"H3c10/H4c11/H4c12/H3c11/Hist1h4m/Hist1h4n/H4c9/H4c8/H3c8/H4c6/H3c6/H3c4/H4c4/H1f4/H4c3/H3c2/H4c2/H4c1/H3c1/Irf4/H3c15/H3c14/H3c13",23
"GO:0000777","condensed chromosome kinetochore","22/2800","35/23436",1.44011888498211e-12,1.44011888498211e-12,5.78213146301087e-11,"Orc2/Hjurp/Nuf2/Cenpf/Nsl1/Spdl1/Mis12/Ska2/Birc5/Mis18bp1/Ccnb1/Cenpk/Ska3/Ndc80/Ska1/Spc25/Bub1b/Knl1/Bub1/Dsn1/Cenpe/Plk1",22
"GO:0044441","ciliary part","106/2800","457/23436",8.9497397986369e-12,8.9497397986369e-12,3.35379722980498e-10,"Tmem237/Atp2b4/Opn3/Cep170/Cenpf/Ptprk/Cd24a/Nedd1/Cfap54/Cep83/Cep290/Kif5a/Gli1/Wdpcp/Tmem17/Fam161a/Ccdc88a/Kif3a/Fam183b/B9d1/Tmem107/Prkca/Ccdc40/Pde6g/Wdr35/Prkar2b/Dnal1/Cep128/Spata7/Ttc8/Mok/Wdr60/Tbc1d7/Map1b/Kif2a/Ccdc66/Nek4/Cenpj/Spef2/Cby1/Rabl2/Psen2/Cep19/Tctex1d2/Ift57/Arl6/Arl13b/Ccr6/Catsperd/Dync2li1/Rttn/Cep78/Arl3/Wdr34/Bbs5/Cerkl/Agbl2/Nphp1/Cetn4/Sclt1/Slc9b2/Slc9b1/Odf2l/Ssx2ip/Tmem67/Fam92a/Whrn/Aldoart1/Efcab7/Wdr78/Dnali1/Ak2/Nphp4/Drc1/Rab28/Ccdc63/Tctn1/Ift81/Rilpl1/Smo/Cep41/Ttc26/Alms1/Ift122/Erc1/Tulp3/Klc3/Gpi1/Cep89/Ldha/Saxo2/Mosmo/Aldoa/Pcm1/Rpgrip1l/Gas8/Mns1/Rab27a/Myo5a/Cep162/Nphp3/Poc1a/Prkar2a/Rp2/Arr3/Cdkl5",106
"GO:0000922","spindle pole","45/2800","129/23436",9.55298309204452e-12,9.55298309204452e-12,3.35611379681038e-10,"Cspp1/Aspm/Cenpf/Nek2/Nedd1/Fam161a/Spdl1/Aurkb/Spag5/Unc119/Cdc6/Rock2/Cep128/Wdr60/Ccnb1/Kif2a/Plk2/Dlgap5/Aaas/Nde1/Tbccd1/Cep19/Tctex1d2/Kifc1/Sgo1/Katnal2/Kif20b/Kif11/Ckap5/Tpx2/Dsn1/Aurka/Psrc1/Gpsm2/Cep85/Aunip/Kntc1/Mad2l1/Wdr62/Cep89/Nup62/Ccdc155/Plk1/Tubgcp2/Poc1a",45
