"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030217","T cell differentiation","21/580","269/23210",4.61521945866343e-06,4.61521945866343e-06,0.0178584702421545,"Il1rl2/Tsc1/Cdk6/Ifng/Xbp1/Irf1/Gadd45g/Malt1/Bcl2/Cd44/Tmem131l/Bcl3/Fanca/Zfp609/Il23a/Itk/Lgals9/Tbx21/Jag2/Ptger4/Zfp608",21
"GO:0042770","signal transduction in response to DNA damage","11/580","90/23210",1.50661884568098e-05,1.50661884568098e-05,0.0203488991514714,"Acer2/Brca2/Pcbp4/E2f7/Ptprv/Cd44/Gadd45a/Bcl3/Spred3/Pml/Brca1",11
"GO:0030098","lymphocyte differentiation","25/580","395/23210",2.34050640821466e-05,2.34050640821466e-05,0.0203488991514714,"Il1rl2/Tsc1/Tyro3/Cdk6/Ifng/Xbp1/Irf1/Gadd45g/Pou1f1/Malt1/Dock10/Bcl2/Cd44/Tmem131l/Bcl3/Flt3l/Fanca/Zfp609/Il23a/Itk/Lgals9/Tbx21/Jag2/Ptger4/Zfp608",25
"GO:0030330","DNA damage response, signal transduction by p53 class mediator","9/580","63/23210",2.54155164083091e-05,2.54155164083091e-05,0.0203488991514714,"Acer2/Brca2/Pcbp4/E2f7/Ptprv/Cd44/Bcl3/Spred3/Pml",9
"GO:0045787","positive regulation of cell cycle","23/580","349/23210",2.62941433540504e-05,2.62941433540504e-05,0.0203488991514714,"Kif14/Edn3/Plk4/Cenpe/Cdc7/Brca2/E2f7/Spag5/Tert/Ptprv/Aurka/Egf/Ezh2/Flt3l/Fgfr2/Pml/Cenpv/Mir744/Brca1/Prkca/Aif1/Ndc80/Cdc25c",23
"GO:0030212","hyaluronan metabolic process","6/580","27/23210",4.48973982861095e-05,4.48973982861095e-05,0.0253665636668357,"Has3/Habp4/Cd44/Egf/Itih3/Ptger4",6
"GO:1902105","regulation of leukocyte differentiation","20/580","294/23210",5.61492647459379e-05,5.61492647459379e-05,0.0253665636668357,"Il1rl2/Cdk6/Inpp4b/Ifng/Lif/Xbp1/Irf1/Malt1/Cd44/Tmem131l/Flt3l/Fes/Fanca/Zfp609/Il23a/Il3/Lgals9/Tbx21/Prkca/Zfp608",20
"GO:0018108","peptidyl-tyrosine phosphorylation","21/580","319/23210",5.92652869848505e-05,5.92652869848505e-05,0.0253665636668357,"Thy1/Ifng/Osm/Lif/Irf1/Dvl2/Cd44/Egf/Il12rb2/Fes/Fgfr2/Il23a/Itk/Csf2/Il3/Prkca/Ptger4/Ptk2/Epha3/Ddr1/Hbegf",21
"GO:0002292","T cell differentiation involved in immune response","9/580","71/23210",6.70032602687933e-05,6.70032602687933e-05,0.0253665636668357,"Tsc1/Ifng/Irf1/Gadd45g/Malt1/Bcl3/Il23a/Tbx21/Ptger4",9
"GO:0018212","peptidyl-tyrosine modification","21/580","322/23210",6.77447238057016e-05,6.77447238057016e-05,0.0253665636668357,"Thy1/Ifng/Osm/Lif/Irf1/Dvl2/Cd44/Egf/Il12rb2/Fes/Fgfr2/Il23a/Itk/Csf2/Il3/Prkca/Ptger4/Ptk2/Epha3/Ddr1/Hbegf",21
"GO:0046425","regulation of JAK-STAT cascade","14/580","165/23210",7.21111507939155e-05,7.21111507939155e-05,0.0253665636668357,"Ifng/Osm/Lif/Irf1/Prl/Prl3c1/Notch1/Egf/Bcl3/Socs2/Il23a/Csf2/Il3/Ptger4",14
"GO:0045786","negative regulation of cell cycle","26/580","452/23210",8.02542021209642e-05,8.02542021209642e-05,0.0258784602628653,"Bub1b/Cenpe/Cdk6/Nme6/Ptprk/Dna2/E2f7/Ifng/Osm/Lif/Irf1/Hexim2/Tcf7l2/Fhl1/Bcl2/Ptprv/Notch1/Aurka/Ezh2/Gadd45a/Fgfr2/Pml/Map2k1/Brca1/Ndc80/Rad9a",26
"GO:1904892","regulation of STAT cascade","14/580","170/23210",9.94556530169028e-05,9.94556530169028e-05,0.0281808348434929,"Ifng/Osm/Lif/Irf1/Prl/Prl3c1/Notch1/Egf/Bcl3/Socs2/Il23a/Csf2/Il3/Ptger4",14
"GO:0045580","regulation of T cell differentiation","13/580","150/23210",0.000104474534275926,0.000104474534275926,0.0281808348434929,"Il1rl2/Ifng/Xbp1/Irf1/Malt1/Cd44/Tmem131l/Fanca/Zfp609/Il23a/Lgals9/Tbx21/Zfp608",13
"GO:0002285","lymphocyte activation involved in immune response","15/580","193/23210",0.000109242898944443,0.000109242898944443,0.0281808348434929,"Exo1/Tsc1/Swap70/Ifng/Xbp1/Irf1/Gadd45g/Malt1/Dock10/Bcl3/Il23a/Lgals9/Tbx21/Unc13d/Ptger4",15
"GO:0042110","T cell activation","27/580","491/23210",0.00012428911739379,0.00012428911739379,0.0300583418118141,"Il1rl2/Tsc1/Cdk6/Lrrc32/Thy1/Jaml/Ifng/Xbp1/Irf1/Gadd45g/Treml2/Malt1/Bcl2/Cd44/Tmem131l/Bcl3/Fanca/Zfp609/Il23a/Itk/Lgals9/Tbx21/Fkbp1b/Jag2/Ptger4/Aif1/Zfp608",27
"GO:0072503","cellular divalent inorganic cation homeostasis","27/580","497/23210",0.000151453643043561,0.000151453643043561,0.0333614248420169,"Edn3/Slc39a8/Dmpk/Trpm1/Swap70/F2rl3/Inpp4b/Npsr1/Thy1/Slc37a4/Kctd17/Fpr2/Pygm/Mettl21c/Bcl2/Rmdn3/Ank2/P2rx2/Bnip3/Pml/Fxyd1/Ccr4/Prkca/Fkbp1b/Ptger4/Slc39a4/Plcb3",27
"GO:0032465","regulation of cytokinesis","9/580","79/23210",0.000155190523612211,0.000155190523612211,0.0333614248420169,"Kif14/Brca2/Prc1/E2f7/Kif20a/Aurka/Cenpv/Zfyve26/Kif13a",9
"GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","8/580","64/23210",0.000187306434378355,0.000187306434378355,0.0336943793044656,"Ifng/Irf1/Gadd45g/Malt1/Bcl3/Il23a/Tbx21/Ptger4",8
"GO:0090068","positive regulation of cell cycle process","17/580","249/23210",0.000190330795512473,0.000190330795512473,0.0336943793044656,"Kif14/Edn3/Plk4/Cenpe/Cdc7/E2f7/Spag5/Tert/Ptprv/Egf/Ezh2/Pml/Cenpv/Brca1/Aif1/Ndc80/Cdc25c",17
"GO:0035710","CD4-positive, alpha-beta T cell activation","10/580","100/23210",0.000202626251452856,0.000202626251452856,0.0336943793044656,"Ifng/Irf1/Gadd45g/Malt1/Cd44/Bcl3/Il23a/Lgals9/Tbx21/Ptger4",10
"GO:0007259","JAK-STAT cascade","14/580","182/23210",0.000204286335732927,0.000204286335732927,0.0336943793044656,"Ifng/Stat2/Osm/Lif/Irf1/Prl/Prl3c1/Notch1/Egf/Bcl3/Socs2/Il23a/Csf2/Ptger4",14
"GO:0045619","regulation of lymphocyte differentiation","14/580","182/23210",0.000204286335732927,0.000204286335732927,0.0336943793044656,"Il1rl2/Ifng/Xbp1/Irf1/Malt1/Cd44/Tmem131l/Flt3l/Fanca/Zfp609/Il23a/Lgals9/Tbx21/Zfp608",14
"GO:0002293","alpha-beta T cell differentiation involved in immune response","8/580","65/23210",0.000208985812878622,0.000208985812878622,0.0336943793044656,"Ifng/Irf1/Gadd45g/Malt1/Bcl3/Il23a/Tbx21/Ptger4",8
"GO:0048285","organelle fission","25/580","456/23210",0.000229267598801804,0.000229267598801804,0.0341810090836845,"Kif14/Bub1b/Rad51/Edn3/Cenpe/Ccne2/Ncapg/Brca2/Spire2/Nme6/Stat2/Osm/Lif/Spag5/Bora/Aurka/Egf/Cpeb1/Fgfr2/Bnip3/Syce1/Fanca/Dscc1/Chtf18/Ndc80",25
"GO:0002287","alpha-beta T cell activation involved in immune response","8/580","66/23210",0.000232681226133606,0.000232681226133606,0.0341810090836845,"Ifng/Irf1/Gadd45g/Malt1/Bcl3/Il23a/Tbx21/Ptger4",8
"GO:0046427","positive regulation of JAK-STAT cascade","10/580","102/23210",0.000238504592762924,0.000238504592762924,0.0341810090836845,"Ifng/Osm/Lif/Prl/Prl3c1/Notch1/Il23a/Csf2/Il3/Ptger4",10
"GO:1903706","regulation of hemopoiesis","23/580","407/23210",0.000262810120344753,0.000262810120344753,0.0360711043838834,"Il1rl2/Cdk6/Inpp4b/Ifng/Lif/Xbp1/Irf1/Malt1/Notch1/Cd44/Tmem131l/N4bp2l2/Flt3l/Fes/Fanca/Zfp609/P4htm/Il23a/Il3/Lgals9/Tbx21/Prkca/Zfp608",23
"GO:0097696","STAT cascade","14/580","187/23210",0.000270337030951031,0.000270337030951031,0.0360711043838834,"Ifng/Stat2/Osm/Lif/Irf1/Prl/Prl3c1/Notch1/Egf/Bcl3/Socs2/Il23a/Csf2/Ptger4",14
"GO:0000280","nuclear division","23/580","409/23210",0.000281783774620414,0.000281783774620414,0.03634516335104,"Kif14/Bub1b/Rad51/Edn3/Cenpe/Ccne2/Ncapg/Brca2/Spire2/Nme6/Osm/Lif/Spag5/Bora/Aurka/Egf/Cpeb1/Fgfr2/Syce1/Fanca/Dscc1/Chtf18/Ndc80",23
"GO:0007044","cell-substrate junction assembly","9/580","86/23210",0.000297193611179059,0.000297193611179059,0.0370962212120279,"Dst/Tsc1/Thy1/Ptprk/Tns1/Bcl2/Lamc1/Ptk2/Epha3",9
"GO:1902107","positive regulation of leukocyte differentiation","13/580","168/23210",0.000321950491316588,0.000321950491316588,0.0371063621087657,"Il1rl2/Ifng/Lif/Xbp1/Irf1/Malt1/Flt3l/Fes/Zfp609/Il23a/Il3/Lgals9/Prkca",13
"GO:1904894","positive regulation of STAT cascade","10/580","106/23210",0.000326362760125813,0.000326362760125813,0.0371063621087657,"Ifng/Osm/Lif/Prl/Prl3c1/Notch1/Il23a/Csf2/Il3/Ptger4",10
"GO:0046902","regulation of mitochondrial membrane permeability","7/580","53/23210",0.00033396819491865,0.00033396819491865,0.0371063621087657,"Eya2/Chchd10/Bcl2l2/Mpv17l/Bcl2/Bnip3/Zfp13",7
"GO:0009611","response to wounding","26/580","495/23210",0.000335632899922867,0.000335632899922867,0.0371063621087657,"Dst/Serpinb2/Tyro3/F3/F2rl3/Jaml/Mrln/Tspan8/Xbp1/Pros1/3300005D01Rik/Bcl2/Cd44/Aurka/Pear1/Ezh2/Map2k1/Nbeal2/Sarm1/Itga2b/Prkca/Fkbp1b/Ptger4/Ddr1/Hbegf/Mirt1",26
"GO:0006874","cellular calcium ion homeostasis","25/580","473/23210",0.000395852135789107,0.000395852135789107,0.0425483172854023,"Edn3/Dmpk/Trpm1/Swap70/F2rl3/Inpp4b/Npsr1/Thy1/Slc37a4/Kctd17/Fpr2/Pygm/Mettl21c/Bcl2/Rmdn3/Ank2/P2rx2/Bnip3/Pml/Fxyd1/Ccr4/Prkca/Fkbp1b/Ptger4/Plcb3",25
"GO:0002366","leukocyte activation involved in immune response","17/580","269/23210",0.000467522372528887,0.000467522372528887,0.0488936626291945,"Exo1/Tsc1/Anxa3/Swap70/Ifng/Xbp1/Irf1/Gadd45g/Malt1/Dock10/Bcl3/Fes/Il23a/Lgals9/Tbx21/Unc13d/Ptger4",17
"GO:0099084","postsynaptic specialization organization","6/580","41/23210",0.000507070502673731,0.000507070502673731,0.049106418841046,"Syngap1/Ntng2/Nptx1/Lrrtm2/Lrfn4/Arhgef9",6
"GO:1900744","regulation of p38MAPK cascade","6/580","41/23210",0.000507070502673731,0.000507070502673731,0.049106418841046,"Oprk1/Phlpp1/Mfhas1/Gadd45g/Gadd45a/Map3k4",6
"GO:0046632","alpha-beta T cell differentiation","10/580","112/23210",0.000507628921643022,0.000507628921643022,0.049106418841046,"Ifng/Irf1/Gadd45g/Malt1/Bcl2/Bcl3/Il23a/Itk/Tbx21/Ptger4",10
"GO:0042116","macrophage activation","9/580","93/23210",0.000532924784867285,0.000532924784867285,0.0502669074567315,"Mfhas1/Ifng/Myo18a/Fpr2/Tlr2/Csf2/Lgals9/Cd200/Aif1",9
"GO:0002263","cell activation involved in immune response","17/580","273/23210",0.000552680148796981,0.000552680148796981,0.0502669074567315,"Exo1/Tsc1/Anxa3/Swap70/Ifng/Xbp1/Irf1/Gadd45g/Malt1/Dock10/Bcl3/Fes/Il23a/Lgals9/Tbx21/Unc13d/Ptger4",17
"GO:0045589","regulation of regulatory T cell differentiation","5/580","28/23210",0.000584578425945395,0.000584578425945395,0.0502669074567315,"Ifng/Irf1/Cd44/Fanca/Lgals9",5
"GO:0098698","postsynaptic specialization assembly","5/580","28/23210",0.000584578425945395,0.000584578425945395,0.0502669074567315,"Ntng2/Nptx1/Lrrtm2/Lrfn4/Arhgef9",5
"GO:1900745","positive regulation of p38MAPK cascade","5/580","28/23210",0.000584578425945395,0.000584578425945395,0.0502669074567315,"Oprk1/Mfhas1/Gadd45g/Gadd45a/Map3k4",5
"GO:0046631","alpha-beta T cell activation","12/580","157/23210",0.000603676645466867,0.000603676645466867,0.0507806715957942,"Ifng/Irf1/Gadd45g/Malt1/Bcl2/Cd44/Bcl3/Il23a/Itk/Lgals9/Tbx21/Ptger4",12
"GO:0055074","calcium ion homeostasis","25/580","489/23210",0.000641755560488651,0.000641755560488651,0.0528352394256726,"Edn3/Dmpk/Trpm1/Swap70/F2rl3/Inpp4b/Npsr1/Thy1/Slc37a4/Kctd17/Fpr2/Pygm/Mettl21c/Bcl2/Rmdn3/Ank2/P2rx2/Bnip3/Pml/Fxyd1/Ccr4/Prkca/Fkbp1b/Ptger4/Plcb3",25
"GO:0097345","mitochondrial outer membrane permeabilization","5/580","29/23210",0.000691979404425707,0.000691979404425707,0.055783251988353,"Eya2/Chchd10/Mpv17l/Bnip3/Zfp13",5
"GO:0007346","regulation of mitotic cell cycle","25/580","493/23210",0.000720950868380383,0.000720950868380383,0.0565954800748873,"Kif14/Bub1b/Edn3/Cenpe/Cdc7/Brca2/Nme6/E2f7/Tert/Bora/Fhl1/Bcl2/Ptprv/Cenpf/Egf/Ezh2/Gadd45a/Fgfr2/Pml/Brca1/Prkca/Aif1/Ndc80/Cdc25c/Rad9a",25
"GO:1901652","response to peptide","21/580","384/23210",0.00073130720989041,0.00073130720989041,0.0565954800748873,"Oprk1/Vim/Tsc1/Gpr21/Cpeb2/Cyfip1/Cish/Stat2/Xbp1/Irf1/Pck2/Fpr2/Rhoq/Ptprv/Cacna1b/Notch1/Cpeb1/Pik3r2/Socs2/Prkca/Ptk2",21
"GO:1903708","positive regulation of hemopoiesis","14/580","208/23210",0.000785251957759248,0.000785251957759248,0.0576547757454239,"Il1rl2/Ifng/Lif/Xbp1/Irf1/Malt1/N4bp2l2/Flt3l/Fes/Zfp609/Il23a/Il3/Lgals9/Prkca",14
"GO:0051963","regulation of synapse assembly","10/580","119/23210",0.00081735207792867,0.00081735207792867,0.0576547757454239,"Eef2k/Ntng2/Tlr2/Adgre5/Prkca/Nptx1/Ptk2/Lrrtm2/Lrfn4/Arhgef9",10
"GO:0007409","axonogenesis","24/580","470/23210",0.000830600219062669,0.000830600219062669,0.0576547757454239,"Dst/Bmpr2/Vim/Sema6c/Stmn1/Chl1/Cyfip1/Thy1/Map3k13/Syngap1/B4gat1/Plxna3/Bcl2/Notch1/Ntng2/Auts2/Fgfr2/Map2k1/Etv4/Prkca/Nptx1/Map1b/Ptk2/Epha3",24
"GO:1901990","regulation of mitotic cell cycle phase transition","16/580","259/23210",0.000865564540062895,0.000865564540062895,0.0576547757454239,"Kif14/Bub1b/Cenpe/Cdc7/E2f7/Tert/Fhl1/Bcl2/Ptprv/Cenpf/Ezh2/Pml/Brca1/Aif1/Ndc80/Cdc25c",16
"GO:0014911","positive regulation of smooth muscle cell migration","7/580","62/23210",0.000878389659010616,0.000878389659010616,0.0576547757454239,"F3/Dock4/Tert/Bcl2/Ptger4/Ptk2/Aif1",7
"GO:0099150","regulation of postsynaptic specialization assembly","4/580","18/23210",0.000893419436556199,0.000893419436556199,0.0576547757454239,"Nptx1/Lrrtm2/Lrfn4/Arhgef9",4
"GO:0150052","regulation of postsynapse assembly","4/580","18/23210",0.000893419436556199,0.000893419436556199,0.0576547757454239,"Nptx1/Lrrtm2/Lrfn4/Arhgef9",4
"GO:0051048","negative regulation of secretion","16/580","261/23210",0.000938882554278449,0.000938882554278449,0.0576547757454239,"Oprk1/Edn3/Lrrc32/Npsr1/Osm/Lif/Ptprv/Notch1/Egf/Sirt4/Pml/Rhbdf1/Lgals9/Fkbp1b/Ptger4/Cd200",16
"GO:0043367","CD4-positive, alpha-beta T cell differentiation","8/580","81/23210",0.000940262828930574,0.000940262828930574,0.0576547757454239,"Ifng/Irf1/Gadd45g/Malt1/Bcl3/Il23a/Tbx21/Ptger4",8
"GO:0045066","regulatory T cell differentiation","5/580","31/23210",0.000950183124557109,0.000950183124557109,0.0576547757454239,"Ifng/Irf1/Cd44/Fanca/Lgals9",5
"GO:1901653","cellular response to peptide","17/580","287/23210",0.000963860100406192,0.000963860100406192,0.0576547757454239,"Vim/Tsc1/Gpr21/Cpeb2/Cyfip1/Cish/Xbp1/Irf1/Pck2/Fpr2/Rhoq/Ptprv/Cpeb1/Pik3r2/Socs2/Prkca/Ptk2",17
"GO:0031589","cell-substrate adhesion","19/580","339/23210",0.00096433217823438,0.00096433217823438,0.0576547757454239,"Kif14/Tsc1/Tyro3/Acer2/Cdk6/Thy1/Ptprk/Mmrn2/Bcl2/Lamc1/Notch1/Bcam/Myo1g/Itga2b/Unc13d/Ptk2/Epha3/Ddr1/Emilin2",19
"GO:0010830","regulation of myotube differentiation","7/580","63/23210",0.000967249742671583,0.000967249742671583,0.0576547757454239,"Dmpk/Xbp1/Bcl2/Notch1/Smyd1/Flt3l/Nln",7
"GO:0042093","T-helper cell differentiation","7/580","63/23210",0.000967249742671583,0.000967249742671583,0.0576547757454239,"Irf1/Gadd45g/Malt1/Bcl3/Il23a/Tbx21/Ptger4",7
"GO:0033674","positive regulation of kinase activity","24/580","476/23210",0.00098811330801559,0.00098811330801559,0.0576547757454239,"Kif14/Edn3/Cenpe/Acsl1/Ifng/Pik3r5/Dvl2/Gadd45g/Bora/Map3k13/Fpr2/Malt1/Ralb/Cd44/Egf/Ezh2/Gadd45a/Map3k10/Map2k1/Il23a/Il3/Map4k5/Ptk2/Map3k4",24
"GO:0007098","centrosome cycle","10/580","122/23210",0.000990826890171712,0.000990826890171712,0.0576547757454239,"Plk4/Brca2/Rttn/Aurka/Cetn4/Crocc/Hepacam2/Gadd45a/Fes/Brca1",10
