"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046935","1-phosphatidylinositol-3-kinase regulator activity","4/576","14/22710",0.00033477469705575,0.00033477469705575,0.134823495247228,"Cish/Pik3r5/Pik3r2/Socs2",4
"GO:0004674","protein serine/threonine kinase activity","24/576","456/22710",0.00066882544505144,0.00066882544505144,0.134823495247228,"Bmpr2/Cdc42bpa/Pkn3/Bub1b/Plk4/Cdk6/Cdc7/Dmpk/Alpk3/Eef2k/Map3k13/Cdc42bpg/Pask/Aurka/Cdkl2/Map3k10/Nek3/Map2k1/Nek8/Prkca/Map4k5/Trio/Map3k4/Alpk2",24
"GO:0035014","phosphatidylinositol 3-kinase regulator activity","4/576","19/22710",0.00117204573649919,0.00117204573649919,0.134823495247228,"Cish/Pik3r5/Pik3r2/Socs2",4
"GO:0017116","single-stranded DNA-dependent ATP-dependent DNA helicase activity","4/576","20/22710",0.00143590712355417,0.00143590712355417,0.134823495247228,"Rad51/Dna2/Dscc1/Chtf18",4
"GO:0043142","single-stranded DNA-dependent ATPase activity","4/576","20/22710",0.00143590712355417,0.00143590712355417,0.134823495247228,"Rad51/Dna2/Dscc1/Chtf18",4
"GO:0003774","motor activity","10/576","131/22710",0.00189366813224541,0.00189366813224541,0.134823495247228,"Kif14/Cenpe/Kif15/Myh8/Myo18a/Dnah8/Kif20a/Myo7a/Myo1g/Kif13a",10
"GO:0004003","ATP-dependent DNA helicase activity","4/576","22/22710",0.0020826393574775,0.0020826393574775,0.134823495247228,"Rad51/Dna2/Dscc1/Chtf18",4
"GO:0008026","ATP-dependent helicase activity","4/576","22/22710",0.0020826393574775,0.0020826393574775,0.134823495247228,"Rad51/Dna2/Dscc1/Chtf18",4
"GO:0015295","solute:proton symporter activity","4/576","22/22710",0.0020826393574775,0.0020826393574775,0.134823495247228,"Slc15a3/Slc2a6/Slc15a5/Slc15a2",4
"GO:0070035","purine NTP-dependent helicase activity","4/576","22/22710",0.0020826393574775,0.0020826393574775,0.134823495247228,"Rad51/Dna2/Dscc1/Chtf18",4
"GO:0016846","carbon-sulfur lyase activity","3/576","11/22710",0.00230039707948624,0.00230039707948624,0.135382220467372,"Kyat3/Cth/Cenpv",3
"GO:0004527","exonuclease activity","7/576","74/22710",0.0027004841580421,0.0027004841580421,0.145684013789113,"Exo1/Rexo5/Exd1/Noct/Pnldc1/Rad9a/Dclre1a",7
"GO:0008017","microtubule binding","14/576","239/22710",0.00330251702267609,0.00330251702267609,0.164457325420712,"Dst/Kif14/Cenpe/Prc1/Kif15/Gabarap/Spag5/Kif20a/Mid2/Wdr54/Fes/Saxo2/Kif13a/Map1b",14
