ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
Exp391_CD8---GSE132110_Tim3pos_vs_Tim3neg---Tim3neg,Exp391_CD8---GSE132110_Tim3pos_vs_Tim3neg---Tim3neg,972,-0.4172749641209273,-1.475240976484827,9.999000099990002e-5,6.950989632422244e-4,4.092464904013096e-4,3054,"tags=30%, list=18%, signal=26%",Aldh5a1/1700019D03Rik/Wipf3/Il1r2/Kcnn4/Rdh5/Tnip1/Hvcn1/Adam28/Tnfrsf26/Gja5/Ar/Ssh1/Nt5e/Lef1/Axl/Ccdc157/Actn1/Zhx2/Slc2a13/Tapt1/Itgb1/B3gnt3/Sdhaf1/Slit3/Aff3/App/Maged1/Ifnar2/Slc15a3/Hint2/Tmem121b/Lrrk2/Csta2/Kbtbd11/Bach2/Tmem231/Ccdc125/Mctp1/Dstyk/Tor3a/Eml6/Chst15/Pxmp2/Dclk1/Boll/Spats1/Ldhb/Lrrn2/Sh3gl3/Traf1/Acot6/Galm/Zfp36l1/Tdrp/Cpm/Pde11a/Nyx/Cldn10/Slc43a1/Frat1/Wdr49/Abca1/Dlg3/Ssbp2/Zfpm1/Rtl6/Mx2/Tha1/Oas2/Slc25a23/Nbdy/Fas/Lrig1/Gpr179/Crppa/Ptprm/Slfn5/Mettl27/Zfp773/Ly6e/Rnf32/Rapgef4/Snn/Penk/Orai2/Asah2/Lysmd2/Gdpd5/Sox4/AB124611/Lrrc23/Zmynd12/Tbxa2r/Gstk1/Jun/Slc44a1/Slc27a6/Mtmr7/Arhgef9/Gucy2g/Ankrd37/Atp2b2/Kifc2/Ramp1/Myb/Cd72/Gpm6b/D430019H16Rik/Plppr2/Nlrc4/Msl3l2/Tprg/Tnfsf11/Tspan3/Evl/Ttbk1/Abi3bp/Patj/Gstt3/Pde10a/Idh2/Acss1/Klhdc8b/Gucy1b1/Emb/Pnpla3/Ifit1/Sema4c/Kcnc1/Dzip1/Dlg5/Nr3c2/Zfp612/Ccr7/Enpp2/Slc9b2/Tmod2/Bst1/Cd9/Card6/Rnf43/Ikbke/Galnt9/Cacna2d4/Wdr19/Dnase1l3/Sidt1/Fam124b/Hdac9/Bace2/Parp8/Serpina12/Tnfsf8/Slc2a6/Pla2g4f/Grik4/Slfn2/Klhl3/Rundc3a/Nsun7/Rab37/Tenm4/Kdm4d/Iigp1/Ksr2/Ddc/Efhc2/Dnah8/Tnnt2/Arhgap20/Bcl6/Milr1/Bmyc/Art3/Plxdc2/Lad1/Rph3a/Abat/Otx1/St8sia1/Serpina9/Cd74/Cxcl10/Dkk3/Atp9a/Arhgap22/Sptb/Sh3bp5/Cpq/Xcl1/Amigo2/Cmpk2/Fcrl1/Eppk1/Slc22a17/Ehd3/Glt28d2/Kit/Ccn4/Cmah/Crtam/Ccser1/Usp18/Ddx60/Gm4841/Tnfsf4/Rab36/B430305J03Rik/Ldlrad4/Fbxl21/Pik3ip1/Gpr183/Ntn1/Id3/Tbc1d4/Ghrh/Cyp1a1/Trim12a/Apobec2/Pou2af1/Asap1/Fam160a1/Ifit3b/Cnrip1/Arl4d/Myo1h/Igsf3/Bco2/Pdk2/Tlr7/Pcsk1/Ccr6/Ccdc148/Galnt14/Tmie/Dio2/Chst3/Cfap77/Gucy2e/Ttn/Irf7/Wnt10a/Npas4/Tcf7/Fam163a/Cbfa2t3/Ifi44/Steap4/Lypd6b/Sspo/Itga9/Arrdc4/Edn3/Gucy1a1/Slamf6/Ifi204/Colq/Ifit3/Gramd3/Dscam/Capn3/Gm4951/Scml4/Dapl1/Syt6/Islr2/Slc30a3/Il9r/Arl5c/Vwa3b/Nsg2/Pgpep1l/Tlr3/Ifi211/Rasgef1a/Kcnip3/Pou6f1/Nrn1/Kcnq3/Ms4a4c/Cd22/Wnt3/Adamtsl2/Il18/Klrb1f/Dhrs3/Ttyh1/Slc6a12/Samd3
Exp391_CD8---Act48h_dn,Exp391_CD8---Act48h_dn,447,-0.6135329560496302,-2.1426756171283445,1.0041168792047395e-4,6.950989632422244e-4,4.092464904013096e-4,3994,"tags=52%, list=24%, signal=41%",Bin1/Acp5/Carmil2/Gimap1/Tacc1/Dhrs4/Lrch4/Rab4b/Rac2/AI467606/Cd84/Klhl6/Rfxank/Ccpg1/R3hdm4/Coro1a/Rbl2/Bcas3/Gltp/Phf11c/Glmp/Pltp/Tspan14/Tmc8/Sike1/Pglyrp2/Itm2b/Pon2/Dmac2/Wdr81/Ccndbp1/Armc7/Rnasel/Add3/Rnf166/Irak4/Entpd5/Trim14/Plpp6/Evi2b/Lair1/Rassf2/Lrrc8a/Lin37/Ptpre/Inpp1/Sh2d3c/Stk10/Ifi27/Ly6c2/Pced1b/Tbc1d10c/Sun2/Nemp2/Cdc42se2/Vrk3/Rnf167/Ccdc166/Rab8a/Pbxip1/Arl4c/Tmub1/Ctsa/Fut11/Ets1/Gna15/Runx1/Ccm2/Sfxn3/Arhgef1/Cdkn1b/Abi3/Gimap6/Tgfbr2/Zyx/Gata3/Leng9/Adgre5/St3gal1/Cnp/Vsir/Izumo4/Gpsm3/Haao/Arhgap4/Abtb1/Spata13/L1cam/Inpp5k/Syne2/Bin2/Mylip/Tapbp/C130026I21Rik/Traf3ip3/Rtn4rl1/Lfng/Klf3/Lgals8/Pitpnc1/Sgk1/Tmc6/Acsbg1/Abcd1/Tram2/Ubald1/Orai2/Sorl1/AB124611/Shisa5/Tnfaip8l1/Irf2/Syt11/Phyh/Sit1/Itgb7/Shld1/Wdr95/Sp100/Cracr2a/Gpr137b/S1pr4/Cdk2ap2/Rab19/Wscd2/Acss1/Ifit2/B4galnt1/Dhx58/Emc9/Cd101/Gm4070/Ms4a6b/Rcbtb2/Nmi/Arhgap45/Dennd1c/Mxd1/Fam49a/Sntb2/Gas7/Smpdl3a/Isoc2b/Ripor2/Herc6/S1pr1/Sidt1/Oas1c/Lsp1/Ctso/Slfn2/Slfn8/Rab37/Ifitm10/Serpini1/Ms4a6d/Cd96/Oas1a/Grhl2/Ctss/Sla2/Armc3/Arhgef18/Lax1/Uba7/Vamp5/Phf11a/Cmpk2/Hsd11b1/Ehd3/Zfp945/Ms4a4b/Tcp11l2/Rasa3/Usp18/Ypel3/Gbp7/Ddx60/Ctsw/Btg2/Gsdmd/Lpar6/Ildr1/Epsti1/Itga4/Pik3ip1/Fam89a/BC147527/Slc25a45/Slpi/Ifit3b/Trim5/Phf11b/Slc46a3/Cd200r1/Xdh/Rtp4/Apobec1/Mxd4/Txk/Irf7/Itgb3/Ifit3/Apol7e/Gramd3/Cxcr6/Bcl2l11/Cd7/Slfn1/Cd200r4/Klrd1/Baiap3/Mndal/Tmem71/Cd1d1/Cd86/Nod1/Calhm6/Klf2/Ifit1bl1/Ifi203/Rap1gap2/Art2b/Ms4a4c/Ifi206/Pglyrp1/Ifi208/Ifi209/Ifi214/Ifi213/Samd3/Ddx3y/Eif2s3y
Exp391_CD8---Tcf7_promoted,Exp391_CD8---Tcf7_promoted,193,-0.5360091938393265,-1.80326939405138,1.0406910188365075e-4,6.950989632422244e-4,4.092464904013096e-4,3084,"tags=44%, list=19%, signal=36%",Hapln1/1700019D03Rik/Tnfrsf26/Nt5e/Zhx2/Inpp4b/Cd109/Sdhaf1/Aff3/Maged1/Ifnar2/Slc15a3/Lrrk2/Bach2/Ccdc125/Serpine2/F8/Cpm/Map2/Itm2a/Mef2c/Cep112/Lrig1/Slfn5/Ociad2/Penk/Lysmd2/Gstk1/Arhgef9/Atp2b2/Myb/Gpm6b/Aim2/Evl/Gstt3/Emb/Cables1/Dzip1/Ccr7/Enpp2/Slc9b2/Cd9/Wdr19/Bace2/Parp8/Tnfsf8/Rab37/Pacsin1/Vwa5a/Bcl6/Art3/Plxdc2/Cxcl10/Xcl1/Fcrl1/Kcnmb1/Ikzf2/Kit/Crtam/Gm4841/Ceacam16/Eml1/Ldlrad4/Id3/Tbc1d4/Myo1e/Fam81a/Asap1/Tlr1/Tlr6/Tcf7/Slamf6/Ppic/Dapl1/Nsg2/Rasgef1a/Car2/Nrn1/Nrgn/Ms4a4c/Cd22/Wnt3/Spo11/Klrb1f/Samd3
Exp391_CD8---best_cluster_8,Exp391_CD8---best_cluster_8,189,-0.5262610796651821,-1.7721746328347245,1.0447137484329294e-4,6.950989632422244e-4,4.092464904013096e-4,4592,"tags=49%, list=28%, signal=36%",Gabarapl2/Nek7/Selplg/Prkcz/Fry/Dock2/Wbp2/Nlrc3/Hexb/Cpt1a/Cdc42ep3/Pias3/Fmnl1/Lats2/Cd3e/Foxj2/Ypel1/Nipal3/Slc12a6/Tacc1/Bcl9l/Tbc1d8b/Phf21a/Heca/B4galt1/Rbl2/Tmc8/Sike1/Arhgef6/Fgf13/Ctse/Rnasel/Rnf166/Ccng2/Ptpre/Sh2d3c/Stk10/Gimap7/Chd3/Kat2b/Tbc1d10c/Pik3r5/Gab3/Txnip/Ssh1/Arl4c/Ctsa/Aak1/Runx1/Spn/Cdkn1b/Kif21b/Zyx/Gata3/Spata13/Ikzf3/Arntl/Bin2/Lfng/Klf3/Sgk1/Inpp4a/Acsbg1/Fyb/Abcd1/Rasgrp2/Sorl1/Ifngr1/Syt11/Sp100/S1pr4/B3gnt5/Elk3/Dennd1c/Fam49a/Sntb2/Smpdl3a/S1pr1/Lsp1/Pde8a/Cd96/Zfp831/Arhgef18/Lax1/Ehd3/Rasa3/Slc25a45/Cxcr6/Klrd1/Tmem71/Nod1/Klf2
Exp391_CD8---Tim3negBlimp1neg,Exp391_CD8---Tim3negBlimp1neg,151,-0.6370318784364111,-2.1020855929931104,1.0653030787258975e-4,6.950989632422244e-4,4.092464904013096e-4,3047,"tags=60%, list=18%, signal=50%",1700019D03Rik/Wipf3/Il1r2/Ccpg1os/Tnfrsf26/Ar/Nt5e/Actn1/Zhx2/Inpp4b/Aff3/Ifnar2/Lrrk2/Bach2/Galm/Zfp36l1/Hpcal1/Ssbp2/Cyth3/Mx2/Fas/Lrig1/Slfn5/Penk/Ypel2/Mgst2/Gpm6b/Tnfsf11/Evl/Rgs10/Abcg1/Ifit1/Cables1/Dzip1/Ccr7/Enpp2/Cd9/Ikbke/Bace2/Parp8/Sesn3/Tnfsf8/Slc2a6/Rab37/Kdm4d/Dnah8/Vwa5a/Bcl6/Art3/Plxdc2/Lad1/Zfp831/Cxcl10/Sh3bp5/Xcl1/Fcrl1/Ehd3/Ikzf2/Calcoco1/Kit/Tcp11l2/Crtam/Ddx60/Tnfsf4/Ldlrad4/Id3/Tbc1d4/Myo1e/Fam81a/Rnf122/Asap1/Spry2/Tlr1/Tlr7/St6galnac3/Ccr6/Mxd4/Tcf7/Ifi44/Pecam1/Slamf6/Scml4/Dapl1/Arl5c/Nsg2/Pou6f1/Nrn1/Ms4a4c/Cd22/Il18/Samd3
Exp391_CD8---Yao_PRO,Exp391_CD8---Yao_PRO,151,-0.6370318784364111,-2.1020855929931104,1.0653030787258975e-4,6.950989632422244e-4,4.092464904013096e-4,3047,"tags=60%, list=18%, signal=50%",1700019D03Rik/Wipf3/Il1r2/Ccpg1os/Tnfrsf26/Ar/Nt5e/Actn1/Zhx2/Inpp4b/Aff3/Ifnar2/Lrrk2/Bach2/Galm/Zfp36l1/Hpcal1/Ssbp2/Cyth3/Mx2/Fas/Lrig1/Slfn5/Penk/Ypel2/Mgst2/Gpm6b/Tnfsf11/Evl/Rgs10/Abcg1/Ifit1/Cables1/Dzip1/Ccr7/Enpp2/Cd9/Ikbke/Bace2/Parp8/Sesn3/Tnfsf8/Slc2a6/Rab37/Kdm4d/Dnah8/Vwa5a/Bcl6/Art3/Plxdc2/Lad1/Zfp831/Cxcl10/Sh3bp5/Xcl1/Fcrl1/Ehd3/Ikzf2/Calcoco1/Kit/Tcp11l2/Crtam/Ddx60/Tnfsf4/Ldlrad4/Id3/Tbc1d4/Myo1e/Fam81a/Rnf122/Asap1/Spry2/Tlr1/Tlr7/St6galnac3/Ccr6/Mxd4/Tcf7/Ifi44/Pecam1/Slamf6/Scml4/Dapl1/Arl5c/Nsg2/Pou6f1/Nrn1/Ms4a4c/Cd22/Il18/Samd3
Exp391_CD8---TRM_biased,Exp391_CD8---TRM_biased,130,-0.6233230652085928,-2.0372767707580053,1.0788650339842486e-4,6.950989632422244e-4,4.092464904013096e-4,2485,"tags=43%, list=15%, signal=37%",Vsir/Gm8369/Gtf2i/Traf3ip3/Rxra/Klf3/Rapgef4/Pold4/Cd3g/Trim12c/Mgst2/Evl/Rab19/Rgs10/Dhx58/Ifit1/Ncf1/Evi2a/Smpdl3a/Samhd1/Ctso/Ifi27l2a/Cd27/Cd96/Cd79b/Oas1a/Ctss/Armc3/Zbp1/Zfp945/Tcp11l2/Casp1/Pik3ip1/Trim12a/Gbp2/Ifit3b/Rtp4/Mxd4/Irf7/Lcn4/Xaf1/Ifit3/Cxcr6/Cd7/Slfn1/Klrd1/Tmem71/Cd86/Arl5c/Nsg2/Ifit1bl1/Ifi203/Ifi206/Ifi209/Ifi214/Ifi213
Exp391_CD8---Texint_dn,Exp391_CD8---Texint_dn,126,-0.5243601625572432,-1.6997363909151033,1.0821339681852613e-4,6.950989632422244e-4,4.092464904013096e-4,2650,"tags=40%, list=16%, signal=34%",Nt5e/Actn1/Inpp4b/Kbtbd11/Ldhb/Traf1/Syne2/Cyth3/Slfn5/Ly6e/Myb/Msl3l2/Tspan3/Dpp4/Emb/Ifit1/Cd101/Enpp2/Cd9/Afp/Gbp6/Sidt1/Stat1/Tnfsf8/Iigp1/Tgtp1/Pacsin1/Bmyc/Gm12185/Gbp9/Ctss/Cxcl10/Cxcr3/Cmpk2/Crtam/Cd160/Usp18/Tnfsf4/Gpr183/Tox2/Ifi44/Serpina3g/Pecam1/Slamf6/Ifi204/Ifit3/Cd7/Serpina3f/Kcnip3/Pou6f1/Ms4a4c
Exp391_CD8---JJM_CirculatingSignature,Exp391_CD8---JJM_CirculatingSignature,83,-0.6081068405484562,-1.8974025269908632,1.1406410402646287e-4,6.950989632422244e-4,4.092464904013096e-4,2753,"tags=48%, list=17%, signal=40%",Aff3/Spn/Sfxn3/Kbtbd11/St3gal1/Haao/Bin2/Traf3ip3/Lfng/Klhdc1/Rasgrp2/Fam53b/S1pr4/B3gnt5/Acss1/Qprt/Pycard/Fam49a/S1pr1/Sidt1/Smpdl3b/Arhgef18/Sh3bp5/Dgka/Ehd3/Cmah/Rasa3/Apobec2/Tlr1/Tcf7/Slamf6/Dapl1/Tmem71/Nod1/Nsg2/Klf2/Klrb1c/Rap1gap2/Ms4a4c/Samd3
Exp391_CD8---best_cluster_4,Exp391_CD8---best_cluster_4,66,-0.6521694838583825,-1.9803625412570636,1.17813383600377e-4,6.950989632422244e-4,4.092464904013096e-4,2940,"tags=53%, list=18%, signal=44%",Rnf213/Actn1/Inpp4b/Il6st/Bach2/Chst15/Boll/Als2cl/Ssbp2/Mx2/Oas2/Slfn5/Rapgef4/Cd72/Rgs10/Ifit1/Tnfsf8/Ift80/Slc28a2/Pacsin1/St8sia1/Amigo2/Ddx60/Tlr1/Tlr7/Rtp4/Irf7/Pecam1/Ifit3/Dapl1/Nsg2/Slc6a19/Art2b/Itgae/Ccr9
