ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
2016_SCIENCE_Mackay---TRM_vs_TCM-TEM,2016_SCIENCE_Mackay---TRM_vs_TCM-TEM,627,0.13509812847351332,1.8537419227698886,1.0730765103551884e-4,0.002038845369674858,0.001355465065711817,2721,"tags=38%, list=32%, signal=29%",Itk/Sema4g/Lzts2/Tex2/Pipox/Hadh/Rapgefl1/Cdc6/Top2a/Iqgap3/Hic1/Casz1/Itgb4/Camkk1/Itgae/Gsg2/Dmwd/Six5/Eml2/Nr1d1/Rapgefl1/Pvr/Igsf23/Sema3b/Ptprb/Mir23a/Tpi1/Cdca3/Lag3/Tbc1d16/Fbxo25/Cntrob/Kdm6b/Pip4k2a/Rhbdl3/Rragd/Ube2j1/Spink4/Ifnlr1/Lif/Ddit3/R3hdm2/Abhd4/Gadd45b/Sema3b/Vps37b/Pitpnm2/Mmp28/Fam213b/Acsf2/Myo1d/Abhd4/Cd3g/Cd3e/Mpzl2/Jag2/Evi5/Vps37c/Smagp/Gas2l1/Emid1/Tra2a/Ifngr2/Apol7e/Apol9b/Fam83f/A430088P11Rik/Ephx1/Zfp91/Tmem30b/Prkch/Gadd45b/Tbc1d16/Cdc6/Top2a/Tns4/Dmwd/Six5/Aarsd1/Rnd2/Brca1/Gramd1a/P2rx7/Trip4/Sema3b/Sema3f/Xbp1/H2-Q2/Extl1/Pafah2/Cst6/Fosl1/Ctsw/Znrf1/Zfp1/Pde4a/Mlec/Tff3/Rusc2/Cd72/Arhgef39/Car9/Rgp1/Art2b/Tsc22d1/P2rx7/Map3k6/Sytl1/Slc9a1/Ccr5/Ppard/Sema4g/Lzts2/Marcksl1/Hadh/Sfn/Hsd3b7/Cdc42bpa/Gm5069/Soga1/Iqgap3/Flywch2/Prss32/Evi2a/Abhd15/Spag4/Cdc6/Top2a/Mroh6/Mir22hg/Tlcd2/Ece1/Plxnb2/Kifc1/Mir23a/Nup85/Cdc6/Top2a/Prrt1/Tnxb/Cxxc5/Aurkb/Per1/Bri3bp/Gorasp1/Csrnp1/Adam19/Neurl3/Pxn/Asap3/Tcea3/Rps6ka1/Hmgn2/Gjb1/Zmym3/Fam83f/A430088P11Rik/Bcl2l15/Tmem57/Neurl1b/Dusp1/Ergic1/Ryr1/Rasgrp4/2200002D01Rik/Spint2/Slc38a2/Tial1/Ddx5/Smurf2/Napa/Srsf3/Cdkn1a/Klhl5/Lsr/Gramd1a/Efna1/Efna3/Efna4/Srrm1/Ncmap/Pomt1/Lta4h/Cnnm4/Sema4c/Cebpb/Endou/Rapgef3/Vdr/Grn/Tns4/Atp6v0d1/Ctcf/Ralgds/Lpar2/Pbx4/Cilp2/Lcp2/Mthfd2/Efna1/Efna3/Efna4/Fancd2/Irak2/Hic1/Pak1/Marcksl1/P2rx7/Dynll2/Cuedc1/Slc9a3r2/Art2b/Ppfia3/Grb7/Ifi30/Il12rb1/Hic1/Purb/Eml2/Ppm1n/Fosb/Ppp1r13l/Slc25a25/Fam102a/Vps37b/Pitpnm2/Cdkn1a/Sstr3/Ptpn9/Eif5/2810029C07Rik/Bahcc1/Atad5/Scnn1a/Tnfrsf1a/Plekhg6/Ap1m2/Ilf3/Tpi1/Cdca3/Cd3g/Rps6ka1/Grina/Smpd5/Gpaa1/Vps37c/Cd6/Tex2/Ecm1/Acvr1b/Nr4a1/Dynll2/Cuedc1/Pde4a/Fos/Tm4sf5/Sema3b/Sema3f/Cntrob/Kdm6b/Ephx1/Idh2/Pde9a/Cbs/Sulf2/Gstm1/Fdps/Pklr/Soat2/Espl1/Cdc6/Top2a/Smagp/Mthfd2/Krt17/Jup/Tpi1/Cdca3/Baiap2l2/Maff/Tex2/Pdlim7/Nr1d1/Rapgefl1/Mmp14/Fuca1/Ltbr/Scnn1a/Tnfrsf1a/Plekhg6/Adcy6/Cbx6/Dnal1/Mgat3/Atf4/Tex2/Gfod1/Tada2a/Phldb1/Traf4/Nek8/Tlcd1/Cd3g/Cd3e/Mpzl2/Hexim1/Tmem57/Gm5069/Pvr/Igsf23/Entpd8/Tprn/Hsd3b7/Prss8/Fus/Plxnb2/Cdc42ep1/Lgals2/Selenbp1/Rfx5/Pip5k1a/Cebpb/Ryr1/Rasgrp4/2200002D01Rik/Spint2/Rapgefl1/Cdc6/Top2a/Mapkapk3/Cish/Hemk1/6430571L13Rik/Zfp219/Hnrnpc/Ryr1/Rasgrp4/Gm5069/Ucp2/Igtp/Tubg2/Plekhh3/Pdlim7/Tns4/Map7/Gm5069/Lasp1/Srsf3/Cdkn1a/Khk/Cgref1/Mapk13/Lrrc8d/Prss8/Fus/Kctd11/Acap1/Cldn7
2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_up,2018_IMMUNITY_Wang---D5KLRG1hi_vs_Naive_up,107,-0.22385628749959402,-2.3764289348657166,2.4912805181863477e-4,0.0023667164922770304,0.001573440327275588,2807,"tags=54%, list=33%, signal=37%",Hmgn5/Lyrm1/Depdc1a/Cox7c/Gm14288/Gm14434/Gm14288/Gm14434/Gm14288/Gm14434/Popdc2/Pla1a/Rpf2/Amd2/Uqcrb/Tmem29/Gm14288/Gm14434/Gm14288/Gm14434/Bcl2a1b/Tmem37/Dbi/3110009E18Rik/Gm14288/Gm14434/Gm14434/Gm14288/Gm14434/Adam22/Sdcbp2/Gm14288/Gm14434/Gm14288/Gm14434/Adora3/Pttg1/Magohb/Adam22/Pdzd9/Mroh2a/Tmem126a/Calb1/Cetn3/Faxc/Magohb/Calm2/S100a11/Nkg7/Etfb/Fkbp3/Klrk1/Klrc2/Klrc1/Med21/Gm14288/Gm14434/Gm14288/Gm14434/Faxc/Magohb/Klrk1/Klrc2/Klrc1/Klrk1/Klrc2/Klrc1/Olfr918/1500009L16Rik/Anapc13/S100a3/S100a4/S100a5/S100a6/Xcl1/Ska1/Nkg7/Etfb/Adam22/Ica1/Spin4/Chpt1/Klrk1/Pttg1/Gm14288/Gm14434/Fkbp3/Zfp131/Fkbp3/S100a11/Il21/Bcap29/Galnt3/Tmem29/Cetn3/Fabp5/Cd48
2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_up,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_up,142,-0.15936926425872322,-1.832667063841699,0.002077382498052454,0.010896417857773072,0.007244155916525033,2750,"tags=47%, list=32%, signal=32%",Gm14288/Gm14434/Gm14288/Gm14434/Gm14288/Gm14434/Popdc2/Pla1a/Rpf2/Amd2/Uqcrb/Tmem29/Mrps28/Gm14288/Gm14434/2610001J05Rik/Gm14288/Gm14434/Bcl2a1b/Tmem37/Dbi/3110009E18Rik/Hikeshi/Gm14288/Gm14434/Gm14434/Gm14288/Gm14434/Rbmx2/Adam22/Sdcbp2/Gm14288/Gm14434/Pola1/Glrx/Gm14288/Gm14434/Adora3/Pttg1/Magohb/Adam22/Pdzd9/Mroh2a/Arl6/Tmem126a/Calb1/Cetn3/Faxc/Med30/Magohb/Calm2/S100a11/Arl6/Nkg7/Fkbp3/Klrk1/Klrc2/Klrc1/Med21/Gm14288/Gm14434/Gm14288/Gm14434/Faxc/Magohb/Klrk1/Klrc2/Klrc1/Klrk1/Klrc2/Klrc1/Olfr918/1500009L16Rik/S100a2/S100a3/S100a4/S100a5/S100a6/Trpa1/Tspan6/Mcub/Xcl1/Ska1/Nkg7/Adam22/Ica1/Spin4/Chpt1/Prelid2/Klrk1/Pttg1/Gm14288/Gm14434/Fkbp3/Zfp131/Fkbp3/S100a11/Il21/Fabp4/Bcap29/Galnt3/Rfx4/Tmem29/Cetn3/Fabp5/Cd48/Prelid2
2016_SCIENCE_Mackay---TCM_vs_TEM-TRM,2016_SCIENCE_Mackay---TCM_vs_TEM-TRM,71,0.2169380219685999,1.9417824626462203,0.002293982706899594,0.010896417857773072,0.007244155916525033,3411,"tags=54%, list=40%, signal=33%",Pecam1/Milr1/Gpatch4/Ms4a4c/Mri1/Slc26a11/Tdrp/Gabrr2/Tha1/Socs3/Cxcr5/Gm20324/Gart/Rpl27/Fam169b/Gpatch4/Tubb5/Trp53/Hdac10/Mri1/Pprc1/Rplp0/Cxcr5/Pecam1/Milr1/Ccr7/Hcn3/Rps2/Rpl18a/Zcwpw1/Relt/Pecam1/Milr1/Rapgef4/Nat10/Hcn3/Grk6/Ascc1/Pecam1/Milr1/Tha1/Socs3/Ccr7/Hdac10/Terc/Rpgrip1/Eef1g/Grk6/Ccr7/Srpk1/Cxcr5/Hcn3/Mri1/Add1/Rnf157/Rpl18a/Grk6/Rnf157/Crtam/C130036L24Rik/Grwd1/Zcwpw1/Grk6
2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,2018_IMMUNITY_Wang---D5KLRG1lo_vs_Naive_dn,176,0.13342466381006435,1.530344232117774,0.02341343191620456,0.08897104128157732,0.05914972273567467,2620,"tags=38%, list=31%, signal=28%",Rara/Itgae/Thra/Atn1/Tdrp/Dnah2/Socs3/Bach2/Acsf2/Cxcr5/Jag2/Nfam1/Galnt6/Cacng4/Hist2h2aa2/Ifngr2/Dnajc28/Apol8/Rara/Hpn/Apol8/Gal3st3/Gm38431/Tesk1/Pde2a/Igf1r/Coq8a/Vcl/Fgd2/Abhd15/Rara/Zc3h3/Slc43a2/Dnah2/Atp1b2/Dennd6b/Rgl2/Col11a2/Lfng/Ttyh3/Iqce/Slc16a5/Rara/Cxxc5/Psd2/Nrg2/Galnt6/Foxp4/Cxcr5/Gm614/Ldlrap1/Rhd/Catsperg1/Meis3/Hpn/Dcst1/Itga2b/Slc6a19/Slc12a7/Carmil2/Zbtb4/Hcn3/Dcst1/Pkd1/Pde2a/Pik3r2/Ercc2/Zbtb4/Nyap1/Cd79a/Csf2rb/Mpst/Bahcc1/Atn1/Plec/Acvr1b/Rapgef4/Gm38431/Dnah2/Hcn3/Sdc3/Rarg/Rara/Tbc1d13/Galnt6/Jup/Atn1/Prr7/Dok3/Thra/Cnr2/Ltbr/Adcy6/Art4/Cfap74/Fmnl1/Ldlrap1/Rhd/Gm38431/St6gal1/Socs3/Dennd6b/Plaur/Smco1/Catsperg1/Rara/Catsperg1/Coq8a/Cntnap1/Lman1l/Prr7/Dok3
2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,2016_SCIENCE_Mackay---TEM_vs_TCM-TRM,47,-0.18969144902431645,-1.583077522842376,0.03475513428120063,0.09476309226932668,0.06300039375246094,1643,"tags=33%, list=19%, signal=27%",Zeb2/Stk24/Ttc7/Rap2a/Arhgap31/Gm527/Klre1/Klrc3/Klrc2/Klrc1/Klre1/Klrc3/Klrc2/Klrc1/Klre1/Klrc3/Klrc2/Klrc1/Capn2/Klre1/Klrc3/Zeb2/Gm527/Gm527/Fam65a/Zeb2/Cd48
2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,2018_IMMUNITY_Wang---D8MP_vs_D5KLRG1lo_dn,82,0.16955178966447432,1.547560274648936,0.034912718204488775,0.09476309226932668,0.06300039375246094,2596,"tags=42%, list=30%, signal=30%",Cdc6/Top2a/Galk1/Trim47/Dmwd/Cdca3/Eme1/Vwce/Ccdc63/Dnajc14/Cdc6/Top2a/Dmwd/Brca1/P2rx4/Pclaf/Gnat1/Pafah2/Aunip/P2rx4/Marcksl1/Hdac1/Ccdc63/Cdc6/Top2a/Cdc6/Top2a/Ctc1/Aurkb/Gcn1l1/Fancd2/Marcksl1/Hdac1/P2rx4/Npw/Gys1/Atad5/Cdca3/Vwce/Gnat1/Espl1/Cdc6/Top2a/Cdca3/Dnal1/Rfc4/Fam166a/Egfl7/Cdc6/Top2a/Arhgef40/Cntd1
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_dn,19,0.26351663509700496,1.5161654713422719,0.062052055827989436,0.14719529372773218,0.09785836702120701,2080,"tags=44%, list=24%, signal=33%",Cdc6/Galk1/Eme1/Cdc6/Brca1/Pclaf/Marcksl1/Cdc6/Cdc6/Fancd2/Marcksl1/Gys1/Atad5/Cdc6
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1lo_dn,31,0.21981196290093968,1.490995280773064,0.06972408650260999,0.14719529372773218,0.09785836702120701,1898,"tags=38%, list=22%, signal=30%",Cdc6/Galk1/Dmwd/Vwce/Cdc6/Dmwd/P2rx4/Pclaf/Aunip/P2rx4/Marcksl1/Cdc6/Cdc6/Fancd2/Marcksl1/P2rx4/Gys1/Atad5/Vwce
2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,2018_IMMUNITY_Wang---D8EE_vs_D5KLRG1hi_up,61,-0.14829673618940775,-1.365220213724537,0.09410404624277456,0.17879768786127165,0.11886826893824154,2483,"tags=41%, list=29%, signal=29%",Vmn1r68/Pisd-ps1/Pisd-ps1/Gpr183/Spaca6/Trio/Cd46/Pisd-ps1/Pisd-ps1/Ahrr/Styk1/Dzank1/Lmntd1/Pisd-ps1/Zfp579/Pisd-ps1/Gja1/App/Pisd-ps1/Pisd-ps1/Styk1/Pisd-ps1/Vmn2r99/Ldlrad4/Spaca6/Kcnmb4/Pisd-ps1/Styk1/Tespa1/Cd34/Cd46/St6galnac3/Pisd-ps1/Egfr/Tdrp/Cd34/Cd46/Egfr/Myo3b/Mrvi1/Rasgrf2/Ldlrad4/Pfkfb2/Cd34/Cd46
