"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006914","autophagy","120/4008","386/23210",1.54254133535434e-11,1.54254133535434e-11,2.29561975476766e-08,"Rb1cc1/Rufy4/Atg16l1/Sh3bp4/Capn10/Rab3gap1/Acbd5/Gpsm1/Golga2/Vps18/Chmp4b/Map1lc3a/Trp53inp2/Ctsa/Rab33b/Foxo1/Sec22b/Trp53inp1/Rragd/Rraga/Tmem59/Mul1/Usp30/Wipi2/Nod2/Vps4a/Gabarapl2/Map1lc3b/Sesn3/Fez1/Herc1/Sesn1/Stk11/Xbp1/Rab1a/Irgm2/Trim17/Smcr8/Pmp22/Nbr1/Nampt/Scfd1/Psen1/Arsb/Wdr41/Trim13/Retreg1/Tmbim6/Atg101/Gsk3b/Lix1/Tfeb/Washc1/Wac/Rmc1/Pik3c3/Iigp1/Epg5/Atg2a/Wdr45/Mtm1/Atg9a/Bcl2/Vps4b/Qsox1/Nprl3/Pip4k2a/Atg13/Fnbp1l/Synpo2/Sh3glb1/C9orf72/Pink1/Vps13d/Wdfy3/Ulk1/Nod1/Tmem150b/Tbc1d17/Uvrag/Trim21/Trim12a/Trim30a/Eif4g2/Pik3c2a/Tollip/Tpcn2/Lzts1/Atm/Tex264/Fbxl2/Tnfaip3/Sirt1/Tbk1/Rnf185/Mtmr3/Irgm1/Sqstm1/Flcn/Wdr81/Cltc/Stat3/Becn1/Hdac6/Plekhm1/Wipi1/Wdr45b/Lgals8/Atg10/Atg14/Bnip3l/Arsa/Ubxn6/Fez2/Rock1/Npc1/Atg12/Adrb2/Kat5/Lamp2",120
"GO:0061919","process utilizing autophagic mechanism","120/4008","386/23210",1.54254133535434e-11,1.54254133535434e-11,2.29561975476766e-08,"Rb1cc1/Rufy4/Atg16l1/Sh3bp4/Capn10/Rab3gap1/Acbd5/Gpsm1/Golga2/Vps18/Chmp4b/Map1lc3a/Trp53inp2/Ctsa/Rab33b/Foxo1/Sec22b/Trp53inp1/Rragd/Rraga/Tmem59/Mul1/Usp30/Wipi2/Nod2/Vps4a/Gabarapl2/Map1lc3b/Sesn3/Fez1/Herc1/Sesn1/Stk11/Xbp1/Rab1a/Irgm2/Trim17/Smcr8/Pmp22/Nbr1/Nampt/Scfd1/Psen1/Arsb/Wdr41/Trim13/Retreg1/Tmbim6/Atg101/Gsk3b/Lix1/Tfeb/Washc1/Wac/Rmc1/Pik3c3/Iigp1/Epg5/Atg2a/Wdr45/Mtm1/Atg9a/Bcl2/Vps4b/Qsox1/Nprl3/Pip4k2a/Atg13/Fnbp1l/Synpo2/Sh3glb1/C9orf72/Pink1/Vps13d/Wdfy3/Ulk1/Nod1/Tmem150b/Tbc1d17/Uvrag/Trim21/Trim12a/Trim30a/Eif4g2/Pik3c2a/Tollip/Tpcn2/Lzts1/Atm/Tex264/Fbxl2/Tnfaip3/Sirt1/Tbk1/Rnf185/Mtmr3/Irgm1/Sqstm1/Flcn/Wdr81/Cltc/Stat3/Becn1/Hdac6/Plekhm1/Wipi1/Wdr45b/Lgals8/Atg10/Atg14/Bnip3l/Arsa/Ubxn6/Fez2/Rock1/Npc1/Atg12/Adrb2/Kat5/Lamp2",120
"GO:0007015","actin filament organization","123/4008","400/23210",1.93107809542341e-11,1.93107809542341e-11,2.29561975476766e-08,"Nck2/Vil1/Espnl/Arpc5/Fmn2/Prkcq/Gsn/Fmn1/Src/Pak3/Arhgef2/Pakap/Wasf2/Add1/Slit2/Limch1/Pxn/Arpc3/Met/Capza2/Fscn3/Cald1/Gmfg/Shank1/Whamm/Nox4/Pak1/Arrb1/Fchsd2/Arap1/Pdlim3/Tpm4/Rhoa/Clasp2/Arhgap18/Mical1/Rhobtb1/Pcdh15/Avil/Gas7/Inpp5k/Coro6/Rnd2/Baiap2/Fscn2/Phactr1/Rictor/Triobp/Itgb5/Pacsin1/Washc1/Prkce/Rhoq/Bin1/Kank1/Add3/Diaph2/Arhgap6/Myo1b/Cul3/Bcl2/Enah/Prox1/Abi1/Neb/Ttn/Prex1/Clrn1/Fhdc1/S1pr1/Synpo2/C9orf72/Gba2/Braf/Tmsb10/Ctnna2/Arhgap25/Plekhg2/Nckap1/Cotl1/Smad3/Tmod3/Trf/Mybpc1/Cobl/Sptbn1/Pdlim4/Serpinf2/Rflnb/Pecam1/Rhob/Itgb1bp1/Gm16372/Actn1/Tgfb3/Actn2/Nedd9/Dbn1/Rasa1/Jmy/F2rl1/Pik3r1/Map3k1/Fam107a/Gmfb/Ptk2b/Rhobtb2/Sorbs3/Rgcc/Mtss1/Twf1/Rapgef3/Coro7/Emp2/Ezr/Fchsd1/Dpysl3/Capn1/Sorbs1/Pof1b/Tmsb15l/Tmsb15b2/Tmsb15b1",123
"GO:0042326","negative regulation of phosphorylation","135/4008","452/23210",2.0095266224642e-11,2.0095266224642e-11,2.29561975476766e-08,"Nck2/Dgkq/Phlpp1/Dusp10/Rapgef1/Pip5kl1/Eng/Pdpk1/Chp1/Dbndd2/Foxo1/Adar/Lyn/Dnaja1/Plpp3/Camk2n1/Hgf/Slit2/Chrna9/Taok3/P2rx7/Rabgef1/Mlxipl/Cav1/Met/Cdkn1b/Gprc5a/Vrk3/Arrb1/Pde2a/Cyld/Terf2ip/Rhoa/Mical1/Timp3/Ptprr/Ctdsp2/Mir26a-2/Pik3ip1/Xbp1/Spred2/Ppp2ca/Irf1/Sh3bp5l/Smcr8/Per1/Inpp5k/Slfn1/Hexim1/Prkar1a/Slc9a3r1/Psen1/Pde4d/Atxn7/Gsk3b/Kat2b/Washc1/Impact/Ldlrad4/Smad7/Rgn/Dmd/Pid1/Hdac4/Ptprc/Rgs2/Smyd3/Ppp2r5a/Mapk8ip1/Pmepa1/Wwtr1/C9orf72/Shb/Klf4/Jun/Ephb2/Prkcz/Zfyve28/Ppef2/Paqr3/Gbp4/Prkar1b/Gadd45a/Wnk1/Ntf3/Nlrp12/Ceacam1/Spred3/Kirrel2/Ppp1r15a/Chrna7/Lrrk1/Ntrk3/Dusp8/Cdkn1c/Irs2/Pkn1/Birc3/Cdkn2d/Sorl1/Cbl/Gpd1l/Cnksr3/Tnfaip3/Enpp1/Sirt1/Irak3/Ube2b/Tnip1/Flcn/Inca1/Stat3/Pecam1/Socs3/Itgb1bp1/Zmynd11/Sema4d/Fbp1/F2rl1/Sh3bp5/Atg14/Ndrg2/Lats2/Rb1/Angpt1/Socs1/Parp14/Ezr/Mas1/Dusp1/Xdh/Taf7/Smad4/Grk2/Actn3",135
"GO:0016236","macroautophagy","72/4008","194/23210",2.92804592318331e-11,2.92804592318331e-11,2.67592575842921e-08,"Rb1cc1/Rufy4/Atg16l1/Rab3gap1/Gpsm1/Chmp4b/Map1lc3a/Trp53inp2/Rab33b/Sec22b/Trp53inp1/Usp30/Wipi2/Nod2/Gabarapl2/Map1lc3b/Sesn3/Fez1/Sesn1/Rab1a/Irgm2/Smcr8/Nbr1/Scfd1/Psen1/Trim13/Retreg1/Atg101/Lix1/Wac/Pik3c3/Epg5/Atg2a/Wdr45/Mtm1/Atg9a/Qsox1/Nprl3/Pip4k2a/Atg13/Synpo2/Sh3glb1/C9orf72/Pink1/Vps13d/Wdfy3/Ulk1/Nod1/Uvrag/Pik3c2a/Lzts1/Tex264/Sirt1/Tbk1/Mtmr3/Irgm1/Sqstm1/Wdr81/Becn1/Hdac6/Wipi1/Wdr45b/Lgals8/Atg10/Atg14/Bnip3l/Ubxn6/Fez2/Npc1/Atg12/Adrb2/Lamp2",72
"GO:0007264","small GTPase mediated signal transduction","141/4008","485/23210",6.05454664531244e-11,6.05454664531244e-11,4.61101526093005e-08,"Map4k4/Gpr35/Rab7b/Itpkb/Rapgef1/Mapkap1/Rapgef4/Arhgap1/Src/Rab33b/Arhgef11/Arhgef2/Camk2d/Sdcbp/Rab2a/Cavin4/Dab1/Wasf2/Rap1gap/Slit2/Rab35/Ksr2/Brap/Rabgef1/Rasa4/Cyth3/Met/Rab19/Eps8l1/Arhgef1/Arrb1/Eps8l2/Mcf2l/Prag1/Fbxo8/Rab3a/Ripor1/Rab4a/Dnm2/Usp28/Rassf1/Rhoa/Arhgap18/Rhobtb1/Fgd6/Rab1a/Tax1bp3/Rnd2/Gna13/Rab37/Baiap2/Itsn2/Dock4/Sipa1l1/Gdi2/Ripor2/Agtr1a/F2rl2/Spata13/Plaat1/Flot1/Rab5a/Rhoq/Arhgap26/Pdgfrb/Rasgrp2/Dock8/Kank1/Shoc2/Dock11/P2ry10/P2ry10b/Als2/Cul3/Dock10/Rgl1/Ralgps2/Notch1/Garnl3/Ralgps1/Rab14/Dennd1a/Prex1/Rapgef2/Csf1/Abca1/Jun/Rgl2/Cnksr1/Ephb2/Reln/Ulk1/Auts2/Mmd2/Arhgap25/Arhgdib/Kras/Rab4b/Plekhg2/Cyth2/Rras2/Nckap1/Rab20/Rasa3/Nrg1/Psd3/Rab3d/Cbl/Mras/Rab32/Rab21/Rap1b/Dock2/Cdc42se2/Flcn/Rap1gap2/Abr/Pecam1/Cyth1/Timp2/Rhob/Fgd3/Fbp1/Rasgrf2/F2rl1/F2r/Rab2b/Rhobtb2/Gpr18/Trio/Celsr1/Rapgef3/Bcl6/Arhgap31/Rab11b/Sos1/Rock1/Cdh2/Arhgef37/Rab27b/Chm",141
"GO:0007033","vacuole organization","62/4008","162/23210",1.56743792312036e-10,1.56743792312036e-10,1.02319519161887e-07,"Rb1cc1/Rufy4/Atg16l1/Rab3gap1/Rab7b/Vps18/Chmp4b/Map1lc3a/Trp53inp2/Rab33b/Sec22b/Clvs1/Trp53inp1/P2rx7/Wipi2/Tmem106b/Vps4a/Gabarapl2/Map1lc3b/Fez1/Hexa/Anxa2/Rab1a/Irgm2/Smcr8/Gaa/Scfd1/Psen1/Lyst/Atg101/Tfeb/Man2a1/Pik3c3/Atg2a/Wdr45/Mtm1/Atg9a/Vps4b/Nprl3/Pip4k2a/Rab14/Atg13/Synpo2/Sh3glb1/C9orf72/Abca1/Pink1/Ulk1/Myo7a/Pik3c2a/Tpcn2/Rab20/Clvs2/Mtmr3/Irgm1/Becn1/Wipi1/Wdr45b/Hexb/Atg14/Fez2/Atg12",62
"GO:0045785","positive regulation of cell adhesion","122/4008","411/23210",2.84006643745449e-10,2.84006643745449e-10,1.62220110591973e-07,"Map4k4/Il1rl2/Nck2/Cd28/Icos/Igfbp2/Selp/Cd244a/Itpkb/Dusp10/Prkcq/Itga6/Cd59b/Fmn1/Thbs1/Src/Lef1/Ppp3ca/Bcl10/Nr4a3/Tek/Plpp3/Rap1gap/Cyth3/Cav1/Mmrn1/Ndnf/Fbln2/Prkd2/Mex3b/Il4ra/Cyld/Dnm2/Ets1/Hyal1/Rhoa/Cited2/Spock2/Vsir/Icosl/Xbp1/Vwc2/Adam19/Irf1/Pld2/Skap1/Itgb3/Ninj1/Ecm2/Il6st/Selenok/Mmrn2/Triobp/Gsk3b/Smoc2/H2-Ab1/Flot1/Vit/Prkce/Lims2/Malt1/Smad7/Rela/Dock8/Foxp3/Dmd/Ihh/Epb41l5/Ptprc/Gata3/Dpp4/Ada/Prex1/Cd1d1/Il6ra/Csf1/Shb/Ptpru/Tnfrsf14/Prkcz/Col26a1/Card11/Braf/Ceacam1/Iqgap1/Zbtb16/Atm/Smad3/Tgfbr2/Utrn/Myb/Emid1/Flcn/Lgals9/Ccl5/Ccr7/Jup/Stat5b/Itgb1bp1/Lgals8/Nedd9/Dbn1/Itga2/Ptk2b/Egflam/Il7r/Angpt1/Enpp2/Fam49b/Emp2/Socs1/Bcl6/Cd86/Nfkbiz/Runx1/H2-T23/Rock1/Sart1/Capn1/Ldb1/L1cam/Il2rg",122
"GO:0009896","positive regulation of catabolic process","124/4008","422/23210",4.12171689806194e-10,4.12171689806194e-10,2.0926752110511e-07,"Rufy4/Atg16l1/Sh3bp4/Rab3gap1/Rc3h1/Gpsm1/Trp53inp2/Ythdf3/Foxo1/Aadac/Tiparp/Sh3d19/Sec22b/Trp53inp1/Tmem59/Rnf19b/Mul1/Nub1/Chfr/P2rx7/Mlxipl/Cav1/Ctsc/Nod2/Wwp2/Sesn3/Oaz2/Abhd5/Sesn1/Vsir/Pttg1ip/Stk11/Oaz1/Xbp1/Mapk9/Irgm2/Smcr8/Tob1/Tnrc6c/Psen1/Mylip/E330034G19Rik/Trim13/Rnf139/Gtpbp1/Tnrc6b/Gpd1/Gsk3b/Crebrf/Bag6/Tfeb/Prkce/Wac/Csnk1a1/Nedd4l/Smad7/Cpt1a/Stx5a/Adra2a/Nanos1/Rgn/Fmr1/Abcd1/Sumo1/Btg2/Pip4k2a/Mov10/Egf/Sh3glb1/C9orf72/Pink1/Vps13d/Ankib1/Rchy1/Cnot6l/Ulk1/Zc3hav1/Nod1/Nop53/Egln2/Zfp36/Hamp/Trim21/Trim30a/Irs2/Sorl1/Atm/Snx33/Arih1/Pias1/Ppp2r3a/Arih2/Tnfaip3/Sirt1/Mdm2/Tbk1/Rnf185/Irgm1/Flcn/Becn1/Hdac6/Nsf/Smurf2/Trib2/Rnf144a/Zfp36l1/Hecw1/Khsrp/Prxl2c/Mapk8/Ptk2b/Bnip3l/Rnf19a/Csnk1e/Dtx3l/Ezr/Zfp36l2/Rock1/Adrb2/Actn3/Kat5/Fam122a/Ccdc22/Cul4b",124
"GO:0048871","multicellular organismal homeostasis","138/4008","486/23210",5.56204310521695e-10,5.56204310521695e-10,2.54156095997335e-07,"Tfap2b/Col9a1/Il18r1/Plcl1/Inpp5d/Esrrg/Ush2a/Slc28a2/Fgf7/Chmp4b/Trp53inp2/Src/Cebpb/Ntsr1/Flg2/Hrnr/Rpe65/Tmem64/Nr4a3/Ugcg/Sgip1/Add1/Acacb/Ksr2/P2rx7/Mlxipl/Cav1/Met/Nox4/Ampd3/Il4ra/Acsl1/Slc27a1/Nod2/Mrap2/Ip6k1/Il20ra/Pcdh15/Stk11/Ubb/Aloxe3/Inpp5k/Thra/Itgb3/Map2k6/Metrnl/Trgc1/Bmp6/Arrdc3/C1qtnf9/Dcstamp/Scx/Tns2/Abat/Muc13/Iqcb1/Ccdc154/Plcl2/Epas1/Pdgfrb/Csf1r/Aldh1a1/Nanos1/Cyp19a1/Vsig1/Rp1/Prdm14/Slc40a1/Erbb4/Ihh/Per2/Bcl2/Cxcr4/Prdx5/Akt3/Notch1/Wwtr1/Clrn1/Csf1/S1pr1/Aqp3/Bmp8a/Sfn/Grhl3/Prdm16/Nmu/Plac8/Cmklr1/Hnf1a/Kdm3a/Cyp26b1/Kras/Ceacam1/Hamp/Nr1h2/Rcn3/Flt3l/Lrrk1/Crtc3/Bbs2/Ankrd11/Yap1/Piwil4/Rab3d/Acp5/Cldn18/Trf/Sirt1/Trpm2/Appl2/Flcn/Kdm6b/Ccl5/Stat3/Plekhm1/Cd7/Lpin1/Nova1/Slc28a3/Adgrv1/F2r/Nr1d2/Cdhr1/Ptk2b/Rb1/Ednrb/Npr3/Col2a1/Adcy6/Slc11a2/Tulp1/Btbd9/Aqp4/Adrb2/Actn3/Lipa/Ldb1/Gata1",138
