"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019838","growth factor binding","20/892","147/22710",1.30844803006241e-06,1.30844803006241e-06,0.00101508020858526,"Il2ra/Fgfr3/Lrrc32/Trim16/Esm1/Acvrl1/Igfals/Crim1/Kazald1/Hax1/Cd36/Tgfbr3/Ltbp4/Ntrk3/Furin/Col4a1/Wfikkn2/Nkd2/Bmpr1a/Hspa9",20
"GO:0030165","PDZ domain binding","16/892","116/22710",1.23451245848798e-05,1.23451245848798e-05,0.00289994991790036,"Fzd7/Arhgap29/Gng12/Gja1/Hcn2/Kcnj12/Llgl2/Dock4/Prkn/Crim1/Atp2b4/Tgfbr3/Lin7b/Tmem88/Cacna1d/Kcnj4",16
"GO:0019955","cytokine binding","17/892","129/22710",1.23572090270839e-05,1.23572090270839e-05,0.00289994991790036,"Il1rl1/Il18r1/Il2ra/Lrrc32/Il12rb1/Il22ra2/Trim16/Prlr/Acvrl1/Il17f/Hax1/Cd36/Tgfbr3/Ltbp4/Ackr4/Ccr4/Wfikkn2",17
"GO:0017016","Ras GTPase binding","35/892","409/22710",1.49522519511823e-05,1.49522519511823e-05,0.00289994991790036,"Prex2/Fmnl2/Rap1gap/Eps8l1/Sytl2/Mcf2l/Pard6a/Fgd6/Slc6a4/Rab34/Llgl2/Dock4/Rims2/Fgd2/Rasgrp3/Dock10/BC034090/Rabggtb/C9orf72/Evi5/Eps8/Dennd5a/Nckap1/Tbc1d30/Xpot/Srgap1/Arhgef25/Rangrf/Tbc1d16/Stxbp6/Arhgef28/Trio/Rapgef3/Arhgdig/Diaph1",35
"GO:0017048","Rho GTPase binding","19/892","166/22710",2.99146865441214e-05,2.99146865441214e-05,0.00411196774145388,"Prex2/Fmnl2/Eps8l1/Mcf2l/Pard6a/Fgd6/Dock4/Fgd2/Dock10/BC034090/Eps8/Nckap1/Srgap1/Arhgef25/Stxbp6/Arhgef28/Trio/Arhgdig/Diaph1",19
"GO:0031267","small GTPase binding","35/892","424/22710",3.18021928443516e-05,3.18021928443516e-05,0.00411196774145388,"Prex2/Fmnl2/Rap1gap/Eps8l1/Sytl2/Mcf2l/Pard6a/Fgd6/Slc6a4/Rab34/Llgl2/Dock4/Rims2/Fgd2/Rasgrp3/Dock10/BC034090/Rabggtb/C9orf72/Evi5/Eps8/Dennd5a/Nckap1/Tbc1d30/Xpot/Srgap1/Arhgef25/Rangrf/Tbc1d16/Stxbp6/Arhgef28/Trio/Rapgef3/Arhgdig/Diaph1",35
"GO:0050431","transforming growth factor beta binding","6/892","21/22710",0.000117990707974235,0.000117990707974235,0.0130765641769941,"Lrrc32/Acvrl1/Cd36/Tgfbr3/Ltbp4/Wfikkn2",6
"GO:0004812","aminoacyl-tRNA ligase activity","8/892","41/22710",0.000165583066243319,0.000165583066243319,0.0142730666457691,"Eprs/Yars/Iars/Cars/Mars/Tars/Lars/Nars",8
"GO:0016875","ligase activity, forming carbon-oxygen bonds","8/892","41/22710",0.000165583066243319,0.000165583066243319,0.0142730666457691,"Eprs/Yars/Iars/Cars/Mars/Tars/Lars/Nars",8
"GO:0004181","metallocarboxypeptidase activity","6/892","25/22710",0.000336641896796816,0.000336641896796816,0.0261163239936056,"Agbl2/Vash1/Cpb2/Vash2/Cpe/Cpd",6
"GO:0005089","Rho guanyl-nucleotide exchange factor activity","10/892","70/22710",0.000389188677618986,0.000389188677618986,0.0274480435794443,"Prex2/Eps8l1/Mcf2l/Fgd6/Fgd2/Dock10/Eps8/Arhgef25/Arhgef28/Trio",10
"GO:0005088","Ras guanyl-nucleotide exchange factor activity","14/892","127/22710",0.000475065337313929,0.000475065337313929,0.0307125573333654,"Prex2/Eps8l1/Mcf2l/Fgd6/Fgd2/Rasgrp3/Dock10/C9orf72/Eps8/Dennd5a/Arhgef25/Arhgef28/Trio/Rapgef3",14
"GO:0004713","protein tyrosine kinase activity","14/892","130/22710",0.000601871992994985,0.000601871992994985,0.0356222704969378,"Epha2/Yes1/Fgfr3/Dyrk3/Ephb2/Epha8/Tec/Hipk2/Styk1/Ntrk3/Fes/Aatk/Ddr1/Btk",14
"GO:0016874","ligase activity","15/892","146/22710",0.000642844230134699,0.000642844230134699,0.0356222704969378,"Ttll4/Eprs/Yars/Uchl1/Aacs/Acsl1/Iars/Pcx/Fpgs/Asns/Cars/Mars/Tars/Lars/Nars",15
"GO:0005085","guanyl-nucleotide exchange factor activity","18/892","197/22710",0.00080030116817374,0.00080030116817374,0.0371072771204543,"Prex2/Eps8l1/Mcf2l/Fgd6/Dock4/Fgd2/Rasgrp3/Dock10/C9orf72/Eif2b1/Eps8/Dennd5a/Dock3/Arhgef25/Rangrf/Arhgef28/Trio/Rapgef3",18
"GO:0005385","zinc ion transmembrane transporter activity","5/892","20/22710",0.00087569224497648,0.00087569224497648,0.0371072771204543,"Slc39a8/Slc30a8/Slc39a10/Slc39a14/Slc39a6",5
"GO:0008235","metalloexopeptidase activity","8/892","52/22710",0.000891342200575646,0.000891342200575646,0.0371072771204543,"Agbl2/Vash1/Cpb2/Vash2/Anpep/Cpe/Trhde/Cpd",8
"GO:0005522","profilin binding","4/892","12/22710",0.000908801020385618,0.000908801020385618,0.0371072771204543,"Rhoq/Enah/Dbn1/Diaph1",4
"GO:0031543","peptidyl-proline dioxygenase activity","4/892","12/22710",0.000908801020385618,0.000908801020385618,0.0371072771204543,"P4ha3/P4ha2/P4hb/Egln3",4
"GO:0004896","cytokine receptor activity","11/892","97/22710",0.00147768846334071,0.00147768846334071,0.057318757762216,"Il1rl2/Il1rl1/Il18r1/Il2ra/F3/Il12rb1/Il22ra2/Prlr/Ackr4/Ccr4/Il7r",11
"GO:0048029","monosaccharide binding","10/892","85/22710",0.00181160318507149,0.00181160318507149,0.0669248895938692,"Selp/Gys1/P4ha3/P4ha2/Hk2/Siglece/Colec11/Egln3/Galk1/Gck",10
"GO:0008081","phosphoric diester hydrolase activity","10/892","87/22710",0.00215945671522212,0.00215945671522212,0.0737266993531012,"Plcd4/Tulp2/Pde4c/Hmox1/Pld4/Gpld1/Pde6c/Pde1a/Enpp1/Ccl5",10
"GO:0003756","protein disulfide isomerase activity","4/892","15/22710",0.00228082597727369,0.00228082597727369,0.0737266993531012,"Pdia6/P4hb/Ero1l/Pdia2",4
"GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","4/892","15/22710",0.00228082597727369,0.00228082597727369,0.0737266993531012,"Pdia6/P4hb/Ero1l/Pdia2",4
"GO:0072509","divalent inorganic cation transmembrane transporter activity","5/892","25/22710",0.0025503149180932,0.0025503149180932,0.0791402987214605,"Slc39a8/Slc30a8/Slc39a10/Slc39a14/Slc39a6",5
"GO:0005096","GTPase activator activity","19/892","238/22710",0.00281537124830877,0.00281537124830877,0.0798532435589475,"Prex2/Dab2ip/Arhgap29/Rap1gap/Arhgap23/Llgl2/Dock4/Arhgap5/Syngap1/Rasgrp3/Arhgap6/Rgs1/Evi5/Tbc1d30/Srgap1/Tbc1d16/Tbc1d24/Arhgdig/Lars",19
