ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,1.0000,0.8277,0.5997,0.0607,0.0022,0.4431,0.2044,0.1187,0.0141,0.1862,0.5374,0.4504,0.1845,0.2325,0.3530,0.0174,0.2152,0.6190,0.6117,0.6642,0.6262,0.6062,0.6391,0.6174,0.6420,0.5423,0.5861,0.5600,0.6498,0.5984,0.6131,0.6322,0.5931,0.0751,0.2646,0.2424,0.0484,0.5829,0.6646,0.6770,0.6314,0.5965,0.5892,0.3314,0.1641,0.1336,0.6980,0.6902,0.4157,0.0196,0.4995,0.0261,0.1398,0.4397,0.0184,0.4561,0.4919,0.4540,0.0450,0.5803,0.3674,0.2839,0.1144,0.2495,0.0389,0.0374,0.0142,0.3048,0.0044,0.6177,0.6139,0.6780,0.2064,0.6210,0.2707,0.2283,0.1605,0.2107,0.6079,0.2378,0.1720,0.1059
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.8277,1.0000,0.5702,0.0601,0.0012,0.4346,0.2049,0.1251,0.0151,0.1952,0.5129,0.4338,0.1922,0.2403,0.3423,0.0163,0.2173,0.5864,0.5770,0.6268,0.5918,0.5726,0.5999,0.5846,0.6074,0.5415,0.5825,0.5480,0.6183,0.5733,0.5751,0.6073,0.5708,0.0774,0.2560,0.2403,0.0419,0.5901,0.6387,0.6535,0.6217,0.5661,0.5633,0.3339,0.1576,0.1286,0.6762,0.6592,0.4101,0.0198,0.4902,0.0279,0.1404,0.4211,0.0221,0.4550,0.4822,0.4554,0.0470,0.5493,0.3620,0.2845,0.1184,0.2498,0.0393,0.0376,0.0140,0.3075,0.0047,0.5807,0.5755,0.6514,0.1911,0.5843,0.2707,0.2433,0.1660,0.2103,0.5701,0.2423,0.1758,0.1082
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.5997,0.5702,1.0000,0.0677,0.0022,0.4729,0.1658,0.1542,0.0131,0.2304,0.6900,0.5353,0.2309,0.2867,0.4540,0.0146,0.2498,0.9264,0.9359,0.8234,0.8816,0.9269,0.8688,0.9125,0.8689,0.4364,0.5505,0.5256,0.8675,0.7989,0.9004,0.8024,0.7565,0.2100,0.4522,0.4397,0.1330,0.4836,0.7937,0.7941,0.5915,0.9140,0.9131,0.4375,0.3273,0.2629,0.7394,0.7671,0.4276,0.0161,0.5198,0.0212,0.1484,0.4185,0.0160,0.5102,0.6091,0.4699,0.0423,0.8814,0.4865,0.3550,0.0938,0.3007,0.0298,0.0394,0.0095,0.3710,0.0029,0.9285,0.8454,0.7139,0.3539,0.8766,0.2627,0.2740,0.1691,0.2449,0.8992,0.2759,0.1553,0.0926
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0607,0.0601,0.0677,1.0000,0.0101,0.0727,0.0611,0.2738,0.0455,0.1534,0.0846,0.0880,0.1547,0.1626,0.1170,0.0354,0.1811,0.0668,0.0659,0.0700,0.0664,0.0679,0.0688,0.0662,0.0678,0.0520,0.0574,0.0634,0.0607,0.0731,0.0651,0.0733,0.0729,0.0728,0.0838,0.0845,0.0712,0.0586,0.0668,0.0653,0.0717,0.0656,0.0660,0.1105,0.0846,0.0853,0.0648,0.0719,0.1024,0.0259,0.1041,0.0769,0.1953,0.1164,0.0256,0.1079,0.0971,0.1198,0.2581,0.0682,0.1147,0.1336,0.0752,0.1513,0.0143,0.1343,0.0476,0.1456,0.0100,0.0629,0.0684,0.0681,0.0717,0.0649,0.0926,0.1462,0.1615,0.2125,0.0658,0.1718,0.1076,0.1029
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0022,0.0012,0.0022,0.0101,1.0000,0.0030,0.0085,0.0044,0.0000,0.0029,0.0029,0.0038,0.0030,0.0047,0.0029,0.0000,0.0027,0.0021,0.0021,0.0023,0.0022,0.0021,0.0022,0.0022,0.0022,0.0015,0.0012,0.0013,0.0024,0.0024,0.0020,0.0023,0.0017,0.0000,0.0045,0.0015,0.0000,0.0028,0.0025,0.0025,0.0022,0.0023,0.0023,0.0015,0.0043,0.0000,0.0018,0.0026,0.0017,0.0000,0.0027,0.0000,0.0047,0.0033,0.0000,0.0013,0.0021,0.0015,0.0000,0.0021,0.0014,0.0019,0.0068,0.0022,0.0000,0.0175,0.0000,0.0036,0.0000,0.0021,0.0022,0.0009,0.0000,0.0021,0.0000,0.0025,0.0041,0.0029,0.0020,0.0025,0.0045,0.0077
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.4431,0.4346,0.4729,0.0727,0.0030,1.0000,0.3240,0.1360,0.0162,0.1760,0.4820,0.4959,0.1739,0.2331,0.3255,0.0207,0.2203,0.4647,0.4634,0.4767,0.4718,0.4628,0.4665,0.4713,0.4683,0.3184,0.3719,0.3697,0.4965,0.4384,0.4529,0.4559,0.4292,0.1370,0.2946,0.2975,0.0873,0.4333,0.4815,0.4944,0.4648,0.4779,0.4737,0.2993,0.2134,0.1823,0.4794,0.4760,0.4303,0.0176,0.4531,0.0295,0.1490,0.3737,0.0191,0.3254,0.3719,0.3850,0.0474,0.4637,0.3148,0.2669,0.0822,0.2387,0.0317,0.0417,0.0134,0.3055,0.0045,0.4606,0.4589,0.4531,0.2252,0.4590,0.2095,0.2307,0.1402,0.1976,0.4493,0.2240,0.1830,0.1224
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.2044,0.2049,0.1658,0.0611,0.0085,0.3240,1.0000,0.0907,0.0415,0.0895,0.1903,0.2000,0.0859,0.1267,0.1531,0.0080,0.1113,0.1626,0.1622,0.1701,0.1648,0.1601,0.1657,0.1633,0.1678,0.1495,0.1718,0.1520,0.1721,0.1607,0.1574,0.1683,0.1587,0.0876,0.1266,0.1253,0.0446,0.2214,0.1794,0.1816,0.2062,0.1649,0.1649,0.1264,0.0836,0.0878,0.1937,0.1865,0.2459,0.0366,0.2455,0.0607,0.0995,0.2138,0.0199,0.1598,0.1628,0.2063,0.0466,0.1631,0.1452,0.1302,0.0954,0.1232,0.0373,0.0627,0.0207,0.1674,0.0085,0.1623,0.1605,0.1768,0.1047,0.1615,0.1197,0.1290,0.0947,0.1195,0.1580,0.1142,0.1667,0.1352
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.1187,0.1251,0.1542,0.2738,0.0044,0.1360,0.0907,1.0000,0.0254,0.2972,0.1629,0.1851,0.2903,0.3354,0.2799,0.0209,0.2743,0.1538,0.1509,0.1579,0.1516,0.1529,0.1541,0.1519,0.1561,0.1104,0.1441,0.1470,0.1427,0.1637,0.1513,0.1677,0.1694,0.1488,0.1883,0.1818,0.1102,0.1190,0.1607,0.1550,0.1496,0.1537,0.1554,0.2307,0.1575,0.1522,0.1562,0.1607,0.1865,0.0207,0.2062,0.0542,0.2624,0.1822,0.0335,0.2376,0.2222,0.2286,0.1457,0.1494,0.2741,0.2973,0.0882,0.3158,0.0189,0.1625,0.0349,0.3497,0.0044,0.1486,0.1615,0.1507,0.1617,0.1544,0.1410,0.3618,0.2602,0.3491,0.1511,0.3158,0.1645,0.1104
2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.0141,0.0151,0.0131,0.0455,0.0000,0.0162,0.0415,0.0254,1.0000,0.0200,0.0137,0.0088,0.0231,0.0375,0.0188,0.0857,0.0267,0.0121,0.0121,0.0116,0.0102,0.0114,0.0102,0.0115,0.0109,0.0060,0.0072,0.0089,0.0110,0.0118,0.0122,0.0108,0.0125,0.0357,0.0224,0.0247,0.0197,0.0124,0.0090,0.0075,0.0134,0.0123,0.0116,0.0133,0.0189,0.0235,0.0082,0.0087,0.0231,0.4815,0.0229,0.2703,0.0558,0.0177,0.0000,0.0219,0.0182,0.0175,0.0845,0.0128,0.0136,0.0186,0.0123,0.0196,0.0161,0.0580,0.0690,0.0272,0.2222,0.0106,0.0122,0.0103,0.0152,0.0112,0.0261,0.0197,0.0237,0.0195,0.0122,0.0170,0.0435,0.0282
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.1862,0.1952,0.2304,0.1534,0.0029,0.1760,0.0895,0.2972,0.0200,1.0000,0.2790,0.3478,0.8802,0.6118,0.4855,0.0084,0.3663,0.2309,0.2294,0.2437,0.2385,0.2312,0.2440,0.2342,0.2397,0.1744,0.2102,0.1889,0.2161,0.2398,0.2285,0.2381,0.2496,0.1388,0.2182,0.2188,0.0977,0.1975,0.2396,0.2287,0.2352,0.2296,0.2298,0.2832,0.1766,0.1612,0.2284,0.2395,0.2171,0.0140,0.2385,0.0308,0.2315,0.2316,0.0197,0.3180,0.3106,0.2445,0.0699,0.2235,0.3317,0.3636,0.0850,0.3621,0.0105,0.0944,0.0203,0.3583,0.0029,0.2253,0.2435,0.2250,0.1826,0.2339,0.1351,0.3554,0.2109,0.3136,0.2290,0.3357,0.1663,0.0988
