,ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
0,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,1.0000,0.8225,0.5564,0.0543,0.0049,0.3769,0.1546,0.1002,0.0176,0.1190,0.4926,0.3983,0.1147,0.1590,0.2803,0.0183,0.1929,0.5790,0.5724,0.6469,0.6178,0.5847,0.6313,0.5992,0.6432,0.5225,0.5828,0.5386,0.6302,0.5710,0.5514,0.6079,0.5632,0.0620,0.2144,0.1967,0.0342,0.5604,0.6421,0.6580,0.6142,0.5752,0.5674,0.3279,0.1297,0.1025,0.6661,0.6627,0.3867,0.0168,0.4577,0.0226,0.1236,0.3966,0.0136,0.3662,0.4171,0.4287,0.0412,0.4613,0.3164,0.2310,0.0519,0.2009,0.0163,0.0303,0.0123,0.2604,0.0075,0.5879,0.5616,0.6276,0.1543,0.5857,0.2581,0.1899,0.1680,0.1861,0.5445,0.2341,0.1957,0.1219
1,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.8225,1.0000,0.5149,0.0544,0.0047,0.3754,0.1604,0.1030,0.0203,0.1212,0.4738,0.3904,0.1168,0.1636,0.2774,0.0183,0.1961,0.5335,0.5273,0.5978,0.5712,0.5386,0.5797,0.5530,0.5932,0.5060,0.5572,0.5194,0.5835,0.5370,0.5073,0.5697,0.5362,0.0588,0.2054,0.1899,0.0312,0.5500,0.5954,0.6132,0.5960,0.5342,0.5267,0.3252,0.1232,0.0985,0.6281,0.6183,0.3887,0.0190,0.4489,0.0242,0.1259,0.3922,0.0140,0.3611,0.4030,0.4209,0.0441,0.4260,0.3098,0.2300,0.0556,0.2006,0.0173,0.0327,0.0130,0.2618,0.0082,0.5391,0.5221,0.5959,0.1449,0.5373,0.2550,0.1948,0.1707,0.1866,0.5002,0.2384,0.2014,0.1270
2,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.5564,0.5149,1.0000,0.0511,0.0059,0.3616,0.1197,0.1008,0.0154,0.1106,0.5227,0.3840,0.1078,0.1549,0.3075,0.0147,0.1836,0.8662,0.8785,0.7509,0.7891,0.8440,0.7741,0.8252,0.7573,0.4030,0.5105,0.4600,0.7823,0.7208,0.8244,0.7147,0.6828,0.2055,0.4012,0.3882,0.1241,0.4479,0.7432,0.7246,0.5406,0.8526,0.8619,0.3730,0.2931,0.2507,0.6566,0.6946,0.3518,0.0134,0.4301,0.0167,0.1131,0.3518,0.0129,0.3678,0.4657,0.3973,0.0323,0.7424,0.3728,0.2495,0.0416,0.2054,0.0129,0.0272,0.0099,0.2858,0.0049,0.8612,0.7443,0.5853,0.3265,0.7863,0.2272,0.1970,0.1418,0.1763,0.8079,0.2142,0.1565,0.0931
3,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0543,0.0544,0.0511,1.0000,0.0051,0.0603,0.0539,0.2827,0.0193,0.1499,0.0660,0.0715,0.1460,0.1413,0.1047,0.0271,0.1265,0.0494,0.0491,0.0557,0.0535,0.0515,0.0537,0.0515,0.0558,0.0475,0.0504,0.0518,0.0485,0.0586,0.0518,0.0617,0.0636,0.0487,0.0640,0.0633,0.0494,0.0555,0.0566,0.0563,0.0612,0.0512,0.0512,0.0948,0.0598,0.0540,0.0552,0.0578,0.0842,0.0162,0.0970,0.0609,0.1490,0.0878,0.0264,0.1028,0.0860,0.1098,0.2268,0.0456,0.1046,0.1162,0.0462,0.1193,0.0198,0.0889,0.0264,0.1200,0.0100,0.0469,0.0559,0.0550,0.0507,0.0520,0.0613,0.1292,0.1541,0.1997,0.0506,0.1509,0.0886,0.1038
4,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0049,0.0047,0.0059,0.0051,1.0000,0.0059,0.0052,0.0076,0.0242,0.0065,0.0052,0.0048,0.0053,0.0089,0.0094,0.0124,0.0069,0.0050,0.0050,0.0040,0.0044,0.0042,0.0046,0.0041,0.0043,0.0029,0.0032,0.0033,0.0036,0.0036,0.0044,0.0036,0.0040,0.0124,0.0079,0.0088,0.0047,0.0039,0.0038,0.0042,0.0043,0.0052,0.0051,0.0025,0.0107,0.0125,0.0036,0.0036,0.0087,0.0098,0.0056,0.0205,0.0098,0.0045,0.0032,0.0067,0.0077,0.0044,0.0076,0.0104,0.0072,0.0076,0.0029,0.0078,0.0000,0.0143,0.0149,0.0104,0.0151,0.0044,0.0044,0.0033,0.0088,0.0050,0.0046,0.0109,0.0081,0.0073,0.0050,0.0053,0.0075,0.0081
5,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.3769,0.3754,0.3616,0.0603,0.0059,1.0000,0.3011,0.1020,0.0157,0.1144,0.4241,0.4294,0.1103,0.1467,0.2385,0.0181,0.1800,0.3668,0.3656,0.3864,0.3916,0.3794,0.3807,0.3853,0.3870,0.2998,0.3299,0.3165,0.4102,0.3507,0.3397,0.3654,0.3497,0.1073,0.2266,0.2144,0.0659,0.3867,0.3888,0.4032,0.4099,0.3802,0.3820,0.2732,0.1669,0.1442,0.4004,0.3969,0.3772,0.0145,0.4015,0.0205,0.1252,0.3238,0.0163,0.2664,0.2952,0.3419,0.0423,0.3053,0.2536,0.2061,0.0462,0.1800,0.0163,0.0329,0.0132,0.2300,0.0062,0.3752,0.3470,0.3667,0.1670,0.3553,0.1961,0.1829,0.1371,0.1696,0.3348,0.1948,0.2005,0.1354
6,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1546,0.1604,0.1197,0.0539,0.0052,0.3011,1.0000,0.0739,0.0324,0.0840,0.1737,0.1995,0.0795,0.1012,0.1149,0.0180,0.1160,0.1214,0.1209,0.1360,0.1319,0.1253,0.1323,0.1283,0.1359,0.1347,0.1444,0.1389,0.1381,0.1248,0.1116,0.1302,0.1264,0.0372,0.0839,0.0800,0.0209,0.1735,0.1381,0.1447,0.1649,0.1265,0.1271,0.1181,0.0579,0.0519,0.1541,0.1483,0.2063,0.0289,0.2004,0.0315,0.0906,0.1825,0.0176,0.1322,0.1306,0.1755,0.0525,0.0995,0.1162,0.1077,0.0674,0.1026,0.0267,0.0434,0.0173,0.1206,0.0104,0.1236,0.1200,0.1409,0.0600,0.1208,0.1080,0.1051,0.0940,0.1055,0.1109,0.1116,0.1671,0.1460
7,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.1002,0.1030,0.1008,0.2827,0.0076,0.1020,0.0739,1.0000,0.0189,0.2308,0.1183,0.1293,0.2234,0.2516,0.2217,0.0246,0.2088,0.0990,0.0984,0.1095,0.1039,0.1011,0.1064,0.1017,0.1103,0.0920,0.0997,0.1005,0.0956,0.1161,0.1047,0.1222,0.1252,0.0805,0.1217,0.1217,0.0730,0.1020,0.1141,0.1113,0.1161,0.1026,0.1028,0.1776,0.1162,0.1003,0.1078,0.1141,0.1388,0.0179,0.1656,0.0454,0.2124,0.1402,0.0364,0.2144,0.1858,0.1814,0.1494,0.0900,0.2118,0.2435,0.0590,0.2498,0.0198,0.1192,0.0306,0.2722,0.0044,0.0964,0.1161,0.1073,0.1014,0.1087,0.0900,0.3133,0.2133,0.2984,0.1022,0.2589,0.1294,0.1141
8,2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.0176,0.0203,0.0154,0.0193,0.0242,0.0157,0.0324,0.0189,1.0000,0.0210,0.0131,0.0116,0.0174,0.0839,0.0157,0.1128,0.0211,0.0104,0.0108,0.0088,0.0090,0.0103,0.0093,0.0096,0.0092,0.0081,0.0092,0.0094,0.0092,0.0098,0.0099,0.0096,0.0104,0.0219,0.0163,0.0198,0.0137,0.0095,0.0095,0.0089,0.0101,0.0114,0.0107,0.0097,0.0169,0.0175,0.0090,0.0096,0.0313,0.4875,0.0306,0.3244,0.0687,0.0149,0.0142,0.0312,0.0247,0.0126,0.0379,0.0135,0.0126,0.0148,0.0068,0.0193,0.0055,0.1304,0.1758,0.0201,0.2690,0.0114,0.0109,0.0108,0.0189,0.0099,0.0241,0.0220,0.0142,0.0135,0.0106,0.0109,0.0300,0.0229
9,2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.1190,0.1212,0.1106,0.1499,0.0065,0.1144,0.0840,0.2308,0.0210,1.0000,0.1716,0.2253,0.8061,0.4823,0.3219,0.0264,0.2795,0.1116,0.1114,0.1243,0.1245,0.1174,0.1269,0.1190,0.1267,0.1099,0.1168,0.1085,0.1110,0.1260,0.1106,0.1258,0.1312,0.0690,0.1057,0.1047,0.0547,0.1217,0.1220,0.1217,0.1313,0.1141,0.1143,0.1704,0.0913,0.0809,0.1242,0.1284,0.1405,0.0187,0.1475,0.0426,0.1761,0.1494,0.0274,0.2061,0.1821,0.1565,0.0814,0.0958,0.1921,0.2248,0.0555,0.2338,0.0173,0.0828,0.0199,0.2137,0.0069,0.1090,0.1226,0.1229,0.0861,0.1193,0.0921,0.2308,0.1758,0.2253,0.1096,0.2315,0.1437,0.1253
