ChIP,ChIP gene #,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,2017_PNAS_Li___STAT5B_noIL2-CD8,2017_PNAS_Li___STAT5B_IL2-WT-CD4,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-IN1-deletion-CD4,2017_PNAS_Li___STAT5B_IL2-CD8,2017_PNAS_Li___STAT5B_IL2-CD4,2017_PNAS_Li___STAT3_noIL21-CD4,2017_PNAS_Li___STAT3_IL21-CD4,2017_PNAS_Li___H3K4me3-noIL2-CD4,2017_PNAS_Li___H3K4me3_IL2-CD4,2017_PNAS_Li___H3K27Ac-noIL2-CD4,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4,2017_PNAS_Li___H3K27Ac_IL2-CD4,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-CbfbKO,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT,2016_SCIENCE_Mackay___Hobit_invitro-CD8,2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO,2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___IgG-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8,2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT,2013_IMMUNITY_KIM___Foxo1_Biotin_naive-CD8-WT
2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8,8091,1.0000,0.8689,0.7315,0.0691,0.0026,0.4090,0.1664,0.1383,0.0106,0.1575,0.5809,0.4463,0.1533,0.2043,0.3607,0.0220,0.2264,0.7395,0.7382,0.7585,0.7536,0.7306,0.7605,0.7367,0.7642,0.5836,0.6735,0.6335,0.7526,0.7271,0.7407,0.7537,0.7149,0.0685,0.2799,0.2609,0.0340,0.6151,0.7483,0.7579,0.6796,0.7133,0.7087,0.3862,0.1586,0.1202,0.7638,0.7576,0.4507,0.0114,0.5278,0.0176,0.1330,0.4456,0.0114,0.4373,0.5216,0.5070,0.0524,0.7143,0.4348,0.3321,0.0701,0.2916,0.0167,0.0454,0.0105,0.3451,0.0062,0.7408,0.7333,0.7691,0.2122,0.7459,0.3113,0.2482,0.1831,0.2073,0.7426,0.2649,0.2175,0.1233
2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8,7425,0.8689,1.0000,0.6914,0.0638,0.0028,0.4002,0.1695,0.1288,0.0113,0.1580,0.5587,0.4470,0.1556,0.1927,0.3547,0.0235,0.2285,0.6985,0.6949,0.7130,0.7128,0.6939,0.7118,0.6997,0.7162,0.5664,0.6493,0.6052,0.7124,0.6922,0.6926,0.7145,0.6839,0.0662,0.2679,0.2594,0.0315,0.6146,0.7093,0.7148,0.6708,0.6796,0.6749,0.3812,0.1495,0.1103,0.7310,0.7153,0.4456,0.0112,0.5111,0.0169,0.1261,0.4487,0.0112,0.4253,0.5000,0.4992,0.0539,0.6711,0.4186,0.3209,0.0737,0.2851,0.0168,0.0474,0.0103,0.3363,0.0066,0.6973,0.6919,0.7304,0.1977,0.6984,0.3052,0.2523,0.1904,0.2063,0.6943,0.2656,0.2126,0.1260
2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8,14161,0.7315,0.6914,1.0000,0.0704,0.0035,0.4389,0.1577,0.1476,0.0104,0.1529,0.6384,0.4642,0.1503,0.2090,0.3936,0.0194,0.2332,0.9461,0.9500,0.9055,0.9156,0.9410,0.9092,0.9291,0.9101,0.5432,0.6977,0.6260,0.9184,0.8260,0.9236,0.8511,0.7807,0.1279,0.3484,0.3331,0.0573,0.5794,0.8909,0.8869,0.6965,0.9361,0.9385,0.4375,0.2101,0.1596,0.8610,0.8853,0.4462,0.0111,0.5585,0.0159,0.1347,0.4488,0.0117,0.4909,0.5984,0.5443,0.0483,0.9052,0.4990,0.3756,0.0690,0.3257,0.0159,0.0435,0.0110,0.3802,0.0048,0.9420,0.8729,0.7917,0.2716,0.9144,0.3054,0.2665,0.1721,0.2149,0.9190,0.2642,0.1939,0.1090
2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8,821,0.0691,0.0638,0.0704,1.0000,0.0000,0.0789,0.0868,0.2802,0.0531,0.1777,0.0850,0.0838,0.1767,0.1926,0.1315,0.0476,0.1607,0.0668,0.0668,0.0701,0.0672,0.0688,0.0671,0.0671,0.0692,0.0561,0.0634,0.0636,0.0646,0.0754,0.0682,0.0742,0.0807,0.0569,0.0879,0.0848,0.0330,0.0614,0.0722,0.0703,0.0709,0.0719,0.0718,0.1219,0.0652,0.0802,0.0697,0.0724,0.1084,0.0619,0.1140,0.0672,0.1952,0.1035,0.0427,0.1148,0.1035,0.1164,0.2774,0.0711,0.1183,0.1328,0.0615,0.1473,0.0238,0.1267,0.0901,0.1443,0.0472,0.0644,0.0722,0.0704,0.0758,0.0684,0.0750,0.1496,0.1576,0.2310,0.0680,0.1748,0.1070,0.1277
2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT,214,0.0026,0.0028,0.0035,0.0000,1.0000,0.0046,0.0042,0.0000,0.0000,0.0000,0.0041,0.0057,0.0000,0.0062,0.0033,0.0000,0.0028,0.0034,0.0034,0.0035,0.0035,0.0034,0.0034,0.0035,0.0035,0.0012,0.0018,0.0031,0.0036,0.0030,0.0033,0.0036,0.0040,0.0051,0.0057,0.0039,0.0000,0.0034,0.0029,0.0029,0.0028,0.0043,0.0043,0.0015,0.0031,0.0040,0.0038,0.0022,0.0030,0.0000,0.0035,0.0000,0.0000,0.0029,0.0000,0.0039,0.0032,0.0037,0.0132,0.0041,0.0038,0.0033,0.0000,0.0038,0.0000,0.0000,0.0000,0.0085,0.0000,0.0041,0.0042,0.0031,0.0023,0.0040,0.0022,0.0097,0.0000,0.0000,0.0033,0.0000,0.0000,0.0000
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT,5045,0.4090,0.4002,0.4389,0.0789,0.0046,1.0000,0.3445,0.1472,0.0153,0.1529,0.4785,0.4857,0.1524,0.2032,0.3187,0.0227,0.2213,0.4297,0.4332,0.4317,0.4353,0.4383,0.4306,0.4373,0.4289,0.3224,0.3579,0.3439,0.4394,0.4211,0.4203,0.4271,0.4157,0.1198,0.2955,0.2867,0.0578,0.4092,0.4287,0.4387,0.4519,0.4379,0.4375,0.3183,0.1978,0.1521,0.4342,0.4373,0.4681,0.0153,0.4528,0.0198,0.1578,0.3657,0.0091,0.3466,0.3793,0.3926,0.0652,0.4369,0.3242,0.2947,0.0622,0.2685,0.0182,0.0610,0.0199,0.3058,0.0092,0.4313,0.4250,0.4135,0.2134,0.4192,0.2228,0.2592,0.1620,0.2002,0.4224,0.2329,0.2185,0.1443
2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-ToxKO,1603,0.1664,0.1695,0.1577,0.0868,0.0042,0.3445,1.0000,0.1034,0.0247,0.1169,0.2044,0.2296,0.1184,0.1384,0.1625,0.0195,0.1607,0.1568,0.1578,0.1611,0.1605,0.1583,0.1600,0.1586,0.1600,0.1442,0.1498,0.1439,0.1601,0.1576,0.1527,0.1620,0.1613,0.0729,0.1583,0.1589,0.0325,0.1786,0.1619,0.1646,0.1763,0.1588,0.1568,0.1637,0.1122,0.1060,0.1662,0.1651,0.2407,0.0288,0.2250,0.0280,0.1140,0.2091,0.0080,0.1702,0.1692,0.2011,0.0702,0.1593,0.1590,0.1559,0.0665,0.1514,0.0197,0.0679,0.0245,0.1765,0.0169,0.1572,0.1560,0.1637,0.1235,0.1555,0.0971,0.1664,0.1290,0.1408,0.1538,0.1423,0.1700,0.1721
2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE,1642,0.1383,0.1288,0.1476,0.2802,0.0000,0.1472,0.1034,1.0000,0.0127,0.2821,0.1719,0.1698,0.2934,0.3516,0.2986,0.0285,0.2632,0.1430,0.1424,0.1477,0.1400,0.1442,0.1413,0.1429,0.1474,0.1238,0.1480,0.1343,0.1352,0.1578,0.1468,0.1564,0.1680,0.1297,0.1787,0.1893,0.0692,0.1274,0.1555,0.1514,0.1475,0.1491,0.1471,0.2486,0.1767,0.1377,0.1449,0.1483,0.1888,0.0126,0.2065,0.0377,0.2419,0.1660,0.0340,0.2563,0.2248,0.2116,0.1840,0.1476,0.2627,0.2853,0.0861,0.3122,0.0331,0.1462,0.0254,0.3361,0.0043,0.1418,0.1553,0.1541,0.1454,0.1457,0.1129,0.3475,0.2397,0.3449,0.1463,0.3355,0.1843,0.1386
2017_PNAS_Li___STAT5B_noIL2-CD8,282,0.0106,0.0113,0.0104,0.0531,0.0000,0.0153,0.0247,0.0127,1.0000,0.0247,0.0103,0.0113,0.0295,0.0408,0.0130,0.1316,0.0223,0.0101,0.0102,0.0083,0.0090,0.0104,0.0096,0.0097,0.0083,0.0083,0.0055,0.0072,0.0100,0.0106,0.0092,0.0079,0.0080,0.0196,0.0207,0.0254,0.0312,0.0067,0.0093,0.0087,0.0102,0.0107,0.0108,0.0088,0.0244,0.0195,0.0083,0.0096,0.0150,0.5500,0.0166,0.3103,0.0498,0.0117,0.0312,0.0168,0.0138,0.0085,0.0488,0.0104,0.0125,0.0131,0.0000,0.0133,0.0000,0.1111,0.2308,0.0135,0.3750,0.0102,0.0097,0.0094,0.0235,0.0093,0.0151,0.0216,0.0074,0.0122,0.0099,0.0097,0.0167,0.0233
2017_PNAS_Li___STAT5B_IL2-WT-CD4,1746,0.1575,0.1580,0.1529,0.1777,0.0000,0.1529,0.1169,0.2821,0.0247,1.0000,0.2080,0.2561,0.8373,0.5565,0.3746,0.0397,0.3417,0.1544,0.1538,0.1595,0.1565,0.1575,0.1576,0.1578,0.1576,0.1430,0.1508,0.1472,0.1487,0.1672,0.1519,0.1628,0.1723,0.1091,0.1672,0.1643,0.0635,0.1495,0.1611,0.1596,0.1752,0.1538,0.1576,0.2421,0.1562,0.1348,0.1592,0.1625,0.1834,0.0204,0.1885,0.0405,0.2113,0.1746,0.0370,0.2410,0.2227,0.1916,0.1131,0.1506,0.2521,0.2697,0.0801,0.2872,0.0360,0.1074,0.0287,0.2812,0.0084,0.1486,0.1608,0.1619,0.1332,0.1547,0.1167,0.2926,0.2010,0.2667,0.1530,0.2886,0.2191,0.1618
