,ChIP
0,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TN
1,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-MP
2,2014_NAT_IMMUNOL_Kurachi___H3K4me1-invitro-d3-CD8
3,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TE
4,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-MP
5,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-WT
6,2017_NAT_IMMUNOL_Shan___H3K27Ac_LCMVarmD4-P14-CD8-Runx3KO
7,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-Memory
8,2017_PNAS_Li___H3K27Ac_IL2-WT-CD4
9,2017_PNAS_Li___H3K27Ac_IL2-IN2-deletion-CD4
10,2017_PNAS_Li___H3K27Ac-noIL2-CD4
11,2017_PNAS_Li___H3K27Ac_IL2-CD4
12,2014_NAT_IMMUNOL_Kurachi___H3K27ac-invitro-d3-CD8
13,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-TE
14,2013_PLOS_ONE_Lotem___H3K4me1_invitro-NAV-CD8
15,2020_PNAS_KwesiMaliepaard___H3K4me3_mem-CD8
16,2017_PNAS_Li___H3K27Ac_IL2-UP-deletion-CD4
17,2017_PNAS_Li___H3K27Ac_IL2-IN1-deletion-CD4
18,2014_NAT_IMMUNOL_Kurachi___H3K4me3-invitro-d3-CD8
19,2017_PNAS_Li___H3K4me3-noIL2-CD4
20,2017_PNAS_Li___H3K4me3_IL2-CD4
21,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
22,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-WT
23,2017_NAT_IMMUNOL_Shan___H3K4Me3_LCMVarmD4-P14-CD8-Runx3KO
24,2017_NAT_IMMUNOL_Yu___H3K4me1_P14-CD8-Memory
25,2014_NAT_IMMUNOL_Kurachi___H3K36me3-invitro-d3-CD8
26,2020_PNAS_KwesiMaliepaard___H3K79me2_naive-CD8
27,2020_PNAS_KwesiMaliepaard___H3K79me2_mem-CD8
28,2021_GoldrathLab_Brd4___BRD4_TE-CD8
29,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-Memory
30,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TE
31,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-MP
32,2017_NAT_IMMUNOL_Yu___H3K4me3_P14-CD8-TN
33,2017_NAT_IMMUNOL_Yu___H3K27ac_P14-CD8-TN
34,2017_PNAS_Li___STAT5B_IL2-UP-deletion-CD4
35,2021_GoldrathLab_Brd4___BRD4_NAV-CD8
36,2021_GoldrathLab_Brd4___BRD4_MP-CD8
37,2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
38,2017_PNAS_Li___STAT5B_IL2-IN2-deletion-CD4
39,2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
40,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
41,2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
42,2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
43,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO
44,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
45,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
46,2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
47,2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8
48,2017_PNAS_Li___STAT5B_IL2-CD4
49,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
50,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
51,2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
52,2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
53,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO
54,2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO
55,2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
56,2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
