,ChIP
0,sc_P7_arm_up
1,sc_P7_cl13_up
2,nascent_Il2_repressed
3,sc_P2_arm_up
4,sc_P4_arm_up
5,sc_d5_arm_up
6,d5_KLRG1hi_Runx3_repressed
7,d5_KLRG1lo_Runx3_promoted
8,nascent_Il2_promoted
9,sc_P6_arm_up
10,nascent_48h_dn
11,d5_KLRG1hi_Runx3_promoted
12,sc_P9_arm_up
13,ChIP
14,d5_KLRG1lo_all
15,d5_KLRG1hi_all
16,sc_d8_cl13_up
17,nascent_48h_up
18,sc_all
19,nascent_all
20,sc_P2_cl13_up
21,sc_P5_cl13_up
22,sc_P4_cl13_up
23,sc_P6_cl13_up
24,sc_P9_cl13_up
25,sc_P3_cl13_up
26,d5_KLRG1lo_Runx3_repressed
27,sc_d8_arm_up
28,sc_P3_arm_up
29,sc_P5_arm_up
30,sc_d5_cl13_up
