,ChIP
0,sc_P7_arm_up
1,sc_P2_arm_up
2,sc_P4_arm_up
3,sc_P9_arm_up
4,ChIP
5,d5_KLRG1lo_all
6,d5_KLRG1hi_all
7,nascent_48h_up
8,sc_all
9,nascent_all
10,sc_P9_cl13_up
11,d5_KLRG1lo_Runx3_promoted
12,sc_d8_cl13_up
13,sc_P6_arm_up
14,d5_KLRG1hi_Runx3_repressed
15,nascent_48h_dn
16,d5_KLRG1hi_Runx3_promoted
17,sc_P7_cl13_up
18,nascent_Il2_repressed
19,nascent_Il2_promoted
20,sc_d5_arm_up
21,sc_P2_cl13_up
22,d5_KLRG1lo_Runx3_repressed
23,sc_d8_arm_up
24,sc_P3_arm_up
25,sc_P4_cl13_up
26,sc_P5_cl13_up
27,sc_P6_cl13_up
28,sc_P5_arm_up
29,sc_P3_cl13_up
30,sc_d5_cl13_up
