,ChIP
0,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2018_FRONTIERS_IMMUNOL_Li___Eomes_invitro-act-OTI-EomesOE
1,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2017_PNAS_Li___STAT5B_IL2-CD8
2,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2013_PLOS_ONE_Lotem___Runx3_invitro-Il2-CD8
3,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Il12-WT
4,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-Nfat1KO-CA-RIT-RV
5,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-PI-1h-WT
6,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2018_IMMUNITY_Page___Tox_LCMVova_CNS-OTI-CD8-WT
7,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2014_NAT_IMMUNOL_Kurachi___BATF-invitro-d3-CD8
8,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2014_NAT_IMMUNOL_Kurachi___IRF4-invitro-d3-CD8
9,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2015_IMMUNITY_Martinez___Nfat1_invitro-CD8-Nfat1KO-CA-RIT-RV
10,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-Bach2KO
11,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2016_NAT_IMMUNOL_Roychoudhuri___JunD_invitro-stim-CD8-WT
12,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2014_NAT_IMMUNOL_Kurachi___JunD-invitro-d3-CD8
13,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-WT
14,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2014_NAT_IMMUNOL_Kurachi___cJun-invitro-d3-CD8
15,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2013_IMMUNITY_KIM___Foxo1_naive-CD8-WT
16,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2016_NAT_IMMUNOL_Xing___Tcf1_naive-CD8-WT
17,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2021_GoldrathLab_Brd4___BRD4_NAV-CD8
18,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2017_NAT_IMMUNOL_Shan___CBFb_Naive_P14-CD8-WT
19,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2021_GoldrathLab_Brd4___BRD4_MP-CD8
20,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2021_GoldrathLab_Brd4___BRD4_TE-CD8
21,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2015_JEM_Dominguez___Tbet_LCMVarm-D8-CD8-Zeb2KO
22,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2017_NAT_IMMUNOL_Shan___CBFb_LCMVarmD8_P14-CD8-WT
23,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2016_SCIENCE_Mackay___Blimp1-Bio_invitro-CD8
24,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2013_PLOS_ONE_Lotem___Runx3_invitro-NAV-CD8
25,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-Memory---2019_IMMUNITY_Veeken___Eomes_LCMV-d07-CD8
26,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
27,2017_NAT_IMMUNOL_Shan___H3K4Me1_LCMVarmD4-P14-CD8-Runx3KO---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
28,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN---2016_SCIENCE_Mackay___Hobit_invitro-CD8
29,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8---2016_SCIENCE_Mackay___Hobit_invitro-CD8
30,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8
31,2018_SCIENCE_Pace_native___H3K9me3_native_invitro-d3-CD8-WT---2016_SCIENCE_Mackay___Hobit_invitro-CD8
32,2013_PLOS_ONE_Lotem___H3K4me1_invitro-Il2-CD8---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
33,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-MP---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
34,2014_NAT_IMMUNOL_Kurachi___H3K27me3-invitro-d3-CD8---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
35,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN---2014_NAT_IMMUNOL_Kurachi___JunB-invitro-d3-CD8
36,2017_NAT_IMMUNOL_Yu___H3K27me3_P14-CD8-TN---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
37,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-Runx3KO---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
38,2017_NAT_IMMUNOL_Shan___H3K27Me3_LCMVarmD4-P14-CD8-WT---2016_NAT_IMMUNOL_Roychoudhuri___p300_invitro-CD8-WT
