ID,count
ENSMUSE00001343744,1
ENSMUSE00000522066,0
ENSMUSE00001339323,0
ENSMUSE00000869502,23
ENSMUSE00001343235,1
ENSMUSE00001341983,1
ENSMUSE00001342074,3
ENSMUSE00001345089,1
ENSMUSE00001336948,1
ENSMUSE00001341225,18
ENSMUSE00001004195,0
ENSMUSE00001345236,2
ENSMUSE00001345397,25
ENSMUSE00000837314,701
ENSMUSE00001255376,684
ENSMUSE00000730558,1729
ENSMUSE00001230529,549
ENSMUSE00000777602,119
ENSMUSE00000703287,1354
ENSMUSE00001206040,1348
ENSMUSE00000747600,3
ENSMUSE00000912814,1
ENSMUSE00001338479,1344
ENSMUSE00000385288,1334
ENSMUSE00001342184,1087
ENSMUSE00000230808,249
ENSMUSE00001341886,72
ENSMUSE00001345433,291
ENSMUSE00001341804,2
ENSMUSE00001342914,3
ENSMUSE00001343112,0
ENSMUSE00000154063,4
ENSMUSE00000554252,4
ENSMUSE00000863532,3
ENSMUSE00000863721,260
ENSMUSE00000230531,939
ENSMUSE00000997941,304
ENSMUSE00000154068,670
ENSMUSE00000848395,119
ENSMUSE00001276978,433
ENSMUSE00000858689,53
ENSMUSE00000850861,287
ENSMUSE00000854166,40
ENSMUSE00001254227,32
ENSMUSE00001243306,126
ENSMUSE00001310124,77
ENSMUSE00001246930,60
ENSMUSE00001054859,16
ENSMUSE00001344827,2
ENSMUSE00000824119,323
ENSMUSE00000794948,323
ENSMUSE00000630855,59
ENSMUSE00000630853,59
ENSMUSE00000796004,4
ENSMUSE00000746001,3
ENSMUSE00000775067,9
ENSMUSE00000730905,0
ENSMUSE00001339893,0
ENSMUSE00001339810,10
ENSMUSE00001337469,0
ENSMUSE00001337169,0
ENSMUSE00001341158,0
ENSMUSE00001343950,7
ENSMUSE00000630850,966
ENSMUSE00001298878,909
ENSMUSE00001253077,821
ENSMUSE00001289349,940
ENSMUSE00001273110,254
ENSMUSE00001339503,49
ENSMUSE00001237796,93
ENSMUSE00001304350,140
ENSMUSE00000501172,33
ENSMUSE00000664209,0
ENSMUSE00001344861,0
ENSMUSE00001345188,1
ENSMUSE00001344143,3
ENSMUSE00001346220,1
ENSMUSE00001338294,14
ENSMUSE00001339509,1
ENSMUSE00001341492,12
ENSMUSE00000660495,5
ENSMUSE00001337974,0
ENSMUSE00001340748,0
ENSMUSE00001344273,7
ENSMUSE00000522850,0
ENSMUSE00000463933,220
ENSMUSE00000754750,386
ENSMUSE00001146417,388
ENSMUSE00001238822,185
ENSMUSE00000713089,38
ENSMUSE00000553798,11
ENSMUSE00001104564,29
ENSMUSE00001144804,29
ENSMUSE00001175967,8
ENSMUSE00001320401,250
ENSMUSE00000553717,250
ENSMUSE00001332231,19
ENSMUSE00001317996,85
ENSMUSE00001323164,32
ENSMUSE00001328436,16
ENSMUSE00000441750,13
ENSMUSE00000403774,13
ENSMUSE00001272844,6
ENSMUSE00001338319,0
ENSMUSE00000793282,5
ENSMUSE00001330861,14
ENSMUSE00001328527,119
ENSMUSE00001308033,2423
ENSMUSE00000813321,424
ENSMUSE00001290187,354
ENSMUSE00001291361,305
ENSMUSE00001255443,2304
ENSMUSE00001375985,310
ENSMUSE00001329916,191
ENSMUSE00001335581,313
ENSMUSE00001296903,249
ENSMUSE00001264927,401
ENSMUSE00001232269,54
ENSMUSE00001319119,316
ENSMUSE00001320539,117
ENSMUSE00000437961,588
ENSMUSE00000842702,67
ENSMUSE00000785480,55
ENSMUSE00001214644,60
ENSMUSE00000757737,49
ENSMUSE00000846663,0
ENSMUSE00000714198,1
ENSMUSE00001328030,3
ENSMUSE00001332127,3
ENSMUSE00000847095,0
ENSMUSE00000604640,154
ENSMUSE00001323408,1
ENSMUSE00001327265,26
ENSMUSE00001329717,13
ENSMUSE00001322541,28
ENSMUSE00000317484,28
ENSMUSE00001319596,16
ENSMUSE00001323222,8
ENSMUSE00000728032,299
ENSMUSE00001265206,51
ENSMUSE00001321665,299
ENSMUSE00001338877,1
ENSMUSE00001324278,22
ENSMUSE00001318393,5
ENSMUSE00001339941,2
ENSMUSE00001323765,1
ENSMUSE00001002979,0
ENSMUSE00001315176,0
ENSMUSE00001117731,1
ENSMUSE00001310078,0
ENSMUSE00001114091,2
ENSMUSE00001332287,76
ENSMUSE00000360632,76
ENSMUSE00000412216,76
ENSMUSE00001331115,1
ENSMUSE00000630782,4
ENSMUSE00000576165,0
ENSMUSE00001331416,4
ENSMUSE00001317776,0
ENSMUSE00001331848,8
ENSMUSE00000553058,16
ENSMUSE00000847868,1
ENSMUSE00000966774,0
ENSMUSE00001325743,12
ENSMUSE00000458133,2
ENSMUSE00001343997,3
ENSMUSE00000712472,83
ENSMUSE00000959346,158
ENSMUSE00000901644,158
ENSMUSE00001338186,1
ENSMUSE00001338750,0
ENSMUSE00000664342,0
ENSMUSE00001323159,1
ENSMUSE00001335144,694
