"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",1701.32151081776,0.391338840085041,0.193878989536835,2.01846956712496,0.0435423805536161,0.154826054594423
"ENSMUSG00000000003",0.0474375977968173,0,7.3561311249555,0,1,NA
"ENSMUSG00000000028",995.064553352172,-0.280234821653026,0.480546237421164,-0.583158913400085,0.55978632714306,0.737652192143414
"ENSMUSG00000000037",1.66843330816786,-2.67490848119139,4.40607330359261,-0.607095773692719,0.543787354760461,NA
"ENSMUSG00000000049",1.10049141013358,1.85268945903247,3.18467193047069,0.5817520609599,0.560733698893175,NA
"ENSMUSG00000000056",265.820024047919,-0.65327544138881,0.265662703647459,-2.45904085300481,0.0139308764407111,0.0766741167129337
"ENSMUSG00000000058",18.0580486226462,4.18844255620056,1.90317467251784,2.20076623374742,0.0277525771669431,NA
"ENSMUSG00000000078",2059.65155456506,-0.0917177133363356,0.208090442165244,-0.440758894940033,0.659387554470935,0.808566725947689
"ENSMUSG00000000085",45.0171770851084,0.108674154162092,0.469679717619905,0.231379278442759,0.817020161835781,NA
"ENSMUSG00000000088",13149.3256856376,0.639581058617261,0.212314333201613,3.01242525161933,0.00259169254453673,0.0304986676223161
"ENSMUSG00000000093",0.833974806742692,1.02365685929393,5.38694926127305,0.190025338952611,0.849289274672336,NA
"ENSMUSG00000000094",0.730445150156794,2.97181557913293,4.38886441953935,0.677126312196457,0.498325815738884,NA
"ENSMUSG00000000103",0,NA,NA,NA,NA,NA
"ENSMUSG00000000120",1.31265432772076,-3.7391079684902,2.8043771539918,-1.33331137831011,0.18242964124714,NA
"ENSMUSG00000000125",1.8983099007691,-1.73544217817303,1.88973678649458,-0.918351270174633,0.358434993640729,NA
"ENSMUSG00000000126",3.25797625853244,3.17301692271141,2.74953926485614,1.15401767971385,0.248492920689206,NA
"ENSMUSG00000000127",9.08898378211513,0.245777892757369,1.07894179245471,0.227795321745947,0.819805363798725,NA
"ENSMUSG00000000131",834.043420291976,0.0405165896208508,0.187065830305058,0.216590007671514,0.828527873624832,0.916107162279806
"ENSMUSG00000000134",124.513649644893,-0.124457889058144,0.329862578848034,-0.377302237473505,0.705949009593272,0.839433393287139
"ENSMUSG00000000142",78.3626428238715,0.102501894090311,0.355434588635087,0.288384691214018,0.773052284842406,0.882200627530268
"ENSMUSG00000000148",115.900701756655,-0.0131830037205786,0.315277967883359,-0.0418139072929315,0.966647048293144,0.989888225113969
"ENSMUSG00000000149",97.821757868687,0.198331074067744,0.366533885602429,0.541098877506975,0.588439431892308,0.757834871107768
"ENSMUSG00000000154",0.516466671582844,1.54526018663974,7.34691721714749,0.21032769813074,0.833411918772231,NA
"ENSMUSG00000000157",3.13692253758151,0.251390788298035,2.74638681359947,0.091535098789874,0.927067418486274,NA
"ENSMUSG00000000159",1.70819455907494,4.33817228863374,3.47946996197486,1.24679113084554,0.212474093380545,NA
"ENSMUSG00000000167",52.0045955912329,-0.97127478294672,0.468607978502854,-2.07268084945934,0.038201991174905,NA
"ENSMUSG00000000168",454.457581092296,0.0655771069278159,0.175553185341721,0.373545525819811,0.708742468588873,0.840844851416348
"ENSMUSG00000000171",4319.40163514553,0.669606374263593,0.26389073226663,2.53743800895227,0.0111667142937151,0.0669799580056881
"ENSMUSG00000000182",0.505301381658391,-0.626805687411482,7.15237468373649,-0.0876360251143933,0.93016596841879,NA
"ENSMUSG00000000183",4.44707460603382,-0.0996934835101985,1.06157440339664,-0.0939109714695618,0.925179878384985,NA
"ENSMUSG00000000184",4290.06582627519,-0.311754394162887,0.320659851379412,-0.972227713640435,0.330937276237056,0.540177505879013
"ENSMUSG00000000194",310.749452493997,-0.686958868178988,0.295184585264555,-2.32721795944497,0.019953667632994,0.0955167092262206
"ENSMUSG00000000197",0.466411324258141,0.692905335930764,6.4103866460526,0.108091036342939,0.913923478456322,NA
"ENSMUSG00000000202",0.270658395505959,0,7.3561311249555,0,1,NA
"ENSMUSG00000000204",36.048611011514,-0.364639995053616,1.42777420111565,-0.255390519571434,0.798421492360134,NA
"ENSMUSG00000000214",0.714760574213785,-1.56661705180821,7.20556401622808,-0.217417685594069,0.827882849717514,NA
"ENSMUSG00000000215",0.239029942711049,-2.08270411020408,7.28677968487895,-0.28581955270666,0.775016331679996,NA
"ENSMUSG00000000216",0.146752199072213,-1.1615599206179,7.35565966295784,-0.157913766248235,0.874524750276368,NA
"ENSMUSG00000000223",8.25971787335611,-1.44510926282083,1.15178272120827,-1.25467176769664,0.209597938624667,NA
"ENSMUSG00000000244",1585.20506657472,-0.554484349667728,0.269113737452319,-2.06040893681977,0.0393594632695329,0.145012409399677
"ENSMUSG00000000247",6.08022003998921,-3.43330457588195,1.9183721622723,-1.78969682911538,0.0735026624410538,NA
"ENSMUSG00000000248",6.83394294311006,-0.0877543699205922,1.61877675486377,-0.0542102977800525,0.956767616308375,NA
"ENSMUSG00000000253",1.80865895571956,-0.77377192042838,3.79812156201273,-0.203724896055812,0.838568485940179,NA
"ENSMUSG00000000263",0.112691048855594,-2.15792411587608,7.28506251429554,-0.296212161754489,0.767068061650198,NA
"ENSMUSG00000000266",2.52602723413798,0.946990580975711,2.0190475893051,0.469028360694379,0.63904936432154,NA
"ENSMUSG00000000275",701.397787226894,0.0687378697346704,0.147826486997291,0.464990213397481,0.641938465017747,0.796480698719773
"ENSMUSG00000000276",235.386114138003,-0.472180461302779,0.260231007385045,-1.81446656202705,0.0696059261985078,0.205262152447569
"ENSMUSG00000000278",405.86250300946,-0.80122532722964,0.314550808762572,-2.54720479143456,0.0108589686297574,0.0660678044658319
"ENSMUSG00000000282",126.972436484188,-0.167969445526033,0.388952912359856,-0.431850335062227,0.665850193223882,0.813696306885475
"ENSMUSG00000000290",4323.31441485585,-0.292596395349414,0.177403678850675,-1.64932540996345,0.0990809866712131,0.256525812793332
"ENSMUSG00000000295",1412.23114048746,0.686419293653821,0.289127798120336,2.37410341764554,0.0175916225361552,0.0882142311960454
"ENSMUSG00000000296",0.242045448738024,1.85095340942503,7.35467872867421,0.2516701922286,0.801295998686224,NA
"ENSMUSG00000000301",60.6024322384012,0.0641189570407829,0.45211879489312,0.141818826744286,0.887223112785216,NA
"ENSMUSG00000000303",2.71883115859009,-0.192779479070538,1.6129007762407,-0.119523458547687,0.904860656017057,NA
"ENSMUSG00000000305",1.22313780076088,1.08984943332071,4.13419002792869,0.263618611132578,0.792073816075951,NA
"ENSMUSG00000000308",1.07292399504328,-1.5771992040998,2.88529095908733,-0.546634369449763,0.584629951739629,NA
"ENSMUSG00000000317",2.82254569961249,-3.44854455703781,2.54854500878462,-1.35314249705262,0.176010111413765,NA
"ENSMUSG00000000318",1.88608239949677,0.897041968408628,2.75877279612347,0.325159784694528,0.74506014343938,NA
"ENSMUSG00000000320",17.755409341088,-1.1648354414998,0.927926139313673,-1.25531051680617,0.20936605885086,NA
"ENSMUSG00000000325",6.21289797232721,-1.12135992815937,1.41301823136192,-0.793591974449303,0.427433006121574,NA
"ENSMUSG00000000326",916.2666979051,-0.011631252091679,0.205569059535139,-0.0565807525606295,0.954879167210415,0.984619860428603
"ENSMUSG00000000339",879.420654072716,0.496268093426913,0.189491160690831,2.61895115116537,0.00882005766616279,0.0580268866491645
"ENSMUSG00000000340",210.189729949757,-0.559428400878459,0.318977136226936,-1.75381974863695,0.0794613980281188,0.223083192135176
"ENSMUSG00000000346",8164.01389029619,0.694378646561284,0.279417483162084,2.48509376973556,0.0129517313846961,0.073242485547895
"ENSMUSG00000000355",2357.33230236493,0.824766432053309,0.255710820187534,3.22538730057821,0.00125802354946283,0.0219322094998944
"ENSMUSG00000000359",0.76482498663481,1.58448655476796,4.0622039849709,0.390055881149776,0.696495225762144,NA
"ENSMUSG00000000365",2.74336013392108,-0.824623609501146,2.29899958576568,-0.358688020044382,0.719828491457098,NA
"ENSMUSG00000000374",421.109955516135,-0.863608126585115,0.275043593429074,-3.13989544645698,0.00169008141336844,0.0249535210838113
"ENSMUSG00000000378",1363.98781023497,0.163251597530075,0.206731150398674,0.789680690187471,0.429714271190431,0.632290201059454
"ENSMUSG00000000381",0,NA,NA,NA,NA,NA
"ENSMUSG00000000384",432.934965214909,-0.655449592939928,0.28150467987971,-2.32837902808582,0.0198919862541448,0.0954525651078745
"ENSMUSG00000000385",0.229708053813971,-3.15675496548382,7.24922648362914,-0.435460938158394,0.663227886336384,NA
"ENSMUSG00000000386",331.723671579045,0.0160804596529535,0.348500271254017,0.0461418856148686,0.963197161650016,0.98849708709618
