"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",1701.32151081776,0.466101136235969,0.193699774944131,2.40630706138098,0.0161147135977683,0.0399111969688349
"ENSMUSG00000000003",0.0474375977968173,0,7.3561311249555,0,1,NA
"ENSMUSG00000000028",995.064553352172,6.42019174980161,0.363812947288844,17.6469578602006,1.07387116020678e-69,2.2822664508881e-67
"ENSMUSG00000000037",1.66843330816786,0.128562732937206,4.21505641589474,0.0305008332634417,0.975667628843472,NA
"ENSMUSG00000000049",1.10049141013358,-0.0591398434111651,3.41542691130867,-0.0173155054834726,0.98618491587094,NA
"ENSMUSG00000000056",265.820024047919,-0.0811673821117753,0.26002613611635,-0.312150860386806,0.754925875177399,0.839334326487088
"ENSMUSG00000000058",18.0580486226462,8.24881818275829,1.79500038755325,4.59544089235668,4.31835196429781e-06,2.6201667184611e-05
"ENSMUSG00000000078",2059.65155456506,-1.35977231171508,0.208902687902743,-6.50911831420829,7.55931683102042e-11,9.75269694843792e-10
"ENSMUSG00000000085",45.0171770851084,-2.30438552815326,0.509671074160769,-4.52131903296197,6.14554851293379e-06,3.61853393721115e-05
"ENSMUSG00000000088",13149.3256856376,1.82242462362474,0.212105695911554,8.59205885911087,8.54246069078068e-18,2.14269982908944e-16
"ENSMUSG00000000093",0.833974806742692,-0.803256610564672,5.45449999559742,-0.147264939263547,0.882922905126307,NA
"ENSMUSG00000000094",0.730445150156794,2.19768847237252,4.41141350163776,0.498182378858073,0.618355501252847,NA
"ENSMUSG00000000103",0,NA,NA,NA,NA,NA
"ENSMUSG00000000120",1.31265432772076,-0.383093484350621,2.51122525202997,-0.152552418004296,0.878751250598494,NA
"ENSMUSG00000000125",1.8983099007691,-3.1186596631149,2.04721402403484,-1.52336767260335,0.127666745119969,NA
"ENSMUSG00000000126",3.25797625853244,5.55121692623274,2.63298114232246,2.10833903707195,0.0350016735696983,0.0769889958364538
"ENSMUSG00000000127",9.08898378211513,0.656742872306134,1.05248237807513,0.623994174142128,0.532631411102291,0.660965652101943
"ENSMUSG00000000131",834.043420291976,0.00837000961461823,0.186652283328027,0.0448427925197602,0.964232615882697,0.979403554705275
"ENSMUSG00000000134",124.513649644893,0.0721845019642002,0.327539044254269,0.220384418989033,0.825571778971959,0.889481905041583
"ENSMUSG00000000142",78.3626428238715,-1.59224057778662,0.367265444355709,-4.33539447355271,1.45498962264165e-05,7.89328106080897e-05
"ENSMUSG00000000148",115.900701756655,-0.558826274420171,0.3196607799542,-1.74818529348592,0.08043194732584,0.153980917296833
"ENSMUSG00000000149",97.821757868687,0.0969313401232881,0.366660273936356,0.264362809427544,0.791500366159483,0.865461048361969
"ENSMUSG00000000154",0.516466671582844,4.56441220808261,7.23597839083734,0.630794062881995,0.52817518590473,NA
"ENSMUSG00000000157",3.13692253758151,3.71255934034957,2.42763586430592,1.52929003683632,0.126192558435933,0.221870359588811
"ENSMUSG00000000159",1.70819455907494,4.55361352516047,3.48134799821416,1.30800297111819,0.190872301542832,NA
"ENSMUSG00000000167",52.0045955912329,0.265205986865144,0.428660201884474,0.618685816176184,0.53612335574371,0.664324930332598
"ENSMUSG00000000168",454.457581092296,0.580165001520062,0.172684876151093,3.35967465391953,0.000780343094851003,0.00282710339846158
"ENSMUSG00000000171",4319.40163514553,1.52715124419412,0.263552801795741,5.79447926103891,6.85334916035293e-09,6.62579840429717e-08
"ENSMUSG00000000182",0.505301381658391,-3.55501612827077,7.24209893111434,-0.490882016675759,0.62350989694679,NA
"ENSMUSG00000000183",4.44707460603382,-0.471748633214898,1.07927396215781,-0.4370981324072,0.662040181669326,0.766821765879621
"ENSMUSG00000000184",4290.06582627519,-2.05427399236741,0.321186522368724,-6.39589101440904,1.59613824238237e-10,1.97036625886559e-09
"ENSMUSG00000000194",310.749452493997,-0.0652092471093676,0.291454060271996,-0.223737651993978,0.822961446474815,0.88783361152522
"ENSMUSG00000000197",0.466411324258141,-2.239242510445,6.51047323359674,-0.343944661179096,0.730887903761589,NA
"ENSMUSG00000000202",0.270658395505959,3.45128405169113,7.25780905856707,0.475526983948036,0.634411404723953,NA
"ENSMUSG00000000204",36.048611011514,6.16266662009395,1.14946249872581,5.36134639183562,8.26039470389473e-08,6.76620976604961e-07
"ENSMUSG00000000214",0.714760574213785,1.39280045866,7.13038101954227,0.195333244442723,0.845132072998219,NA
"ENSMUSG00000000215",0.239029942711049,1.35384808278367,7.17810030872337,0.188608130919872,0.850399959642935,NA
"ENSMUSG00000000216",0.146752199072213,-1.23997865092636,7.35565966295784,-0.168574772045358,0.866131125530351,NA
"ENSMUSG00000000223",8.25971787335611,0.183888965338478,1.02803483738174,0.178874254696288,0.858036438507016,0.912026160340622
"ENSMUSG00000000244",1585.20506657472,-1.6728023760685,0.269932864457825,-6.19710526700189,5.75110395719157e-10,6.61166753909005e-09
"ENSMUSG00000000247",6.08022003998921,1.58058691040995,1.33258977371726,1.18610163576515,0.235582164640482,0.363591825642872
"ENSMUSG00000000248",6.83394294311006,3.02500875118879,1.48884954094859,2.03177599078378,0.0421763388488777,0.0901600218942911
"ENSMUSG00000000253",1.80865895571956,4.1808401853956,3.5392137544117,1.18129066948389,0.237487272635661,NA
"ENSMUSG00000000263",0.112691048855594,-2.23634284618454,7.28506251429554,-0.306976479858085,0.758861274801907,NA
"ENSMUSG00000000266",2.52602723413798,1.14440155108803,1.99139623380748,0.574672951399518,0.565512504000581,NA
