"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048018","receptor ligand activity","158/4249","489/22710",2.57767881729864e-13,2.57767881729864e-13,2.4745716646067e-10,"Sema6b/Mia/Cxcl16/Tg/Nenf/Wnt1/Vegfa/6030468B19Rik/Fgf4/Fgf15/Erfe/Il27/C1qtnf12/Il24/Il19/Il10/Pdgfa/Slurp1/Nrtn/Metrnl/Tnfsf9/Tnfsf12/Pdgfb/Ccl27a/Ifna1/Ifna4/Ifna6/Penk/Trh/Hbegf/Ogn/Lep/Ccn6/Il12a/Bmp8a/Wnt2/Il2/Bmp15/Ntf5/Tnfsf10/Nts/Gdf15/Csf2/Il3/Prl8a9/Spp1/Nampt/Il23a/Prl7b1/Ucn/Cxcl13/Pgf/Tnfsf11/Prl2a1/Tshb/Il9/Cxcl11/Prl5a1/Lgals3/Tnf/Vip/Lta/Nppc/Cmtm2a/Tafa1/Apln/Bmp1/Fgf14/Igf1/Cxcl14/Cd70/Tnfsf14/Fgf11/Zfp106/2610528A11Rik/Ccl1/Pmch/Cmtm8/Il31/Sct/Fgf21/Il22/Fgf22/Tnfsf4/Il1a/Stc1/Jag2/Fasl/Ifng/Prl3d2/Prok1/Sema3g/Kitl/Ins1/Tgfb1/Grn/Hamp2/Tafa3/Efna5/Stc2/Retn/Osm/Hmgb2/Lif/Tff1/Ebi3/Wnt7b/Oxt/Sema6c/Mstn/Ccl9/Ccl3/Ccl4/Saa1/Saa2/Bdnf/Pnoc/Rln1/Adm2/Xcl1/Sema6d/Wnt9b/Inhbe/Ifna2/Ctf2/Ctf1/Gm13283/Igf2/Adm/Ifnk/Il17a/Gdf3/Osgin2/Ostn/Wnt10a/Uts2b/Il12b/Hdgf/Sema7a/Defb14/Retnlb/Cxcl5/Crlf1/Ccl20/Tnfsf13b/Sema4c/Il1rn/Sema5b/Egf/Cga/Grp/Timp1/Il1f8/Bmp4/Gpi1/Il13/Prl2c3/Mif",158
"GO:0005125","cytokine activity","78/4249","215/22710",8.636655435772e-10,8.636655435772e-10,3.56312906000066e-07,"Cxcl16/Wnt1/Vegfa/6030468B19Rik/Il27/Il24/Il19/Il10/Slurp1/Tnfsf9/Tnfsf12/Ccl27a/Ifna1/Ifna4/Ifna6/Il12a/Bmp8a/Wnt2/Il2/Bmp15/Tnfsf10/Gdf15/Csf2/Il3/Spp1/Nampt/Il23a/Cxcl13/Tnfsf11/Il9/Cxcl11/Tnf/Lta/Cmtm2a/Bmp1/Cxcl14/Cd70/Tnfsf14/2610528A11Rik/Ccl1/Cmtm8/Il31/Il22/Tnfsf4/Il1a/Fasl/Ifng/Kitl/Tgfb1/Grn/Osm/Lif/Ebi3/Mstn/Ccl9/Ccl3/Ccl4/Xcl1/Inhbe/Ifna2/Ctf2/Ctf1/Gm13283/Ifnk/Il17a/Gdf3/Il12b/Cxcl5/Crlf1/Ccl20/Tnfsf13b/Il1rn/Timp1/Il1f8/Bmp4/Gpi1/Il13/Mif",78
"GO:0140097","catalytic activity, acting on DNA","71/4249","190/22710",1.11347783125021e-09,1.11347783125021e-09,3.56312906000066e-07,"Exo1/Mcm6/Gins1/Rad51/Gm960/Brip1/Pcna/Polh/Rfc2/Ddx11/Eme1/Polg2/Gins2/Eri2/Rad51c/Top2a/Mgme1/Poll/Rad54l/Dnmt3a/Tdp1/Gen1/Ruvbl2/Pif1/Chtf18/Mre11a/Gm3086/Rbbp8/Neil3/Pola2/Aplf/Ddx1/Blm/Dnase2b/Mcm2/Pola1/Lig1/Lig3/Dhx9/Dna2/Rfc4/Ercc6l/Rad54b/Poln/Atrx/Tdg/Supv3l1/Rev1/Polq/Xrcc3/Dnmt3b/Polk/Mpg/Mcm5/Mcm7/Recql4/Zranb3/Pold3/Dscc1/Dnmt1/Rfc3/Hmga1/Cdc45/Mbd4/Fen1/Mcm4/Tert/Pold1/Dclre1a/Pole/Rad18",71
"GO:0015293","symporter activity","56/4249","145/22710",1.59550603306118e-08,1.59550603306118e-08,3.09293490957865e-06,"Slc12a3/Slc4a8/Slc38a1/Mfsd12/Slc15a1/Slc5a2/Gm21985/Slc18a1/Slc13a3/Slc12a4/Slc17a7/Slc16a3/Slc6a12/Slc22a3/Slc22a1/Slc4a7/Slc1a4/Slc36a4/Slc1a5/Slc1a7/Slc17a5/Slc5a5/Slc5a6/Slc45a3/Slc2a6/Slc13a4/Slc10a4l/Slc12a2/Slc16a1/Slc4a5/Slc16a11/Slc16a13/Slc12a1/Slc5a11/Slc23a1/Slc23a2/Slc4a11/Slc34a1/Slc17a2/Slc2a4/Slc33a1/Slc6a13/Mfsd2b/Slc6a14/Mfsd2a/Slc6a9/Slc6a6/Slc10a6/Slc6a4/Slc1a2/Slc25a18/Slc38a3/Slc5a1/Slc5a3/Slc17a1/Slc15a3",56
"GO:0005126","cytokine receptor binding","103/4249","327/22710",1.61090359873888e-08,1.61090359873888e-08,3.09293490957865e-06,"Spred1/Cxcl16/Vegfa/Casp3/Il27/Hsd17b7/Il10/Trim37/Siva1/Ngfr/Acvr2b/Tnfsf9/Tnfsf12/Ccl27a/Ifna1/Ifna4/Cnih4/Ifna6/Nes/Socs2/Il12a/Bmp8a/Il2/Bmp15/Ntf5/Tnfsf10/Smad6/Gdf15/Csf2/Il3/Prl8a9/Il23a/Prl7b1/Cxcl13/Pgf/Tnfsf11/Prl2a1/Tgfbrap1/Il9/Cxcl11/Prl5a1/Tnf/Lta/Il12rb1/Ceacam1/Tyk2/Cxcl14/Cd70/Tnfsf14/2610528A11Rik/Ccl1/Il31/Ccl27b/Tnfsf4/Il1a/Fasl/Ifng/Prl3d2/Stat3/Kitl/Itch/Tgfb1/Efna5/Osm/Lif/Ebi3/Nup85/Mstn/Ccl9/Ccl3/Ccl4/Dab2ip/Tlr9/Bdnf/Xcl1/Snx25/Inhbe/Ifna2/Ctf2/Ctf1/Gm13283/Ifnk/Adam17/Gdf3/Ccrl2/Il12b/Tmbim1/Defb14/Cd44/Cxcl5/Crlf1/Ccl20/Tnfsf13b/Angpt2/Il1rn/Lifr/Il1f8/Bmp4/Grin2b/Lyn/Il13/Prl2c3/Mif",103
"GO:0016887","ATPase activity","115/4249","379/22710",2.50262317624659e-08,2.50262317624659e-08,3.4634509358188e-06,"Dqx1/Mcm6/Rad51/Fignl2/Atp2a2/Gm960/Atp2a1/Rfc2/Myh3/Ide/Myo1c/Ddx11/Abcc12/Kif11/Lonp1/Abcb10/Rad51c/Kif22/Dnah2/Kif14/Clpb/Atp13a2/Kif15/Msh4/Atp1b2/Top2a/Srcap/Cenpe/Dnah7a/Kifc1/Rad54l/Kifc5b/Xrcc2/Ruvbl2/Atp6v0e2/Atp6v1c2/Spata5/Kif20a/Dnah7c/Atp5b/Pif1/Entpd2/Abcb6/Chtf18/Gtf2h4/Kif4/Wdr63/Gm4869/Abcd3/Abcb8/Abcb1b/Blm/Mcm2/Atp6v0a4/Abcb4/Abcb1a/Abcb7/Katnal2/Hspa9/Abcc6/Dhx9/Dna2/Atad2/Rfc4/Ercc6l/Fignl1/Rad54b/Kif5a/Atp6v0a1/Msh6/Atp1a2/Abcf2/Dnaic2/Dnah1/Atrx/Kif7/Kif2b/Atp12a/Rad51b/Polq/Xrcc3/Kif18b/Wdr60/Mcm5/Atp7b/Kif20b/Wdr34/Atad5/Entpd1/Mcm7/Zranb3/Kif18a/Tnnt1/Abcc3/Myo19/Tnnt2/Nvl/Dscc1/Shoc1/Abce1/Rfc3/Atp1b1/Atp4b/Hspa13/Atp6v1a/Hspa1l/Msh5/Ddx4/Ddx25/Dync1i1/Rad18/Vwa8/Dync2h1/Rfc1/Cpox",115
"GO:0015081","sodium ion transmembrane transporter activity","55/4249","143/22710",2.52543297403454e-08,2.52543297403454e-08,3.4634509358188e-06,"Slc12a3/Slc9b2/Slc4a8/Slc24a1/Grik1/Slc9a5/Scn4a/Slc5a2/Slc18a1/Slc13a3/Slc17a7/Atp1b2/Scnn1g/Slc6a12/Slc22a3/Slc22a1/Hcn2/Slc4a7/Grik3/Slc5a5/Grik4/Slc5a6/Scn9a/Scn5a/Asic3/Slc13a4/Slc10a4l/Scn3b/Slc12a2/Atp1a2/Slc4a5/Slc24a2/Atp12a/Slc12a1/Grik5/Slc5a11/Slc23a1/Slc23a2/Slc4a11/Slc34a1/Scn1b/Slc6a13/Atp1b1/Atp4b/Slc6a14/Slc6a9/Slc6a6/Slc10a6/Slc6a4/Slc1a2/Slc5a1/Slc5a3/Slc9a4/Trpm2/Cpox",55
"GO:0017116","single-stranded DNA-dependent ATP-dependent DNA helicase activity","15/4249","20/22710",7.01498621980889e-08,7.01498621980889e-08,7.48265196779615e-06,"Mcm6/Rad51/Rfc2/Pif1/Chtf18/Mcm2/Dhx9/Dna2/Rfc4/Polq/Mcm5/Mcm7/Dscc1/Rfc3/Rad18",15
"GO:0043142","single-stranded DNA-dependent ATPase activity","15/4249","20/22710",7.01498621980889e-08,7.01498621980889e-08,7.48265196779615e-06,"Mcm6/Rad51/Rfc2/Pif1/Chtf18/Mcm2/Dhx9/Dna2/Rfc4/Polq/Mcm5/Mcm7/Dscc1/Rfc3/Rad18",15
"GO:0050662","coenzyme binding","91/4249","288/22710",9.17148769591642e-08,9.17148769591642e-08,8.80462818807977e-06,"Alas1/P4ha3/Pcx/Acaca/Bdh2/Hsd17b1/Acadvl/Sirt1/Nfs1/Gpt2/Hsd11b2/P3h2/Aspdh/Aldh1a3/Prmt8/Acox1/Idh1/Soat2/Dbil5/Crym/Sirt3/Aldh1a1/Fasn/Pnpla3/Kmo/Cyb5r1/Kcnab1/Acox2/G6pd2/Pygl/Dhfr/Egln3/Nos3/P4ha2/Aifm2/Prodh2/Suv39h2/P3h1/Dhcr24/Tkt/Tpmt/Srd5a1/Shmt2/Cbs/Plod3/Dld/P4ha1/Plod2/Gphn/Got2/Nos2/Kyat3/Acbd7/Hpgd/Maoa/Ahcy/Grhpr/Phgdh/Aifm1/Gadl1/Sord/Gcat/Acadl/Foxred2/Dmgdh/G6pdx/Sqle/Cryz/P3h3/Aadat/Phykpl/Acot7/Parp1/Shmt1/Qsox1/Me1/Txnrd1/Pgd/Hmgcr/Alas2/Mthfr/Adh7/Adh4/Txnrd3/Got1/Acot12/Aldh2/Hmbs/Mettl3/Cth/Sgpl1",91
