"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006956","complement activation","91/3451","187/23210",6.09811274180653e-28,6.09811274180653e-28,2.79036800932979e-24,"Ighe/Ighg2c/Ighg2b/Ighg1/Ighg3/Ighd/Ighm/Cr2/Igha/Ighv1-31/Ighv1-34/Ighv1-36/Ighv1-42/Iglc3/Ighv1-47/Ighv8-4/Ighv8-5/Ighv1-50/Ighv1-52/Ighv1-53/Ighv8-6/Ighv1-54/Ighv1-55/Iglc2/Ighv1-56/Ighv8-8/Igkc/C1s2/Cd59a/C3/Cfh/Susd4/Trdv4/Il1b/Col20a1/Igll1/Ighv1-62-3/Ighv1-63/Cd5l/Ighv8-12/Ighv1-72/Ighv8-13/Ighv1-74/Ighv1-80/Ighv1-81/Ighv1-85/C4b/C4a/C2/Cfb/Colec11/C8b/Masp1/Fcnb/Ighv6-6/Ighv8-2/Masp2/Ighv1-7/Ighv15-2/Ighv1-12/Ighv1-18/Ighv1-19/Ighv1-20/Ighv1-22/Ighv1-23/Ighv1-26/Ighv14-2/Ighv11-2/Ighv14-3/Ighv9-2/Ighv9-3/Ighv7-3/Ighv14-4/Ighv3-3/C1qc/Ighv7-4/Ighv9-4/Ighv3-8/Ighv13-2/Ighv3-1/Ighv5-2/Ighv5-4/Ighv5-6/Ighv5-9/Ighv5-12/Ighv5-9-1/Ighv5-12-4/Ighv2-6-8/Ighv5-16/Ighv5-17/Ighv7-1",91
"GO:0072376","protein activation cascade","94/3451","199/23210",1.45561036496395e-27,1.45561036496395e-27,3.33028329289385e-24,"Ighe/Ighg2c/Ighg2b/Ighg1/Ighg3/Ighd/Ighm/F12/Cr2/Igha/Ighv1-31/Ighv1-34/Ighv1-36/Ighv1-42/Iglc3/Ighv1-47/Ighv8-4/Ighv8-5/Ighv1-50/Ighv1-52/Ighv1-53/Ighv8-6/Ighv1-54/Ighv1-55/Iglc2/Ighv1-56/Ighv8-8/Igkc/Fga/C1s2/Cd59a/C3/Cfh/Susd4/Trdv4/Il1b/Col20a1/Igll1/Ighv1-62-3/Ighv1-63/Cd5l/Ighv8-12/Ighv1-72/Ighv8-13/F13a1/Ighv1-74/Ighv1-80/Ighv1-81/Ighv1-85/C4b/C4a/C2/Cfb/Colec11/C8b/Masp1/Fcnb/Ighv6-6/Ighv8-2/Masp2/Ighv1-7/Ighv15-2/Ighv1-12/Ighv1-18/Ighv1-19/Ighv1-20/Ighv1-22/Ighv1-23/Ighv1-26/Ighv14-2/Ighv11-2/Ighv14-3/Ighv9-2/Ighv9-3/Ighv7-3/Ighv14-4/Ighv3-3/C1qc/Ighv7-4/Ighv9-4/Ighv3-8/Ighv13-2/Ighv3-1/Ighv5-2/Ighv5-4/Ighv5-6/Ighv5-9/Ighv5-12/Ighv5-9-1/Ighv5-12-4/Ighv2-6-8/Ighv5-16/Ighv5-17/Ighv7-1",94
"GO:0006910","phagocytosis, recognition","77/3451","151/23210",1.60110822554617e-25,1.60110822554617e-25,2.44211138822779e-22,"Ighe/Ighg2c/Ighg2b/Ighg1/Ighg3/Ighd/Ighm/Adgrb1/Fcgr3/Igha/Ighv1-31/Cd36/Ighv1-34/Ighv1-36/Ighv1-42/Iglc3/Ighv1-47/Ighv8-4/Ighv8-5/Ighv1-50/Ighv1-52/Ighv1-53/Ighv8-6/Ighv1-54/Ighv1-55/Iglc2/Ighv1-56/Ighv8-8/Igkc/Fcgr1/Trdv4/Igll1/Ighv1-62-3/Ighv1-63/Ighv8-12/Ighv1-72/Ighv8-13/Ighv1-74/Ighv1-80/Ighv1-81/Ighv1-85/Fcnb/Ighv6-6/Ighv8-2/Ighv1-7/Ighv15-2/Ighv1-12/Ighv1-18/Ighv1-19/Ighv1-20/Ighv1-22/Ighv1-23/Ighv1-26/Ighv14-2/Ighv11-2/Ighv14-3/Ighv9-2/Ighv9-3/Ighv7-3/Ighv14-4/Ighv3-3/Ighv7-4/Ighv9-4/Ighv3-8/Ighv13-2/Ighv3-1/Ighv5-2/Ighv5-4/Ighv5-6/Ighv5-9/Ighv5-12/Ighv5-9-1/Ighv5-12-4/Ighv2-6-8/Ighv5-16/Ighv5-17/Ighv7-1",77
"GO:0006911","phagocytosis, engulfment","87/3451","189/23210",1.25208870036564e-24,1.25208870036564e-24,1.23170355573738e-21,"Ighe/Ighg2c/Ighg2b/Ighg1/Ighg3/Ighd/Ighm/Adgrb1/Thbs1/Fcgr3/Fcer1g/Igha/Ighv1-31/Cd36/Ighv1-34/Ighv1-36/Ighv1-42/Iglc3/Ighv1-47/Ighv8-4/Ighv8-5/Ighv1-50/Ighv1-52/Ighv1-53/Ighv8-6/Ighv1-54/Ighv1-55/Iglc2/Ighv1-56/Ighv8-8/Igkc/Rhobtb1/Xkr6/Aif1/Msr1/Abca1/C3/Fcgr1/Treml4/Trem2/Trdv4/Igll1/Ighv1-62-3/Ighv1-63/Ighv8-12/Ighv1-72/Ighv8-13/Ighv1-74/Ighv1-80/Ighv1-81/Cd300a/Ighv1-85/Ighv6-6/Ighv8-2/Ighv1-7/Ighv15-2/Ighv1-12/Ighv1-18/Ighv1-19/Ighv1-20/Ighv1-22/Ighv1-23/Ighv1-26/Ighv14-2/Ighv11-2/Ighv14-3/Ighv9-2/Ighv9-3/Ighv7-3/Ighv14-4/Ighv3-3/Ighv7-4/Ighv9-4/Ighv3-8/Ighv13-2/Ighv3-1/Ighv5-2/Ighv5-4/Ighv5-6/Ighv5-9/Ighv5-12/Ighv5-9-1/Ighv5-12-4/Ighv2-6-8/Ighv5-16/Ighv5-17/Ighv7-1",87
"GO:0006958","complement activation, classical pathway","80/3451","165/23210",1.34589185409537e-24,1.34589185409537e-24,1.23170355573738e-21,"Ighe/Ighg2c/Ighg2b/Ighg1/Ighg3/Ighd/Ighm/Cr2/Igha/Ighv1-31/Ighv1-34/Ighv1-36/Ighv1-42/Iglc3/Ighv1-47/Ighv8-4/Ighv8-5/Ighv1-50/Ighv1-52/Ighv1-53/Ighv8-6/Ighv1-54/Ighv1-55/Iglc2/Ighv1-56/Ighv8-8/Igkc/C1s2/C3/Susd4/Trdv4/Igll1/Ighv1-62-3/Ighv1-63/Ighv8-12/Ighv1-72/Ighv8-13/Ighv1-74/Ighv1-80/Ighv1-81/Ighv1-85/C2/C8b/Ighv6-6/Ighv8-2/Masp2/Ighv1-7/Ighv15-2/Ighv1-12/Ighv1-18/Ighv1-19/Ighv1-20/Ighv1-22/Ighv1-23/Ighv1-26/Ighv14-2/Ighv11-2/Ighv14-3/Ighv9-2/Ighv9-3/Ighv7-3/Ighv14-4/Ighv3-3/C1qc/Ighv7-4/Ighv9-4/Ighv3-8/Ighv13-2/Ighv3-1/Ighv5-2/Ighv5-4/Ighv5-6/Ighv5-9/Ighv5-12/Ighv5-9-1/Ighv5-12-4/Ighv2-6-8/Ighv5-16/Ighv5-17/Ighv7-1",80
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","84/3451","180/23210",2.49945977813359e-24,2.49945977813359e-24,1.90616695711346e-21,"Ighe/Ighg2c/Ighg2b/Ighg1/Ighg3/Cd81/Ighd/Ighm/Cr2/Igha/Ighv1-31/Ighv1-34/Ighv1-36/Ighv1-42/Iglc3/Ighv1-47/Ighv8-4/Ighv8-5/Ighv1-50/Ighv1-52/Ighv1-53/Ighv8-6/Ighv1-54/Ighv1-55/Iglc2/Ighv1-56/Ighv8-8/Igkc/Lta/C1s2/C3/H2-Ab1/Susd4/Trdv4/Igll1/Ighv1-62-3/Ighv1-63/Ighv8-12/Ighv1-72/Ighv8-13/Ighv1-74/Ighv1-80/Ighv1-81/Ighv1-85/C2/C8b/Ighv6-6/Ighv8-2/Masp2/Ighv1-7/Ighv15-2/Ighv1-12/Ighv1-18/Ighv1-19/Ighv1-20/Ighv1-22/Ighv1-23/Ighv1-26/Ighv14-2/Ighv11-2/Ighv14-3/Ighv9-2/Ighv9-3/Ighv7-3/Ighv14-4/Ighv3-3/C1qc/Ighv7-4/Ighv9-4/Ighv3-8/Ighv13-2/Ighv3-1/Ighv5-2/Fcer2a/Ighv5-4/Ighv5-6/Ighv5-9/Ighv5-12/Ighv5-9-1/Ighv5-12-4/Ighv2-6-8/Ighv5-16/Ighv5-17/Ighv7-1",84
"GO:0099024","plasma membrane invagination","88/3451","198/23210",1.40634725365195e-23,1.40634725365195e-23,9.1930699422933e-21,"Ighe/Ighg2c/Ighg2b/Ighg1/Ighg3/Ighd/Ighm/Adgrb1/Thbs1/Fcgr3/Fcer1g/Igha/Ighv1-31/Cd36/Ighv1-34/Ighv1-36/Ighv1-42/Iglc3/Spire1/Ighv1-47/Ighv8-4/Ighv8-5/Ighv1-50/Ighv1-52/Ighv1-53/Ighv8-6/Ighv1-54/Ighv1-55/Iglc2/Ighv1-56/Ighv8-8/Igkc/Rhobtb1/Xkr6/Aif1/Msr1/Abca1/C3/Fcgr1/Treml4/Trem2/Trdv4/Igll1/Ighv1-62-3/Ighv1-63/Ighv8-12/Ighv1-72/Ighv8-13/Ighv1-74/Ighv1-80/Ighv1-81/Cd300a/Ighv1-85/Ighv6-6/Ighv8-2/Ighv1-7/Ighv15-2/Ighv1-12/Ighv1-18/Ighv1-19/Ighv1-20/Ighv1-22/Ighv1-23/Ighv1-26/Ighv14-2/Ighv11-2/Ighv14-3/Ighv9-2/Ighv9-3/Ighv7-3/Ighv14-4/Ighv3-3/Ighv7-4/Ighv9-4/Ighv3-8/Ighv13-2/Ighv3-1/Ighv5-2/Ighv5-4/Ighv5-6/Ighv5-9/Ighv5-12/Ighv5-9-1/Ighv5-12-4/Ighv2-6-8/Ighv5-16/Ighv5-17/Ighv7-1",88
"GO:0042742","defense response to bacterium","145/3451","428/23210",3.06977989452691e-23,3.06977989452691e-23,1.75583331598796e-20,"Mpeg1/Ighe/Ighg2c/Ighg2b/Ighg1/Ighg3/Ighd/Ighm/Adgrb1/Pla2g1b/P2rx7/Rag2/Il10/Ssc5d/Nlrp1a/Tirap/Fcer1g/Mpo/Lpo/Dmbt1/Igha/Ighv1-31/Cd36/Ighv1-34/Ighv1-36/H2bc13/Ighv1-42/Iglc3/Ighv1-47/Ighv8-4/Ighv8-5/Ighv1-50/Ighv1-52/Ighv1-53/Ighv8-6/Ighv1-54/Ighv1-55/Iglc2/Clec4d/Clec4e/Ighv1-56/Il22ra1/Ighv8-8/Igkc/Scd1/Cebpe/Fga/Nlrp3/Tnfsf8/Sftpd/Gbp10/Gbp11/Lta/Lcn2/Rnase6/Gbp2b/Spaca3/Vgf/Trem1/Trem3/Tlr4/Ncf1/Fcgr1/Trem2/Trdv4/Defb25/Igll1/Prg2/Arg2/Adamts5/Ighv1-62-3/Ighv1-63/Lyz2/Ighv8-12/Ighv1-72/Ighv8-13/Ighv1-74/Ighv1-80/Ighv1-81/Muc5b/Ctsg/Hck/Hp/Nlrp10/Ighv1-85/Naip6/Slamf8/Defb1/Klk7/Klk5/Wfdc12/Jchain/Slpi/Tlr9/Lalba/Ighv6-6/Ighv8-2/Ang4/C5ar1/Spaca5/Ighv1-7/Ighv15-2/Ighv1-12/Ighv1-18/Ighv1-19/Ighv1-20/Ighv1-22/Ighv1-23/Ighv1-26/Ighv14-2/Ighv11-2/Ighv14-3/Cxcl5/Ighv9-2/Ighv9-3/Ighv7-3/Ighv14-4/Ighv3-3/Ighv7-4/Cd209d/Ighv9-4/Ighv3-8/Ighv13-2/Ighv3-1/Ighv5-2/Tlr2/Chga/Iigp1/Ighv5-4/Spon2/Elane/Ighv5-6/Ighv5-9/Ighv5-12/Ighv5-9-1/Peli3/Ighv5-12-4/Ighv2-6-8/Camp/Ighv5-16/Anxa3/Fpr2/Ighv5-17/Ighv7-1/Ltf",145
"GO:0006909","phagocytosis","123/3451","336/23210",3.57743114325306e-23,3.57743114325306e-23,1.81884130756971e-20,"Ighe/Ighg2c/Ighg2b/Ighg1/Ighg3/Ighd/Sphk1/Ighm/Adgrb1/Thbs1/P2ry6/P2rx7/Fcgr3/Tgm2/Fcer1g/Pld4/Ccr7/Igha/Ighv1-31/Cd36/Ighv1-34/Ighv1-36/Dysf/Ighv1-42/Iglc3/Ighv1-47/Ighv8-4/Ighv8-5/Ighv1-50/Ighv1-52/Ighv1-53/Ighv8-6/Ighv1-54/Ighv1-55/Iglc2/Ighv1-56/Ighv8-8/Igkc/Cebpe/Rhobtb1/Lepr/Xkr6/Sftpa1/Sftpd/Aif1/Msr1/Prkcg/Ncf2/Abca1/Srpx/Rab7b/C3/Mertk/Ccl2/Tlr4/Fcgr1/Treml4/Pros1/Trem2/Trdv4/Il1b/Igll1/Ighv1-62-3/Prtn3/Dock1/Ighv1-63/Ighv8-12/Ighv1-72/Ighv8-13/Ighv1-74/Ighv1-80/Ighv1-81/Hck/Cd300a/Ighv1-85/Cd300lf/C2/Fcnb/Ighv6-6/Ighv8-2/Ighv1-7/Ighv15-2/Ighv1-12/Ighv1-18/Ighv1-19/Ighv1-20/Ighv1-22/Ighv1-23/Ighv1-26/Sirpb1a/Tyrobp/Ighv14-2/Ighv11-2/Ighv14-3/Ighv9-2/Ighv9-3/Ighv7-3/Ighv14-4/Ighv3-3/Ighv7-4/Ighv9-4/Ighv3-8/Ighv13-2/Ighv3-1/Lrp1/Met/Ighv5-2/Ptx3/Tlr2/Ighv5-4/Spon2/Elane/Ighv5-6/Ighv5-9/Ighv5-12/Ighv5-9-1/Ighv5-12-4/Ighv2-6-8/Ighv5-16/Anxa3/Fpr2/Ighv5-17/Ighv7-1",123
"GO:0002440","production of molecular mediator of immune response","125/3451","345/23210",4.50304170731875e-23,4.50304170731875e-23,2.06049708439101e-20,"Gapt/Cd81/Ighd/Ighm/Gprc5b/Ccr6/Cd40/Tnfrsf4/Il10/Inava/Il7r/Fcer1g/Tnfsf13/Cd36/Igkv7-33/Igkv6-32/Igkv8-30/Igkv6-29/Il12a/Igkv8-28/Igkv8-27/Igkv8-26/Igkv6-25/Igkv6-23/Igkv8-21/Igkv6-20/Igkv8-19/Il21/Iglv1/Igkv6-17/Igkv8-16/Igkv6-15/Igkv6-14/Igkv6-13/Iglv3/Trav12n-3/Igkv3-12/Igkv3-10/Igkv3-7/Igkv3-5/Igkv3-4/Igkv3-1/Il33/Nlrp3/Tlr3/Ceacam1/Kit/Trem1/Trem3/Tlr4/Trav6-4/H2-Ab1/Trav15-1-dv6-1/Trav16/Igkv1-135/Siglecg/Trdv5/Igkv17-127/Il1b/Ffar2/Ffar3/Igkv14-126/Igkv11-125/Igkv17-121/Igkv9-120/Vpreb1/Igkv1-117/Igkv2-112/Igkv14-111/Igkv1-110/Igkv2-109/Igkv16-104/Igkv20-101-2/Igkv14-100/Igkv1-99/Igkv12-98/Il1r1/Igkv10-96/Igkv10-95/Igkv10-94/Igkv19-93/Tek/Igkv12-89/Hfe/Tgfb2/Tgfb3/Klk7/Klk5/Mzb1/Arg1/Tlr9/Igkv12-46/Igkv5-43/Vpreb3/Wnt5a/Btk/Igkv4-63/Igkv4-62/Igkv4-61/Igkv4-59/Igkv4-57-1/Cd74/Igkv4-57/Igkv4-55/Igkv4-53/Igkv4-51/Igkv4-86/Igkv13-85/Igkv13-84/Igkv4-81/Igkv4-80/Tlr2/Chga/Il4/Spon2/Elane/Il31ra/Igkv4-78/Igkv4-74/Igkv4-72/Igkv4-71/Il13/Igkv4-70/Igkv4-69/Igkv4-68",125
