"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005216","ion channel activity","177/5760","402/22710",1.90115009810055e-16,1.90115009810055e-16,5.54698318412666e-14,"Tmc7/Kcng4/Kcnh1/Tmc5/Trpm5/Kcnq1/Cacna1g/Scn8a/Cldn17/Cacnb2/Ano1/Scn4a/Nmur2/Jph3/Kcnh3/Chrna2/P2rx7/Chrm5/Ryr3/Kcnj16/Kcnk4/Snap25/Gjd3/Trpc2/Xntrpc/Chrna10/Nalcn/Kcng1/Cacna2d3/Grin2a/Cacna1h/Oprm1/Gria4/Chrng/Clcnka/Kcnk18/Kcnk13/Scn2b/Kcnh2/Pkd1/Cacna2d4/Clcnkb/Fam155a/Tmem28/Trpc5/Cftr/Kcnq5/Pkd2l1/Slc1a4/Gria3/Ncs1/Kcnk9/Scn4b/Calhm1/Gabre/Clic5/Gabrq/Kcns2/Kcnq4/Grid2/Kcnk10/Chrna9/Catsper2/Grin1/Gabrd/Pkd1l1/Cacng7/Kcnb2/Gabrb1/Gabrr2/Slc24a4/Trpc4/Cacng6/Asic4/Kcnj14/Cnr1/Scn7a/Htr3b/Slc26a6/Slc26a9/Scn10a/Scn11a/Kcnt2/Kcnh4/Kcnip4/Kcnv2/Cldn4/Kcna2/Kcnh8/Unc80/Chrna3/Trpc6/Glra3/Cnga1/Tmem38a/Chrna4/Tomm40/P2rx5/Chrnb3/Abcc8/Kcnt1/P2rx3/Chrna6/Slc26a8/Tmem63c/Kcnk12/Jph4/Otop1/Kcnn3/Kcnu1/Trpv1/Slc24a3/Hcn1/Scnn1a/Chrnb2/Piezo2/Tmc3/Kcnc2/Cacna2d2/Kcnmb4/Lrrc55/Kcne4/Cacna1f/Slc24a2/Chrna7/Cacng3/Otop3/Gabrp/Kcnc1/Pkd1l3/Tmc1/Gabrg3/Kcnj6/Gabra5/Best2/Ano2/Kcnj15/Trpm1/Clca3a2/Kcns1/Clca4b/Kcnd3/Grm7/Kcnab2/Kcna1/Kcna6/Clca4a/Slc17a3/Clca3a1/Clca1/Scn1b/Catsper4/Cnga4/Kcnh7/Hcn3/Hcn4/Gabrg2/Cngb1/Kcnj5/Kcnj3/Kcnj1/Gabra1/Glrb/Clic6/P2rx2/Trpv6/Grin3a/Ryr2/Trpv5/Cacna2d1/Gabra6/P2rx4/Pex5l/Gabrb2/Kcne2/Grin2b/Trpc3",177
"GO:0022838","substrate-specific channel activity","181/5760","414/22710",2.0311698167372e-16,2.0311698167372e-16,5.54698318412666e-14,"Tmc7/Kcng4/Kcnh1/Tmc5/Trpm5/Kcnq1/Cacna1g/Scn8a/Cldn17/Cacnb2/Ano1/Scn4a/Nmur2/Jph3/Kcnh3/Chrna2/P2rx7/Chrm5/Ryr3/Kcnj16/Kcnk4/Snap25/Gjd3/Trpc2/Xntrpc/Chrna10/Nalcn/Kcng1/Cacna2d3/Grin2a/Cacna1h/Oprm1/Gria4/Chrng/Clcnka/Kcnk18/Kcnk13/Scn2b/Kcnh2/Pkd1/Cacna2d4/Clcnkb/Fam155a/Tmem28/Trpc5/Cftr/Kcnq5/Pkd2l1/Slc1a4/Gria3/Ncs1/Kcnk9/Scn4b/Aqp4/Calhm1/Gabre/Clic5/Gabrq/Kcns2/Kcnq4/Grid2/Kcnk10/Chrna9/Catsper2/Grin1/Gabrd/Pkd1l1/Cacng7/Kcnb2/Gabrb1/Gabrr2/Slc24a4/Trpc4/Cacng6/Asic4/Kcnj14/Cnr1/Scn7a/Htr3b/Slc26a6/Slc26a9/Scn10a/Scn11a/Kcnt2/Kcnh4/Kcnip4/Kcnv2/Cldn4/Kcna2/Kcnh8/Unc80/Chrna3/Trpc6/Glra3/Cnga1/Tmem38a/Chrna4/Tomm40/P2rx5/Chrnb3/Abcc8/Kcnt1/P2rx3/Chrna6/Slc26a8/Tmem63c/Kcnk12/Jph4/Otop1/Aqp7/Kcnn3/Aqp3/Kcnu1/Trpv1/Slc24a3/Hcn1/Scnn1a/Chrnb2/Piezo2/Tmc3/Kcnc2/Cacna2d2/Kcnmb4/Lrrc55/Kcne4/Cacna1f/Slc24a2/Chrna7/Cacng3/Otop3/Gabrp/Kcnc1/Pkd1l3/Slc14a2/Tmc1/Gabrg3/Kcnj6/Gabra5/Best2/Ano2/Kcnj15/Trpm1/Clca3a2/Kcns1/Clca4b/Kcnd3/Grm7/Kcnab2/Kcna1/Kcna6/Clca4a/Slc17a3/Clca3a1/Clca1/Scn1b/Catsper4/Cnga4/Kcnh7/Hcn3/Hcn4/Gabrg2/Cngb1/Kcnj5/Kcnj3/Kcnj1/Gabra1/Glrb/Clic6/P2rx2/Trpv6/Grin3a/Ryr2/Trpv5/Cacna2d1/Gabra6/P2rx4/Pex5l/Gabrb2/Kcne2/Grin2b/Trpc3",181
"GO:0015267","channel activity","189/5760","438/22710",2.21646015769519e-16,2.21646015769519e-16,5.54698318412666e-14,"Tmc7/Kcng4/Kcnh1/Tmc5/Trpm5/Kcnq1/Cacna1g/Scn8a/Cldn17/Cacnb2/Panx2/Ano1/Scn4a/Nmur2/Jph3/Kcnh3/Chrna2/P2rx7/Bcl2/Chrm5/Ryr3/Kcnj16/Kcnk4/Snap25/Gjd3/Trpc2/Xntrpc/Chrna10/Nalcn/Kcng1/Cacna2d3/Grin2a/Cacna1h/Oprm1/Gjb1/Gria4/Chrng/Clcnka/Kcnk18/Kcnk13/Scn2b/Kcnh2/Pkd1/Cacna2d4/Clcnkb/Fam155a/Tmem28/Trpc5/Cftr/Kcnq5/Pkd2l1/Slc1a4/Gria3/Ncs1/Kcnk9/Scn4b/Aqp4/Calhm1/Gabre/Clic5/Gabrq/Kcns2/Kcnq4/Grid2/Kcnk10/Gja5/Chrna9/Gja8/Catsper2/Grin1/Gabrd/Pkd1l1/Cacng7/Kcnb2/Gabrb1/Gabrr2/Slc24a4/Trpc4/Cacng6/Asic4/Kcnj14/Cnr1/Scn7a/Htr3b/Slc26a6/Slc26a9/Scn10a/Scn11a/Kcnt2/Kcnh4/Kcnip4/Kcnv2/Cldn4/Kcna2/Kcnh8/Unc80/Chrna3/Trpc6/Glra3/Cnga1/Tmem38a/Chrna4/Tomm40/P2rx5/Chrnb3/Abcc8/Kcnt1/P2rx3/Chrna6/Slc26a8/Tmem63c/Kcnk12/Jph4/Gja1/Otop1/Aqp7/Kcnn3/Aqp3/Kcnu1/Trpv1/Slc24a3/Hcn1/Scnn1a/Chrnb2/Piezo2/Tmc3/Kcnc2/Cacna2d2/Kcnmb4/Lrrc55/Kcne4/Cacna1f/Slc24a2/Chrna7/Cacng3/Otop3/Gjc3/Gabrp/Kcnc1/Pkd1l3/Slc14a2/Tmc1/Gabrg3/Kcnj6/Gabra5/Best2/Ano2/Kcnj15/Trpm1/Clca3a2/Kcns1/Clca4b/Kcnd3/Grm7/Kcnab2/Kcna1/Kcna6/Clca4a/Slc17a3/Clca3a1/Clca1/Scn1b/Catsper4/Cnga4/Kcnh7/Hcn3/Hcn4/Gabrg2/Cngb1/Kcnj5/Kcnj3/Kcnj1/Gabra1/Glrb/Clic6/P2rx2/Trpv6/Grin3a/Ryr2/Aqp12/Trpv5/Cacna2d1/Gabra6/P2rx4/Pex5l/Gabrb2/Kcne2/Grin2b/Trpc3",189
"GO:0022803","passive transmembrane transporter activity","189/5760","438/22710",2.21646015769519e-16,2.21646015769519e-16,5.54698318412666e-14,"Tmc7/Kcng4/Kcnh1/Tmc5/Trpm5/Kcnq1/Cacna1g/Scn8a/Cldn17/Cacnb2/Panx2/Ano1/Scn4a/Nmur2/Jph3/Kcnh3/Chrna2/P2rx7/Bcl2/Chrm5/Ryr3/Kcnj16/Kcnk4/Snap25/Gjd3/Trpc2/Xntrpc/Chrna10/Nalcn/Kcng1/Cacna2d3/Grin2a/Cacna1h/Oprm1/Gjb1/Gria4/Chrng/Clcnka/Kcnk18/Kcnk13/Scn2b/Kcnh2/Pkd1/Cacna2d4/Clcnkb/Fam155a/Tmem28/Trpc5/Cftr/Kcnq5/Pkd2l1/Slc1a4/Gria3/Ncs1/Kcnk9/Scn4b/Aqp4/Calhm1/Gabre/Clic5/Gabrq/Kcns2/Kcnq4/Grid2/Kcnk10/Gja5/Chrna9/Gja8/Catsper2/Grin1/Gabrd/Pkd1l1/Cacng7/Kcnb2/Gabrb1/Gabrr2/Slc24a4/Trpc4/Cacng6/Asic4/Kcnj14/Cnr1/Scn7a/Htr3b/Slc26a6/Slc26a9/Scn10a/Scn11a/Kcnt2/Kcnh4/Kcnip4/Kcnv2/Cldn4/Kcna2/Kcnh8/Unc80/Chrna3/Trpc6/Glra3/Cnga1/Tmem38a/Chrna4/Tomm40/P2rx5/Chrnb3/Abcc8/Kcnt1/P2rx3/Chrna6/Slc26a8/Tmem63c/Kcnk12/Jph4/Gja1/Otop1/Aqp7/Kcnn3/Aqp3/Kcnu1/Trpv1/Slc24a3/Hcn1/Scnn1a/Chrnb2/Piezo2/Tmc3/Kcnc2/Cacna2d2/Kcnmb4/Lrrc55/Kcne4/Cacna1f/Slc24a2/Chrna7/Cacng3/Otop3/Gjc3/Gabrp/Kcnc1/Pkd1l3/Slc14a2/Tmc1/Gabrg3/Kcnj6/Gabra5/Best2/Ano2/Kcnj15/Trpm1/Clca3a2/Kcns1/Clca4b/Kcnd3/Grm7/Kcnab2/Kcna1/Kcna6/Clca4a/Slc17a3/Clca3a1/Clca1/Scn1b/Catsper4/Cnga4/Kcnh7/Hcn3/Hcn4/Gabrg2/Cngb1/Kcnj5/Kcnj3/Kcnj1/Gabra1/Glrb/Clic6/P2rx2/Trpv6/Grin3a/Ryr2/Aqp12/Trpv5/Cacna2d1/Gabra6/P2rx4/Pex5l/Gabrb2/Kcne2/Grin2b/Trpc3",189
"GO:0022839","ion gated channel activity","142/5760","319/22710",6.27951772902017e-14,6.27951772902017e-14,9.47109126242169e-12,"Kcng4/Kcnh1/Trpm5/Kcnq1/Cacna1g/Scn8a/Cacnb2/Ano1/Scn4a/Nmur2/Jph3/Kcnh3/Chrna2/P2rx7/Chrm5/Ryr3/Kcnj16/Kcnk4/Snap25/Chrna10/Nalcn/Kcng1/Cacna2d3/Grin2a/Cacna1h/Oprm1/Gria4/Chrng/Clcnka/Kcnk18/Kcnk13/Scn2b/Kcnh2/Cacna2d4/Clcnkb/Fam155a/Tmem28/Cftr/Kcnq5/Pkd2l1/Gria3/Ncs1/Kcnk9/Scn4b/Calhm1/Gabre/Clic5/Gabrq/Kcns2/Kcnq4/Grid2/Chrna9/Catsper2/Grin1/Gabrd/Cacng7/Kcnb2/Gabrb1/Gabrr2/Cacng6/Kcnj14/Cnr1/Htr3b/Scn10a/Scn11a/Kcnt2/Kcnh4/Kcnip4/Kcnv2/Kcna2/Kcnh8/Chrna3/Glra3/Cnga1/Tmem38a/Chrna4/P2rx5/Chrnb3/Kcnt1/P2rx3/Chrna6/Tmem63c/Jph4/Kcnn3/Kcnu1/Trpv1/Hcn1/Scnn1a/Chrnb2/Kcnc2/Cacna2d2/Kcnmb4/Lrrc55/Kcne4/Cacna1f/Chrna7/Cacng3/Gabrp/Kcnc1/Tmc1/Gabrg3/Kcnj6/Gabra5/Ano2/Kcnj15/Clca3a2/Kcns1/Clca4b/Kcnd3/Grm7/Kcnab2/Kcna1/Kcna6/Clca4a/Slc17a3/Clca3a1/Clca1/Scn1b/Catsper4/Cnga4/Kcnh7/Hcn3/Hcn4/Gabrg2/Cngb1/Kcnj5/Kcnj3/Kcnj1/Gabra1/Glrb/Clic6/P2rx2/Grin3a/Ryr2/Cacna2d1/Gabra6/P2rx4/Pex5l/Gabrb2/Kcne2/Grin2b/Trpc3",142
"GO:0022836","gated channel activity","146/5760","331/22710",6.87958564914026e-14,6.87958564914026e-14,9.47109126242169e-12,"Tmc7/Kcng4/Kcnh1/Tmc5/Trpm5/Kcnq1/Cacna1g/Scn8a/Cacnb2/Ano1/Scn4a/Nmur2/Jph3/Kcnh3/Chrna2/P2rx7/Chrm5/Ryr3/Kcnj16/Kcnk4/Snap25/Chrna10/Nalcn/Kcng1/Cacna2d3/Grin2a/Cacna1h/Oprm1/Gria4/Chrng/Clcnka/Kcnk18/Kcnk13/Scn2b/Kcnh2/Cacna2d4/Clcnkb/Fam155a/Tmem28/Cftr/Kcnq5/Pkd2l1/Gria3/Ncs1/Kcnk9/Scn4b/Calhm1/Gabre/Clic5/Gabrq/Kcns2/Kcnq4/Grid2/Chrna9/Catsper2/Grin1/Gabrd/Cacng7/Kcnb2/Gabrb1/Gabrr2/Cacng6/Kcnj14/Cnr1/Htr3b/Scn10a/Scn11a/Kcnt2/Kcnh4/Kcnip4/Kcnv2/Kcna2/Kcnh8/Chrna3/Glra3/Cnga1/Tmem38a/Chrna4/P2rx5/Chrnb3/Kcnt1/P2rx3/Chrna6/Tmem63c/Jph4/Kcnn3/Kcnu1/Trpv1/Hcn1/Scnn1a/Chrnb2/Piezo2/Tmc3/Kcnc2/Cacna2d2/Kcnmb4/Lrrc55/Kcne4/Cacna1f/Chrna7/Cacng3/Gabrp/Kcnc1/Tmc1/Gabrg3/Kcnj6/Gabra5/Ano2/Kcnj15/Clca3a2/Kcns1/Clca4b/Kcnd3/Grm7/Kcnab2/Kcna1/Kcna6/Clca4a/Slc17a3/Clca3a1/Clca1/Scn1b/Catsper4/Cnga4/Kcnh7/Hcn3/Hcn4/Gabrg2/Cngb1/Kcnj5/Kcnj3/Kcnj1/Gabra1/Glrb/Clic6/P2rx2/Grin3a/Ryr2/Cacna2d1/Gabra6/P2rx4/Pex5l/Gabrb2/Kcne2/Grin2b/Trpc3",146
"GO:0005201","extracellular matrix structural constituent","77/5760","140/22710",6.92818132969552e-14,6.92818132969552e-14,9.47109126242169e-12,"Col16a1/Colq/Scara3/Mfap4/Sparc/Thbs1/Dmbt1/Mmrn2/Vwa5a/Lama2/Col27a1/Col11a2/Col25a1/Abi3bp/Col6a1/Hspg2/Hapln1/Col4a6/Fbln5/Fga/Fgb/Col14a1/Tecta/Mmrn1/Lamb1/Tnc/Col13a1/Bmper/Col19a1/Otol1/Col9a3/Col17a1/Ltbp1/Postn/Col5a3/Fn1/Papln/Bgn/Nid2/Col2a1/Fbn2/Tnxb/Spon1/Col6a6/Amelx/Col6a5/Emid1/Fbln1/Lama1/Vwf/Tectb/Col6a4/Ecm1/Col4a4/Col5a1/Fbn1/Dcn/Enam/Matn4/Lum/Srpx2/Lama4/Pxdn/Col28a1/Col11a1/Col5a2/Col6a2/Col4a2/Col4a1/Lama3/Col3a1/Fbln2/Mfap2/Pcolce2/Impg2/Fras1/Comp",77
"GO:0003735","structural constituent of ribosome","93/5760","182/22710",7.56890574073657e-14,7.56890574073657e-14,9.47109126242169e-12,"Rps3/Rpl23a/Rps15a/Gm8888/Mrpl23/Rpl23/Gm16519/Rpl19/Rpl6/Rpl26/Rpl14/Rpl13a/Rpl13/Rpl28/Rpl36/Rplp0/Gm5093/Mrps5/Gm10073/Rpl3/Mrpl30/Rpl12/Gm10263/Rps8/Rpl21/Rps27a/Rpl15/Gm10020/Gm10036/Rpl35a/Rpl22l1/Rpl35/Rps19/Rps18/Rpl8/Rplp1/Rpl18/Rpl36-ps3/Rpl11/Gm6576/Rpl31/Rps2/Rpl17/Gm10126/Rps3a1/Rpl18a/Rpl7/Rps5/Rpl23a-ps3/Rpl21-ps4/Rps21/Rpl9-ps6/Rpl5/Rpl37/Rpl37rt/Rps25/Rpl4/Gm18025/Rps4x/Rpl39/Rplp2/Rpl10l/Rps17/Rpl41/Rps27/Rpl30/Rps6/Rpl38/Gm5786/Rps16/Gm2000/Rpl27a/Rps26/Gm6133/Rps7/Rpl9-ps1/Rpl10a/Rpl37a/Rps10/Rpl22/Rps15/Rps13/Rps28/Rps9/Rpl9/Rps2-ps6/Rps20/Rps24/Gm6096/Rps29/Rps23/Rps14/Rpl32",93
"GO:0005261","cation channel activity","137/5760","312/22710",6.08747427863882e-13,6.08747427863882e-13,6.77098016255616e-11,"Kcng4/Kcnh1/Trpm5/Kcnq1/Cacna1g/Scn8a/Cacnb2/Ano1/Scn4a/Jph3/Kcnh3/Chrna2/P2rx7/Ryr3/Kcnj16/Kcnk4/Snap25/Trpc2/Xntrpc/Chrna10/Nalcn/Kcng1/Cacna2d3/Grin2a/Cacna1h/Oprm1/Gria4/Chrng/Kcnk18/Kcnk13/Scn2b/Kcnh2/Pkd1/Cacna2d4/Fam155a/Tmem28/Trpc5/Kcnq5/Pkd2l1/Gria3/Ncs1/Kcnk9/Scn4b/Calhm1/Kcns2/Kcnq4/Kcnk10/Chrna9/Catsper2/Grin1/Pkd1l1/Cacng7/Kcnb2/Slc24a4/Trpc4/Cacng6/Asic4/Kcnj14/Cnr1/Scn7a/Htr3b/Scn10a/Scn11a/Kcnt2/Kcnh4/Kcnip4/Kcnv2/Kcna2/Kcnh8/Unc80/Chrna3/Trpc6/Cnga1/Tmem38a/Chrna4/Tomm40/P2rx5/Chrnb3/Abcc8/Kcnt1/P2rx3/Chrna6/Tmem63c/Kcnk12/Jph4/Otop1/Kcnn3/Kcnu1/Trpv1/Slc24a3/Hcn1/Scnn1a/Chrnb2/Piezo2/Kcnc2/Cacna2d2/Kcnmb4/Lrrc55/Kcne4/Cacna1f/Slc24a2/Chrna7/Cacng3/Otop3/Kcnc1/Pkd1l3/Tmc1/Kcnj6/Kcnj15/Trpm1/Kcns1/Kcnd3/Grm7/Kcnab2/Kcna1/Kcna6/Scn1b/Catsper4/Cnga4/Kcnh7/Hcn3/Hcn4/Cngb1/Kcnj5/Kcnj3/Kcnj1/P2rx2/Trpv6/Grin3a/Ryr2/Trpv5/Cacna2d1/P2rx4/Pex5l/Kcne2/Grin2b/Trpc3",137
"GO:0004497","monooxygenase activity","69/5760","143/22710",2.8668117774529e-09,2.8668117774529e-09,2.86982947406075e-07,"Th/Cyp27b1/Pam/Cyp24a1/Gm4846/Fmo9/Cyp2j13/Cyp2j12/Cyp2j7/Cyp2j11/Cyp2j8/Cyp2j6/Cyp2j9/Cyp8b1/Ptgis/Cyp2d22/Cyp46a1/Cyp2c23/Akr1c14/Cyp7a1/Nos3/Akr1c19/Akr1c12/Cyp4v3/Akr1c20/Cyp1a2/Moxd1/Cyp26b1/Cyp2c55/Cyp2c66/Pah/Cyp2c29/Cyp3a57/Cyp3a16/Cyp2c38/Cyp3a41a/Cyp3a44/Cyp3a11/Cyp11b2/Cyp2c67/Cyp2c37/Cyp2c50/Dbh/Cyp17a1/Nos2/Cyp2c70/Moxd2/Cyp4x1/Cyp21a1/Fmo4/Fmo1/Cyp4a12b/Cyp2r1/Ch25h/Tph2/Cyp4a31/Cyp4a32/Cyp4b1/Cyp2b23/Cyp2b19/Cyp2g1/Cyp2a22/Cyp2a12/Cyp2f2/Cyp2d34/Cyp2ab1/Mical3/Cyp2j5/Tyrp1",69
