"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005882","intermediate filament","36/2718","127/23436",2.23015817820004e-07,2.23015817820004e-07,8.06622067014852e-05,"Krt80/Shank2/Krt87/Prph/Krt84/Krt75/Krt71/Krt73/Krt1/Krt76/Krt4/Krt8/Krt18/Krt25/Krt28/Krt12/Krt20/Krt40/Bfsp1/Evpl/Ppl/Nes/Dsp/Slc1a4/Krtap21-1/Krtap6-2/Lmntd1/Nefm/Krtap19-2/Krtap16-1/Krt31/Krt35/Krt15/Krt14/Synm/Pcp4",36
"GO:0062023","collagen-containing extracellular matrix","75/2718","359/23436",2.67933903379059e-07,2.67933903379059e-07,8.06622067014852e-05,"Kng2/Col6a3/Ltbp4/Mfap4/S100a11/S100a3/Gh/Thbs1/Krt1/Tnr/Tgm2/Zp2/Fgfr2/Mmrn2/Itln1/Gpc4/Serpinb1a/Ogn/Gpc5/Sftpb/Abi3bp/Col6a1/Rarres2/Col4a6/Fgb/Matn3/Tecta/Lgalsl/Ntn5/Adamtsl5/Ccn3/Frem2/Megf6/Tgfbi/Kazald1/Muc4/Col9a3/Col12a1/Kng1/Insl5/Adamts1/Bgn/Col2a1/Fbn2/Reg3g/Itih3/Pmp22/Muc2/Lamc3/Amelx/Col6a5/Serping1/Pzp/Col6a4/Ahsg/Ush2a/Col5a1/Plscr1/Matn4/Lum/Srpx2/Vwa2/Ntn4/Ambp/S100a10/Col28a1/Col6a2/Ccdc80/Col3a1/Alb/Fbln2/Fras1/Comp/Anxa3/Sfrp1",75
"GO:0031012","extracellular matrix","91/2718","475/23436",9.05510654471215e-07,9.05510654471215e-07,0.000181737576967556,"Kng2/Col6a3/Lrrtm3/Ltbp4/Mfap4/S100a11/S100a3/Gh/Thbs1/Krt1/Olfml2b/Tnr/Crispld2/Tgm2/Zp2/Fgfr2/Mmrn2/Emilin3/Itln1/Gpc4/Serpinb1a/Ogn/Mmp16/Lingo2/Dspp/Cd180/Gpc5/Sftpb/Abi3bp/Col6a1/Rarres2/Col4a6/Fgb/Matn3/Tecta/Lgalsl/Ntn5/Adamtsl5/Ccn3/Frem2/Megf6/Tgfbi/Epyc/Kazald1/Muc4/Otol1/Col9a3/Col12a1/Kng1/Fgf1/Insl5/Adamtsl2/Adamts1/Bgn/Col2a1/Fbn2/Reg3g/Itih3/Pmp22/Muc2/Lamc3/Amelx/Col6a5/Serping1/Tectb/Pzp/Col6a4/Ahsg/Ush2a/Col5a1/Plscr1/Matn4/Lum/Lrrn2/Srpx2/Vwa2/Ntn4/Ambp/S100a10/Col28a1/Col6a2/Ccdc80/Col3a1/Alb/Fbln2/Spon2/Lrrc3b/Fras1/Comp/Anxa3/Sfrp1",91
"GO:0045111","intermediate filament cytoskeleton","39/2718","165/23436",1.00958760897472e-05,1.00958760897472e-05,0.00151969503245668,"Krt80/Shank2/Krt87/Prph/Krt84/Krt75/Krt71/Krt73/Krt1/Krt76/Krt4/Krt8/Krt18/Ttbk2/Krt25/Krt28/Krt12/Krt20/Krt40/Bfsp1/Evpl/Ppl/Nes/Dsp/Slc1a4/Krtap21-1/Krtap6-2/Lmntd1/Nefm/Krtap19-2/Krtap16-1/Krt31/Krt35/Krt15/Krt14/Nr1i2/Synm/Slc1a6/Pcp4",39
"GO:0030141","secretory granule","68/2718","383/23436",0.000227328271725198,0.000227328271725198,0.0273751097740659,"Car4/Ptprn2/Kcnq1/Dynll1/Scg3/Gh/Adam2/Thbs1/Chgb/Hgs/Astl/Vamp7/Eppin/Txndc8/Sftpb/Snca/Fgb/Tmprss4/Prss51/Nppc/Itga1/Pnliprp2/Mroh2b/Spaca1/Vgf/Aqp1/Prl/Spag8/Atp6v1e2/Il1b/Cma1/Resp18/Dbh/Syt9/Pla1a/Scgb1a1/Drd2/Atp8b3/Reg3g/Moxd2/1700074P13Rik/Scnn1a/Cav2/Spaca7/Tssk4/Klk13/Klk1b9/Klk9/Capza3/Avp/F5/Lrguk/Clca1/Klk1b22/Klk1b16/Klk1/Klk1b1/Lyzl4/Tctex1d4/Serpina5/Calcr/Hyal5/Lrp1/Chga/Pcsk1n/Pate4/Camp/Anxa3",68
"GO:0099699","integral component of synaptic membrane","44/2718","226/23436",0.000383806376877072,0.000383806376877072,0.0385153065918746,"Lrfn4/Grik1/Lrrtm3/Shisa7/Prrt2/Slc16a3/Slc6a4/Chrna10/Grin3b/Grm1/Kcnj3/Glra4/Kcnma1/Syt6/Efnb1/Ghsr/Drd1/Ptprf/Nectin1/Gabrd/Cacng7/Adra2c/Chrna3/Itgb5/Kcnc4/Chrna4/Scn2a/Chrna6/Drd2/Atp2b3/Grm2/Chrna7/Kcnd3/Kcna1/Gabbr2/Grm4/Lrfn3/Slc6a9/Grm3/Slc1a6/Gabra6/Slc8a2/Nectin3/Slc6a11",44
"GO:0099240","intrinsic component of synaptic membrane","46/2718","244/23436",0.000599009750590008,0.000599009750590008,0.043996073054569,"Lrfn4/Grik1/Lrrtm3/Shisa7/Prrt2/Slc16a3/Snap25/Slc6a4/Chrna10/Grin3b/Grm1/Gpc4/Kcnj3/Glra4/Kcnma1/Syt6/Efnb1/Ghsr/Drd1/Ptprf/Nectin1/Gabrd/Cacng7/Adra2c/Chrna3/Itgb5/Kcnc4/Chrna4/Scn2a/Chrna6/Drd2/Atp2b3/Grm2/Chrna7/Kcnd3/Kcna1/Gabbr2/Grm4/Lrfn3/Slc6a9/Grm3/Slc1a6/Gabra6/Slc8a2/Nectin3/Slc6a11",46
"GO:0098862","cluster of actin-based cell projections","38/2718","191/23436",0.000601171621844065,0.000601171621844065,0.043996073054569,"Car4/Shank2/Espnl/Actn3/Itln1/Cd36/Ptprq/Pdzd3/Eps8/Atp8b1/Mme/Slc7a9/Strc/Pdzk1/Tspear/Pdzd7/Aqp1/Pls3/Atp6v0a4/Dcdc2a/Lhfpl5/Myo15/Kcnk1/Ush1c/Myh11/Cubn/Myo3b/Anpep/Ush2a/Rsc1a1/Calb2/Myo1a/Slc9a3/Clrn1/Slc5a1/Plb1/Pls1/Enpep",38
"GO:0045095","keratin filament","13/2718","42/23436",0.000657633609469519,0.000657633609469519,0.043996073054569,"Krt80/Krt87/Krt84/Krt75/Krt71/Krt73/Krt1/Krt76/Krt4/Krt8/Krt18/Krtap16-1/Krt14",13
"GO:0005581","collagen trimer","20/2718","81/23436",0.000764006070974182,0.000764006070974182,0.0460012076418139,"Col6a3/C1ql4/Col6a1/Col4a6/Colec10/Otol1/Marco/Col9a3/Col12a1/Col2a1/Col6a5/Col6a4/Col5a1/Lum/C1qtnf2/Col28a1/Col6a2/C1qc/C1qa/Col3a1",20
