"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","regulation of membrane potential","192/6064","439/23210",6.24092135289591e-16,6.24092135289591e-16,3.26170258075033e-12,"Kcnh5/Cnih3/Stx1b/Kcnh1/Kcnq1/Cacna1g/Scn8a/Cntnap1/Rapgef4/Cacnb2/Myc/Kcnh6/Shank1/Mapk8ip2/Ano1/Scn4a/Kcnh3/Cx3cl1/Gria1/Abcb5/Glra2/Chrna2/P2rx7/Bcl2/Kcnk4/Mllt11/Agrn/Npff/Usp53/Mapt/Cacna1h/Oprm1/Gabrr3/Chrnd/Fgf12/Pink1/Chrng/Adra1a/Clcn1/Scn2b/Slc25a36/Kcnh2/Kcnma1/Hcn3/Hcn4/Trpc5/Kcnj2/Gpr88/Akap9/Nedd4l/Slc25a27/Bves/Grik3/Gabre/Casq2/Dmd/Ghrl/Ptn/Ppp1r9a/Gabrq/Dpp6/Syne1/Kcnmb2/Cacna1a/Cnr2/Trdn/Neto1/Slc26a5/Kcnd2/Grid2/Ank2/Dsc2/Dgki/Chrna9/Prkcz/Cacna1d/Gnaq/Grin1/Kcnmb3/Gabrd/Gabrg1/Trpa1/Gabrb1/Gabrr2/Gabrr1/Tafa4/Tacr1/Scn9a/Jup/Dmpk/Smad7/Cacna1c/Cnr1/Ntsr1/Nrcam/Scn7a/Chrnb1/Slc26a3/Htr3b/Scn10a/Scn11a/Bok/Nlgn2/Edn1/Pip5kl1/Kcnh4/Hcrt/Ntrk2/Kcna2/Kcnh8/Scn3a/Kdr/Glra3/Chrnb4/Cnga1/Chrna4/Chrnb3/Scn3b/Kcnt1/P2rx3/Kcnk12/Nps/Myoc/Stx1a/Gjd2/Tmem108/Kcnq2/Hcn1/Spg20/Cav1/Chrnb2/Kcnc2/Gpr39/Kcnmb4/Kcne4/Afdn/Grin2c/Asic1/Chrna7/Gabrp/Cacng2/Kcnk15/Rims4/Grik5/Gabrg3/Gabra5/Foxp1/Best2/Rnf122/Slc34a1/Rnf207/Oprd1/Kcnd3/Adora1/Dcn/Kcna5/Akap7/Sez6/Rab3gap1/Atp1b1/Nr3c2/Mecp2/Jun/Scn1a/Cck/Kcnh7/Dbn1/Gja1/Gabrg2/Nlgn3/Gabra1/Actn2/Glrb/Nppa/Grik2/Unc13b/Begain/Ryr2/Ehd3/Met/Wnt7a/Cacna2d1/Gabra6/P2rx4/Arl6ip5/Pex5l/Cxadr/Gabrb2/Rgs7bp/Grin2b/Kcnn2/Ntsr2",192
"GO:0007389","pattern specification process","190/6064","468/23210",4.06418796440314e-12,4.06418796440314e-12,1.06203648648745e-08,"Ppp2r3a/Foxj1/Cdx4/Kmt2a/Pcgf2/Ets2/Nkx6-2/Tbx2/Pcsk6/Acvrl1/Tgif1/Acvr1b/Dll1/Ripply2/Lrp4/Cfc1/Wdr19/Tbx18/Foxc2/T/Cyp26a1/Tcap/Sp8/Bptf/Tbx6/Foxf1/Axin2/Nr2f2/Bmp2/Dbx1/Rarg/Aldh1a2/Fgfr2/Acvr2b/Mks1/Hoxb9/Trp53/Hoxb3/Hoxb1/Hoxc11/Hoxc6/Hoxc8/Hoxc10/Hoxc4/Vangl2/Neurod1/Meox2/Pcdh8/Hey1/Gpc3/Nodal/Wnt8a/Tgfbr1/Sema3a/Grhl3/Tbx5/Cer1/Ccdc151/Kdm2b/Smad6/Gm572/Fgf2/Gas1/Ooep/Fst/Scmh1/Bicc1/Nbl1/Hoxa1/Msx2/Pkd2/Hoxa4/Hoxa3/Hoxa5/Hoxa2/Hoxa7/Hoxa6/Bmpr1b/Ski/Pax2/Noto/Dync2li1/Cyp26b1/Pkd1l1/Hoxd11/Hoxd10/Hoxd9/Hoxd3/Hoxd4/Lmx1b/Daam2/Ring1/Six3/Six2/Emx1/Gata5/Frat1/Dnah5/Hspb11/Pld6/Wt1/Lef1/Arl13b/Fuz/Pgap1/Kat2a/Tbx20/Pax6/Edn1/Gli2/Lhx2/Mmp21/Disp1/Nrg3/Stc1/Nkx3-1/Pcsk5/Shh/Grem1/Armc4/Bmpr1a/Foxg1/Hey2/Eng/Nle1/Rfx3/Bcor/Pax3/Dll3/Tbr1/Wls/Fezf2/Mdga2/Axin1/Hipk2/Sox1/Dnaic2/Prop1/Tdrd5/Uncx/Lrrc6/Erbb4/Hes5/Wnt7b/Foxb1/Zic1/Sim2/Dlx1/Mapk8/Lrp6/Satb2/Nphp3/Acvr2a/Ttn/Lrp2/Bmpr2/Grem2/Wnt3/Acvr1/Gpr161/Tbc1d32/Drc1/Foxc1/Anks6/Gja1/Hhip/Zeb1/Myf6/Sema3c/Ihh/Tbx3/Irx1/Fgf8/Celsr2/Daw1/Ttc8/Wnt7a/Fgf10/Sfrp2/Tdgf1/Sox17/Hoxa10/Ift88/Bmp4/Pitx2/Smo/Robo2/Otx1/Evx1/Egr2",190
"GO:0035637","multicellular organismal signaling","74/6064","141/23210",2.21455675805047e-11,2.21455675805047e-11,3.75110641472704e-08,"Ace2/Kcnq1/Cacna1g/Scn8a/Cntnap1/Rapgef4/Cacnb2/Scn4a/Gria1/Cacng4/Cacng5/Chrm5/Avpr1a/Otoa/Gjd3/Cacna1h/Fgf12/Clcn1/Scn2b/Kcnh2/Kcnma1/Hcn4/Kcnj2/Ghsr/Gpr88/Ghrl/Dpp6/Kcnmb2/Cacna1a/Kcnd2/Ank2/Dsc2/Cacna1d/Jam3/Kcnmb3/Trpa1/Agt/Scn9a/Jup/Cacna1c/Nrcam/Scn7a/Scn10a/Scn11a/Hcrt/Ntrk2/Kcna2/Scn3a/Chrnb4/Scn3b/P2rx3/Pak1/Drd5/Kcnq2/Cav1/Gjc1/Kcnmb4/Kcne4/Chrna7/Cacng3/Cacng2/Nfasc/Kcnd3/Kcna5/Pde4d/Scn1a/Gja1/Grik2/Ryr2/Ehd3/Cacna2d1/P2rx4/Cxadr/Kcnn2",74
"GO:0006936","muscle contraction","127/6064","289/23210",3.44762850333075e-11,3.44762850333075e-11,3.75110641472704e-08,"Tnnc2/Ace2/Kcnq1/Cacna1g/Trim63/Cacnb2/Atp2a1/Myom1/Scn4a/Gaa/Myh2/Myh1/Tcap/Lmod1/Mybpc2/Ryr3/Adra2b/Tnni1/Sstr2/Sulf2/Jsrp1/Agrn/Edn3/Sgcd/Cacna1h/Chrnd/Mybpc1/Myh6/Chrng/Adra1a/Calcrl/Clcn1/Scn2b/Kcnh2/Kcnma1/Hcn4/Gucy1a1/Kcnj2/Htr2b/Sulf1/Ghsr/Myh7/Nedd4l/Zc3h12a/Mybpc3/Ucn/Casq2/Dmd/Ghrl/Chrm2/Lmod2/Bmp10/Ank2/Stac3/Dsc2/Cacna1d/Prkg1/Trpa1/Agt/Chrm3/Adra2c/Tacr1/Mrvi1/Jup/Pde4b/Obsl1/Taz/Smad5/Dmpk/Smad7/Cacna1c/Chrnb1/Scn10a/Bdkrb2/Tbx20/Edn1/Tnnc1/Stc1/Slc8a3/Homer1/Chrnb4/Arhgap42/Tmem38a/Scn3b/Mylk2/Rgs2/P2rx3/Drd2/Actc1/Atp1a2/Adra2a/Cav1/Chrnb2/Tmod4/Kcne4/Ppp1r13l/Myh8/Oxt/Tbxa2r/Rnf207/Tnnt3/Atp8a2/Adora1/Kcna5/Pde4d/Atp1b1/Bbs2/Ttn/Scn1a/Synm/Prok2/Dbn1/Actn2/Ccdc78/Nppa/Ryr2/Ehd3/Met/Hdac4/Ednrb/Cacna2d1/P2rx4/Oxtr/Uty/Mylk/Dock4/Kcnn2",127
"GO:0034765","regulation of ion transmembrane transport","190/6064","478/23210",3.58867179656665e-11,3.58867179656665e-11,3.75110641472704e-08,"Gsg1l/Kcnh5/Cnih3/Pirt/Kcnh1/Kcnq1/Scn8a/Grm5/Cacnb2/Wnk4/Kcnj4/Cacnb1/Shank1/Mapk8ip2/Scn4a/Cracr2a/Kcnh3/Cx3cl1/Per2/P2rx7/Nos1ap/Cacng1/Cacng4/Cacng5/Kcnj16/Kcnk4/Plcb1/Jsrp1/Agrn/Plcg1/Edn3/Capn3/Pik3c2a/Kcng1/Cacna2d3/Cacna1h/Oprm1/Rasgrf2/Fgf12/Pink1/Kcnab1/Clcnka/Clcn1/Scn2b/Oprk1/Clcn2/Wnk3/Kcnh2/Kcnma1/Cacna2d4/Hcn3/Hcn4/Clcnkb/Kcnj2/Kcnf1/Cacna1b/Akap9/Nedd4l/Cbarp/Casq2/Dmd/Pkd2/Dpp6/Pcsk9/Kcns2/Dapk1/Ager/Kcnj13/Cacna1a/Trdn/Neto1/Slc26a5/Kcnd2/Ank2/Stac3/Cacna1d/Gpr89/Prkg1/Lrrc26/Mettl21c/Crhbp/Kcnb2/Agt/Cnksr3/Bpifa1/Oprl1/Npsr1/Scn9a/Pde4b/Fxyd2/Ano9/Kcnj14/Cacna1c/Ntsr1/Htr3b/Ccl2/Scn10a/Cxcl10/Pm20d1/Bdkrb1/Scn11a/Nlgn2/Shisa9/Kcnip4/Kcnv2/Kcna3/Kcna2/Kcnh8/Scn3a/Rrad/Trpc6/Homer1/Tmc2/Tmem38a/Chrna4/Dpp10/Scn3b/Abcc8/Rgs2/Drd2/Fxyd7/Prkd1/Ppargc1a/Wnk2/Atp1a2/Hamp/Ifngr2/Kcnj9/Kcnq2/Hcn1/Cav1/Kcnd1/Kcnc2/Gpr39/Aplnr/Jph2/Kcne4/Cacna1f/Cacng3/Cemip/Shisa8/Cacng2/Kcnc1/Tgfb2/Hvcn1/Tmc1/Kcnmb1/Kcnj6/Slc34a1/Rnf207/Kcns1/Kcnd3/Kcna5/Kcna6/Gstm7/Akap7/Pde4d/Atp1b1/Kcna4/Ramp3/Catsper4/Scn1a/Pdpk1/Shisa6/Slc30a1/Crhr1/Kcnh7/Gja1/Irs2/Kcnj3/Kcnj1/Nlgn3/Atp4b/Actn2/Kcns3/Nppa/Stoml1/Ryr2/Hecw1/Kcnc3/F2/Ehd3/Rasgrf1/Cacna2d1/Arl6ip5/Tcaf2/Ahr/Tcaf1/Bmp4/Tspan13",190
"GO:0006813","potassium ion transport","106/6064","234/23210",1.67442729982809e-10,1.67442729982809e-10,1.45851430590289e-07,"Kcnh5/Kcnh1/Kcnq1/Gck/Wnk4/Kcnj4/Kcnh6/Slc12a5/Scn4a/Kcnh3/Gm21985/Kcnj16/Kcnk4/Plcb4/Agrn/Edn3/Kcng1/Slc9c1/Kcnab1/Oprk1/Akap5/Wnk3/Kcnh2/Kcnma1/Hcn3/Hcn4/Kcnj2/Kcnf1/Akap9/Nedd4l/Slc12a7/Casq2/Pkd2/Dpp6/Kcns2/Ager/Kcnj13/Kcnmb2/Neto1/Kcnd2/Ank2/Cacna1d/Prkg1/Hbp1/Gnaq/Lrrc26/Kcnmb3/Vip/Kcnb2/Slc24a4/Tsc1/Fxyd2/Kcnj14/Kcnh4/Hcrt/Kcnip4/Kcnv2/Kcna3/Kcna2/Kcnh8/Tmem38a/Dpp10/Abcc8/Kcnt1/Drd2/Kcnk12/Wnk2/Atp1a2/Slc24a3/Kcnj9/Kcnq2/Hcn1/Cav1/Kcnd1/Kcnc2/Kcnmb4/Kcne4/Kcnc1/Atp12a/Slc12a1/Kcnmb1/Kcnk15/Kcnj6/Rnf207/Kcns1/Kcnd3/Adora1/Kcna5/Kcna6/Akap7/Atp1b1/Kcna4/Kcnh7/Atp1b4/Kcnj3/Kcnj1/Atp4b/Actn2/Kcns3/Nppa/Slc9a3/Kcnc3/Abcc9/Slc9a4/Slc9a2/Kcnn2",106
"GO:0008015","blood circulation","189/6064","484/23210",2.31448083621315e-10,2.31448083621315e-10,1.72802967696215e-07,"Fgfbp3/Ace2/Kcnq1/Cacna1g/Vegfa/Adra1d/Cacnb2/Acvrl1/Mc3r/Dll1/Hsd11b2/Corin/Gaa/Cd34/Foxc2/Ren1/Cx3cl1/Per2/Tcap/Aoc3/C2cd4b/Nr2f2/Thra/Adra2b/Pde2a/Cyp11b1/Avpr1a/Cyp11b2/Agrn/Avpr1b/Npff/Edn3/Sgcd/Gas6/P2ry1/Hbegf/Cacna1h/Myh6/Col1a2/Adra1a/Arhgap35/Scn2b/Nox1/Sema3a/Kcnh2/Kcnma1/Thrb/Hcn4/Smad6/Nts/Gucy1a1/Kcnj2/Htr2b/Myh7/Cacna1b/Nedd4l/Emp2/Fgg/Zc3h12a/Mybpc3/Bves/Fga/Ucn/Casq2/Dmd/Ghrl/Chrm2/Bbs4/Bmp10/Glp1r/Ager/Trdn/Sgcz/Ank2/Dsc2/Cacna1d/Prkg1/Vip/Vegfc/F2rl1/Trpa1/Agt/Chrm3/Adra2c/Tacr1/Oprl1/Mrvi1/Ece1/Jup/Pde4b/Taz/Smad5/Dmpk/Smad7/Cacna1c/Cnr1/Ntsr1/Kng1/Slit2/Scn10a/Amot/Bdkrb2/Bdkrb1/Postn/Pdgfb/Tbx20/Edn1/Tnnc1/Stc1/Kdr/Nos2/Arhgap42/Tmem38a/Hey2/Eng/Scn3b/Rgs2/Drd2/Olfr78/Actc1/Drd5/Atp1a2/Slc4a5/Adra2a/Cav1/Npy/Cps1/Kcne4/Ppp1r13l/Gnao1/Chrna7/Tgfb2/Ptk2/Klk1b8/Kcnmb1/Oxt/Rasl10b/Crp/Tbxa2r/Trpv4/Npr3/Rnf207/Rps6ka2/Tnnt3/Kcnd3/Adora1/Kcna5/Klk1b11/Egfbp2/Klk1b26/Pde4d/Atp1b1/Bbs2/Mecp2/Klk1b21/Klk1b22/Klk1b16/Klk1b24/Ttn/Uts2/Bmpr2/Scn1a/Adcy6/Foxc1/Adamts16/Gja1/Agtr2/Esr2/Cxcr2/Tgfbr3/Nppa/Ryr2/Hrh1/Ehd3/Met/Hdac4/Ednrb/Cacna2d1/Coro2b/P2rx4/Oxtr/Egfr/Cyp2j5/Uty/Cxadr/Ahr/Dock4/Kcnn2/Htr1a",189
"GO:0003013","circulatory system process","192/6064","495/23210",3.20866422506451e-10,3.20866422506451e-10,1.92747702533798e-07,"Fgfbp3/Ace2/Kcnq1/Cacna1g/Vegfa/Adra1d/Nox4/Cacnb2/Acvrl1/Mc3r/Dll1/Hsd11b2/Corin/Gaa/Cd34/Foxc2/Ren1/Cx3cl1/Per2/Tcap/Aoc3/C2cd4b/Nr2f2/Thra/Adra2b/Pde2a/Cyp11b1/Avpr1a/Cyp11b2/Agrn/Avpr1b/Npff/Edn3/Sgcd/Gas6/P2ry1/Hbegf/Cacna1h/Myh6/Col1a2/Adra1a/Arhgap35/Scn2b/Nox1/Sema3a/Kcnh2/Kcnma1/Thrb/Hcn4/Smad6/Nts/Gucy1a1/Kcnj2/Htr2b/Myh7/Cacna1b/Nedd4l/Emp2/Fgg/Zc3h12a/Mybpc3/Bves/Fga/Ucn/Casq2/Dmd/Ghrl/Chrm2/Bbs4/Bmp10/Glp1r/Ager/Trdn/Sgcz/Ank2/Dsc2/Cacna1d/Prkg1/Vip/Vegfc/F2rl1/Trpa1/Agt/Chrm3/Adra2c/Tacr1/Oprl1/Mrvi1/Ece1/Jup/Pde4b/Taz/Wwtr1/Smad5/Dmpk/Smad7/Cacna1c/Cnr1/Ntsr1/Kng1/Slit2/Scn10a/Amot/Bdkrb2/Bdkrb1/Postn/Pdgfb/Tbx20/Edn1/Tnnc1/Stc1/Kdr/Nos2/Arhgap42/Tmem38a/Hey2/Eng/Scn3b/Rgs2/Drd2/Olfr78/Actc1/Drd5/Atp1a2/Slc4a5/Adra2a/Cav1/Npy/Cps1/Kcne4/Ppp1r13l/Gnao1/Chrna7/Tgfb2/Ptk2/Klk1b8/Kcnmb1/Oxt/Rasl10b/Crp/Tbxa2r/Trpv4/Npr3/Rnf207/Rps6ka2/Tnnt3/Kcnd3/Adora1/Kcna5/Klk1b11/Egfbp2/Klk1b26/Pde4d/Atp1b1/Bbs2/Mecp2/Ramp3/Klk1b21/Klk1b22/Klk1b16/Klk1b24/Ttn/Uts2/Bmpr2/Scn1a/Adcy6/Foxc1/Adamts16/Gja1/Agtr2/Esr2/Cxcr2/Tgfbr3/Nppa/Ryr2/Hrh1/Ehd3/Met/Hdac4/Ednrb/Cacna2d1/Coro2b/P2rx4/Oxtr/Egfr/Cyp2j5/Uty/Cxadr/Ahr/Dock4/Kcnn2/Htr1a",192
"GO:0007416","synapse assembly","86/6064","180/23210",3.31922025511373e-10,3.31922025511373e-10,1.92747702533798e-07,"Lrrtm3/Rab17/Amigo2/Sptbn2/Shank1/Lrp4/Lrrc4b/Nrxn2/Eef2k/Agrn/Flrt3/Mapt/Slitrk1/Slitrk6/2610042L04Rik/Slitrk5/Gja10/Pcdh17/Musk/Myo6/Ghsr/Adgrf1/Clstn2/Pclo/Dlg5/Fzd1/Nrxn3/Ptprd/Ghrl/Cdh2/Ppp1r9a/Tpbg/Adgrl3/Cacna1a/Clstn3/Sipa1l1/Grid2/Cel/Cbln2/Grin1/Ephb1/Il1rapl1/Arhgef9/Pcdhb16/Pdgfb/Slitrk3/Nlgn2/Ntrk2/Lrrtm2/Six4/Lrrtm1/Adgrb2/Sdk1/Cntn5/Lrrtm4/Efna5/Mdga2/Sdk2/Chrnb2/Ptk2/Erbb4/Oxt/Lrfn1/Ntn1/Adgrl2/Mecp2/Lrrc24/Syndig1/Thbs2/Srpx2/Gabrg2/Cdh9/Nrg2/Nlgn3/Gabra1/Lrrc4/Adgrb3/Flrt1/Vstm5/Wnt7a/Oxtr/Tlr2/Gabrb2/Numb/Efnb2/Epha7",86
"GO:0003002","regionalization","152/6064","373/23210",4.07874930270399e-10,4.07874930270399e-10,1.93994655639388e-07,"Ppp2r3a/Foxj1/Cdx4/Kmt2a/Pcgf2/Ets2/Nkx6-2/Pcsk6/Tgif1/Dll1/Ripply2/Lrp4/Cfc1/Wdr19/Tbx18/Foxc2/T/Cyp26a1/Tcap/Sp8/Bptf/Tbx6/Foxf1/Axin2/Nr2f2/Bmp2/Dbx1/Rarg/Aldh1a2/Fgfr2/Acvr2b/Mks1/Hoxb9/Trp53/Hoxb3/Hoxb1/Hoxc11/Hoxc6/Hoxc8/Hoxc10/Hoxc4/Vangl2/Neurod1/Meox2/Pcdh8/Hey1/Gpc3/Nodal/Wnt8a/Tgfbr1/Sema3a/Cer1/Kdm2b/Smad6/Fgf2/Gas1/Scmh1/Nbl1/Hoxa1/Msx2/Hoxa4/Hoxa3/Hoxa5/Hoxa2/Hoxa7/Hoxa6/Bmpr1b/Ski/Pax2/Noto/Cyp26b1/Pkd1l1/Hoxd11/Hoxd10/Hoxd9/Hoxd3/Hoxd4/Lmx1b/Ring1/Six3/Six2/Emx1/Gata5/Hspb11/Pld6/Wt1/Lef1/Arl13b/Fuz/Pgap1/Kat2a/Tbx20/Pax6/Edn1/Gli2/Lhx2/Disp1/Nkx3-1/Pcsk5/Shh/Grem1/Bmpr1a/Foxg1/Hey2/Nle1/Pax3/Dll3/Tbr1/Wls/Fezf2/Axin1/Hipk2/Sox1/Prop1/Tdrd5/Hes5/Wnt7b/Foxb1/Dlx1/Mapk8/Lrp6/Acvr2a/Ttn/Lrp2/Bmpr2/Grem2/Wnt3/Acvr1/Gpr161/Tbc1d32/Foxc1/Hhip/Myf6/Sema3c/Tbx3/Irx1/Fgf8/Celsr2/Wnt7a/Fgf10/Sfrp2/Tdgf1/Sox17/Hoxa10/Ift88/Bmp4/Pitx2/Smo/Robo2/Otx1/Evx1/Egr2",152
