ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
Exp391_CD8---EE_dn,Exp391_CD8---EE_dn,157,-0.6386873689109752,-1.4633606009993947,1.0006003602161297e-4,0.002694458566344687,0.002140582773660129,4814,"tags=35%, list=16%, signal=30%",Gm14585/Gm9964/Ctbp2/Cacna2d4/Arrb1/Trav2/Gm8822/Cplx2/Pla2g2d/Gm15304/Pld5/Dsg2/Gm7609/Mitf/Sorbs2/Gm5175/Scn2a/Gm10709/Gm7392/AC133103.1/Gm14584/Slc25a5-ps/Gm12183/Ica1l/Gm15766/Gm16209/Gm11410/Gm17195/Lca5l/Fam131a/Chst15/Aldoart1/Gm15516/Rpl17-ps4/Olfr6/Gucy1a2/Cth/Olfr1276/Hmgb1-ps3/Gm8425/Spred3/Gm15267/Gm28374/Gm14681/Runx1t1/Zfp2/Zfp551/Gm48557/Adamts17/E130116L18Rik/Sulf2/Prss12/Foxg1/Amigo2/Hif3a
Exp391_CD8---MP_up,Exp391_CD8---MP_up,68,-0.7676387250808303,-1.7048219026847122,1.0167768174885612e-4,0.002694458566344687,0.002140582773660129,4623,"tags=68%, list=15%, signal=57%",Mmp10/Cd163l1/Il1rl1/Ighj4/Gm4654/Igkv3-2/Sema5b/Gabbr2/Rfx4/Hepacam2/Ighv9-3/Gm9818/Ric3/Thsd7a/Amotl2/Lamc2/Gm11964/Acaa1b/Shank2/AI593442/Lamb2/Acacb/Cacna1b/Tnr/Itgb6/Slc4a3/Hr/H2-M2/Gm5829/Gm7676/Vdr/Igkv11-106/Muc4/Gm15023/Smlr1/Col1a2/Rpl21-ps15/Igkv3-1/Lmo7/Igkv4-80/Igkv4-61/Igkv8-24/Igkv2-137/Ighv1-42/Mpo/Igkv4-56
Exp391_CD8---best_cluster_6,Exp391_CD8---best_cluster_6,49,0.7434897710974973,2.3944691988142286,0.002770083102493075,0.037219101123595506,0.029568302779420463,5639,"tags=71%, list=19%, signal=58%",Ccl5/Cx3cr1/S1pr5/Klrg1/Dapk2/Itgam/Fasl/Zeb2/Klrc1/Klrc3/Klrc2/Dock5/Gzmk/Gzma/S100a4/Id2/Il18rap/Plek/Casp1/Smpdl3b/Itgax/Klrk1/Myo1f/S100a6/Itga1/Pik3ap1/Gna15/Nrp1/Slc25a24/Ccr5/Sytl2/Itga4/Cxcr3/Anxa2/Klra10
Exp391_CD8---Texprog2_dn,Exp391_CD8---Texprog2_dn,50,0.7042870237191087,2.253586926150127,0.0028089887640449437,0.037219101123595506,0.029568302779420463,6047,"tags=70%, list=20%, signal=56%",Ccl5/F2rl2/Adrb1/Ccl3/Zfp120/Dapk2/Ptpn4/Cd200r4/Lag3/Fasl/Bcl2l11/Cxcr6/Ubash3b/Ddx28/Ccl4/Prf1/Cd200r1/Gzma/Hid1/Hcst/Tnfaip3/Id2/F2r/Fgl2/Lrrk1/Padi2/Tmem159/Pdgfb/Slamf1/Rtn4rl1/Havcr2/Chn2/Rgs1/Ugcg/Cish
Exp391_CD8---best_cluster_9,Exp391_CD8---best_cluster_9,68,0.6254935298127695,2.09357924636465,0.005555555555555556,0.04962546816479401,0.03942440370589395,6338,"tags=62%, list=21%, signal=49%",Stk32c/Gpx8/Art2a/Apobec2/Itga2/Prr13/Cd68/Sh3bgrl/Pglyrp1/Ap1s2/Glrx/Dap/Snx10/Ptpn13/Anxa4/Lxn/Unc119/Myadm/Igf2r/Efhd2/Crmp1/Fgl2/Cldnd2/Scpep1/Pqlc3/Xdh/Ak3/Galnt3/Cercam/Arhgap10/Rbms1/Lgals3/Casp7/Prdm1/Pycard/Tspan2/Raph1/Ggh/Nqo2/Chn2/Reep5/Rap2a
Exp391_CD8---MP_dn,Exp391_CD8---MP_dn,69,0.8072173816406294,2.7486772382028666,0.0056179775280898875,0.04962546816479401,0.03942440370589395,5428,"tags=91%, list=18%, signal=75%",Gm45837/Gm14686/Gm17538/Gm17786/Gm12164/Gm12435/Sorcs3/Gucy1b1/Gm28778/Gm14659/D430019H16Rik/Gm14399/Gm11793/Zfp92/E130311K13Rik/Meis3/Gm38699/Gpr137/Calcrl/Csrnp2/Zfp764/Xpnpep3/E130308A19Rik/Pnpla8/Dcp1a/Btbd9/Wbp2/Pagr1a/Klhl21/Rnf123/Icam1/Csnk1e/Tbc1d17/Galnt6/Cipc/Bloc1s4/D230025D16Rik/Asb7/Elmsan1/Slc15a4/Ddrgk1/Kdm4b/Cdk5rap3/Slc25a12/Sppl2b/Vps37b/Ptp4a3/Actr1b/Kif1bp/Nfe2l2/Csnk1d/Fgf13/Rprd2/Rundc1/Tbc1d14/Gpr107/Med17/Prkch/Hsd17b4/Osbpl2/Ubxn6/Cdk17/Ankrd10
Exp391_CD8---GSE68056_WT_vs_Blimp1KO---WT,Exp391_CD8---GSE68056_WT_vs_Blimp1KO---WT,74,0.45218996411191004,1.5593880432878318,0.007194244604316547,0.05447070914696814,0.04327365175528751,5331,"tags=53%, list=18%, signal=44%",Gm12335/Dpysl3/Cx3cr1/Gpx8/P3h4/Klrg1/Ccl3/Ovol2/Itgam/Fasl/Rasl11a/Gm4724/Wdr95/Tmem37/Ccl4/Prf1/Cd86/Gm49368/Gm14253/Gzma/Serpini1/Asb1/Il18rap/Xcr1/Zfp965/Mospd1/Gzmb/Wdfy1/Hist1h2ag/Csrp1/Galnt3/Kdelc2/Chil5/Gm6637/Prkch/Sytl2/Havcr2/Gm12222/Tmem254c
Exp391_CD8---best_cluster_10,Exp391_CD8---best_cluster_10,77,0.5074852985071426,1.7026572031060412,0.008771929824561403,0.0581140350877193,0.046168051708217916,6013,"tags=62%, list=20%, signal=49%",Klra9/Klre1/F2rl2/Fbxl2/Klra3/Tmem163/Zeb2/Gdf11/Fam129a/Il10ra/Baiap3/Prf1/Ppm1j/Rnf216/Chsy1/St3gal6/Rora/Atp2b1/Cd38/Pogk/L1cam/As3mt/F2r/Kcnk5/Ttc39b/Stard10/Lrrk1/Slamf7/Nrarp/Dennd4a/Ncald/N4bp1/Bhlhe40/Arl4d/Errfi1/Endod1/Usp48/Itgal/Tbx21/Ppp1r12a/Mapre2/Cobll1/Nptn/Hopx/Smad3/Ern1/Capn2/Zbtb7b
Exp391_CD8---Texprog1_dn,Exp391_CD8---Texprog1_dn,116,0.5976907855658966,2.1728099935795613,0.03225806451612903,0.18711205802496672,0.14864910270106593,7149,"tags=61%, list=24%, signal=47%",Ccl5/Cx3cr1/F2rl2/Adrb1/Dapk2/Ptpn4/Cd200r4/Slc25a53/Fasl/Lamb3/Bcl2l11/Cxcr6/Dock5/Gfod1/Baiap3/Ddx28/Ccl4/Ctsd/Gzma/S100a4/Hid1/Cd226/Runx1/L1cam/Acsbg1/Itgad/Myadm/Id2/F2r/Rom1/Kcnk5/Fgl2/Lrrk1/Cap1/Gzmb/Dennd4c/Adam8/Slamf1/Lyst/Rtn4rl1/Rapgef2/Fam53c/Prex1/Lgals3/Ifngr1/Prdm1/Pycard/Sytl2/Rab11fip4/Crip1/Havcr2/Mast3/Pik3cd/Ids/Nufip2/Atp2a3/Smad3/Nqo2/Chn2/Ugcg/Cish/Sema4a/Usp20/Lgals1/Dusp5/Raly/Flna/Osbpl3/Plcg1/Nedd4/Entpd1
Exp391_CD8---EE_up,Exp391_CD8---EE_up,129,0.8055074725158818,2.892102986646681,0.03571428571428571,0.18711205802496672,0.14864910270106593,5618,"tags=95%, list=19%, signal=78%",Ccl7/Igkv4-53/Ighv6-3/Gm156/Igkv6-25/Gm36501/Gm8513/Osbpl1a/Fam83h/Gm12564/Gm12166/Spata48/Fbxo27/Akr1b8/Gm11185/Slc6a20a/Med7/Hist1h2bc/Trbv13-2/Trav8-2/Trav16n/Trav9-1/Gng3/Trbv19/Fam149b/Srxn1/Coq8b/Yap1/Gm6710/Gm10130/Rhoc/Pabpc1l/Rsph1/S100a11/Slc25a33/Gnpda2/Gimap7/Phlpp1/Thap3/Casp6/Zfp866/Commd10/Prr13/Cd68/Nccrp1/Ralgds/Zfpl1/Zfp961/Pglyrp1/Fbxo6/Trbj2-4/Pla2g16/Chmp1b/Ropn1l/Glrx/Dusp14/Hmces/Acot7/S100a4/Esco1/Irak3/Cd2/Vamp5/Trbv4/Cd226/Dus2/Trav6d-7/Trav6n-7/Trbv20/Tmem126b/Igf2r/Fam32a/Sfr1/Cd3g/Pym1/1110012L19Rik/Rom1/St6galnac3/4930453N24Rik/Snapc5/Sdhc/Gldc/Mllt11/Pmm2/Rab19/Dock7/Gstp3/Sf3b1/Cst7/S100a6/Arpc5/Trbj2-1/Bad/Myl12b/Ifi27/Trbc2/Gna15/Taf12/Wdfy1/Zmat5/Pts/Ppp1ca/Sar1b/Ifi27l2a/Popdc2/Pstk/Rdh12/Htatip2/Tmem126a/Selenof/Lgals3/Vamp8/Atg101/Tmem192/Sri/Lamtor1/Aopep/Nit1/Acot9/Farp1/2610001J05Rik/Ptprcap/Ube2n
Exp391_CD8---Texprog2_up,Exp391_CD8---Texprog2_up,232,-0.5054134099815806,-1.1691508263740495,0.04229577042295771,0.18711205802496672,0.14864910270106593,12508,"tags=69%, list=41%, signal=41%",Capg/Actn1/Pbk/Hmgb2/Tyms/Ccnb2/Uhrf1/Mcm10/Exo1/Mpp6/Myo5a/Cdk2/Rad54b/Stil/Wdhd1/Tk1/Paqr4/Ncaph/Chaf1a/Cenph/Rad51/Mad2l1/Fgfr1op/Spock2/Ctsz/Ercc6l/Shmt1/Btla/Ogfrl1/Kntc1/Myc/Ptpn6/Sgms1/Esco2/Hmgb3/Spc24/Kbtbd11/Mybl2/Rcc1/Ndc80/Sptbn1/Hells/Ppa1/Cenpa/Psat1/Cdc25b/Ctps/Ncapg2/Rrm1/E2f8/Suv39h1/Smc2/Melk/Cenpm/Tpi1/Cdca5/Mthfd1/Dusp4/Ncapd2/Cks1b/Slfn5/1500009L16Rik/Apex1/Asns/Hyls1/Tpd52/Depdc1b/Smyd2/Knstrn/Ska3/Alg8/Cit/Gnl3/Hist1h2ap/Clgn/Spc25/Ckap2l/Cdca3/Myb/Cdca8/Hist1h2ae/Shcbp1/Bmyc/Chtf18/Anln/Traip/Lmnb1/Dlgap5/Ckap2/Arhgap11a/Ms4a4c/Tmem97/Cdca2/Nuf2/Tacc3/Birc5/Kif18a/Tuba1b/Kif4/Mtfr2/Fzr1/E2f7/Spdl1/Hmmr/Tpx2/Kif15/Cep55/Bora/Trip13/Pola1/Tubb4b/Bub1/Mki67/Sh2b3/Ccna2/H2afx/Cenpe/Kif11/Kif18b/Incenp/Ccnb1/Kif23/Cdk1/Parpbp/Tcf7/Cks2/Kif2c/Kif20a/Top2a/Kif22/Ttk/Bub1b/Ncapg/Kpna2/Arhgap19/Gpsm2/Aurkb/Prc1/Tuba1c/Srm/Sapcd2/Ccnf/Nek2/Fam129b/Ect2/Cdc25c/Plk1/Enpp2/Cenpf/Cdc20/Tnfsf8/Nusap1/Spag5/Aurka/Ube2c/Smtn/Gas2l3/Sell/Il7r
Exp391_CD8---TRM_biased,Exp391_CD8---TRM_biased,133,0.6208057138785343,2.3022177698549586,0.045454545454545456,0.18711205802496672,0.14864910270106593,6732,"tags=79%, list=22%, signal=62%",Ccl5/F2rl2/Gtf2i/Sdcbp2/Pfkm/Ifi214/Ncf1/Lamb3/Cxcr6/Vsir/Kdm5b/Ifi209/Cd7/Inpp1/Tcp11l2/Ifi206/Mxd4/Oas1a/Ccl4/Prr13/Sh3bgrl/Cd86/Cited2/Klf3/Fbxo6/Gm8369/Klrd1/Xpa/Pbxip1/Rnf6/Tprgl/Fam189b/Dap/Paip2/Gimap3/Gsn/Pdrg1/Cd27/Pld3/Irf7/Smpdl3a/Slfn1/Armc3/Cd96/Hcst/Tmem71/Cd3g/Smim14/S100a13/Casp1/Phf11c/Ankra2/Acads/Nmb/Rab19/1600002K03Rik/Pqlc3/Eva1b/Ctso/Casp4/3830406C13Rik/Ak3/Crot/Abcb9/Cd37/Pgs1/Grap/Traf3ip3/Npc2/Pdcd4/Ifi27l2a/Cd53/Bloc1s1/Ifit1/Twf2/Pkp3/Glmp/Samhd1/Snx20/Nudt7/Ebpl/Slc17a9/Ifit1bl1/Rtp4/Zfp945/Trim12a/Btg1/Ifit3/Pold4/Hopx/Xaf1/Sp140/Rusc1/Zbp1/Rnf114/Pik3ip1/Saraf/Surf1/4930486L24Rik/Ifi203/Txnip/Ifi213/Actn2/Isg15/Borcs8
Exp391_CD8---DP_up,Exp391_CD8---DP_up,302,-0.4929765764089872,-1.1446834771706749,0.0458954104589541,0.18711205802496672,0.14864910270106593,10630,"tags=54%, list=35%, signal=36%",Fcgr1/Nucks1/Sdc3/Ptprj/Ncapd2/Cks1b/Lcn2/Depdc1b/Cep85/Neil3/Knstrn/Ighj2/Fcrl1/Iglc2/Padi4/Dnah14/Ska3/Hist1h2ap/Ska2/Pcnt/Ankmy1/Spc25/Ighv6-6/Ighv1-26/Ckap4/Bank1/Iglj3/Kif1c/Ckap2/Mxd3/Cenpi/Birc5/Trim59/Derl3/Gm44521/Ly6i/Snn/Kif15/Cep55/Fgd2/Igkv8-28/Igkv12-41/Ccna2/H2afx/S100a8/Igkv12-44/Kif18b/Dok3/Incenp/Kif23/Reep4/Pimreg/Wfdc17/Siglece/Ngp/Cks2/Pirb/Fam72a/Tifab/Top2a/Kif22/S100a9/Ly86/Igkc/Ncapg/Kpna2/Csf1r/Tuba1c/Prr11/Ccnf/Cr2/Mmp8/Trem3/Ifi205/Il1b/Gda/Ighv1-66/Alox5ap/Igkv5-48/Eaf2/Pla2g7/Cip2a/Ighj1/Tifa/Espl1/Igkj2/Prkce/Iglv1/Lmo2/Ncr1/Ms4a1/Jchain/Slamf9/H2-Aa/Retnlg/Wfdc21/Gm10031/Igkv8-27/Cd74/Ighd/Tyrobp/Cd79a/Ube2c/Tlr13/Lyz2/Pou2af1/H2-Ab1/H2-Eb1/Slfn4/Igkv1-135/Hck/Tnni2/Ltf/Mzb1/Ighv1-55/Neurl1b/Pilrb1/Abcd2/Ebf1/Hp/Sirpb1b/Clec4a3/Ighg2c/Pif1/Pld4/Mgst1/Anxa3/Cxcl16/Pilra/Csf2rb/Igkj4/Grk3/March1/Fcer2a/Rnase6/Rasgrp3/Slc38a5/Mmp14/Prg2/Igkv1-110/Fbxo40/Bfsp2/Tnfaip2/Cyp4f18/Blk/Mgl2/Igkv4-63/Agap1/Siglecg/Igkv6-32/Ighv1-71/Car1/Igkv6-14/Ighe/Igkv4-57/Tspo2/Ces2g/Hba-a1/Igkv6-23/Igkv16-104/Ighv1-34/Igkv19-93/Igkv9-120/Igkv4-90
