"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048018","receptor ligand activity","57/1172","489/22710",8.16196601553186e-09,8.16196601553186e-09,4.05379081923591e-06,"Cxcl16/Adcyap1/Vegfd/Agrp/S100a7a/Fgf15/Erfe/Ccl22/Ccl17/Il19/Tnfsf12/Tnfsf13/Fgf6/Pdgfc/Fgf17/Sema3d/Nodal/Rln3/Sema6a/Gdf6/Artn/Csf2/Prl7a1/Prl7d1/Bmp10/Tnfsf11/Cxcl11/Nppc/Gdf7/Apln/Cxcl10/Pdgfb/Hcrt/Fgf22/Inha/Prok1/Tafa2/Stc2/Calca/Avp/Ccl9/Inhbc/Ifna16/Ctf1/Ifnz/Gm13271/Btc/Il7/Il17a/Wnt10a/Uts2b/Crlf1/Sema4c/Bmp8b/Sema5b/Gdf1/Il4",57
"GO:0005261","cation channel activity","42/1172","312/22710",1.31624356136826e-08,1.31624356136826e-08,4.05379081923591e-06,"Kcnh1/Slc24a1/Trpm5/Grik1/Cacna1g/Scn8a/Scn4a/Kcnh3/Pkd1l2/Trpc2/Chrna10/Kcnk3/Kcnk13/Trpc5/Lrrc26/Grin1/Kcnmb3/Kcne1l/Slc24a4/Asic2/Scn11a/Scn3a/Chrna3/Trpc6/P2rx3/Otop1/Scnn1a/Kcne4/Cacna1f/Slc24a2/Kcnc1/Tmc1/Kcns1/Kcnab2/Kcng2/Kcnv1/Cnga4/Hcn3/Hcn4/P2rx2/Grin3a/Kcnc3",42
"GO:0022838","substrate-specific channel activity","50/1172","414/22710",2.15891698080623e-08,2.15891698080623e-08,4.05379081923591e-06,"Kcnh1/Slc24a1/Trpm5/Grik1/Cacna1g/Scn8a/Scn4a/Kcnh3/Pkd1l2/Trpc2/Chrna10/Kcnk3/Kcnk13/Trpc5/Ano7/Lrrc26/Grin1/Kcnmb3/Gabrd/Kcne1l/Gabra4/Gabrr2/Slc24a4/Mip/Asic2/Scn11a/Scn3a/Chrna3/Trpc6/P2rx3/Otop1/Scnn1a/Kcne4/Cacna1f/Slc24a2/Kcnc1/Tmc1/Gabrb3/Best2/Kcns1/Kcnab2/Kcng2/Kcnv1/Cnga4/Hcn3/Hcn4/P2rx2/Grin3a/Kcnc3/Slc26a7",50
"GO:0005216","ion channel activity","49/1172","402/22710",2.2228578806777e-08,2.2228578806777e-08,4.05379081923591e-06,"Kcnh1/Slc24a1/Trpm5/Grik1/Cacna1g/Scn8a/Scn4a/Kcnh3/Pkd1l2/Trpc2/Chrna10/Kcnk3/Kcnk13/Trpc5/Ano7/Lrrc26/Grin1/Kcnmb3/Gabrd/Kcne1l/Gabra4/Gabrr2/Slc24a4/Asic2/Scn11a/Scn3a/Chrna3/Trpc6/P2rx3/Otop1/Scnn1a/Kcne4/Cacna1f/Slc24a2/Kcnc1/Tmc1/Gabrb3/Best2/Kcns1/Kcnab2/Kcng2/Kcnv1/Cnga4/Hcn3/Hcn4/P2rx2/Grin3a/Kcnc3/Slc26a7",49
"GO:0015267","channel activity","51/1172","438/22710",5.16272209093961e-08,5.16272209093961e-08,6.27678317372131e-06,"Kcnh1/Slc24a1/Trpm5/Grik1/Cacna1g/Scn8a/Panx2/Scn4a/Kcnh3/Pkd1l2/Trpc2/Chrna10/Kcnk3/Kcnk13/Trpc5/Ano7/Lrrc26/Grin1/Kcnmb3/Gabrd/Kcne1l/Gabra4/Gabrr2/Slc24a4/Mip/Asic2/Scn11a/Scn3a/Chrna3/Trpc6/P2rx3/Otop1/Scnn1a/Kcne4/Cacna1f/Slc24a2/Kcnc1/Tmc1/Gabrb3/Best2/Kcns1/Kcnab2/Kcng2/Kcnv1/Cnga4/Hcn3/Hcn4/P2rx2/Grin3a/Kcnc3/Slc26a7",51
"GO:0022803","passive transmembrane transporter activity","51/1172","438/22710",5.16272209093961e-08,5.16272209093961e-08,6.27678317372131e-06,"Kcnh1/Slc24a1/Trpm5/Grik1/Cacna1g/Scn8a/Panx2/Scn4a/Kcnh3/Pkd1l2/Trpc2/Chrna10/Kcnk3/Kcnk13/Trpc5/Ano7/Lrrc26/Grin1/Kcnmb3/Gabrd/Kcne1l/Gabra4/Gabrr2/Slc24a4/Mip/Asic2/Scn11a/Scn3a/Chrna3/Trpc6/P2rx3/Otop1/Scnn1a/Kcne4/Cacna1f/Slc24a2/Kcnc1/Tmc1/Gabrb3/Best2/Kcns1/Kcnab2/Kcng2/Kcnv1/Cnga4/Hcn3/Hcn4/P2rx2/Grin3a/Kcnc3/Slc26a7",51
"GO:0015077","monovalent inorganic cation transmembrane transporter activity","43/1172","360/22710",2.82649106002848e-07,2.82649106002848e-07,2.94550120992441e-05,"Kcnh1/Slc24a1/Trpm5/Grik1/Scn8a/Slc36a3/Slc36a2/Atp5o/Scn4a/Kcnh3/Gm21985/Slc32a1/Atp1b2/Kcnk3/Slc6a19/Kcnk13/Slc5a8/Lrrc26/Kcnmb3/Kcne1l/Slc24a4/Asic2/Scn11a/Scn3a/Slc10a4l/Slc6a17/Otop1/Slc5a7/Scnn1a/Kcne4/Slc24a2/Kcnc1/Kcns1/Kcnab2/Kcng2/Kcnv1/Slc10a4/Hcn3/Hcn4/Slc6a9/Slc9a3/Kcnc3/Slc18a1",43
"GO:0046873","metal ion transmembrane transporter activity","48/1172","426/22710",3.40146380550287e-07,3.40146380550287e-07,3.10159791738617e-05,"Kcnh1/Slc24a1/Trpm5/Grik1/Cacna1g/Scn8a/Scn4a/Kcnh3/Pkd1l2/Gm21985/Atp1b2/Trpc2/Kcnk3/Slc6a19/Kcnk13/Trpc5/Slc5a8/Lrrc26/Grin1/Kcnmb3/Atp13a4/Kcne1l/Slc24a4/Asic2/Scn11a/Scn3a/Trpc6/Slc10a4l/Slc6a17/Slc5a7/Scnn1a/Kcne4/Cacna1f/Slc24a2/Kcnc1/Tmc1/Kcns1/Kcnab2/Kcng2/Kcnv1/Slc10a4/Hcn3/Hcn4/Slc6a9/Grin3a/Slc9a3/Kcnc3/Slc18a1",48
"GO:0022839","ion gated channel activity","39/1172","319/22710",5.53557062228033e-07,5.53557062228033e-07,4.48672566226932e-05,"Kcnh1/Trpm5/Grik1/Cacna1g/Scn8a/Scn4a/Kcnh3/Chrna10/Kcnk3/Kcnk13/Ano7/Lrrc26/Grin1/Kcnmb3/Gabrd/Kcne1l/Gabra4/Gabrr2/Asic2/Scn11a/Scn3a/Chrna3/P2rx3/Scnn1a/Kcne4/Cacna1f/Kcnc1/Tmc1/Gabrb3/Kcns1/Kcnab2/Kcng2/Kcnv1/Cnga4/Hcn3/Hcn4/P2rx2/Grin3a/Kcnc3",39
"GO:0015081","sodium ion transmembrane transporter activity","23/1172","143/22710",1.16932082936144e-06,1.16932082936144e-06,8.52988773418397e-05,"Slc24a1/Trpm5/Grik1/Scn8a/Scn4a/Atp1b2/Slc6a19/Slc5a8/Slc24a4/Asic2/Scn11a/Scn3a/Slc10a4l/Slc6a17/Slc5a7/Scnn1a/Slc24a2/Slc10a4/Hcn3/Hcn4/Slc6a9/Slc9a3/Slc18a1",23
