complex,gene_name,complex_simp
BAF,Actl6a,BAF
BAF,Arid1a,BAF
BAF,Arid1b,BAF
BAF,Arid2,BAF
BAF,Brd7,BAF
BAF,Brd9,BAF
BAF,Pbrm1,BAF
BAF,Phf10,BAF
BAF,Smarca2,BAF
BAF,Smarca4,BAF
BAF,Smarcb1,BAF
BAF,Smarcc1,BAF
BAF,Smarcc2,BAF
BAF,Smarcd1,BAF
BAF,Smarcd2,BAF
BAF,Smarcd3,BAF
BAF,Smarce1,BAF
CAF1,Chaf1a,CAF1
CAF1,Chaf1b,CAF1
E2F6_COM-1,Cbx3,E2F6_COM-1
E2F6_COM-1,Ehmt1,E2F6_COM-1
E2F6_COM-1,Ehmt2,E2F6_COM-1
E2F6_COM-1,L3mbtl2,E2F6_COM-1
FACT,Ssrp1,FACT
FACT,Supt16h,FACT
FACT,Supt16,FACT
HBO1,Ing4,HBO1
HBO1,Ing5,HBO1
HBO1,Kat7,HBO1
HBO1,Phf17,HBO1
HBO1,Myst2,HBO1
HBO1,Jade1,HBO1
HDAC,Chd3,HDAC
HDAC,Chd4,HDAC
HDAC,Chd5,HDAC
HDAC,Hdac1,HDAC
HDAC,Hdac2,HDAC
HDAC,Kdm1a,HDAC
HDAC,Mbd2,HDAC
HDAC,Mbd3,HDAC
HDAC,Mta1,HDAC
HDAC,Mta2,HDAC
HDAC,Mta3,HDAC
HDAC,Rbbp4,HDAC
HDAC,Rbbp7,HDAC
HDAC,Sin3a,HDAC
HDAC,Sin3b,HDAC
ISWI,Baz1b,ISWI
ISWI,Baz2a,ISWI
ISWI,Bptf,ISWI
ISWI,Smarca1,ISWI
ISWI,Smarca5,ISWI
L3MBTL,L3mbtl1,L3MBTL
L3MBTL,L3mbtl3,L3MBTL
L3MBTL,L3mbtl4,L3MBTL
MOZ-MORF,Brd1,MOZ-MORF
MOZ-MORF,Brpf1,MOZ-MORF
MOZ-MORF,Brpf3,MOZ-MORF
MOZ-MORF,Kat6a,MOZ-MORF
MOZ-MORF,Kat6b,MOZ-MORF
MOZ-MORF,Myst3,MOZ-MORF
MOZ-MORF,Myst4,MOZ-MORF
NU4A,Brd8,NU4A
NU4A,Dmap1,NU4A
NU4A,Ep400,NU4A
NU4A,Morf4l1,NU4A
PRC1,Bmi1,PRC1
PRC1,Cbx2,PRC1
PRC1,Cbx4,PRC1
PRC1,Cbx6,PRC1
PRC1,Cbx8,PRC1
PRC1,Kdm2b,PRC1
PRC1,Pcgf1,PRC1
PRC1,Pcgf2,PRC1
PRC1,Pcgf5,PRC1
PRC1,Pcgf6,PRC1
PRC1,Phc1,PRC1
PRC1,Phc2,PRC1
PRC1,Phc3,PRC1
PRC1,Ring1,PRC1
PRC1,Rnf2,PRC1
PRC1,Scmh1,PRC1
PRC1,Scml2,PRC1
PRC2,Eed,PRC2
PRC2,Ezh1,PRC2
PRC2,Ezh2,PRC2
PRC2,Jarid2,PRC2
PRC2,Mtf2,PRC2
PRC2,Phf1,PRC2
PRC2,Phf19,PRC2
PRC2,Suz12,PRC2
SAGA,Kat2a,SAGA
SAGA,Kat2b,SAGA
SAGA,Usp22,SAGA
SAGA,Usp27x,SAGA
SAGA,Usp51,SAGA
SEC,Aff1,SEC
SEC,Aff4,SEC
SEC,Jmjd6,SEC
SET-MLL,Ash2l,SET-MLL
SET-MLL,Cxxc1,SET-MLL
SET-MLL,Dpy30,SET-MLL
SET-MLL,Hcfc1,SET-MLL
SET-MLL,Kat8,SET-MLL
SET-MLL,Kdm6a,SET-MLL
SET-MLL,Men1,SET-MLL
SET-MLL,Mll2,SET-MLL
SET-MLL,Mll3,SET-MLL
SET-MLL,Paxip1,SET-MLL
SET-MLL,Phf20,SET-MLL
SET-MLL,Rbbp5,SET-MLL
SET-MLL,Setd1a,SET-MLL
SET-MLL,Wdr5,SET-MLL
SET-MLL,Wdr82,SET-MLL
SET-MLL,Myst1,SET-MLL
SET-MLL,Kmt2d,SET-MLL
SET-MLL,Kmt2c,SET-MLL
Histone Methyltransferase \n Complex,Ash2l,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Cbx5,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Cxxc1,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Dpy30,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Hdac9,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Jarid2,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kdm4a,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kdm4b,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kdm4c,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kdm4d,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kdm5a,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kdm5b,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kdm5c,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kdm5d,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kdm6a,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Men1,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kmt2a,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kmt2d,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kmt2c,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Nsd1,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Paxip1,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Prdm10,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Prdm4,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Prdm8,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Prmt5,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Rbbp5,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Setd1a,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Kmt2b,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Wdr5,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Wdr82,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Mll1,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Mll2,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Mll3,Histone Methyltransferase \n Complex
Histone Methyltransferase \n Complex,Wbp7,Histone Methyltransferase \n Complex
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Bmi1,Pol II Proximal Promoter \n DNA Binding
RNA polymerase II \n proximal promoter \n sequence-specific DNA binding,Chd2,Pol II Proximal Promoter \n DNA Binding
