gene_name,P2_Arm,P3_Arm,P4_Arm,P5_Arm,P6_Arm,P7_Arm,P8_Arm,P9_Arm,P10_Arm,P2_Cl13,P3_Cl13,P4_Cl13,P5_Cl13,P6_Cl13,P7_Cl13,P8_Cl13,P9_Cl13,P10_Cl13
Mrpl15,0.52432203,0.338893,0.40408602,0.3838516,0.34829298,0.29912254,0.3468705,0.2183318,0.14757776,0.51519114,0.32752493,0.4156524,0.37269798,0.3309912,0.31663975,0.23193815,0.22875771,0.3337918
Mybl1,0.031456288,0.061682772,0.033810064,0.038874302,0.015520599,0.0076320125,0.0,0.00209052,0.019564139,0.02330928,0.06343737,0.03417546,0.037114322,0.011486544,0.0042119916,0.011802563,0.004356951,0.0
Vcpip1,0.33065853,0.36654514,0.37275392,0.34146744,0.39169136,0.5581459,0.4374006,0.50518095,0.5367634,0.3193932,0.38105312,0.3586186,0.36110017,0.41678092,0.44254178,0.5078263,0.57860714,0.19624391
Cops5,1.0165191,0.74755204,0.8636491,0.84212893,0.8630943,0.6366037,0.7000767,0.4946122,0.45596695,1.0493947,0.74924797,0.8822831,0.84487873,0.89163816,0.6800283,0.6890546,0.71131396,0.6080593
Arfgef1,0.46795654,0.42764995,0.44514814,0.38916135,0.42523828,0.5809526,0.5522454,0.700834,0.8182216,0.5876426,0.4462411,0.44456357,0.43765113,0.4628355,0.66913944,0.5933429,0.5977261,0.4326043
Ncoa2,0.20110151,0.291053,0.24507156,0.23701574,0.18745567,0.35139534,0.4553717,0.40643975,0.48174292,0.24206957,0.3130177,0.28960964,0.29497167,0.21020967,0.276549,0.39814907,0.37852582,0.53498507
Tram1,1.6968822,2.0439465,1.923276,1.9337809,2.2310352,1.7139996,2.4138217,2.0986934,2.015305,1.5216299,1.9940413,1.8923206,1.8888499,1.9533197,1.5353904,2.4022288,2.0052106,1.8777336
Lactb2,0.24240702,0.22784698,0.22465809,0.23639172,0.25497913,0.25924546,0.32659236,0.31747544,0.40725103,0.27179146,0.22722857,0.2483336,0.2518145,0.26667294,0.26672822,0.29325804,0.27490336,0.25135309
Rpl7,18.469034,13.233943,15.78374,15.653617,14.641882,17.387514,13.466707,14.099994,14.76474,18.348522,13.519953,15.155435,15.278142,14.15489,18.669262,14.033193,14.031164,13.885101
Ube2w,0.008550715,0.019797606,0.011258797,0.009766378,0.0060703373,0.028338902,0.0024243959,0.021107282,0.024359299,0.010465192,0.016227234,0.011060686,0.016258243,0.015628938,0.020438703,0.016814284,0.0123327905,0.016977677
Eloc,3.103738,2.616922,2.654747,2.8905237,2.8374567,1.9793332,2.246904,1.6742951,1.7853909,3.3795986,2.8232937,2.894099,2.8538187,2.9203572,2.2865136,2.333773,2.081426,1.6453893
Mcm3,3.7302196,1.9938151,3.0068226,4.056285,2.736766,1.2735876,1.0782276,0.5067732,0.3795927,3.8392115,1.881769,2.6846125,4.1500816,2.349196,1.135358,1.4803193,1.0724254,1.5685387
Tram2,0.056347247,0.063671365,0.06327689,0.10125605,0.042103756,0.044449374,0.059897758,0.06919208,0.05482906,0.0473011,0.056296412,0.05042811,0.09953728,0.043980632,0.053058892,0.074408405,0.06348968,0.037955802
Kcnq5,0.01452101,0.016545907,0.015298639,0.011784227,0.00420033,0.0046188156,0.0016774426,0.0026744287,0.00010059736,0.020738643,0.029664954,0.032997835,0.01739122,0.0075709596,0.01126075,0.008457085,0.00032037974,0.0
Ogfrl1,0.07083192,0.1006355,0.112430856,0.13545477,0.1379458,0.10409544,0.027568823,0.076939076,0.02556876,0.027664913,0.016809197,0.03383098,0.03291114,0.018941106,0.036293957,0.049907878,0.036153328,0.024656948
Smap1,1.2526261,1.4549136,1.4040273,1.3338454,1.456585,1.7197737,2.093317,1.9381161,1.9587436,1.2434508,1.5869232,1.6092424,1.3871168,1.5728419,1.7240994,1.426948,2.3167121,2.1907706
Sdhaf4,0.4797116,0.55802405,0.5240563,0.4673183,0.40195024,0.65050876,0.5543594,0.6540037,0.6577275,0.42364943,0.58088255,0.5685809,0.50981134,0.45449436,0.6504178,0.51592803,0.694167,0.90468156
Phf3,0.44926414,0.35220394,0.40343803,0.39889014,0.3555184,0.48502162,0.5935071,0.6115837,0.6548332,0.42426544,0.37237045,0.40442574,0.44029355,0.32334197,0.4587764,0.59306985,0.43871036,0.14714576
Prim2,0.30680755,0.33589107,0.31652027,0.35517845,0.20492275,0.13043275,0.08794119,0.069545,0.060659442,0.31594136,0.33449975,0.32994407,0.3631971,0.18098286,0.11579813,0.13179271,0.08146492,0.108841136
Bag2,0.16429512,0.026976017,0.06773276,0.10183689,0.06570997,0.099152334,0.073114924,0.03117403,0.01209053,0.19158281,0.038194682,0.06333096,0.13859718,0.09546593,0.09727388,0.05712353,0.053370904,0.14048806
Zfp451,0.09212402,0.08201527,0.077393405,0.05769241,0.053163145,0.074462295,0.05803378,0.097833596,0.09279169,0.08246817,0.09379894,0.078807086,0.12499223,0.058185294,0.08456788,0.097218476,0.07294297,0.033945616
