All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common,Union_likelihood_genes,Arm_Ms,Cl13_Ms,All_Ms,Arm_Mu,Cl13_Mu,All_Mu,Arm_Velocity,Cl13_Velocity,All_Velocity
Ebf1,0.5278734175828791,Uhrf1,0.5535381225144772,Tcf7,0.6135922008144442,Notch3,Kmt2a,Brca1,Setbp1,0.06873656809329987,0.07647347450256348,0.07043560594320297,1.401898980140686,1.592361330986023,1.4790256023406982,,0.8054152727127075,0.014966275733556744
Hells,0.5105683961533062,Cd74,0.4929856112849782,Hells,0.5830495606644945,Kcnip3,Setbp1,Aff3,Ikzf3,0.7233654856681824,0.816839873790741,0.7661703824996948,2.7268598079681396,2.5587849617004395,2.658987045288086,,0.01898401975631714,
Uhrf1,0.45030386533150135,Hells,0.48101239447239336,Ebf1,0.5589869501898566,Fcgr2b,Ikzf3,Il23r,Btg1,1.804446816444397,1.778326392173767,1.7986088991165161,0.04033511132001877,0.028363559395074844,0.03531387448310852,0.2744126744984737,-0.0006833074730820954,0.05494711926967992
Rfc1,0.43069488143299206,H2-Ab1,0.460194371457255,Ifngr1,0.5080307629938694,Zeb2,Mcm8,Trp73,Trbc1,9.929740905761719,10.898943901062012,10.275284767150879,1.2735062837600708,1.6114264726638794,1.415584921836853,,0.242025226354599,0.030867095735339918
Klra3,0.42234973993353575,Klra1,0.4335565191863653,Il18rap,0.46012236008273205,Brip1,Cxcr6,Slamf6,Eif5b,1.8134074211120605,1.9308011531829834,1.8694108724594116,0.45081645250320435,0.4504464268684387,0.45242661237716675,,-0.009911059401929379,
Tcf7,0.40979055265467246,Mcm4,0.4209272026187507,Rfc1,0.44340505495368054,Klrc1,Trbc1,Itgb1,E2f8,0.6893231272697449,0.6121386289596558,0.6559266448020935,0.1550622284412384,0.1392962783575058,0.1462644338607788,-0.014525716132322949,-0.018786611035466194,-0.0256433074391269
Ctla4,0.4091923357327829,Klra3,0.41420250726080293,Klra3,0.4431194150021538,Lef1,Eif5b,Id2,Klra6,0.022732561454176903,0.00361926038749516,0.015005316585302353,0.002490055514499545,0.0,0.001408795127645135,0.004819828395089313,0.0,0.0008166318554816808
E2f1,0.4061491670453758,Rfc1,0.4122295406597115,Mcm6,0.44124255899196174,Mxd1,Rel,Tcf7,Paxip1,0.4485648572444916,0.4872948229312897,0.4634295403957367,0.2089627981185913,0.1967812329530716,0.20243149995803833,-0.0008274912033227526,0.0023081994149833918,-0.004149875779892693
Mcm3,0.40473471144678896,Ighd,0.3978370496735704,Mcm3,0.43655740199411286,Cd226,Rb1,Snrpd1,Kdm7a,0.2196018546819687,0.23392292857170105,0.22511951625347137,0.7078123688697815,0.5799750685691833,0.649420976638794,0.030928573879551398,0.15862785279750824,0.032341153732842735
Nrp1,0.39278419223825045,Sp100,0.386669852725508,Tnfsf8,0.4191477931533314,Ar,Tgif1,Ifngr1,Rb1,0.11721789836883545,0.14380677044391632,0.1278172880411148,1.2445430755615234,0.9258413314819336,1.11025869846344,,0.1587885320186615,
