Union_likelihood_genes,All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Cd96,Tcf7,0.4665776684730479,Ighd,0.7828179418318044,Ebf1,0.6810569298172637,Ighm,Pax5,Klrd1
Sema7a,Ctla4,0.43003145976069074,Ezh2,0.7239249787580655,Tcf7,0.6481896629804885,Kntc1,Tfdp2,Ebf1
Cd53,Hells,0.41966994566463184,Aurkb,0.5096629803539424,Aff3,0.4854392579133679,Il7r,Polr2b,Cd96
Klf3,Mcm3,0.4148835583797362,Mcm6,0.4939588160713,Mcm4,0.4485098329741002,Mcm6,Mef2d,E2f1
Tfdp2,Tox,0.4135228169318939,Brd8,0.4354903431645767,Cd83,0.44797980016462413,Polr2f,Paxip1,Klf3
Itgal,Nrp1,0.41029011909007485,Hells,0.4239430197074627,Il2ra,0.4298598540867394,Sema7a,Itgal,Timeless
Pbx3,Mcm6,0.40877067810355094,H2-Ab1,0.41952404229569806,Bard1,0.4145140047056138,Fli1,Arid2,Klrg1
Foxp4,Il18rap,0.3942804362906974,Mcm3,0.41679222673365046,Ccr7,0.3977822446016924,Nrp1,Ly86,Cenpk
Foxn3,Suz12,0.38539059618954274,Nap1l1,0.40550037539500977,Kdm6b,0.3888737027960471,Cd53,Pbx3,Fasl
Il18r1,Bard1,0.370525466006607,Ctla4,0.3816983776640461,Fosb,0.3845326978567773,Ctcf,Nfya,Dek
Fbxo7,Mcm4,0.36761747184881055,Fkbp5,0.38053490597656175,Mcm3,0.3844311171657177,Phf20l1,Kmt2a,Mcm4
Id3,Ebf1,0.3671301575452925,Timeless,0.3710919208811706,Hells,0.38289735706606826,Ar,Smyd4,E2f2
Vsir,Ighm,0.36303636278761425,Suz12,0.3709479762240233,Suz12,0.38138022490652385,Pdcd1,Foxn3,Suz12
Wbp11,Aff3,0.3424851597864617,Mcm4,0.3674048883838812,Klrd1,0.37312483956001674,Cd5,Fbxo7,Zfp36l1
Nfkb1,Timeless,0.3398652004035485,Bard1,0.35975756784482527,Prdm1,0.37143299223012943,Hnrnpd,Tsc22d3,Aff3
Mcm5,Rbl1,0.33865124780571926,Nsd2,0.3581182428187803,Klra3,0.3704122118223987,Klra6,Jade1,Ccr7
Irf4,Brip1,0.33537088226468154,Il18rap,0.34765395036300917,Mcm5,0.3667260833882141,Tardbp,Wbp11,Tcf7
