All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common,Union_likelihood_genes,Arm_Ms,All_Ms,Arm_Mu,All_Mu,Arm_Velocity,All_Velocity
Cd74,0.4668328357542869,Cd74,0.49739499773024065,,,Stat2,,,Cd300lf,0.0031342196743935347,0.003113009501248598,0.0018976141000166535,0.0018531748792156577,0.002762878613910057,0.0019796048583443438
Ctla4,0.4545722928635901,Zeb2,0.42970654339817066,,,Aff3,,,Setbp1,0.07962480187416077,0.08029471337795258,1.0647732019424438,1.0679682493209839,0.01757885173880127,0.020140290244967392
Zeb2,0.40804931190047117,Ctla4,0.399326933146743,,,Cd300lf,,,Brip1,0.022924570366740227,0.0229819156229496,0.06619837135076523,0.06628452986478806,0.00727935836514026,0.012301463147195069
Klrg1,0.3687378704843962,Klrg1,0.3702701494749461,,,Setbp1,,,Ikzf3,1.108309030532837,1.101684331893921,5.142922878265381,5.128008842468262,0.012643072793556698,0.01137163200516258
Cx3cr1,0.3306754753990118,Cxcr6,0.33574129005572106,,,Bst2,,,Cxcr6,3.809748411178589,3.8200016021728516,0.4118458032608032,0.41247937083244324,0.09070489826064475,0.053157470274755196
Cxcr6,0.32647906280649663,Cx3cr1,0.3353691578115392,,,Sirpa,,,Klra6,0.010120936669409275,0.010466092266142368,0.005146924871951342,0.00510723702609539,0.02499126001403118,0.02876544543697327
Il18rap,0.3143498317480964,Cd44,0.3209537974966679,,,Nrp1,,,Daxx,0.4802851378917694,0.47979119420051575,0.09189064055681229,0.09269853681325912,0.06699381613587849,0.09469077832460453
Cd28,0.31311861431541843,Cd28,0.3128584962628377,,,Brip1,,,Cd69,2.6713905334472656,2.6803665161132812,0.09696358442306519,0.09582371264696121,-0.2614922374539452,-0.2855575492310793
Tcf7,0.3019378197358245,Tcf7,0.2973797132798426,,,Ikzf3,,,Kdm7a,1.2076176404953003,1.2012654542922974,2.8243515491485596,2.805647611618042,0.014033242241845195,0.011299041204462765
Ggt1,0.30018065632699353,Fosb,0.2896796027141841,,,Mcm3,,,Pecam1,0.2165445238351822,0.21851275861263275,1.3823162317276,1.3917850255966187,0.028799317018693992,0.027312908722111468
Fosb,0.29892963756897545,Ighm,0.28798780939721047,,,Zfp36l1,,,Ighm,0.6247721314430237,0.6258370280265808,0.3693258762359619,0.3713260591030121,0.01316451507451389,0.04973642789732468
Pecam1,0.29672587120540483,Klra1,0.28726122258654324,,,Treml2,,,Klra4,0.02403167262673378,0.02500024065375328,0.008680567145347595,0.0092313876375556,0.03654356517296561,0.05152434163088911
Ighm,0.2963560341363741,Il7r,0.28499501306344754,,,Cxcr6,,,Il1r2,0.006962249055504799,0.007122262381017208,0.03089352510869503,0.02970157191157341,0.0012036753601788414,0.0011464285874637752
Kdm6b,0.29417346342861783,Pecam1,0.2807070872344555,,,Klf3,,,Eif2ak2,0.3391464948654175,0.3409474790096283,0.35640209913253784,0.35456401109695435,-0.03114152236238211,-0.03237707171426113
Klra1,0.2930645100960547,Icos,0.27761851975455915,,,Ifi204,,,Cd74,0.06741893291473389,0.06957501918077469,0.14363959431648254,0.14909642934799194,0.015173777108301189,0.015482908611260527
Cd44,0.28861106009219367,Nrp1,0.27489760937396174,,,Klra6,,,Tox,0.1941334456205368,0.2014361172914505,1.4883230924606323,1.5260628461837769,0.029351428446567233,0.03855563101706277
Icos,0.28404884266903424,Il18rap,0.26862255751648295,,,Daxx,,,Cxcr2,0.0011749829864129424,0.0011296269949525595,0.0011269451351836324,0.0010834434069693089,8.882238690274681e-10,0.0008765049410333665
Rora,0.2737863401776735,Rora,0.26696436603077756,,,Plaur,,,Hells,0.1821116954088211,0.18550355732440948,0.1375747174024582,0.13791261613368988,-0.002824572541188309,-0.005484323996473142
Il7r,0.27221185480425697,Slamf6,0.2657195510959031,,,Cd69,,,Klra1,0.02015821635723114,0.01975330151617527,0.008556483313441277,0.008388975635170937,0.057519027663645104,0.061284520353033174
Klf3,0.2659559274707823,Itgal,0.2592708898798797,,,Kdm7a,,,E2f1,0.024787334725260735,0.026306260377168655,0.012720882892608643,0.013323609717190266,0.02123511188328394,0.03553683485098522
Itgal,0.26548114246658544,Klf3,0.2581511083517073,,,Pecam1,,,Mcm5,0.254541277885437,0.2607145607471466,0.0063100275583565235,0.006553602404892445,0.2669691566130926,0.38676724992299616
Slamf6,0.2650943519481346,Tox,0.2513760215561885,,,Ighm,,,Klrg1,2.8552894592285156,2.8347420692443848,0.4034457206726074,0.39588168263435364,0.12082205404736952,0.1152488809745015
Irf4,0.25862056922946397,Zfp36l1,0.24802616936372354,,,Klra4,,,Cd55,0.16943667829036713,0.16849878430366516,0.11634238064289093,0.1210545152425766,0.02337457795084928,0.024552285876382356
Havcr2,0.25369216085675655,Havcr2,0.2432710300759174,,,Il1r2,,,Icos,2.1201658248901367,2.1305105686187744,2.094151258468628,2.1173593997955322,0.17159833898169335,0.17835447347473599
Zfp36l1,0.24807982530487374,Spn,0.23985332225865416,,,Irf4,,,Pcgf5,0.2496693730354309,0.25094059109687805,0.3407054543495178,0.33773136138916016,0.020936538594500873,0.004114833635361639
Lgals3,0.24735838110330383,Cd55,0.23877961097128378,,,Eif2ak2,,,Cd86,0.14353807270526886,0.1431138962507248,0.360635906457901,0.35863396525382996,0.02279356157982777,0.023230001906412244
Cd5,0.246205476271993,Irf4,0.23670030664954708,,,Satb1,,,Slamf6,0.5726945996284485,0.5789917707443237,0.30449363589286804,0.3017108738422394,-0.017799188197552263,-0.018742251267488855
Cd55,0.24409507803854785,Itga4,0.23616070746495088,,,Cd74,,,Zeb2,1.167332649230957,1.1547709703445435,7.213397026062012,7.147914886474609,0.20420503734668016,0.20115600493317018
Spn,0.2404600773860324,Pou6f1,0.23452500905591475,,,Tox,,,Myb,0.05212041735649109,0.052312497049570084,0.046751104295253754,0.047940462827682495,0.011129642183281885,0.003002747508378193
