All_ranked,All_ranked_likelihood,Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood,Arm_unique,Cl13_unique,Arm-Cl13_common
Mcm4,0.5743328682141716,Nap1l1,0.854668504580229,Tcf7,0.7217889180580715,Tnf,Bcl11b,Rbl1
Nap1l1,0.5718215204607868,Mcm4,0.5984421485997836,Hells,0.5896267161104222,Cops5,Bcl6,Prmt1
Hells,0.5205003254922055,Ccr7,0.5377626975293021,Mcm4,0.527577601679069,Klra8,Ccr6,Tox
Mcm6,0.5141331754879983,Mcm7,0.5361075023386019,Snrpd1,0.5238616339715702,Cd69,Smurf2,Chaf1a
Ezh2,0.4867806493496488,Hmgb2,0.522424659250275,Mcm5,0.49531462008958665,Klf6,Padi4,E2f2
Hmgb2,0.48619758989851086,Il18rap,0.5194179030820034,Mcm6,0.46462073747361193,Hmgb2,Prdm1,Il23r
Hnrnpab,0.4762853387361209,Hells,0.5078729819910344,Lgals3,0.4484312773104649,Tnfrsf4,Hif1a,Ggt1
Uhrf1,0.46040230839903956,Hnrnpab,0.4952691103728235,Uhrf1,0.44702704378228236,Smad3,Crtam,Cxcr6
Snrpd1,0.4603867051469102,Uhrf1,0.492269000857721,Ifngr1,0.43764746031034535,Ncam1,Cd22,Igf1r
Mcm5,0.45501405557527874,Mcm3,0.48405239092513097,Aff3,0.4365121264366848,Epas1,Il10ra,Il2ra
Mcm3,0.4402922967184535,Mcm6,0.4830471500665392,Bard1,0.436230695649119,Lef1,L3mbtl3,Ebf1
Il18rap,0.4283204259623532,Il18r1,0.47161045400519713,Dnmt1,0.4300171925664022,Ighd,Smad7,Adam8
Tcf7,0.4277440237875908,Timeless,0.46576485618578906,Cenpk,0.42653116928744594,Treml2,Srrm1,Wdhd1
Mcm7,0.4200849833166182,Rora,0.46267905785362073,Mcm7,0.42649801496179807,Rora,Hivep3,Klrd1
Itgal,0.41774303759778736,Itgal,0.4542289740917598,Mcm3,0.42584018636466225,Gtf2ird1,Gtf2f2,Csf1r
Dnmt1,0.4169522299098062,Ezh2,0.4498320439360629,Tnfsf8,0.42574208088445425,Nrp1,Ccr2,Lag3
Ctla4,0.41602691269533787,Itga4,0.4431210996103283,Il18rap,0.4163257429860111,Pirb,Atp1b3,Tnfsf4
Lgals3,0.41517636206046593,Tfdp1,0.44020505502488605,Slamf6,0.41262844876059585,Fos,Rarg,Smad1
Timeless,0.4082573532526975,Dnmt1,0.4306355132310525,Timeless,0.411102119887858,Pbx1,Cd200,Lgals3
Il18r1,0.4070769927937858,Mcm5,0.42779009969360815,Brip1,0.3963349408766174,Ighm,Mta3,Itga2
Tfdp1,0.40433804710731397,Snrpd1,0.42561609393388716,Fosb,0.38423787509828544,Irf4,Rel,Havcr2
Klrd1,0.39334643489206594,Sp100,0.4251741044970097,Klrd1,0.38399963547215116,Aurkb,Pou2f2,Itga1
Bard1,0.38368060663317527,Tcf7,0.4201382571375093,Hat1,0.3816970511665407,Ppargc1b,Hat1,Chd3
Sp100,0.38321874565666586,Klrd1,0.4164319274768941,Id2,0.3799538224787025,Cbfa2t3,Tfdp2,Tox2
Cenpk,0.37681698044345224,Bard1,0.4045523165904827,E2f1,0.37691045590620953,Espl1,Vax2,Cd96
Brip1,0.3737532559682348,Sell,0.403680402976668,Cxcr6,0.37371115265132476,Klrc1,Ccr9,Itga4
Ifngr1,0.36598702620348744,Aurkb,0.39961924144821587,Crtam,0.3599497553588104,Hnrnpab,Lair1,Cxcr5
E2f3,0.3654449295105046,Zeb2,0.3935192797732992,Kntc1,0.3592825348346923,Ruvbl1,Entpd1,Klra1
Ccr7,0.3616944663571226,Mcm2,0.39173468827917685,Il10ra,0.3564202637926361,Zhx2,Trp73,Sell
Trip13,0.3574442905451406,Cenpk,0.37897182959795117,Itgal,0.35232744098498825,Klrc2,Foxn3,Tcf7
Brca1,0.35533510102784205,Cd226,0.37807370846501015,Fasl,0.34959558085575276,Nap1l1,Selplg,Tfdp1
Mcm2,0.35036062849819716,Brca1,0.37769756695206264,Prdm1,0.34720732850963576,Trip13,Kat2b,Rad51
Zeb2,0.3494013192538588,Fasl,0.37396847556049845,Brca1,0.3456020417165787,Eif2ak2,Icos,Fosl2
Kdm7a,0.34935670886462267,Lgals3,0.3732364297478161,Tox,0.3451255875384145,Arntl,Zbtb38,Satb1
Itgb1,0.34875395929641334,Wdhd1,0.3710527192307268,Rbl1,0.3432285134821947,Hmmr,Zfp36l1,Il7r
Fasl,0.34729644473934285,Brip1,0.36966044104108114,Zfp36l1,0.3427923871285646,Ovol2,Fcgr1,Cd83
Sell,0.346545718992004,Klrc1,0.3689182431897822,Lag3,0.34168309642180034,Cd226,Slc3a2,Itgal
Chaf1a,0.3424133668666037,Itgb1,0.36687942670262713,Havcr2,0.340195672131277,Sema7a,Mxd3,Batf3
Zfp36l1,0.3423098658138148,Parp1,0.36657015712512386,Il2ra,0.33723454472688774,Myb,Dnmt3a,Chaf1b
Cd226,0.34075471859986495,Brca2,0.36608041943022807,Kdm5b,0.33512119628792386,Cxcr4,Cd38,Klrk1
Wdhd1,0.33972339211455094,Tnfrsf9,0.35806834873811955,Tnfrsf9,0.33052064825092653,Mxd1,Il1rl1,Cd74
Cxcr6,0.339392716863633,Trip13,0.35350825559488314,Chaf1a,0.3266023245819656,Mycbp,Id2,Mcm8
E2f1,0.33319882296208514,Arntl,0.3515020009617614,Tfdp1,0.3256064621913116,Tbx21,Cd28,Nt5e
Itga4,0.33314351654671304,Kdm7a,0.34974263590829796,Foxn3,0.3235358708075527,Zeb1,L1cam,Tnfsf8
Cd96,0.33247224391207136,Cxcr6,0.34630456102766943,Ccr6,0.3231086386378491,Myc,,Cenpk
Havcr2,0.3316908285822332,E2f1,0.34326814187164983,Mcm8,0.3206243859265123,Mcm2,,E2f8
Kdm6b,0.33090171158818793,Ctla4,0.3422218414370099,Gadd45b,0.31830860071564243,Cd36,,Dpp4
Tnfrsf9,0.32879293872916643,Havcr2,0.3375743982242869,Wdhd1,0.3148882312776277,Suv39h2,,Tnfsf11
Klrg1,0.3270542416360993,Polr2f,0.3368279041548002,Entpd1,0.31152222251761275,Smad4,,Sp100
Klrk1,0.32636885576148333,Klrk1,0.33316828034358204,Chaf1b,0.3041872132974827,Alcam,,Mcm3
Mcm8,0.3249004303218801,Kntc1,0.3330634458071426,Rad51,0.30203390103338607,Ezh2,,Slamf6
Pecam1,0.3205309424983378,Cd96,0.3316422952872082,E2f2,0.2985683445151807,Lmo2,,Brca2
Icos,0.3137662075820409,Klrg1,0.33081362015603405,Cd83,0.2984515189877755,Itgae,,Il18rap
Polr2f,0.31372857529644477,Hmmr,0.32856631199793046,Tnfsf11,0.29479463992017174,Elf4,,E2f1
