,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Aff3,0.42982987,0.41280314,0.2687827,0.25979808,0.25998077,0.04130856,0.036427703,0.039860044,0.070818014,0.029756071,0.11489531,0.047157105,0.045634437,0.054889873,0.02792443,0.02301249,0.037093382,0.017846413,0.012129075,0.02738793,0.46453264,0.43567458,0.4721992,0.021075508,0.020419382,0.021090662,0.083735235,0.08355737,0.08991497,0.01766158,0.017651726,0.0
Smarca5,1.8130414,1.8055761,1.0786235,1.6475798,1.6451433,4.3300533,4.351453,4.734552,2.9802282,2.8410428,3.1296344,3.5566518,3.5060298,3.813733,3.5103645,3.424984,3.6697414,2.837779,2.8479989,2.8207238,2.432296,2.3183134,2.462577,2.0271425,2.0363622,2.0269296,1.8120465,1.8090204,1.9671394,1.7335844,1.7332247,1.6443275
Sox5,0.01795909,0.0011155248,0.0,6.374543e-05,6.412944e-05,0.0035892301,0.0034778386,0.0042401226,0.0076698125,0.003948086,0.01166484,0.0023156852,0.0018557283,0.004651544,0.0016315846,0.0013644685,0.0021302013,0.0016262026,0.000989598,0.0026886156,0.018840672,0.017518215,0.019192,0.007897759,0.003641257,0.007996062,0.00539979,0.005308054,0.011683023,0.03546775,0.03551323,0.0
Hdac4,0.518676,0.35426807,0.26976076,0.48932478,0.48732355,0.108327605,0.09637313,0.09069751,0.11319237,0.11855808,0.10743264,0.119319335,0.11910052,0.12043056,0.09549172,0.092825405,0.100468844,0.078508474,0.079258084,0.07725747,0.13449909,0.15570699,0.1288649,0.13502194,0.16712931,0.13428043,0.19025233,0.19033507,0.18957962,0.14758825,0.14771599,0.0380842
Smad7,2.2504544,2.3486447,1.368219,3.1471038,3.1502345,0.67419195,0.65445745,0.49816126,0.99448943,1.0423236,0.94314265,0.9348543,0.95780927,0.81827945,0.7136124,0.7260179,0.6904555,0.95611197,0.9488741,0.96819097,1.317549,1.7521571,1.2020891,0.88479114,1.1924183,0.87768656,1.9946922,1.9999374,1.6979512,1.5801499,1.5795225,1.9654002
Trdv1,0.04582672,0.052226055,0.0,0.003058003,0.0030764246,0.008321323,0.008779545,0.0065303817,0.01930094,0.019153247,0.019459479,0.017443217,0.017964475,0.014796046,0.017155726,0.011801776,0.027149763,0.012885829,0.0073936875,0.022051523,0.026290348,0.022316903,0.02734595,0.028089505,0.007757744,0.02855906,0.011336552,0.011350884,0.011031531,0.02003058,0.020093637,0.0
Snrpb,2.6785216,2.8700373,2.4664006,2.7032793,2.7054436,6.2717385,6.370525,6.3673024,5.2256556,5.26775,5.1804705,5.6328206,5.623154,5.681912,5.6511173,5.677786,5.6013365,5.0378075,5.092497,4.946538,3.7458475,3.7111855,3.755056,3.8225524,3.8905835,3.8209813,3.262697,3.2621653,3.3185837,3.1573715,3.1555235,3.8499491
Havcr2,0.016540105,0.043070413,0.0,0.016690176,0.016603906,0.58096874,0.59667486,0.5912978,0.5980204,0.5632484,0.63534576,0.644943,0.63029367,0.71933836,0.6890052,0.6725105,0.71979535,0.6984054,0.7018139,0.6927171,0.1271597,0.10279695,0.13363202,1.1096526,1.3671429,1.1037059,0.31258643,0.30848345,0.5936117,0.29944256,0.299618,0.31357124
Ar,0.38841966,0.3856912,0.38905162,0.27395618,0.273959,0.13444959,0.12428849,0.16489382,0.22244169,0.15446909,0.2954058,0.14831263,0.13658802,0.2078552,0.13470164,0.09703095,0.20502026,0.15296425,0.10849452,0.22717863,0.44090533,0.42297804,0.44566798,0.40703362,0.18669105,0.41212234,0.3000629,0.2998476,0.282366,0.29067644,0.29036525,0.38817954
Gtf2b,0.53778684,0.5840676,0.14610185,0.52335453,0.5227944,0.9926101,1.0087782,0.9361827,1.0513201,1.0584586,1.0436574,1.0609579,1.0572155,1.0799632,0.9907062,1.0002457,0.9728991,1.0172024,1.0033776,1.0402741,0.78675014,0.8311387,0.77495766,0.78433245,0.9244391,0.78109676,0.8458626,0.8466821,0.79847014,0.9167134,0.91636074,0.9154668
