,All_P0,Act-Arm_P0,Act-Cl13_P0,All_P1,Act-Arm_P1,All_P2,Act-Arm_P2,Act-Cl13_P2,All_P3,Act-Arm_P3,Act-Cl13_P3,All_P4,Act-Arm_P4,Act-Cl13_P4,All_P5,Act-Arm_P5,Act-Cl13_P5,All_P6,Act-Arm_P6,Act-Cl13_P6,All_P7,Act-Arm_P7,Act-Cl13_P7,All_P8,Act-Arm_P8,Act-Cl13_P8,All_P9,Act-Arm_P9,Act-Cl13_P9,All_P10,Act-Arm_P10,Act-Cl13_P10
Zfhx2,0.03878322669274099,,-0.019034666883214757,0.008803841233272948,,0.02326680124083919,,0.04519127151136246,0.05029316496299239,,0.04127152520179364,0.025380860778092124,,0.04944611126036225,0.03952434753006661,,0.022753502785091785,0.043105854643254116,,0.02971212685251988,0.00606704198153987,,-0.022702889280318564,0.02980998987631367,,0.018904097863832493,-0.0222181410150023,,0.03920597068830162,-0.03288314990871517,,0.032570110745262955
Ctcf,0.01619295472837051,-0.04741048396233438,-0.10839893222580899,-0.04470426510769511,-0.06836471345986375,0.04189522632087228,0.042051801446888755,0.057898686252943754,0.019715348919347658,0.013255347972762671,0.030313961023428086,0.01765440353424657,0.014616180705072954,0.04743892649389152,0.04717464344572844,0.052276331063156684,0.07801449116598284,0.0022294825160605754,0.016138383356971427,0.06533674308322833,-0.022693864308511866,-0.0002897834656682534,-0.0018616862280379364,-0.04242411193469905,-0.017424643778628172,-0.07476388840166928,-0.044171496234366066,-0.05973256510874855,0.05919470208784884,-0.05314562101113254,-0.06463155637695846,0.022812944087848328
Med12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tcerg1,0.11472133714526608,0.16815652759370106,0.12268715813859732,0.12344850899132957,0.14380222513293797,0.03217571964048888,0.02584607759173349,0.01728832916638483,-0.038374382068002554,-0.06180423455791595,-0.03331481657249114,-0.013858479304759088,0.015443349561916158,-0.05119567308044557,0.022657534487567372,0.005071648999904872,0.0016138340484907572,0.003994960461878271,0.0168517155497021,-0.05716283122836594,0.10510574856079354,0.05232543720072247,-0.007115944063090829,-0.0497606442732345,-0.09588281849331935,-0.09453815680564627,0.039224668419972894,0.042632701338478796,-0.11446191109320103,0.06346329715841083,0.0549233147612986,-0.12502193020792046
Nr3c1,0.09181642782730984,,,0.10091848503213045,,0.09478280251392279,,,0.08065161598089052,,,0.09446093996542225,,,0.06070018755943054,,,0.09952098315774395,,,0.05143966237521588,,,0.01566359817604281,,,0.10268087131857807,,,0.05210049214273433,,
Supt16,0.33734042544051956,0.4452097556190428,-0.273256494736254,0.4276204347689273,0.4390903031447312,0.1282294919024551,0.10647574122991676,0.11254912606218599,-0.10629620715810982,-0.21454247512454366,-0.14544666076698676,-0.048936818426891765,-0.13389495425626016,-0.06491571188894654,0.16524375851904177,0.1780236204153029,0.08261059074664509,0.1033224228338966,0.04516759284087392,0.018993625387240445,-0.24940414689066467,-0.21085597296568476,-0.27300461411988064,-0.20419215999573256,-0.04953892998507557,-0.2636844910524916,0.3275094188888255,0.2990388699816542,-0.2878393273128388,0.43209838105616816,0.43024860234534795,-0.33076533036217304
Dnajc2,0.18550460755642262,-0.10015517750405321,-0.1806091411642206,-0.11266980267970558,-0.16805825471225197,-0.03269245012931558,-0.016181961066835625,-0.0021152842510920975,0.019894889559591136,-0.04738166525973416,-0.055144641172473224,-0.08137426028606166,-0.10268622256319287,0.033315197431612875,-0.15702055213089336,-0.08973035112471218,-0.07415353367980379,-0.10567117895604312,-0.10588006937142574,-0.03767674707710936,-0.1216151879838594,-0.1812657899439442,-0.09230416313638289,-0.28048802187818805,0.021670083860964702,-0.16839469158739415,-0.24154095322398259,-0.2017341844103988,0.06244878323855138,-0.28290758140642414,-0.22037327937204562,-0.030673370030584984
Pdcd11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snrpb,0.08611621824353888,0.5859797307661486,,0.6024479358150301,0.5855398650939024,-0.04799518388041936,0.06535565379979512,,-0.24336992950666847,-0.1352565500843169,,-0.08988913329522573,0.028590277395010112,,-0.17557951405312394,0.04482317342888583,,-0.052500162713327,0.18793749912852448,,0.2269223595358423,0.054615693184801244,,-0.5323646703517876,0.21476793803269834,,-0.39276561107735886,-0.2846068675282323,,-0.2361861772744109,-0.2821153743111192,
Hdac8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itga6,0.03371772653058497,0.0175654099064259,,0.024102556998053082,0.023671145822383388,-0.02167664970529187,-0.025268550759072847,,0.031090632987928933,0.020576567709573397,,-0.006760548921426756,-0.021594446243732118,,0.0003662393609047656,-0.01466952943697941,,0.009802479501154718,-0.005207609544470078,,0.025811190036110796,0.013132368206828907,,0.03762593133039563,0.031452901197668616,,0.030416685791824938,0.021714842444824793,,0.032299521723222896,0.01728636558902067,
Batf3,-0.00036694943139226315,1.7064243496736095e-05,0.11387344620641823,2.638712698002071e-05,-0.0002561766591045015,0.11384207120027125,0.03614729311765946,0.08109769075545219,0.05221029975160873,0.06515057299729678,0.0066959405234856976,0.09533155712071782,0.13546692611708674,0.01047604590159958,0.08685184272845207,0.09260511241881356,0.02358116922517211,0.0661639421684692,0.07931790702789279,0.00948735470055998,0.10521915210754634,0.05399346956739933,0.02613206304354834,0.018930742685465213,0.01164502632606983,0.041840290935030076,0.07835046360126491,0.010532260108240748,0.010975163868392934,0.0015784078695886346,-8.095159956917887e-05,0.050040785456262546
Phf2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nsd2,-0.0049252336304873145,0.10313340574101167,0.13146183538134493,0.06861225141383294,0.04594108364480137,0.06689905905472215,0.0737361051914334,0.049784428232189606,-0.10864772951387552,-0.0693698895831407,-0.11158468229307136,-0.057383632811169115,-0.02093520688519577,-0.12180937358329184,0.046273355173385856,0.07306313560682522,-0.06336565664546578,0.05283442728260995,0.11021794423496621,-0.11317210840300056,0.06948636829417561,0.03374037604694874,-0.02937317115961028,0.1615560477260464,0.11770894463478339,0.12454855358770735,0.1960035556215337,0.13585775455797403,-0.018121784631730718,0.20405242904881374,0.14133521336770805,-0.020985908587863755
Mxd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cnot6,,0.09379780967796099,,,0.09320087268677509,,0.05086531465267917,,,0.008732037973413662,,,0.039241988810042254,,,0.03286889050211904,,,0.05220058930069742,,,0.023740293332547676,,,0.07494267726948407,,,0.022479116699628664,,,-0.03644394735465345,
Trip11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Il1rl1,0.016378259587708405,,0.047739176032159665,0.07467832598475597,,0.056375185136174864,,0.045516925722311044,0.08090705157950341,,0.03428196402635418,0.08689096922218796,,0.03826296916292843,0.06956332626144526,,0.03733309675841829,0.07737056555990406,,0.038116485112807456,0.0919612736828709,,0.040383562983482266,0.05234704365437104,,0.02685311963369622,0.07437562063530107,,0.03675394347310648,0.05198976488034497,,0.03703540332066979
Notch3,-4.2398215975154606e-05,0.0,,0.0009557441281440524,0.0006577169470073862,0.0018884401670614852,0.0003100590090279501,,0.015243407551257023,0.018280011029809497,,0.0033749657782762617,0.002365662017915132,,0.006286406954250921,0.003395573637813497,,0.01707290765622678,0.005135788926449542,,0.012445930703467988,0.01632441735619414,,0.0022678674272059774,0.0,,-0.0002917115066051748,-0.0004058297957731425,,-0.003910949528453151,-0.006558396665693724,
Brpf3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd36,,3.523035383417113e-05,,,4.5689372926799924e-05,,7.113453809682104e-06,,,1.002205930708579e-05,,,1.548983622450764e-05,,,4.238006081577556e-06,,,1.1590293780946937e-06,,,1.5511378583203812e-05,,,3.2488073631415573e-10,,,9.667190676474522e-06,,,1.771952701164394e-05,
Cd28,0.3175583627021441,,-0.07507462633313777,0.6000118665621982,,0.5983920941419832,,-0.08393280636968233,0.45592384270135144,,-0.012986159751504842,0.5152908756670346,,-0.02565608553323028,0.5348936419065309,,-0.04628478147524663,0.4987530500188156,,-0.008170925903730463,0.44795093359653776,,0.0038304140121406312,0.6115936734350316,,-0.08606297343536358,0.048714777538078874,,-0.014857507360202908,0.21830122182922226,,-0.04674574174097004
Tnfaip3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam8,0.03454067607620705,0.007272639604174705,0.05132613819127816,0.000489428377689114,0.004444931572357322,0.0454731190728305,0.04703646334256721,0.02567537216134862,0.05095251536184653,0.06312308918492499,0.03535434494655506,0.05098783028487066,0.05726428133529751,0.04243356831296223,0.03412112584706522,0.05443847911038974,0.007322579839181667,0.036797223314705065,0.05156325206870579,0.015638808885076634,0.03410384415039435,0.037867622635477195,0.0197166513200038,0.008617170704255847,0.058847911351081195,0.001816697052060069,0.026161340884561332,0.05358064079910885,-0.011632780799043233,0.018031530186322496,0.028692691683733174,-0.014188723875016095
Eaf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prdm4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klrd1,0.9587581511550602,1.278563673951318,0.8822987400555249,0.7347173572065916,1.2222678139525067,0.23162950051560566,0.655248195237082,-0.2330349644848539,0.620679870169305,1.199531522252322,-0.5638487085858466,0.44992756794230393,0.7436390615607945,-0.3718996697344189,0.47427732714748316,-0.17802398803018527,-0.3922473286382565,0.3016765141662216,0.7668961861098753,-0.49094229047999777,0.20273876569291555,0.425857068793964,-0.1491668067728875,0.06392273139768068,-0.9292488632132393,-0.29440204471246373,-0.5301723029156161,-0.782868442959889,-0.47155435585826894,0.09033104127264913,-0.2320479353432446,-0.5362759331920549
Pcmt1,0.08590481797685998,,,0.09140091772234761,,0.060914323016899384,,,0.044501703496333304,,,0.06210161489014703,,,0.06641841016034047,,,0.04177043394631476,,,0.06862744467978195,,,-0.008654069098725193,,,-0.0216148935635366,,,0.0353924825485855,,
Elf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cd38,,,0.055311485857883716,,,,,-0.020152644718545467,,,-0.0327400317852769,,,-0.02540846992138303,,,-0.02852708182999244,,,0.00021871315496022317,,,-0.017461778871662836,,,0.010320094450467424,,,-0.019693421678654222,,,0.005011487385181888
Meis3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eif5b,,,-0.05091457150731116,,,,,0.011873840330545312,,,0.006932715896881986,,,0.03145636152654317,,,0.02829707340469903,,,0.018999954976810368,,,0.004887213962225829,,,-0.04642014275100031,,,-0.011667821114596378,,,-0.030975038736911188
Polr2b,,,-0.07812803400060808,,,,,0.013790895355661371,,,-0.002901313457211582,,,0.01975615975193288,,,-0.004996020340126588,,,-0.004934455633648091,,,-0.04816095019712579,,,-0.06712990824241545,,,0.013778377853989696,,,-0.01758598300847216
