,Cl13_P2,Cl13_P6,Cl13_P8,Cl13_P9,Cl13_P10
Cd180,0.0017586778,0.00014724975,0.00013730669,0.0,0.0
Hdac9,0.0044522956,8.914255e-05,0.00022749894,0.0,0.0
Csf3r,0.030705985,0.001776,0.0010859057,0.0,0.25561473
Bcl11a,0.0032364447,0.00012018823,0.0006772827,0.0,0.0
C5ar1,0.0033696857,0.00022964516,0.0,0.0,0.042602453
Cd300c2,0.025433797,0.00080249587,0.007361061,0.003720283,0.042602453
Fus,1.5845398,1.4641619,1.1333752,1.1797194,1.3166945
Mcm5,2.952597,1.7580947,1.0855771,0.73834515,0.5981828
Pnn,3.0495114,2.782141,2.347115,1.9785072,2.270101
Mbd4,0.17500748,0.12046209,0.088637866,0.05547088,0.0
Hnrnpk,6.5777235,5.734377,4.5525045,4.743288,4.665538
E2f1,0.4408819,0.23891601,0.28142437,0.10886715,0.08860253
Mcm7,2.341884,1.2914401,0.91490966,0.4939418,0.72204256
Cebpz,1.1875056,0.95268923,0.6842529,0.78589195,0.70968604
Chaf1b,0.8690688,0.6475388,0.48790407,0.42957288,0.096320644
Brip1,0.3407067,0.18521172,0.11972204,0.06581231,0.0
Mcm6,3.5491369,2.5877624,2.317953,1.6520216,1.4488263
Med27,0.22094564,0.14835274,0.16166978,0.23470652,0.18357661
Cdc5l,1.5949949,1.3675395,1.2209792,1.351453,1.2162387
Ppargc1b,0.056566082,0.017839078,0.021492654,0.053191576,0.05810972
Actl6a,1.341419,1.1350362,0.61634785,0.75198716,0.49636346
Atf1,1.0535996,0.92191577,0.69270265,0.6868952,0.42333382
Clec12a,0.08222965,0.015984092,0.009831326,0.00081719074,0.08520491
Hdac1,1.9021474,1.6965952,1.4421397,1.2888029,0.9171248
Pms1,0.11705737,0.07092778,0.08109743,0.06695735,0.0
Nap1l4,1.4636949,1.1811988,1.1014255,0.99413264,1.0072138
Hdac3,0.5383664,0.45888442,0.38430434,0.33609995,0.2724861
Rpa3,1.8556725,1.3732064,0.7806042,0.7453319,0.621731
Mcm2,1.652697,1.0360752,0.843936,0.45936817,0.4556778
Chaf1a,0.4413745,0.2162912,0.1316374,0.07306908,0.036163032
Sfmbt1,0.12710865,0.06894579,0.070263796,0.05192428,0.03599797
Hsf2,0.14195818,0.075231455,0.04618897,0.051356845,0.17669678
Hat1,1.878196,0.9823611,0.68660706,0.50198096,0.62856615
Paxip1,0.48652598,0.3002633,0.28953636,0.21138777,0.41805154
Mcm3,3.7878227,2.3667667,1.4704447,0.980618,1.0964016
Hnrnpul1,1.1474104,1.0795261,0.9001327,0.7897243,0.96143
Gtf3c4,0.08698757,0.043722533,0.07124919,0.040622704,0.099351406
Tcf19,0.5055422,0.2738016,0.16181453,0.11643983,0.08428981
Phf19,0.09353915,0.04297367,0.03646889,0.01869621,0.0
Lmo4,0.28751376,0.23589304,0.14567976,0.18806425,0.24893244
Bcor,0.26426372,0.14043756,0.17446156,0.16062029,0.33036584
Baz1b,2.150402,1.4212527,1.2472512,1.0539564,0.8997124
Uhrf1,1.5896432,0.6389512,0.32074124,0.20873015,0.19178292
Cenpk,0.4165762,0.23993716,0.123372935,0.057623543,0.04285544
Brca1,0.45914826,0.17416732,0.11466296,0.07028901,0.14727837
Brca2,0.43079394,0.18358025,0.19991238,0.076484874,0.08114107
Tle1,0.04219308,0.027131967,0.019428704,0.008269581,0.056182064
Atad2,1.815319,0.9727022,0.6906338,0.592289,0.5262662
Men1,0.075312674,0.06242493,0.042511903,0.043150045,0.014800229
Ube2k,1.4142128,1.3412623,1.1323953,1.1215885,1.3990369
Klf4,0.3717253,0.15334314,0.04373644,0.14855202,0.15250982
Cbx3,0.2815602,0.21473175,0.14997208,0.082669005,0.12683064
Nsd2,1.0301205,0.5552105,0.44914144,0.34847462,0.19323145
Ddx20,0.18220659,0.097156785,0.09584816,0.04720211,0.0703693
Gtf2f2,0.68605787,0.5581373,0.42105526,0.48367363,0.49421
E2f8,0.5466047,0.16724543,0.09481148,0.08593957,0.016620418
E2f3,0.32601783,0.19403803,0.16435045,0.17377383,0.060127355
Smyd2,0.29344043,0.054028243,0.07836069,0.04621193,0.021608721
Orc1,0.24147312,0.13676117,0.049607772,0.032309007,0.0
Prmt3,0.35801315,0.19485888,0.1743845,0.13927443,0.023991445
Stat5a,0.31335238,0.28279874,0.2330039,0.2791012,0.17603104
Gabpa,0.24869081,0.23045747,0.18676613,0.17855813,0.24333462
Brd7,0.67440236,0.52987653,0.50274765,0.5741753,0.4367104
Gtf2e1,0.14900576,0.098258466,0.09717541,0.11465149,0.021246718
