Arm_ranked,Arm_ranked_likelihood,Cl13_ranked,Cl13_ranked_likelihood
Hmgb2,0.5709025626790976,Tnfaip3,0.8483183697426977
Btg1,0.5466648330124627,Itga4,0.6202371088511438
Sp100,0.4613480602885593,Selplg,0.5860688859876769
Cd226,0.4024508922362645,Ctla4,0.5813475728820022
Klrg1,0.3859503321052928,Actb,0.5678949679535663
E2f2,0.3733124497678251,Cd69,0.507442095704097
Klrc1,0.3727857468721953,Cd28,0.431542535068388
Klf3,0.3669064393016566,Ifngr1,0.4235159446772701
Ifngr1,0.35902561954145595,Cd5,0.4223615764379991
Sp110,0.3553968276965904,Id2,0.3975592161315624
Itgal,0.34102461937207323,Slamf1,0.3769894456107342
Cd96,0.3360042147441053,Ube2b,0.3674430845062256
Lef1,0.33446540307549844,Cbx1,0.3542052299659409
Itgax,0.3344321836345591,Ggt1,0.3498838769139614
Foxp1,0.33380124860014776,Rnf19a,0.34880944674794484
Id2,0.3278344316261333,Smad7,0.34311565275192796
Btg2,0.3212999959052514,Cd47,0.32651718848268096
Klrk1,0.3191369393974936,Fhl2,0.3126084935788795
Fli1,0.2936673603199003,Cd52,0.2833592426855266
Klrd1,0.2929768334801932,Icos,0.25827895177763444
Mxd1,0.29109004187901794,Spn,0.2510385751717468
Igf2r,0.2899291209598332,,
Ctla4,0.2769162086596421,,
Itga4,0.2662238325547206,,
Sla2,0.2659133680709663,,
Runx3,0.2653471682256615,,
Entpd1,0.2607691306571309,,
Kdm6b,0.2579032897869131,,
Smad3,0.2575416343924005,,
Il17ra,0.2552712050124469,,
Cd5,0.25454636585638724,,
Irf2,0.2502090994227648,,
