gene_name,P2-P1_likelihood,P5-P2_likelihood,P2-P7_likelihood,P2-P4_likelihood,P6-P2_likelihood
Wdhd1,0.4673662860142036,0.2843073470921095,0.4860898008236516,0.3059269325717376,0.3585051731768969
Foxp1,0.4925004502285815,0.17530710574568384,0.4415778181859563,0.33380124860014776,0.1979048590498435
Sirpa,0.22125408315252865,0.08210194815816052,0.08378122108560389,0.2452419543158459,0.0259467901943655
Csf3r,0.24533115781965606,0.21438858415882767,0.22897508377739784,0.17391120839933985,0.054046661505173454
Nsd2,0.7822476763293661,0.35438765876405104,0.5487473161529229,0.548293635589904,0.5630671868416419
Ly86,0.3815098122443427,0.19588531643734525,0.3569640951208681,0.20348804705554246,0.1934713401662398
Nr3c1,0.22889472016672155,0.2425246473164095,0.21358892585905398,0.2565978878606622,0.16391159439114286
C5ar1,2.1063597681677565e-05,1.3638753347058447e-15,9.921867181448442e-06,0.0007907504902791645,2.8373971913303606e-23
Prdm1,0.5302711988173638,0.2568132234951601,0.524459743388157,0.3668920708242,0.26883387816207177
Ssbp2,0.3739616289237301,0.2584495811694628,0.34612971837570383,0.30999583886959386,0.16233695925285468
Tnfsf8,0.4133440848827998,0.19606130204812086,0.2593102101696101,0.2577406879873533,0.19553146928363396
Tlr2,0.07918992455873848,3.234199261564799e-08,0.1828599900950816,0.2304401443617831,0.14012974168404385
Tardbp,0.2760235319473028,0.2407181425051656,0.30299147737110216,0.2437637163515005,0.28921010101851763
Klrg1,0.3670240441684861,0.3980561719566879,0.3595936896662487,0.3859503321052928,0.24377720581872345
Batf3,0.4709740368679834,0.3736910570382235,0.3753666121607326,0.3545035270893139,0.4005613209535332
Ikzf2,0.254560721974159,0.17268255787183814,0.29790674636941183,0.20611081104784248,0.15311260923329398
Fli1,0.18341552000633185,0.3917057912233321,0.28175897305222913,0.2936673603199003,0.1687566301242622
Fkbp5,0.637582879109459,0.3156469885029193,0.405620396128776,0.4073585405735276,0.3460846375269774
Itgax,0.1937247283315431,0.2609280487659017,0.2503828226347518,0.3344321836345591,0.2823987278432071
Dnmt1,0.7214907434665103,0.29380477841200225,0.6086875430842148,0.3864018525750807,0.3649821046841991
Lef1,0.5204648795023413,0.2060018794277819,0.4112752296281256,0.33446540307549844,0.23012399987201515
Smyd2,0.3354739776865465,0.27356486120298984,0.29783369083052685,0.272440476304347,0.3278306045412541
Il2ra,0.344307044126634,0.2866493118037121,0.3643815900267436,0.2846632821136497,0.2658947035965229
Timeless,0.5889710102853216,0.26983091099729545,0.4661492456646026,0.440255826787605,0.41347459409681053
Mef2c,0.16374732605454198,0.12959624924534827,0.01972782961165908,0.1058719485663924,3.0594445758361694e-07
Cd180,0.0169097795042506,0.05960745963704625,0.07766136651853994,0.02145581618401129,0.006301955910579563
Btbd11,0.4163894716189617,0.2629472453824652,0.3017054426415868,0.3599732040315181,0.23404497291128185
Ifi204,0.3321073987827974,0.08073032956806499,0.010687917229706963,0.22336246844457064,0.0074035494977880345
Gadd45b,0.2627496175194294,0.2032196242562872,0.2391318606254732,0.22959084284840744,0.1848225712377526
Padi2,0.1915509758758104,0.2861276151886604,0.17536412499852488,0.23232469203906425,0.2607081889491821
Uhrf1,0.5540648303387892,0.3311721026146742,0.4549668333590906,0.4246154532616305,0.41306340301902017
Zeb2,0.11704612608578008,0.1930574893467633,0.2191229144501206,0.17429721250873767,0.21349565163537607
Parp1,0.5559535221429707,0.3848419621565002,0.4787863198738582,0.4107722468889068,0.4550938119809696
Cd74,0.051673370073930164,0.1193606793608898,0.1415204428619665,0.14304267568526258,0.015760310909571012
Tfdp1,0.5418846784646544,0.3069350154208968,0.5109166088311959,0.4434822985411535,0.43737227879923335
Itga1,0.18064610989634028,0.2263782507928724,0.16996655315157708,0.2432210349282535,0.2367921916164865
Cd96,0.3867561110761816,0.3203245659819851,0.3563635962284273,0.3360042147441053,0.317313317161201
Aff3,0.6246595044517452,0.3015640370024734,0.5323984545140751,0.38183788533339097,0.2774486510866365
Rbbp4,0.5890061320247034,0.3169441708460279,0.5358296283241749,0.491701964483127,0.4374013301943968
Pa2g4,0.5017349738315081,0.3549714292137188,0.463049819713644,0.3957714183210893,0.4421849672800677
Atf3,0.14990261009781788,0.3170855255127564,0.2895926185525997,0.2244893907477512,0.16967148144544286
Klrd1,0.4544579585898184,0.4218086608247392,0.4131938797305162,0.2929768334801932,0.3561469151175167
Dnajc2,0.4056391734298213,0.2551211505896098,0.4255312347991356,0.32016920071671995,0.341317730310249
Pirb,0.3489030975787298,0.22462845147816005,0.1172997253914374,0.2640815303653796,0.2532094451210484
H2-Ab1,0.2804414183135788,0.23966615311605494,0.2712190477630649,0.7749050287840071,0.1972822950962984
Srrm1,0.3659421053844043,0.2645116806790509,0.4157275652753639,0.3478849378119228,0.2568440970216297
H2-Eb1,0.1274256638569445,0.2106622679150271,0.30838842711797404,0.4336872291707243,0.16100771782670534
Nt5e,0.25911242555090597,0.2049407135259512,0.19320963949760836,0.2293156346080571,0.19798586349684227
Ahr,0.22352530093168144,0.19967774037964525,0.1813760638265084,0.31665954246049965,0.20937976455970592
Cd300lf,0.2630400726314979,0.3207580139003053,0.4528384712483646,0.298404882381125,0.16723809189357414
Klf3,0.5116380678378344,0.2781606259407192,0.35064732815690913,0.3669064393016566,0.2562320399368992
Chd3,0.3634341663997136,0.01567965694692715,0.2763361476038363,0.2287468716433051,0.12472605822279663
Tcf7,0.6903635159096441,0.3083588948205481,0.6555540481635596,0.3941683359355062,0.3306690933024685
Il6ra,0.4392879415217855,0.17787792189636656,0.2460376248172446,0.2975071918235627,0.06758135956642469
Cenpk,0.4863866174991179,0.2639767000166089,0.3815257957750362,0.3205460560410021,0.3310407480552265
Zmynd11,0.2946133632791709,0.2100169806751729,0.2461186744334017,0.3111112785860778,0.2074278367632552
