gene_name,P5-P7_likelihood,P3-P5_likelihood,P5-P2_likelihood,P5-P4_likelihood,P5-P6_likelihood,P5-P8_likelihood
Il18r1,,,,,,0.30222646749731785
Tbx21,,,,,,0.2559053212255588
Ccr7,,0.20719534296361564,,0.3013945203634178,,0.2473266844785739
Id3,,0.3743584416179048,,0.2529556644791122,0.17891348043725758,0.16904570357638496
Runx3,,0.29561367849638226,,,,
Batf,,0.2668429460471917,,,0.2155784893589525,0.2490519414077811
Il18rap,,0.4601223600827321,,,,0.39406258565970864
Cx3cr1,,0.26546279883618634,,,,0.25730589864818715
Id2,,0.36669852456044016,,,,0.3571038317978989
Il10ra,,0.29843023352184866,,,,0.3263663914853458
Il7r,0.3086294079350483,,0.2162190613327209,,,0.3262232491863544
Supt16,0.3729373575228776,,0.297512856366577,,0.2973248554324672,0.3766784106172821
Aurkb,0.2821394769414862,,,,0.30372640902121834,0.321744462246938
Nap1l1,0.4145266568746971,,,,0.3787243061794265,0.3368215344037559
Cxcr5,0.34670983499434554,0.3329367057986308,,,,
Prdm1,0.4718707030551237,0.3147863430766683,,,,
Il2ra,0.3794666156940358,0.3326631479852451,,,0.2558096155665248,0.27789668428045394
Entpd1,0.2350803562360976,0.326965579975097,,,,0.3611526148927013
Tox,0.3897137671557199,0.2242256936570083,,,,0.2332376360944953
Batf3,0.1971322062100284,,,,,
Ube2b,0.20883880060243368,,,,,
Bcl6,0.3490090414458256,,,,,
Irf4,0.2977544581492725,,,,,
Phf19,0.2781222541714269,,,,,
Il23r,0.290581174081669,0.2981905518628232,0.22505546016156824,,,
Nt5e,0.26647673220710705,0.21779942134432126,0.4415356639538212,,,
Klrg1,0.23733542984092165,,0.2914901631616643,,0.21126433585325288,
Il6ra,,,0.31856143491241845,,,
Sell,0.20024386395673266,,0.3814312045089885,,,
Cd74,0.34229180622952904,0.2904028744606369,0.5386467087046601,0.5474023271269362,0.26859538804681826,0.5851438327715778
Tcf7,0.7072633143114253,0.6135922008144442,0.3034250313742613,0.2153999657765107,0.2811446559069222,0.28700579181469754
Ifngr1,0.4676838996632465,0.5080307629938694,0.27750832498769284,0.3428789754464129,,
Slamf6,0.6069860626099696,0.3437254188472433,0.2837847157400617,0.2567210246489671,0.2580784668753312,
Aff3,0.5462051192048242,0.3615619664875631,0.25264018579140385,0.22615376530061115,0.16670158909012905,0.12351542990920872
Tnfsf8,0.6323886068307957,0.4191477931533314,0.3297658670870904,0.2464053811253687,0.2487391213440967,0.17217016278227726
Uhrf1,0.6048250778591133,0.3646535667195209,,0.27805130879535195,0.4559221239534709,0.4343041025798611
Dnmt1,0.570957462915815,,,,0.4962916911584349,0.5625410820006019
Nsd2,0.521629826509168,0.27977554686969464,0.2648519241350522,,0.4853631147151264,0.5584481836811162
