,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.39536598,0.0035985708236694336,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.93367654,0.4508824944496155,True,0.050431824428573205,0.16770558868954943,0.15666820577471122,16.89988754714888,1.8435028817918564,0.09982609003782272,0.06528110057115555,0.23490845873280744,0.0,0.0,0.361529161906425,0.28445549740558956,0.19048380039246945,0.9017714982980575,3.899382806743575
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.8560533,-0.7154020071029663,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.41412884,-0.9319043159484863,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5606439,0.4329441785812378,True,0.086602245937374,0.06472088173429554,0.09910292834828661,35.465912346367304,0.8099279102683068,0.25081464648246765,0.14632156491279602,0.27821802468893414,0.0,0.0,0.14980317824639444,0.9676796223672579,0.6212743757099941,0.6984731210103984,8.584632800552159
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,8.777175,-9.14141845703125,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.48048046,-1.133326530456543,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.0796357,-1.0312891006469727,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0025434124,-1.2100183963775635,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,12.784621,-2.282971143722534,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.10649647,-2.4521701335906982,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.1008275,0.5937878787517548,True,0.6571829025116032,1.9765912703066508,0.1616494014560084,14.938039015784552,0.14287873562425377,0.11910770833492279,1.0211942195892334,0.3462102583281091,0.0,0.0,0.46046657695663196,0.2751433351494121,2.454228552507943,0.4629484985381112,4.131067757588841
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.55108696,-0.4476882219314575,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,66.67918,-1.027648687362671,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.33583465,-0.47136735916137695,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.43906513,-0.06726717948913574,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.06430548,-1.3440723419189453,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.4729984,-1.0500755310058594,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,4.0117054,-0.18713736534118652,False,,,,,,,,,,,,,,,
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.3102887,-0.023121953010559082,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.5464604,-0.4505605697631836,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.1104237,-3.269749164581299,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,2.1459002,-0.4346168041229248,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.7161351,-0.6211081743240356,False,,,,,,,,,,,,,,,
