,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.754555,-1.7989914417266846,False,,,,,,,,,,,,,,,
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.75811505,-0.36747169494628906,False,,,,,,,,,,,,,,,
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,1.1278793,-0.3285278081893921,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.45322,-0.5991086959838867,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5554197,-1.1738734245300293,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,8.752296,-5.163025856018066,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.47473082,-0.22955846786499023,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.2738292,-1.5199251174926758,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0058172075,-6.759701728820801,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,5.9118204,-6.7329630851745605,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.12123897,-3.373231887817383,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.1431533,0.25386935472488403,True,1.8790585352750877,3.129654456967437,0.41029105669223037,9.514669024703052,0.07445827648043633,0.16559047996997833,1.0508099794387817,0.41679222673365046,0.0,0.0,0.4847016603309332,0.4255582626761352,2.917143272428677,0.32870864553075424,1.9310927997892056
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.7766795,-0.774671196937561,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,56.68194,-1.6338131427764893,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.24475895,-0.5616916418075562,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.65931046,-3.7784247398376465,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.08051556,-2.04067325592041,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.8911741,-1.2925469875335693,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,5.528879,-0.9643768072128296,False,,,,,,,,,,,,,,,
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.32050136,-0.3831104040145874,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.9791747,-0.810978889465332,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.3931175,-1.1641883850097656,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,2.3815637,-1.2217445373535156,False,,,,,,,,,,,,,,,
