,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.2410874,0.21094542741775513,True,0.21796196317821145,0.9492579444527296,0.3448736692593913,8.399773734432351,0.24035058930516243,0.06948021054267883,0.1365896314382553,0.26386819840678216,0.0,0.0,0.18180448248209652,0.19822289807774116,0.3945692731067538,0.7634986660657003,1.9723459015834977
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.43713358,0.21305698156356812,True,0.04262788397555915,0.22219862164397644,0.22343364110183214,6.992198717581813,1.970159100823932,0.05336299538612366,0.03265322744846344,0.039376650937993224,0.0,0.0,0.4041028646316423,0.1970092275593509,0.1324179760332958,2.8601377405600066,2.8227241207288856
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.59865695,-0.9822908639907837,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.42601207,-0.015223026275634766,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.3461447,-0.10685992240905762,False,,,,,,,,,,,,,,,
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.2606106,-7.078824996948242,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.45922956,-0.4994407892227173,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.80543405,-0.2916682958602905,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0028341573,-0.8592748641967773,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,7.6325417,-2.221989393234253,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08473742,-0.3632117509841919,False,,,,,,,,,,,,,,,
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.10486554,0.6962292790412903,True,2.9326622320880507,5.159478627850566,0.46277655820945107,7.166453079884719,0.050357689540833236,0.17373302578926086,1.6301156282424927,0.5039647379008251,0.0,0.0,0.47807084071325623,0.39837737019376157,4.220898468689672,0.21284309396187334,1.7319721324858275
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.5921585,-0.5490533113479614,False,,,,,,,,,,,,,,,
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,100.72909,-0.3497471809387207,False,,,,,,,,,,,,,,,
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.18208012,-0.10679876804351807,False,,,,,,,,,,,,,,,
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.5296986,-0.35549354553222656,False,,,,,,,,,,,,,,,
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.06500267,-1.7884728908538818,False,,,,,,,,,,,,,,,
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.162623,-1.5453999042510986,False,,,,,,,,,,,,,,,
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,3.6880322,0.22606801986694336,True,0.1452506598472124,0.0732935497585927,0.22369798312225034,7.020336174714219,9.184935697317124,0.7914575338363647,0.14024019241333008,0.33136735493194364,0.0,0.0,0.42336795228320545,2.3901901971646833,0.33957229153221025,0.38899732201799986,2.072203158925522
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.16934873,-0.006933927536010742,False,,,,,,,,,,,,,,,
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.1512574,-0.9872359037399292,False,,,,,,,,,,,,,,,
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.1608506,-1.3264832496643066,False,,,,,,,,,,,,,,,
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.7475946,-0.952934741973877,False,,,,,,,,,,,,,,,
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.629804,0.1738610863685608,True,0.09628323100237118,0.15738282502290812,0.1702137279622485,13.123417846336546,1.9309210655093194,0.19683603942394257,0.14449843764305115,0.22320291324614452,0.0,0.0,0.39131859283566794,0.6542627409948065,0.37833648738611875,1.0337263069419413,4.198012426849771
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.5136198,-1.530959129333496,False,,,,,,,,,,,,,,,
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.28259203,-0.6513094902038574,False,,,,,,,,,,,,,,,
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,3.83729,-0.3971630334854126,False,,,,,,,,,,,,,,,
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.023782283,-1.0858368873596191,False,,,,,,,,,,,,,,,
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,0.7072916,0.1317692995071411,True,0.07574130351500029,0.1388292839987341,0.19369474497515246,9.535891731107878,3.593761074542999,0.1920439600944519,0.07214150577783585,0.20169351226522048,0.0,0.0,0.3742305676199549,0.5407833668750711,0.2224395767352062,1.2479214386633082,2.773494760035263
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.247302,-0.31255805492401123,False,,,,,,,,,,,,,,,
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.2512634,-0.2588844299316406,False,,,,,,,,,,,,,,,
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.07076973,-1.3594155311584473,False,,,,,,,,,,,,,,,
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,3.8489792,-0.2915850877761841,False,,,,,,,,,,,,,,,
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,10.59549,0.7561305165290833,True,0.10920542020273626,0.0089730044186374,0.12352928991503775,20.19626513138397,27.155521837870282,4.600434303283691,0.20258688926696777,0.440170622646999,0.0,0.0,0.4222577794763873,10.184009884234378,0.47458512212776033,0.2668368613113294,4.827862352424071
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.69407594,-0.14839911460876465,False,,,,,,,,,,,,,,,
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.37822303,-0.27153563499450684,False,,,,,,,,,,,,,,,
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.21297087,0.08089172840118408,True,0.27285401894105454,0.9951451896324232,0.2582834723493759,8.69952242332121,0.44699246143301324,0.08624034374952316,0.24422314763069153,0.25942878255992824,0.0,0.0,0.3360809903436451,0.2613282955890821,0.6565976336373593,0.7330936826092104,2.439175737043495
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.5549483,-1.1766877174377441,False,,,,,,,,,,,,,,,
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.37833184,-0.6692630052566528,False,,,,,,,,,,,,,,,
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.5833325,-0.28644824028015137,False,,,,,,,,,,,,,,,
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.7863646,-0.35176515579223633,False,,,,,,,,,,,,,,,
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,3.6955657,-0.7735426425933838,False,,,,,,,,,,,,,,,
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,5.3637166,-2.6424036026000977,False,,,,,,,,,,,,,,,
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.6570319,0.14221245050430298,True,0.6353386031705041,0.36952289283537354,0.24493840842100387,11.123556752142814,0.4202235907316208,0.3714351952075958,0.4176422655582428,0.28740920841194784,0.0,0.0,0.347645251923708,1.1324211534226396,1.4624546691775322,0.6286687684806922,2.8979489800484757
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,2.488219,-0.20978260040283203,False,,,,,,,,,,,,,,,
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.26536292,-0.41315746307373047,False,,,,,,,,,,,,,,,
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.5617852,-0.7696502208709717,False,,,,,,,,,,,,,,,
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.5764267,-0.42588555812835693,False,,,,,,,,,,,,,,,
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.7913339,-1.042029619216919,False,,,,,,,,,,,,,,,
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.5689242,-0.7336879968643188,False,,,,,,,,,,,,,,,
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,7.448328,-1.3952581882476807,False,,,,,,,,,,,,,,,
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.33600324,-0.8642703294754028,False,,,,,,,,,,,,,,,
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.012892078,-0.5491721630096436,False,,,,,,,,,,,,,,,
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,0.80646825,-0.3226661682128906,False,,,,,,,,,,,,,,,
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,4.2912793,-0.3294636011123657,False,,,,,,,,,,,,,,,
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.364895,-0.4399878978729248,False,,,,,,,,,,,,,,,
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,1.362797,-1.135040044784546,False,,,,,,,,,,,,,,,
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.3471541,-0.8190089464187622,False,,,,,,,,,,,,,,,
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.25093058,-0.6113898754119873,False,,,,,,,,,,,,,,,
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,0.6347123,0.060978710651397705,True,0.1514947496818461,0.30472082395437194,0.31401655050481314,15.626271180749002,1.5666661915183067,0.15996421873569489,0.14473362267017365,0.267980898314684,0.0,0.0,0.21455842627143962,0.46755649001005406,0.4178065246228,0.7412754935077195,2.8278421468531976
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,0.6106972,-0.0827857255935669,False,,,,,,,,,,,,,,,
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,1.3407341,-2.51162052154541,False,,,,,,,,,,,,,,,
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.39166617,-0.20258736610412598,False,,,,,,,,,,,,,,,
Als2,ENSMUSG00000026024,1,59237231,59162926,-,-0.0013,3.0898342,-3.247830867767334,False,,,,,,,,,,,,,,,
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0432,18.105474,-3.9887328147888184,False,,,,,,,,,,,,,,,
