,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.42514342,0.007963836193084717,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.25491333,-0.38245630264282227,False
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.72413504,-0.8448824882507324,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.35417488,-0.4845238924026489,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.3570837,-0.7066874504089355,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.8007827,-5.545567989349365,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.3907168,-0.7291405200958252,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.886026,-0.6324528455734253,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.005458687,-3.4054293632507324,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,5.225176,-4.95409631729126,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.11551603,-1.1036410331726074,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.09299487,0.6401523351669312,True
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.79751956,-0.5367443561553955,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,200.43045,0.20105022192001343,True
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.1381491,-0.05280470848083496,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.49979693,-0.6957175731658936,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.06709807,-2.188652276992798,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.2324394,-1.8747267723083496,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.1200154,0.2116827368736267,True
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.31856248,-0.1741197109222412,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,1.0698155,-0.8514641523361206,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.2757837,-1.076889991760254,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.3560592,-0.7729955911636353,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.4995883,-0.2236919403076172,False
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.66301674,-1.1491005420684814,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.36183715,-0.9230390787124634,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,2.3260949,-1.7864282131195068,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.04345546,-3.3688154220581055,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.4611789,-0.7761627435684204,False
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.5278627,-0.3772984743118286,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,0.811346,0.24877750873565674,True
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.08090558,-1.4594159126281738,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,2.42979,-1.3685781955718994,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,18.519075,0.853422075510025,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.61182916,-0.5007805824279785,False
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.3240196,-0.3441053628921509,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.5149891,-0.2915210723876953,False
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.6831638,-1.5511860847473145,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.38646433,-0.5071890354156494,False
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.5568099,-0.24651527404785156,False
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.7908793,-0.553885817527771,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,3.5035892,-2.319387912750244,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,3.9763393,-4.327489852905273,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.99615556,-0.6479507684707642,False
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,1.6629184,-0.8306097984313965,False
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.26743382,-0.7156733274459839,False
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,2.1251109,-1.0220043659210205,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.47568667,-0.5127971172332764,False
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.64218426,-1.0143046379089355,False
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.9202237,-0.5294045209884644,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,6.733098,-0.31545352935791016,False
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.34173992,-0.6966075897216797,False
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.017440172,-0.1107792854309082,False
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,0.22971447,-0.25129497051239014,False
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,3.4300942,-0.5674281120300293,False
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.1611388,-0.6399668455123901,False
