,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.5143086,-0.7844016551971436,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.79696584,0.3782091736793518,True
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.5374633,-2.036557912826538,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.51985097,-1.0683503150939941,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,0.5717468,0.20099902153015137,True
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,8.178537,-3.168670177459717,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.38397622,0.17321264743804932,True
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,1.3747071,-0.48477649688720703,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0032706629,-1.5655927658081055,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,7.384304,-4.216527462005615,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.12326128,-2.9494564533233643,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.1318535,0.723313570022583,True
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.49642575,-0.8016830682754517,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,50.81017,-0.6683235168457031,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.07505498,0.02949821949005127,True
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.46503684,-0.1574563980102539,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.06636513,-2.3658220767974854,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.3548641,-0.05225694179534912,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,2.7808115,0.10858327150344849,True
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.326424,-0.22918522357940674,False
