,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.38361847,-0.840684175491333,False
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,0.5609899,-0.19607031345367432,False
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.65727925,-0.5454374551773071,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.3897772,-0.4548957347869873,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.3627436,-1.3951222896575928,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,6.075601,-10.073328971862793,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.33097443,-0.5473098754882812,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.6812484,-0.7268339395523071,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.002669374,-1.3677756786346436,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,6.5575905,-2.8592188358306885,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.110904485,-0.9032739400863647,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.06434533,0.02181243896484375,True
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,0.56152517,-0.6110727787017822,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,9.01005,-0.8945091962814331,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.19780748,-0.26003217697143555,False
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.5993332,-0.3524724245071411,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.044765186,-2.5259337425231934,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.1828107,-1.359727382659912,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,3.0475826,-1.2097604274749756,False
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.19689101,-0.14268279075622559,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,0.7758109,-0.5246515274047852,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.1535835,-1.379284143447876,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,1.2746392,-2.4570460319519043,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,1.1839212,-0.8882361650466919,False
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,0.4347017,-0.881327748298645,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.21426772,-0.39710986614227295,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,3.536239,-0.5251123905181885,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.056270413,-5.317113399505615,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,0.7077849,0.021334588527679443,True
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.0638969,-0.5752478837966919,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,1.0052327,-0.38924455642700195,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.10659658,-2.589419364929199,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,1.6653024,-0.9799340963363647,False
Aff3,ENSMUSG00000037138,1,38664955,38177326,-,-0.0878,7.993344,0.4424237608909607,True
Rnf149,ENSMUSG00000048234,1,39577405,39551296,-,-0.0074,0.41017252,-0.3205047845840454,False
Tgfbrap1,ENSMUSG00000070939,1,43098637,43047200,-,-0.0302,0.46999317,-0.3635290861129761,False
Fhl2,ENSMUSG00000008136,1,43196984,43123074,-,0.1746,0.13546948,0.20446479320526123,True
Uxs1,ENSMUSG00000057363,1,43827800,43746966,-,0.0153,1.6089673,-1.929760217666626,False
Tex30,ENSMUSG00000026049,1,44102441,44086613,-,0.196,0.56342685,-1.095646619796753,False
Poglut2,ENSMUSG00000026047,1,44118808,44106546,-,0.0253,0.46541375,-0.36789631843566895,False
Slc39a10,ENSMUSG00000025986,1,46892852,46807544,-,-0.005,0.7558568,-0.6828322410583496,False
Nabp1,ENSMUSG00000026107,1,51478425,51465862,-,-0.0297,2.61864,-0.7334113121032715,False
Gls,ENSMUSG00000026103,1,52233232,52163448,-,-0.0127,4.4929366,-6.420424938201904,False
Nab1,ENSMUSG00000002881,1,52500679,52457294,-,0.0824,0.5967922,0.40215468406677246,True
Mfsd6,ENSMUSG00000041439,1,52727462,52656286,-,-0.0384,1.9173318,-0.48597848415374756,False
Inpp1,ENSMUSG00000026102,1,52817688,52785427,-,-0.0939,0.27629003,-0.6029953956604004,False
Pms1,ENSMUSG00000026098,1,53297018,53189187,-,0.0396,1.2572156,-1.2125201225280762,False
Stk17b,ENSMUSG00000026094,1,53785224,53755506,-,-0.2109,0.7100501,-2.288128614425659,False
Gtf3c3,ENSMUSG00000041303,1,54438971,54396004,-,-0.0092,0.6735402,-0.9247727394104004,False
Pgap1,ENSMUSG00000073678,1,54557684,54472994,-,-0.0425,1.2794183,-1.0245170593261719,False
Ankrd44,ENSMUSG00000052331,1,54926387,54645340,-,-0.0925,7.7596045,-1.6193664073944092,False
Sf3b1,ENSMUSG00000025982,1,55027481,54985169,-,0.1117,0.3632663,-0.3997623920440674,False
Hspd1,ENSMUSG00000025980,1,55088243,55077835,-,0.5211,0.09645234,-1.0444140434265137,False
Rftn2,ENSMUSG00000025978,1,55226782,55170159,-,-0.0045,0.94777614,-0.4887787103652954,False
Boll,ENSMUSG00000025977,1,55363469,55248658,-,-0.0115,3.8249223,-0.7590738534927368,False
Tyw5,ENSMUSG00000048495,1,57407101,57388237,-,0.0324,1.0846598,-0.5706802606582642,False
Kctd18,ENSMUSG00000054770,1,58018956,57955101,-,-0.017,0.87522805,-0.9482736587524414,False
Clk1,ENSMUSG00000026034,1,58424066,58410189,-,-0.1856,1.6645268,-0.3713775873184204,False
Ppil3,ENSMUSG00000026035,1,58445486,58430994,-,0.0518,0.26162803,-0.6110470294952393,False
Orc2,ENSMUSG00000026037,1,58505109,58462771,-,0.0982,1.2800069,-0.8705265522003174,False
Fam126b,ENSMUSG00000038174,1,58586323,58522806,-,-0.0499,0.34133154,0.13648879528045654,True
Trak2,ENSMUSG00000026028,1,58973430,58900449,-,-0.029,1.1833913,-1.4614334106445312,False
Tmem237,ENSMUSG00000038079,1,59120408,59100590,-,0.0895,0.14462,-0.2396235466003418,False
Als2,ENSMUSG00000026024,1,59237231,59162926,-,-0.0013,2.2587295,-2.6623404026031494,False
Sumo1,ENSMUSG00000026021,1,59670834,59586558,-,0.0432,17.501995,-2.6945884227752686,False
Wdr12,ENSMUSG00000026019,1,60098645,60069785,-,0.0274,0.51113015,-0.4153648614883423,False
Raph1,ENSMUSG00000026014,1,60567104,60482292,-,0.0546,3.0684001,-0.04245424270629883,False
Ino80d,ENSMUSG00000040865,1,63114667,62958418,-,-0.0481,2.1916163,-2.014056444168091,False
Ndufs1,ENSMUSG00000025968,1,63176833,63143596,-,0.0689,0.7347809,-0.4822368621826172,False
Klf7,ENSMUSG00000025959,1,64122282,64029447,-,-0.1428,0.9717905,-0.23653161525726318,False
Mettl21a,ENSMUSG00000025956,1,64617242,64606473,-,0.009,0.2616507,-0.5368828773498535,False
Plekhm3,ENSMUSG00000051344,1,64956824,64785983,-,-0.0257,4.354997,-3.6559982299804688,False
Idh1,ENSMUSG00000025950,1,65186500,65158616,-,0.0008,0.37449923,-0.2436676025390625,False
Kansl1l,ENSMUSG00000026004,1,66817562,66719248,-,-0.022,4.062848,-1.3479714393615723,False
Acadl,ENSMUSG00000026003,1,66863277,66830839,-,0.2298,0.21588889,-0.047128915786743164,False
Lancl1,ENSMUSG00000026000,1,67038872,67000517,-,-0.0089,0.79604375,-1.0251543521881104,False
Ikzf2,ENSMUSG00000025997,1,69687245,69531214,-,-0.0297,1.3506727,0.6997814774513245,True
Bard1,ENSMUSG00000026196,1,71103146,71027498,-,0.1687,1.1076872,-0.3312894105911255,False
Mreg,ENSMUSG00000039395,1,72212307,72159442,-,-0.0106,0.0,-0.0376361608505249,False
Pecr,ENSMUSG00000026189,1,72284314,72259167,-,0.0158,0.39136088,-0.24444758892059326,False
Aamp,ENSMUSG00000006299,1,74284738,74279840,-,-0.0204,0.05370249,-1.799837589263916,False
Usp37,ENSMUSG00000033364,1,74544284,74435511,-,0.0575,2.3583446,-3.9607486724853516,False
Zfp142,ENSMUSG00000026135,1,74588246,74565127,-,-0.0118,0.83458877,-0.5181195735931396,False
Rnf25,ENSMUSG00000026171,1,74601397,74593748,-,-0.0325,0.579573,-0.53666090965271,False
Nhej1,ENSMUSG00000026162,1,75125200,74967139,-,0.0699,0.62790036,-0.51737380027771,False
Cnppd1,ENSMUSG00000033159,1,75142711,75134554,-,-0.0577,0.19411275,-0.5518372058868408,False
Atg9a,ENSMUSG00000033124,1,75192196,75180860,-,-0.0469,0.3775807,-0.3201866149902344,False
Tuba4a,ENSMUSG00000026202,1,75219865,75214228,-,0.1993,0.057661675,-0.8739211559295654,False
Dnpep,ENSMUSG00000026209,1,75317990,75307896,-,0.0488,0.07747109,-0.8846423625946045,False
Farsb,ENSMUSG00000026245,1,78488897,78417975,-,0.0844,1.9207608,-0.7594208717346191,False
Ap1s3,ENSMUSG00000054702,1,79671972,79606876,-,0.0606,4.3233624,-0.3197096586227417,False
Wdfy1,ENSMUSG00000073643,1,79776143,79702262,-,-0.0818,0.39829254,0.2164757251739502,True
Serpine2,ENSMUSG00000026249,1,79861180,79794197,-,0.0564,0.023879262,-0.030506491661071777,False
Cul3,ENSMUSG00000004364,1,80340480,80264923,-,0.0308,1.4040512,-2.4270646572113037,False
Dock10,ENSMUSG00000038608,1,80758527,80501073,-,-0.0708,12.204518,-1.917531967163086,False
Trip12,ENSMUSG00000026219,1,84840516,84721189,-,-0.0368,1.9382368,-1.263817310333252,False
Sp110,ENSMUSG00000070034,1,85598817,85576899,-,-0.1564,0.13032651,-0.5687881708145142,False
A630001G21Rik,ENSMUSG00000052760,1,85778643,85717083,-,-0.0502,0.7574905,-0.42576777935028076,False
Gpr55,ENSMUSG00000049608,1,85961007,85938318,-,-0.0092,0.17986903,0.23040717840194702,True
Ncl,ENSMUSG00000026234,1,86359400,86344719,-,0.3456,0.12367302,-0.4517441987991333,False
Pde6d,ENSMUSG00000026239,1,86582629,86542994,-,-0.0156,2.558702,-0.9630447626113892,False
Usp40,ENSMUSG00000005501,1,88008551,87945119,-,-0.0333,1.3270938,-0.3380568027496338,False
Hjurp,ENSMUSG00000044783,1,88277633,88262471,-,0.0629,0.25629416,-0.4064265489578247,False
Arl4c,ENSMUSG00000049866,1,88702221,88673125,-,-0.0968,0.56423587,-0.05406808853149414,False
Ilkap,ENSMUSG00000026309,1,91398815,91373861,-,0.1238,0.46662158,-0.6215088367462158,False
Hdac4,ENSMUSG00000026313,1,92195699,91928779,-,-0.0913,0.9507394,0.3636125922203064,True
Ndufa10,ENSMUSG00000026260,1,92473860,92439010,-,0.1287,0.18462734,-2.160616159439087,False
Cops9,ENSMUSG00000073616,1,92641985,92637145,-,0.0781,0.019413395,-5.248466968536377,False
Mterf4,ENSMUSG00000026273,1,93305915,93299211,-,0.003,0.17408647,-1.000518798828125,False
Pask,ENSMUSG00000026274,1,93343482,93308770,-,0.0895,0.09013103,-0.004362344741821289,False
Hdlbp,ENSMUSG00000034088,1,93478815,93405940,-,0.2369,0.53695196,-0.6151385307312012,False
Stk25,ENSMUSG00000026277,1,93658659,93619751,-,-0.0315,0.27529457,-1.2421000003814697,False
Thap4,ENSMUSG00000026279,1,93754864,93701935,-,0.0178,0.30143288,-0.42428433895111084,False
Dtymk,ENSMUSG00000026281,1,93801934,93792576,-,0.1976,0.3956465,-1.0834276676177979,False
Pdcd1,ENSMUSG00000026285,1,94052553,94038305,-,0.1159,0.12020563,0.07007801532745361,True
St8sia4,ENSMUSG00000040710,1,95667571,95587682,-,-0.0566,1.612847,-1.3421499729156494,False
D1Ertd622e,ENSMUSG00000044768,1,97662074,97606318,-,-0.0049,0.27771714,-0.5782701969146729,False
Ppip5k2,ENSMUSG00000040648,1,97770411,97706048,-,0.0158,1.0754011,-0.5093525648117065,False
Pam,ENSMUSG00000026335,1,98095646,97795114,-,-0.0168,9.302908,-1.1657240390777588,False
Pign,ENSMUSG00000056536,1,105663677,105518422,-,-0.0193,3.8816774,-3.9181385040283203,False
