,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.41223377,0.157800555229187,True,0.10872813591805637,0.5495649491116698,0.22939971013830537,15.640131170814055,0.8731396729747454,0.06734982132911682,0.11557427048683167,0.3135597006230443,0.0,0.0,0.18940738991962291,0.19837219887976593,0.4178405977014838,0.5363434672705688,2.870706944055137
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,1.5764107,-0.06180143356323242,False,,,,,,,,,,,,,,,
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,0.83250433,-1.1971404552459717,False,,,,,,,,,,,,,,,
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.49238268,-0.4813164472579956,False,,,,,,,,,,,,,,,
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.5137678,0.268310010433197,True,0.05474348222501869,0.037702583900898166,0.054075867984445906,47.973160219897935,0.8226227894425393,0.20809844136238098,0.14608986675739288,0.22475153630490555,0.0,0.0,0.24139724359020526,1.0318883920093775,0.6409749907666239,1.0954776015455439,17.733352119421003
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,7.652865,-18.23822593688965,False,,,,,,,,,,,,,,,
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.5631792,-0.8378897905349731,False,,,,,,,,,,,,,,,
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.9439472,-0.8322864770889282,False,,,,,,,,,,,,,,,
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.0029648913,-2.847219705581665,False,,,,,,,,,,,,,,,
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,9.751111,-3.2703537940979004,False,,,,,,,,,,,,,,,
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.08588316,-0.5299800634384155,False,,,,,,,,,,,,,,,
