,Accession,Chromosome,End,Start,Strand,gene_count_corr,velocity_gamma,velocity_r2,velocity_genes
Mrpl15,ENSMUSG00000033845,1,4785739,4773206,-,0.1376,0.43683547,0.07649016380310059,True
Mybl1,ENSMUSG00000025912,1,9700209,9667415,-,0.0361,1.7581336,-0.23627996444702148,False
Vcpip1,ENSMUSG00000045210,1,9748382,9718622,-,-0.0841,1.1923182,-0.12326812744140625,False
Cops5,ENSMUSG00000025917,1,10038168,10024601,-,0.1711,0.46006572,-0.11950266361236572,False
Arfgef1,ENSMUSG00000067851,1,10232670,10137571,-,-0.0798,1.6981187,-0.025318503379821777,False
Ncoa2,ENSMUSG00000005886,1,13374083,13139105,-,-0.0592,9.531208,-12.717042922973633,False
Tram1,ENSMUSG00000025935,1,13589910,13564698,-,0.0711,0.6248589,-1.321293830871582,False
Lactb2,ENSMUSG00000025937,1,13660546,13623330,-,0.0101,0.8476631,-0.8932764530181885,False
Rpl7,ENSMUSG00000043716,1,16104662,16101295,-,0.08,0.004072158,-4.809360027313232,False
Ube2w,ENSMUSG00000025939,1,16619489,16540790,-,-0.0192,7.944765,-4.989480495452881,False
Eloc,ENSMUSG00000079658,1,16657042,16641725,-,0.2723,0.09645211,-1.0596089363098145,False
Mcm3,ENSMUSG00000041859,1,20820312,20802968,-,0.4748,0.15866932,-0.8690612316131592,False
Tram2,ENSMUSG00000041779,1,21079229,20996299,-,-0.0061,1.6438626,-1.1631240844726562,False
Kcnq5,ENSMUSG00000028033,1,21961942,21398403,-,0.0554,149.2103,-1.2878868579864502,False
Ogfrl1,ENSMUSG00000026158,1,23397772,23366424,-,-0.009,0.11907167,0.049478232860565186,True
Smap1,ENSMUSG00000026155,1,23922317,23844846,-,0.0812,0.540656,-1.7510902881622314,False
Sdhaf4,ENSMUSG00000026154,1,24005656,23995939,-,0.0222,0.14264832,-7.588626861572266,False
Phf3,ENSMUSG00000048874,1,30873921,30802339,-,-0.0635,1.0659165,-5.427881717681885,False
Prim2,ENSMUSG00000026134,1,33669795,33453810,-,0.1434,7.0402594,-0.39179420471191406,False
Bag2,ENSMUSG00000042215,1,33757795,33745484,-,0.0673,0.14090812,-0.26359546184539795,False
Zfp451,ENSMUSG00000042197,1,33814595,33761545,-,-0.0267,2.9483707,-0.9004408121109009,False
Fam168b,ENSMUSG00000037503,1,34843065,34813219,-,-0.0581,1.9154263,-3.0386176109313965,False
Uggt1,ENSMUSG00000037470,1,36244720,36140027,-,-0.0226,2.1021578,-0.8591392040252686,False
Neurl3,ENSMUSG00000047180,1,36274679,36264597,-,-0.1125,0.9032275,0.5116016268730164,True
Kansl3,ENSMUSG00000010453,1,36369181,36335730,-,-0.0571,1.2691423,-0.8109296560287476,False
Actr1b,ENSMUSG00000037351,1,36714422,36698114,-,0.0154,0.20044105,-1.2410237789154053,False
Tmem131,ENSMUSG00000026116,1,36943666,36792191,-,-0.0504,3.7494555,-0.39680373668670654,False
Coa5,ENSMUSG00000026112,1,37430103,37417084,-,0.024,0.030235287,-9.728671073913574,False
Mgat4a,ENSMUSG00000026110,1,37541016,37439340,-,-0.0577,1.2414416,0.15879899263381958,True
Tsga10,ENSMUSG00000060771,1,37866429,37754776,-,0.0033,1.5261158,-0.9324290752410889,False
Mitd1,ENSMUSG00000026088,1,37890411,37874801,-,0.0064,2.486508,-1.7629845142364502,False
Txndc9,ENSMUSG00000058407,1,37997893,37985189,-,0.0627,0.07821051,-1.7355260848999023,False
Rev1,ENSMUSG00000026082,1,38129801,38052786,-,-0.0317,11.650354,-0.129571795463562,False
